RegionID	chr	start	end	Entropy	5637_value	SV_HUC_1_value	T24_value	UM_UC_3_value	
QDMR_52	chr1	1071836	1072253	0.000	0.972222222	1.0	0.0	0.705357143	
QDMR_108	chr1	1430792	1431014	0.000	0.0	1.0	0.0	0.0	
QDMR_121	chr1	1521449	1521694	0.000	0.0	0.0	0.0	1.0	
QDMR_122	chr1	1522574	1523649	0.000	1.0	1.0	0.0	0.0	
QDMR_144	chr1	1712154	1712372	0.000	1.0	0.0	0.825	1.0	
QDMR_217	chr1	2502147	2502626	0.000	0.0	1.0	0.661904762	0.899047619	
QDMR_285	chr1	3500442	3500655	0.000	0.958333333	1.0	1.0	0.0	
QDMR_287	chr1	3509797	3510006	0.000	0.0	0.0	0.812121212	1.0	
QDMR_528	chr1	16646990	16648550	0.000	1.0	0.962662338	0.96	0.0	
QDMR_548	chr1	16960795	16961189	0.000	0.0	0.0	0.0	1.0	
QDMR_549	chr1	16966409	16966620	0.000	0.0	0.0	0.0	1.0	
QDMR_561	chr1	17696986	17697297	0.000	0.955361067	0.913730159	1.0	0.0	
QDMR_744	chr1	27383110	27383341	0.000	1.0	0.314700451	0.0	0.0	
QDMR_751	chr1	27575289	27576177	0.000	1.0	0.967013889	0.0	0.0	
QDMR_1034	chr1	44103319	44103727	0.000	0.978021978	0.0	0.71	1.0	
QDMR_1532	chr1	121116888	121117313	0.000	0.982857143	0.968253968	0.0	1.0	
QDMR_1554	chr1	143736121	143736547	0.000	1.0	0.0	0.9	1.0	
QDMR_1650	chr1	148060306	148060698	0.000	0.8860235	0.0	0.0	1.0	
QDMR_1655	chr1	148157762	148158045	0.000	0.0	1.0	0.0	0.0	
QDMR_2202	chr1	212514885	212515106	0.000	0.0	1.0	0.964285714	0.0	
QDMR_2369	chr1	228620299	228621043	0.000	0.0	0.828472222	0.866664184	1.0	
QDMR_2475	chr1	243101638	243101894	0.000	1.0	0.0	0.0	0.0	
QDMR_2846	chr2	42101349	42101687	0.000	0.0	0.0	0.0	1.0	
QDMR_2866	chr2	44768525	44768731	0.000	0.666666667	1.0	0.971428571	0.0	
QDMR_3153	chr2	89611125	89612239	0.000	0.0	0.812745098	0.0	1.0	
QDMR_3229	chr2	97741330	97741576	0.000	0.966666667	1.0	1.0	0.0	
QDMR_3285	chr2	106465872	106468480	0.000	0.0	1.0	0.0	0.0	
QDMR_3310	chr2	110383034	110384706	0.000	0.0	0.0	0.436618864	1.0	
QDMR_3320	chr2	111224298	111224758	0.000	0.0	0.0	0.0	1.0	
QDMR_3461	chr2	130036887	130037242	0.000	0.84537037	0.0	0.866666667	1.0	
QDMR_3498	chr2	131331173	131331391	0.000	0.732638889	0.0	1.0	0.0	
QDMR_3640	chr2	171517307	171517689	0.000	0.923076923	0.0	0.948484848	1.0	
QDMR_3833	chr2	207681358	207681838	0.000	1.0	0.0	1.0	0.0	
QDMR_3925	chr2	219434761	219435521	0.000	0.0	0.971428571	0.858839827	1.0	
QDMR_4050	chr2	235764659	235765350	0.000	0.0	1.0	0.0	0.0	
QDMR_5208	chr3	183064386	183064788	0.000	0.0	1.0	1.0	0.928571429	
