chr	start	end	5637_value	SV_HUC_1_value	T24_value	UM_UC_3_value
chr1	155188536	155192004	0.707692308	0.992307692	0.926697531	0.96875
chr1	2226773	2229734	0.042335893	0.110228898	0.025400809	0.264613774
chr1	36306229	36307408	0.018561404	0.010425887	0.144660722	0.962691862
chr1	47708822	47710847	0.11667848	0.067711313	0.315506533	0.319870899
chr1	53737729	53739637	0.681152901	0.27738331	0.753549702	0.813191331
chr1	144179071	144179313	0	0	0	0
chr1	156499825	156501268	0.003425282	0.024394196	0.017729078	0.043237935
chr1	228457406	228458733	0.737240552	0.023294249	0.352260218	0.006487373
chr1	247857028	247857950	0.716378867	0.031650197	0.837662733	0.803510564
chr1	28735	29737	0	0	0	0
chr1	135124	135563	0	0	0	0
chr1	199251	200121	0	0	0	0
chr1	368792	370063	0	0	0	0
chr1	381172	382185	0	0	0	0
chr1	491107	491546	0	0	0	0
chr1	597839	598734	0	0	0	0
chr1	609358	611269	0	0	0	0
chr1	778604	779167	0	0	0.014705882	0
chr1	827036	828065	0.010596286	0.009403037	0.014827929	0.027513986
chr1	853483	853831	0	0	0	0
chr1	866595	866958	0	0	0	0
chr1	869818	870248	0	0	0	0
chr1	904314	905239	0.103212577	0.269896699	0.12881493	0.63167976
chr1	908919	910503	0.616649251	0.862295752	0.711364599	0.975181008
chr1	919385	919593	0.588012935	0.949879736	0.25661419	0.875557239
chr1	923590	926252	0.03866242	0.326851503	0.096377242	0.531965234
chr1	933952	934964	0	0.25	0.125	0.9375
chr1	935577	935956	0.025111804	0.774344163	0.042826838	0.832598272
chr1	936259	936492	0.467374584	0.944697858	0.492199834	0.898781702
chr1	940225	942983	0.067196063	0.551597071	0.148784464	0.765392862
chr1	950976	951222	0.990162037	0.956891327	0.938082254	0.995192308
chr1	958933	967274	0.563376172	0.584529046	0.606866915	0.615287779
chr1	970916	971158	1	0.965079365	0.963089542	0.992857143
chr1	976046	979425	0.569838057	0.383870788	0.351162537	0.275501078
chr1	984346	984547	0.125	0.209607843	0.218095238	0.136363636
chr1	998007	1002030	0.147049005	0.202625193	0.292234297	0.222067327
chr1	1013290	1013514	0.010127714	0.007491909	0.004308623	0.006150794
chr1	1013949	1014471	0.039294323	0.641248527	0.019582807	0.685302062
chr1	1019388	1020963	0	0.083333333	0	0
chr1	1028415	1029127	0.937128854	0.96804802	0.954850575	0.968810325
chr1	1032586	1034858	0.931280788	0.965454724	0.956011138	0.965610708
chr1	1040116	1044925	0.946866643	0.959714178	0.952200961	0.967768413
chr1	1045688	1046020	0.960440544	0.953749007	0.936983861	0.94668064
chr1	1046772	1047131	0.95343554	0.962862671	0.947876365	0.937506011
chr1	1047794	1048232	1	0.96031746	0.951361741	0.956547619
chr1	1048826	1049049	0.996240602	0.94943341	0.953846154	1
chr1	1054894	1055314	0.9	0.82967033	0.841887524	0.775
chr1	1056298	1056699	0.777777778	0.8	0.95	1
chr1	1059056	1059923	0	0	0	0.003968254
chr1	1064298	1064531	0.022058824	0.064672331	0.054610959	0.07
chr1	1067283	1069938	0.421865825	0.572777488	0.638225812	0.793048916
chr1	1071836	1072253	0.972222222	1	0	0.705357143
chr1	1076129	1078022	0	0	0	0
chr1	1080679	1080980	0	0	0	0
chr1	1081483	1082059	0.880681498	0.965936014	0.892677404	0.945626784
chr1	1082719	1083010	0.94535017	0.955949235	0.957239978	0.963594399
chr1	1084438	1084646	0.883333333	1	0.967126623	0.933333333
chr1	1087763	1087967	0.974735473	0.935421358	0.972505702	0.969736315
chr1	1088695	1089234	0.982553236	0.95549187	0.938387817	0.969852335
chr1	1090997	1091245	0.988655462	0.941057605	0.994791667	1
chr1	1092129	1092350	0.962448123	0.968863707	0.958711773	0.935065757
chr1	1110664	1110960	0.947697214	0.931775773	0.960212446	0.962886057
chr1	1115135	1117065	0.036420512	0.050840224	0.04053417	0.187793303
chr1	1136989	1137467	0	0.873784138	0.866666667	0
chr1	1157831	1158096	0	0.548611111	0	0
chr1	1162663	1165204	0.014171871	0.054503996	0.638934211	0.871440214
chr1	1173934	1174765	0.948137083	0.927381306	0.662730576	0.881649695
chr1	1197447	1197838	0	0.9	0	0
chr1	1200980	1201776	0	0.357142857	0	0.8
chr1	1206290	1206770	0.162237762	0.740650194	0.576507008	0.908551631
chr1	1210188	1210498	0.665617284	0.891738901	0.815705712	0.94071044
chr1	1211328	1211534	0.958333333	1	0.925712387	0.885361552
chr1	1213675	1214144	0.168831169	0.813677127	0.613609641	0.982792208
chr1	1217142	1217754	0.954484011	0.960108658	0.960434157	0.973330313
chr1	1218404	1219039	0.956092822	0.957254107	0.97013799	0.976432431
chr1	1222937	1223222	0.942424013	0.891055579	0.956608288	0.972756948
chr1	1226579	1226901	0.964874119	0.979436213	0.961431986	0.974928904
chr1	1231621	1233605	0.666704831	0.54306831	0.661341793	0.755046981
chr1	1242505	1242827	0.805283094	0.807960666	0.808130044	0.94317316
chr1	1246376	1247090	0.585343228	0.676863354	0	0.926666667
chr1	1254016	1254865	0.944595886	0.97301313	0.957622835	0.972338211
chr1	1255142	1255419	0.963457557	0.955032132	0.950051931	0.967086261
chr1	1258981	1259378	0	0	0	0
chr1	1267786	1268084	0.958802839	0.957244918	0.950355487	0.974331813
chr1	1273135	1274437	0.033349259	0.040550323	0.011105207	0.103271389
chr1	1286017	1294783	0.67696419	0.896802966	0.768174539	0.918396746
chr1	1296481	1298279	0.955083476	0.973045177	0.916872989	0.958571429
chr1	1307020	1309805	0.075182112	0.203425814	0.148234644	0.413998077
chr1	1312606	1313113	0.937079181	0.928956951	0.934035208	0.964465024
chr1	1318942	1319168	0.938333333	0.926330532	0.858248518	0.893523553
chr1	1324263	1325255	0.016666667	0.006944444	0.023415978	0.029761905
chr1	1327285	1328040	0.929436306	0.922797968	0.931563566	0.939275424
chr1	1331705	1331906	0.412420829	0.978174802	0.869201538	0.932978128
chr1	1332055	1333606	0.269436623	0.94572567	0.641495765	0.96080891
chr1	1336045	1336694	0.863254393	0.939121347	0.908509594	0.977020757
chr1	1336997	1337254	0.925283196	0.975689673	0.973276417	0.977053437
chr1	1338106	1340460	0.971198269	0.94146007	0.955897057	0.958210846
chr1	1341237	1341468	0	0	0	0
chr1	1348553	1351571	0.098710317	0.175196372	0.129465259	0.164224757
chr1	1354327	1355746	0.877767823	0.767674584	0.766171408	0.964830414
chr1	1373760	1375659	0.216299344	0.18123791	0.141997127	0.255018593
chr1	1387264	1387544	0.97047397	0.956653162	0.946045781	0.976650564
chr1	1398691	1400222	0.017290939	0.01588229	0.015402119	0.027599643
chr1	1406728	1407555	0.003697013	0.01009208	0.011279962	0.030460998
chr1	1419779	1420620	0.314261592	0.892983507	0.910169428	0.958278789
chr1	1426180	1426407	0	0	0	0
chr1	1427516	1427953	0	0	0.687784679	0
chr1	1430792	1431014	0	1	0	0
chr1	1435560	1436069	0	0	0	0
chr1	1439081	1440204	0.966447014	0.92117916	0.84110403	0.896296917
chr1	1454175	1454509	0	0	0	0
chr1	1460705	1460958	0.753781513	0.901327084	0.919467278	0.761251218
chr1	1471464	1472441	0.011476502	0.007510446	0.011907042	0.012665496
chr1	1478654	1479152	0.970751862	0.957239802	0.956310202	0.979530644
chr1	1481905	1482373	0.926464878	0.980055129	0.96278892	0.956411305
chr1	1484846	1485304	0	0	0	0
chr1	1509208	1509469	0.981818182	0.986904762	0.928516918	0.900274725
chr1	1511498	1512825	0.006476395	0.01029296	0.018657346	0.014832572
chr1	1517321	1517819	0.955070059	0.965125663	0.950327474	0.972446412
chr1	1519922	1520512	0.967640922	0.961859331	0.947442282	0.967677922
chr1	1521449	1521694	0	0	0	1
chr1	1522574	1523649	1	1	0	0
chr1	1529128	1529426	0.857142857	0.92638233	0.99122807	0.983333333
chr1	1535224	1536210	0.949044507	0.942864741	0.944087581	0.960171295
chr1	1537727	1537962	0.933398927	0.960870761	0.926800304	0.9554545
chr1	1539582	1541289	0.981372167	0.962186042	0.698808258	0.982063492
chr1	1554152	1554414	0.910997981	0.875821155	0.838306668	0.977294348
chr1	1561381	1561606	0.923353321	0.968243729	0.946732085	0.978735369
chr1	1574102	1575367	0.019420039	0.010777638	0.006615519	0.012313363
chr1	1598951	1600756	0.885506117	0.55943396	0.725102188	0.860823422
chr1	1615073	1616635	0.02690307	0.017717421	0.014532037	0.114392728
chr1	1623207	1623979	0.924034903	0.982048216	0.956958401	0.956530547
chr1	1625400	1625675	0.980861244	0.959593069	0.960379173	1
chr1	1626669	1634630	0.808840637	0.873953868	0.821640737	0.95121963
chr1	1635670	1636108	0.893470081	0.925879252	0.908676605	0.963007747
chr1	1639975	1640670	0.865194308	0.968781332	0.927948062	0.981087559
chr1	1645016	1645234	0.891025641	0.920171958	0.88474026	0.952380952
chr1	1658612	1659481	0.010476474	0.013386569	0.01628479	0.036390837
chr1	1669542	1669792	0.947171677	0.887280654	0.957746816	0.975780613
chr1	1676459	1676804	0.959076045	0.960205956	0.939186827	0.931220163
chr1	1692087	1693628	0.02440317	0.014828736	0.011091679	0.008650171
chr1	1699647	1701787	0.769899286	0.850473594	0.876053649	0.948665015
chr1	1702813	1703251	0.896228737	0.897340417	0.901794294	0.973154555
chr1	1712154	1712372	1	0	0.825	1
chr1	1723956	1724792	0.009162641	0.014397198	0.01343392	0.033570488
chr1	1739317	1739662	0.972228138	0.953360854	0.943804282	0.967453729
chr1	1745362	1746894	0.008398348	0.013433003	0.020614942	0.013129339
chr1	1753934	1754532	0.924113925	0.941310715	0.956086472	0.95920201
chr1	1760328	1760624	0.934128323	0.953684077	0.937233901	0.96825027
chr1	1777955	1779143	0.001136364	0.014712097	0.072081857	0.241880623
chr1	1782200	1782702	0.581128966	0.952251652	0.942804355	0.957181285
chr1	1889966	1891833	0.007331224	0.018655211	0.010260589	0.02654916
chr1	1908519	1909162	0.02	0.024750712	0.053871557	0.271457219
chr1	1918659	1919952	0.316310242	0.202268521	0.089740941	0.668201375
chr1	1927807	1928084	0.721803546	0.876854153	0.701540403	0.906093122
chr1	1943276	1943576	0.424358974	0.846073249	0.724168242	0.896033399
chr1	1944178	1944438	0.029680122	0.04159132	0.038130563	0.081810889
chr1	1954905	1955431	0.895809402	0.856141858	0.796580759	0.937154335
chr1	1964975	1965189	0.567953896	0.775249714	0.652295009	0.716765873
chr1	1966142	1966347	0	0.63434246	0.406307234	0.292857143
chr1	1978829	1982361	0.749533017	0.849451436	0.802357437	0.804956411
chr1	2018972	2020040	0.312176274	0.310619088	0.669655279	0.784011253
chr1	2025607	2025947	0.491836261	0.836427173	0.783830852	0.87929129
chr1	2027975	2028428	0.696700832	0.828808325	0.681697248	0.79602587
chr1	2029503	2029709	0.611739873	0.850230878	0.737798632	0.739149265
chr1	2029968	2030411	0.709256694	0.857231273	0.782180199	0.855438646
chr1	2043247	2043503	0.304717341	0.963367651	0.703451627	0.926264881
chr1	2044684	2045207	0.113721805	0.406547619	0.317878788	0.487142857
chr1	2049812	2051773	0.118572222	0.04992635	0.163548306	0.593702271
chr1	2059340	2059732	0.945020302	0.945538808	0.948778452	0.967097884
chr1	2073740	2074126	0.975450674	0.981376503	0.957038377	0.964211253
chr1	2093766	2094786	0.962007009	0.959315775	0.952427197	0.957387787
chr1	2107116	2107424	0.873504117	0.904353617	0.835055308	0.866049397
chr1	2109558	2109863	0.935255953	0.888872824	0.908575131	0.921579783
chr1	2114990	2115426	0.963317024	0.962716006	0.940380408	0.925835758
chr1	2121722	2124405	0	0.4	0	0
chr1	2132343	2132613	0.811895128	0.079900804	0.024584656	0.903872245
chr1	2133189	2133740	0.963269054	0.171660482	0.048228804	0.977777778
chr1	2134928	2135227	0.945481223	0.916249642	0.964642282	0.915712819
chr1	2150875	2151090	0.939764136	0.942763427	0.849827688	0.946758627
chr1	2169414	2169746	0.978986981	0.957552238	0.959995706	0.969004349
chr1	2172837	2173047	0	0	0	0
chr1	2184993	2185362	0.9315578	0.962246031	0.971823207	0.971549144
chr1	2189578	2190379	0.043492063	0.72072204	0.052858714	0.868998245
chr1	2194449	2195203	0	0.01202381	0.012951845	0.002941176
chr1	2204478	2205912	0.232743015	0.711815842	0.358132791	0.939259736
chr1	2212760	2213058	0.025974026	0.194295446	0.002604167	0.46819742
chr1	2280581	2282442	0.955594002	0.928845945	0.925585572	0.961080586
chr1	2290759	2291130	0.015817805	0.887314167	0.011311617	0.822172424
chr1	2300871	2301178	0.891976075	0.825636699	0.938107657	0.900942556
chr1	2303869	2304228	0.978632479	0.939561954	0.932370537	0.954501728
chr1	2305003	2307630	0.955065334	0.960517669	0.952524348	0.955604806
chr1	2314275	2315647	0.187231318	0.39783795	0.268011497	0.685893185
chr1	2317876	2318195	0.939333087	0.967957904	0.899585801	0.954516907
chr1	2322284	2323319	0.474079411	0.753638378	0.636466083	0.875634712
chr1	2326658	2326984	0.756301653	0.831630869	0.757054615	0.763447972
chr1	2327625	2327887	0.827359733	0.850895906	0.856309918	0.818662465
chr1	2331745	2332031	0	0	0	0.9375
chr1	2334568	2334993	0.590344464	0.864457521	0.77265148	0.899148401
chr1	2344919	2345218	0.958818466	0.881190966	0.898328474	0.932877839
chr1	2372720	2372937	0.635886439	0.724397298	0.531375441	0.935607924
chr1	2384914	2385310	0.32920097	0.939876039	0.943811057	0.981761394
chr1	2391042	2392325	0	0.004595806	0.012111671	0.007116434
chr1	2402111	2402733	0.927769537	0.968060426	0.963872507	0.973591053
chr1	2408437	2408807	0.912240989	0.948563763	0.919609307	0.947227727
chr1	2411946	2413278	0.114087302	0.024468404	0.049180226	0.27569475
chr1	2414452	2414717	0.014394962	0.012332955	0.014878126	0.017817232
chr1	2428487	2428728	0	0.827029251	0.497852027	0.870557851
chr1	2433987	2434240	0.532143216	0.787317113	0.462197355	0.595413706
chr1	2440407	2440634	0.739213978	0.916757871	0.901767632	0.928721649
chr1	2443379	2444375	0.513598571	0.8196533	0.754535656	0.775239793
chr1	2456230	2456647	0.740740741	0	0.901031746	0
chr1	2467386	2467616	0	0.111111111	0	0.085714286
chr1	2478353	2478610	0.648809524	0.899144345	0.500819183	0.759880178
chr1	2479686	2479965	0.903744553	0.981381149	0.801615322	0.901749763
chr1	2483759	2484067	0	0.916666667	0.377777778	0
chr1	2502147	2502626	0	1	0.661904762	0.899047619
chr1	2503602	2503818	0	0	0	0
chr1	2504115	2504389	0	0	0	0
chr1	2508358	2508583	0.979591837	0.816666667	0.991666667	0.95
chr1	2508687	2509039	0.909951368	0.936989125	0.960747534	0.97426459
chr1	2513916	2514209	1	0.953571429	1	0.973861284
chr1	2518483	2518767	0.972777778	0.966875091	0.965174819	0.986388305
chr1	2519778	2520112	0.981385281	0.956442139	0.968147125	0.971013709
chr1	2521356	2521568	0.966666667	0.984541063	0.799134199	0.962638889
chr1	2525802	2526820	0.022429934	0.007928295	0.023356807	0.032745544
chr1	2529321	2530571	0.164285714	0.434863946	0.672386872	0.927460317
chr1	2535495	2535773	0	0.96	0.937142857	0
chr1	2540656	2541147	0	0	0	0
chr1	2546432	2546924	0	0	0.017938312	0.033333333
chr1	2585958	2587453	0	0.03598921	0.033333333	0.161935287
chr1	2595800	2596064	0.524507845	0.729155844	0.575863262	0.525258949
chr1	2606232	2606447	0.747557998	0.816503268	0.364583333	0.788636364
chr1	2628453	2629253	0.032967033	0.451225362	0	0.60952381
chr1	2642591	2643425	0.046875	0.015151515	0.014916608	0
chr1	2789460	2790396	0.64281258	0.257849854	0.830611827	0.968275657
chr1	2800176	2800668	0.730769231	0.804247835	0.745459851	0.751984127
chr1	2855561	2856100	0.43794753	0.388218432	0.526410342	0.73550433
chr1	2860592	2860796	0.186736554	0.712640069	0.274483634	0.721059289
chr1	2911220	2911729	0.477601207	0.563505894	0.5080373	0.736769294
chr1	2930491	2930723	0.465992795	0.807014299	0.478690308	0.678571567
chr1	2934100	2934308	0.536860876	0.730323743	0.443747341	0.676239303
chr1	2959980	2960243	0.021761327	0.118925255	0.010333688	0.09126072
chr1	2968497	2968719	0.228960248	0.380645008	0.239927222	0.665597257
chr1	2970024	2970358	0.306142987	0.762069903	0.465041096	0.650089278
chr1	3001801	3002189	0.181858695	0.497733965	0.130157151	0.281418277
chr1	3012591	3012812	0.382575758	0	0.542973934	0.200490196
chr1	3022069	3022479	0.183742787	0.555564686	0.338097891	0.582411605
chr1	3062711	3064194	0.546711958	0.827432484	0.824401421	0.895305891
chr1	3067361	3071398	0.720695308	0.392889318	0.763917653	0.670394738
chr1	3073466	3074154	0.718106515	0.642821661	0.759078382	0.970969427
