	McaM	McoM	Pvalue	OR	CI.upper	CI.lower	Logistic.P	Sens	Spec	AUC
BCAN_156616561	0.203315284002729	0.131194008294773	0.0188462573099748	5.29964937301334	10.3260315841742	1.40908965243043	0.0485795276588276	0.7	0.7	0.7425
BCAN_156616555	0.12970181135254	0.0716992488834682	0.0188462573099748	6.59021073262764	12.8526364348259	1.65850320647165	0.0485795276588276	0.85	0.55	0.7425
BCAN_156616536	0.161119713136391	0.0694175781884627	0.000201369785932343	12.8349527336833	22.318110305006	6.00076170385777	0.0383976753209457	0.9	0.75	0.8725
BCAN_156616519	0.399664431898981	0.376147748360082	0.816977900342225	0.652002686700964	2.93438714924789	-1.50664981635185	0.573274182070213	1	0.15	0.535
HOXA9_27204848	0.0439377001622651	0.0109688459618908	0.00330635572735491	42.981319517692	82.0100958227887	15.0318076840474	0.0404125079211709	0.736842105263158	0.894736842105263	0.803324099722992
HOXA9_27204854	0.0484870150113639	0.012951381818185	0.000502275017678606	35.7129337064687	67.5248307247796	12.5718757486687	0.0404125079211709	0.947368421052632	0.736842105263158	0.853185595567867
HOXA9_27204858	0.0574866206100998	0.0111042885678537	0.000278860196256337	53.6486580008561	97.9890091426522	23.4654890580433	0.0383976753209457	0.736842105263158	0.947368421052632	0.867036011080332
HOXA9_27204861	0.0619694772700133	0.0215290887692785	0.00102080996492662	20.1305994470931	38.8367896215146	6.22694941797357	0.0464009379632838	0.894736842105263	0.842105263157895	0.833795013850415
HOXA9_27204863	0.0439326991877285	0.0122610306134272	0.00225836203831077	41.5985416591706	74.8561647585128	14.910308513377	0.0383976753209457	0.684210526315789	0.947368421052632	0.814404432132964
HOXA9_27204879	0.0494988408017625	0.0138348876741924	0.00102080996492662	29.5309786472088	57.3798044505495	9.36208282963302	0.0464009379632838	0.842105263157895	0.736842105263158	0.833795013850415
HOXA9_27204884	0.0576594228562057	0.0167478600830314	0.000150727040266142	56.8662998197576	103.768215004635	25.9172838888423	0.0383976753209457	0.947368421052632	0.684210526315789	0.89196675900277
HOXA9_27204894	0.0851237525664854	0.0232136071073685	0.0000785010409230557	43.024523864421	80.4278349007796	17.6253029553049	0.0383976753209457	0.894736842105263	0.894736842105263	0.911357340720222
HOXA9_27204897	0.0976011874688946	0.0282513870290362	0.000213848113930331	17.9672965925793	33.6787694069789	7.39954460595009	0.0383976753209457	0.947368421052632	0.684210526315789	0.875346260387812
OTX1_63284100	0.165413528471246	0.142862261327964	0.834279794158396	1.96008196548281	6.47261252951262	-1.94661011822127	0.367647705995886	0.5	0.944444444444444	0.530555555555556
OTX1_63284093	0.0986019934530884	0.0768439366317289	0.795697978003751	5.13072851043611	13.3690948811527	-1.4056027052228	0.211125498739106	0.4	0.833333333333333	0.458333333333333
OTX1_63284083	0.0851387076388794	0.0687347012183106	0.919473274737069	3.60220577684247	11.3355887646714	-2.61664842291496	0.345025067797036	0.4	0.944444444444444	0.511111111111111
OTX1_63284081	0.134467596321133	0.170822942739081	0.170226122696444	-3.89167872406534	0.518456007889584	-9.14763276746229	0.144877901240601	0.5	1	0.65
OTX1_63284067	0.0808861118144629	0.051117006050177	0.170226122696444	9.37000291917986	22.5218751404297	0.976436919990553	0.119268772590661	0.5	0.888888888888889	0.65
OTX1_63284065	0.0729214569731466	0.0348572535357248	0.082674423212259	16.7730341452361	34.8980186473283	4.69763563228863	0.0527811911507734	0.55	1	0.688888888888889
OTX1_63284057	0.100744071919677	0.0784364343303064	0.749063199825425	3.90898261759978	10.8422908297978	-1.68176578766255	0.249924316459137	0.35	1	0.55
