	cpgname	genename	pvalue	pvalue.fdr	pvalue.bonferroni	effect
21235	cg06349174	STIM1	2.87837259565819E-134	7.19046258121372E-130	7.19046258121372E-130	0.1244161709
20979	cg24884084	SPRR1B	9.28273204078326E-129	1.15945964555403E-124	2.31891929110807E-124	0.4491967871
13105	cg21301148	MYH6	7.33873920067461E-127	6.11096813240175E-123	1.83329043972052E-122	0.4916218423
1050	cg11577097	AQP9	1.46196135572116E-124	9.1303141568176E-121	3.65212566272704E-120	0.3377055617
1049	cg11098259	AQP9	3.26826321044231E-122	1.63288966520119E-118	8.16444832600593E-118	0.4173803633
16661	cg09462575	PI3	1.27671883561997E-118	5.31561887210375E-115	3.18937132326225E-114	0.3920950308
11169	cg01318557	LAT2	1.96503802148828E-115	7.01265925925696E-112	4.90886148147988E-111	0.303438287
15329	cg26954174	NOD2	3.31878977521313E-113	1.03633359218249E-109	8.29066873745992E-109	0.2203228235
11270	cg19853760	LGALS1	3.24817081386592E-111	9.01583945568717E-108	8.11425551011846E-107	0.3137506317
23306	cg05125838	UCN2;COL7A1	9.62646427636817E-111	2.40478704087953E-107	2.40478704087953E-106	0.4522803262
15321	cg14209518	NNMT	1.85122755576288E-110	4.2041377791375E-107	4.62455155705125E-106	0.4911513372
8168	cg04511534	GGT6	3.46392166564545E-110	7.21101892745742E-107	8.6532227129489E-106	1.8913797446
18654	cg14391855	RIN1	3.3078711280766E-109	6.26717019719432E-106	8.26339286504816E-105	0.2424742171
15779	cg22719623	OPRM1	3.51228464676036E-109	6.26717019719432E-106	8.77403827607204E-105	2.1661614376
4245	cg10045881	CHI3L2	4.02748711636364E-109	6.70737704359201E-106	1.0061065565388E-104	0.4774531278
8201	cg05379350	GIT1	1.59309356220953E-108	2.48731689234727E-105	3.97970702775563E-104	0.3155592176
9741	cg00363813	IFFO1	3.57723359299371E-107	5.25663955215152E-104	8.93628723865759E-103	0.0659555068
5627	cg24641737	DENND2D	2.94070781185665E-106	4.08121232488839E-103	7.3461821847991E-102	0.3964498373
4244	cg26366091	CHI3L2	4.76581473691319E-106	6.26604304962254E-103	1.19054817942828E-101	0.3098055284
8540	cg26514492	GPR132	2.02336060146013E-104	2.52727855925378E-101	5.05455711850756E-100	0.4081851868
