GeneSymbol|GeneID,Chromosome,Start,End,Coordination,MRNA-Chr,MRNA-Start,MRNA-End,NMID,Genesymbol,Chain,V11,V12,V13,V14,mean.A,mean.B,delta,Pvalue.ttest,p.adjust.BH,Pvalue.wilcox,a.shapiro.pvalue,b.shapiro.pvalue
AATF|26574,chr17,35299413,35299635,chr17:35299413-35299635,chr17,35286174,35302174,NM_012138,AATF,+,Enhancer,35306174,Enhancer,222,1775.4709909229,808.2996769793,967.1713139435,9.77209656135806E-11,2.55255616413794E-09,4.33328791092173E-07,0.0356224844,0.0425787705
NOP2|4839,chr12,6665342,6665491,chr12:6665342-6665491,chr12,6664036,6666036,NM_006170,NOP2,-,Downstream,6677480,Downstream,149,999.9788736565,487.7162973541,512.2625763024,4.57421697245435E-09,6.18664352183532E-08,4.33328791092173E-07,0.0003831793,0.0251362964
NOP2|4839.1,chr12,6665342,6665491,chr12:6665342-6665491,chr12,6664036,6666036,NM_001033714,NOP2,-,Downstream,6677480,Downstream,149,999.9788736565,487.7162973541,512.2625763024,4.57421697245435E-09,6.18664352183532E-08,4.33328791092173E-07,0.0003831793,0.0251362964
OTX1|5013.2,chr2,63284029,63284210,chr2:63284029-63284210,chr2,63283451,63286303,NM_014562,OTX1,+,Downstream,63277964,Downstream,181,58.776989556,2.4167673923,56.3602221637,6.2803217140741E-08,5.76918501618145E-07,1.51213692724873E-07,0.000066978,0.0001021186
OTX1|5013,chr2,63284029,63284210,chr2:63284029-63284210,chr2,63282635,63284303,NM_014562,OTX1,+,Exon5,63277964,Exon,181,58.776989556,2.4167673923,56.3602221637,6.2803217140741E-08,5.76918501618145E-07,1.51213692724873E-07,0.000066978,0.0001021186
OTX1|5013.1,chr2,63284029,63284210,chr2:63284029-63284210,chr2,63283451,63284303,NM_014562,OTX1,+,UTR3,63277964,UTR3,181,58.776989556,2.4167673923,56.3602221637,6.2803217140741E-08,5.76918501618145E-07,1.51213692724873E-07,0.000066978,0.0001021186
PELP1|27043,chr17,4615035,4615197,chr17:4615035-4615197,chr17,4611632,4627632,NM_014389,PELP1,-,Enhancer,4607632,Enhancer,162,1776.1000430129,992.7295899251,783.3704530878,8.97051333724037E-07,5.63049860369557E-06,4.8984208759711E-05,0.0013678256,0.2587396608
SPEG|10290.1,chr2,220299580,220299790,chr2:220299580-220299790,chr2,220299699,220300087,NM_005876,SPEG,+,Exon1,220299699,Exon,91,931.7952809319,24.2103160501,907.5849648818,3.36236725658206E-06,0.000017678,5.98084008538676E-07,2.44936185354645E-06,0.0146588014
SPEG|10290.2,chr2,220299580,220299790,chr2:220299580-220299790,chr2,220295699,220300699,NM_005876,SPEG,+,Promoter,220299699,Promoter,210,931.7952809319,24.2103160501,907.5849648818,3.36236725658206E-06,0.000017678,5.98084008538676E-07,2.44936185354645E-06,0.0146588014
SPEG|10290,chr2,220299580,220299790,chr2:220299580-220299790,chr2,220299699,220299699,NM_005876,SPEG,+,UTR5,220299699,UTR5,0,931.7952809319,24.2103160501,907.5849648818,3.36236725658206E-06,0.000017678,5.98084008538676E-07,2.44936185354645E-06,0.0146588014
MNX1|3110.1,chr7,156798076,156798326,chr7:156798076-156798326,chr7,156797546,156798567,NM_005515,MNX1,-,Exon3,156803347,Exon,250,110.2105533653,0.3560482176,109.8545051477,0.000021003,8.63808000559296E-05,4.28814949518296E-08,1.24117468095786E-09,0.0001876276
MNX1|3110.3,chr7,156798076,156798326,chr7:156798076-156798326,chr7,156797546,156798567,NM_001165255,MNX1,-,Exon3,156802129,Exon,250,110.2105533653,0.3560482176,109.8545051477,0.000021003,8.63808000559296E-05,4.28814949518296E-08,1.24117468095786E-09,0.0001876276
MNX1|3110,chr7,156798076,156798326,chr7:156798076-156798326,chr7,156797546,156798213,NM_005515,MNX1,-,UTR3,156803347,UTR3,137,110.2105533653,0.3560482176,109.8545051477,0.000021003,8.63808000559296E-05,4.28814949518296E-08,1.24117468095786E-09,0.0001876276
MNX1|3110.2,chr7,156798076,156798326,chr7:156798076-156798326,chr7,156797546,156798213,NM_001165255,MNX1,-,UTR3,156802129,UTR3,137,110.2105533653,0.3560482176,109.8545051477,0.000021003,8.63808000559296E-05,4.28814949518296E-08,1.24117468095786E-09,0.0001876276
MED11|400569,chr17,4615035,4615197,chr17:4615035-4615197,chr17,4614722,4630722,NM_001001683,MED11,+,Enhancer,4634722,Enhancer,162,295.9903651315,440.2101706297,-144.2198054983,2.47199341799462E-05,9.99261603954469E-05,0.0005760948,0.000064669,0.1446749266
SHOX2|6474,chr3,157812230,157812497,chr3:157812230-157812497,chr3,157811800,157813800,NM_006884,SHOX2,-,Downstream,157823952,Downstream,267,13.5220658751,0.989007376,12.5330584991,3.99633453517892E-05,0.0001508249,6.52024415346504E-06,4.38706694987745E-07,0.014987364
SHOX2|6474.1,chr3,157812230,157812497,chr3:157812230-157812497,chr3,157811800,157813800,NM_003030,SHOX2,-,Downstream,157823952,Downstream,267,13.5220658751,0.989007376,12.5330584991,3.99633453517892E-05,0.0001508249,6.52024415346504E-06,4.38706694987745E-07,0.014987364
SHOX2|6474.2,chr3,157812230,157812497,chr3:157812230-157812497,chr3,157811800,157813800,NM_001163678,SHOX2,-,Downstream,157823952,Downstream,267,13.5220658751,0.989007376,12.5330584991,3.99633453517892E-05,0.0001508249,6.52024415346504E-06,4.38706694987745E-07,0.014987364
ZIC5|85416,chr13,100627247,100627410,chr13:100627247-100627410,chr13,100623178,100628178,NM_033132,ZIC5,-,Promoter,100624178,Promoter,163,68.7268632692,0.7016847092,68.02517856,7.78446599316977E-05,0.0002714844,8.24272609805643E-05,2.92779388484368E-06,3.87293434929653E-05
PEG3|5178.12,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57340374,57356374,NM_001146186,PEG3,-,Enhancer,57336374,Enhancer,268,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57347473,57351949,NM_001146187,PEG3,-,Intron1,57352094,Intron,268,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.2,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57347473,57351949,NM_006210,PEG3,-,Intron1,57352094,Intron,268,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.4,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57347473,57351949,NM_001146185,PEG3,-,Intron1,57352094,Intron,268,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.6,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57347473,57351949,NM_001146184,PEG3,-,Intron1,57352094,Intron,268,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.1,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57351094,57356094,NM_001146187,PEG3,-,Promoter,57352094,Promoter,101,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.3,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57351094,57356094,NM_006210,PEG3,-,Promoter,57352094,Promoter,101,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.5,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57351094,57356094,NM_001146185,PEG3,-,Promoter,57352094,Promoter,101,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.7,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57351094,57356094,NM_001146184,PEG3,-,Promoter,57352094,Promoter,101,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.8,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57335645,57352094,NM_001146187,PEG3,-,UTR5,57352094,UTR5,268,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.9,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57336023,57352094,NM_006210,PEG3,-,UTR5,57352094,UTR5,268,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.10,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57335645,57352094,NM_001146185,PEG3,-,UTR5,57352094,UTR5,268,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
PEG3|5178.11,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57336023,57352094,NM_001146184,PEG3,-,UTR5,57352094,UTR5,268,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
ZIC2|7546,chr13,100627247,100627410,chr13:100627247-100627410,chr13,100614318,100630318,NM_007129,ZIC2,+,Enhancer,100634318,Enhancer,163,150.0951011548,4.951379587,145.1437215678,0.0001421135,0.0004612287,0.0019840388,1.22538665966437E-06,1.39935495036247E-05
GRIN1|2902,chr9,140051074,140051260,chr9:140051074-140051260,chr9,140051120,140051242,NM_007327,GRIN1,+,Exon5,140033608,Exon,122,17.1447886762,0.6147177815,16.5300708947,0.0001634006,0.0005224697,2.18921316333025E-07,3.99399001536265E-08,0.0004511191
GRIN1|2902.2,chr9,140051074,140051260,chr9:140051074-140051260,chr9,140051120,140051242,NM_000832,GRIN1,+,Exon5,140033608,Exon,122,17.1447886762,0.6147177815,16.5300708947,0.0001634006,0.0005224697,2.18921316333025E-07,3.99399001536265E-08,0.0004511191
GRIN1|2902.4,chr9,140051074,140051260,chr9:140051074-140051260,chr9,140051120,140051242,NM_021569,GRIN1,+,Exon5,140033608,Exon,122,17.1447886762,0.6147177815,16.5300708947,0.0001634006,0.0005224697,2.18921316333025E-07,3.99399001536265E-08,0.0004511191
GRIN1|2902.6,chr9,140051074,140051260,chr9:140051074-140051260,chr9,140043562,140051120,NM_007327,GRIN1,+,Intron4,140033608,Intron,46,17.1447886762,0.6147177815,16.5300708947,0.0001634006,0.0005224697,2.18921316333025E-07,3.99399001536265E-08,0.0004511191
GRIN1|2902.7,chr9,140051074,140051260,chr9:140051074-140051260,chr9,140043562,140051120,NM_000832,GRIN1,+,Intron4,140033608,Intron,46,17.1447886762,0.6147177815,16.5300708947,0.0001634006,0.0005224697,2.18921316333025E-07,3.99399001536265E-08,0.0004511191
GRIN1|2902.8,chr9,140051074,140051260,chr9:140051074-140051260,chr9,140043562,140051120,NM_021569,GRIN1,+,Intron4,140033608,Intron,46,17.1447886762,0.6147177815,16.5300708947,0.0001634006,0.0005224697,2.18921316333025E-07,3.99399001536265E-08,0.0004511191
GRIN1|2902.1,chr9,140051074,140051260,chr9:140051074-140051260,chr9,140051243,140051314,NM_007327,GRIN1,+,Intron5,140033608,Intron,17,17.1447886762,0.6147177815,16.5300708947,0.0001634006,0.0005224697,2.18921316333025E-07,3.99399001536265E-08,0.0004511191
GRIN1|2902.3,chr9,140051074,140051260,chr9:140051074-140051260,chr9,140051243,140051314,NM_000832,GRIN1,+,Intron5,140033608,Intron,17,17.1447886762,0.6147177815,16.5300708947,0.0001634006,0.0005224697,2.18921316333025E-07,3.99399001536265E-08,0.0004511191
GRIN1|2902.5,chr9,140051074,140051260,chr9:140051074-140051260,chr9,140051243,140051314,NM_021569,GRIN1,+,Intron5,140033608,Intron,17,17.1447886762,0.6147177815,16.5300708947,0.0001634006,0.0005224697,2.18921316333025E-07,3.99399001536265E-08,0.0004511191
HOXA6|3203,chr7,27204806,27205072,chr7:27204806-27205072,chr7,27191368,27207368,NM_024014,HOXA6,-,Enhancer,27187368,Enhancer,266,4.0045592011,0.2454025052,3.7591566959,0.0002472919,0.0007495053,0.0173173825,2.1286705277461E-06,1.86438584597517E-05
HOXD8|3234,chr2,176985481,176985673,chr2:176985481-176985673,chr2,176974476,176990476,NM_019558,HOXD8,+,Enhancer,176994476,Enhancer,192,14.0306630684,2.9472568507,11.0834062177,0.0004673486,0.0013149989,0.0012373658,2.34242019041756E-06,0.0012184829
HOXD9|3235,chr2,176985481,176985673,chr2:176985481-176985673,chr2,176983412,176988412,NM_014213,HOXD9,+,Promoter,176987412,Promoter,192,24.8470928385,1.8265949216,23.020497917,0.0006294893,0.0017181661,0.0013961109,1.43094470598545E-07,0.0668162012
AHRR|57491,chr5,374201,374465,chr5:374201-374465,chr5,354027,376724,NM_020731,AHRR,+,Intron3,304290,Intron,264,50.2386196385,11.4848277121,38.7537919265,0.000747436,0.0019996883,0.0005760948,6.28724411525468E-08,0.0444101293
