	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7
cg08139247	chr14	38725162	38725463	0.0227768293797706	4.85897621974473e-05	0.00146667196340129	1.32124770941859	CLEC14A	chr14	38725312	38725313	cg08139247	CLEC14A	Island	I
cg06966811	chr14	57276639	57276940	0.0186307137307137	0.00049701458768961	0.00170068867015282	1.31313441081063	OTX2	chr14	57276789	57276790	cg06966811	OTX2	Island	I
cg18105139	chr6	28058706	28059007	0.0128359083726731	0.00112367626032047	0.00191159987330697	1.16944658739085	ZSCAN12L1	chr6	28058856	28058857	cg18105139	ZSCAN12L1	CpG_Ocean	I
cg11878182	chr8	102217572	102217873	0.00494733044733045	-2.29022611375553e-05	0.000317260632929704	0.746810830214798	ZNF706	chr8	102217722	102217723	cg11878182	ZNF706	Island	I
cg14565725	chr1	119531894	119532195	0.00697294094794095	0.00019725519797264	0.000640522945364848	0.717551212740011	TBX15	chr1	119532044	119532045	cg14565725	TBX15	Island	I
cg23683588	chr14	37136133	37136434	0.00308150183150183	8.73259754745099e-06	0.000172422017152031	0.683915626965665	PAX9	chr14	37136283	37136284	cg23683588	PAX9	Island	I
cg00014998	chr2	177014812	177015113	0.00433030303030303	8.80179996414151e-05	0.000308332797218712	0.67708994526359	HOXD4	chr2	177014962	177014963	cg00014998	HOXD4	Island	II
cg02631126	chr6	28058768	28059069	0.00492287712287712	6.81524021859189e-05	0.00037594972030066	0.543924463981546	ZSCAN12L1	chr6	28058918	28058919	cg02631126	ZSCAN12L1	CpG_Ocean	I
cg06365535	chr17	59533952	59534253	0.00668614718614719	-4.68250348769759e-05	0.000334342846881487	0.539485671364212	TBX4	chr17	59534102	59534103	cg06365535	TBX4	Island	I
cg14314744	chr6	100897295	100897596	0.0104042207792208	-1.37261234817677e-05	0.00062978442582941	0.531315900712034	SIM1	chr6	100897445	100897446	cg14314744	SIM1	Island	I
cg11668749	chr1	229568210	229568511	0.00873003809915575	-6.98034738107413e-05	0.000556961332627481	0.523528265971042	ACTA1	chr1	229568360	229568361	cg11668749	ACTA1	Island	I
cg27177554	chr10	16561952	16562253	0.00306105006105006	3.05945542444728e-05	0.000218451153187984	0.509543218094185	C1QL3	chr10	16562102	16562103	cg27177554	C1QL3	Island	I
cg17849569	chr6	28058761	28059062	0.00715366212734634	0.000404180302779673	0.000844396840499815	0.508387475568695	ZSCAN12L1	chr6	28058911	28058912	cg17849569	ZSCAN12L1	CpG_Ocean	I
cg15084543	chr1	79472258	79472559	0.00733146853146853	-5.84524397294207e-05	0.000371107862531547	0.471465852623687	ELTD1	chr1	79472408	79472409	cg15084543	ELTD1	Island	I
cg22400015	chr2	220196564	220196865	0.0061976023976024	2.40507908291844e-05	0.000470079436002357	0.438622578105782	RESP18	chr2	220196714	220196715	cg22400015	RESP18	Island	I
cg05021643	chr2	177029458	177029759	0.00564615384615385	3.98555991061016e-05	0.000394602521663822	0.400174732152238	HOXD3	chr2	177029608	177029609	cg05021643	HOXD3	Island	I
cg26094789	chr14	37135436	37135737	0.00640567210567211	7.04480695877083e-05	0.00045747427647262	0.397303553124582	PAX9	chr14	37135586	37135587	cg26094789	PAX9	Island	I
cg03255182	chr12	54423416	54423717	0.00545252525252525	4.72275787408234e-05	0.00034888542165582	0.387429587262536	HOXC4	chr12	54423566	54423567	cg03255182	HOXC4	Island	I
cg14462779	chr10	76803519	76803820	0.00377226107226107	-6.94270808630768e-05	0.000159146461659767	0.372040315029321	DUPD1	chr10	76803669	76803670	cg14462779	DUPD1	Island	I
cg12597389	chr7	8482085	8482386	0.00474358974358974	0.000191128735122399	0.000472653455226225	0.361049740796607	NXPH1	chr7	8482235	8482236	cg12597389	NXPH1	Island	I
cg20945085	chr2	74875077	74875378	0.00147094017094017	2.40798198632014e-05	0.000108930361391035	0.357201050094489	C2orf65	chr2	74875227	74875228	cg20945085	C2orf65	Island	I
cg17019053	chr2	74875113	74875414	0.00281118881118881	1.92616372391654e-07	0.000176906050143598	0.328049273555869	C2orf65	chr2	74875263	74875264	cg17019053	C2orf65	Island	I
cg10659886	chr19	58629569	58629870	0.00505050505050505	0.000130425926405682	0.000392648251736079	0.324695254622163	ZSCAN18	chr19	58629719	58629720	cg10659886	ZSCAN18	Island	I
cg08206318	chr5	134363487	134363788	0.00318181818181818	-2.34251251427425e-05	0.000131583757670714	0.318590575071451	PITX1	chr5	134363637	134363638	cg08206318	PITX1	Island	II
cg17104824	chr2	177014809	177015110	0.00413492063492063	-4.51705246708044e-05	0.000170410991494432	0.314294010293473	HOXD4	chr2	177014959	177014960	cg17104824	HOXD4	Island	II
cg09523275	chr6	28226943	28227244	0.0037995337995338	-3.50972104818259e-05	0.000239497635465377	0.296394751587835	NKAPL	chr6	28227093	28227094	cg09523275	NKAPL	Island	II
cg14424407	chr17	36734688	36734989	0.00517777777777778	-3.45931222335717e-05	0.00020932693515232	0.283230003608435	SRCIN1	chr17	36734838	36734839	cg14424407	SRCIN1	Island	II
cg21299542	chr4	111550257	111550558	0.000917482517482518	-2.25988700564972e-05	3.19221967963387e-05	0.276658174229344	PITX2	chr4	111550407	111550408	cg21299542	PITX2	S_Shore	II
cg07974511	chr2	63282863	63283164	0.0023018648018648	7.37995966692312e-05	0.000219333763275725	0.268453970199821	OTX1	chr2	63283013	63283014	cg07974511	OTX1	Island	I
cg08032924	chr16	66612946	66613247	0.00708787878787879	-3.40494647471392e-05	0.000383860018369245	0.266095819326741	CMTM2	chr16	66613096	66613097	cg08032924	CMTM2	Island	I
cg18115040	chr2	176981178	176981479	0.00548358308358308	6.54467289666913e-05	0.000399685560087282	0.261791981772956	HOXD10	chr2	176981328	176981329	cg18115040	HOXD10	Island	I
cg15416877	chr6	108492619	108492920	0.00150769230769231	1.37165063918249e-05	0.000129892980690651	0.256748680028822	NR2E1	chr6	108492769	108492770	cg15416877	NR2E1	S_Shore	II
cg24541426	chr2	177029309	177029610	0.000174603174603175	0.000148330213012568	0.000151576737350086	0.256461464035882	HOXD3	chr2	177029459	177029460	cg24541426	HOXD3	Island	I
cg27615378	chr9	70918741	70919042	0.00354910644910645	0.000106897444043742	0.000330159137997637	0.238122294472688	FOXD4L3	chr9	70918891	70918892	cg27615378	FOXD4L3	Island	I
cg27364741	chr2	63280919	63281220	0.00613146853146853	-2.35294117647059e-05	0.000378274307059096	0.234781183779425	OTX1	chr2	63281069	63281070	cg27364741	OTX1	Island	I
