	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35
1	chr5	88179963	88180074	2	chr5	88179963	88180074	4	111	chr5	88179841	88180002	2	39	chr5	88179146	88328193	MEF2C-AS1	NR_109941	111	chr5	88179989	88179990	cg25611476	MEF2C	Island	II	0.000000000000248635521415001	0.0766953210967659	0.0773556158877998	-0.000660294791033855	0.991464164773873	0.0581793292265571	0.0198494182067077	1
2	chr5	88179963	88180074	2	chr5	88179963	88180074	4	111	chr5	88179841	88180002	2	39	chr5	88014057	88199922	MEF2C	NM_001131005	111	chr5	88179989	88179990	cg25611476	MEF2C	Island	II	0.000000000000248635521415001	0.0766953210967659	0.0773556158877998	-0.000660294791033855	0.991464164773873	0.0581793292265571	0.0198494182067077	1
3	chr5	88179963	88180074	2	chr5	88179963	88180074	4	111	chr5	88179841	88180002	2	39	chr5	88014057	88199922	MEF2C	NM_001193347	111	chr5	88179989	88179990	cg25611476	MEF2C	Island	II	0.000000000000248635521415001	0.0766953210967659	0.0773556158877998	-0.000660294791033855	0.991464164773873	0.0581793292265571	0.0198494182067077	1
4	chr10	115323240	115323363	7	chr10	115323240	115323363	21	123	chr10	115323240	115323363	1	123	chr10	115312777	115349360	HABP2	NM_004132	123	.	-1	-1	.	-1	.	.	.	.	.	.	.	.	.	0
5	chr10	115323240	115323363	7	chr10	115323240	115323363	21	123	chr10	115323240	115323363	1	123	chr10	115310589	115349360	HABP2	NM_001177660	123	.	-1	-1	.	-1	.	.	.	.	.	.	.	.	.	0
6	chr1	36397196	36397486	1	chr1	36397457	36397646	10	29	chr1	36397092	36397214	1	18	chr1	36396682	36522063	AGO3	NM_024852	290	chr1	36397261	36397262	cg11089071	EIF2C3	Island	II	0.0001618289525329	0.0814192335844241	0.0933245704714934	-0.0119053368870693	0.872430841878819	0	0.000684462696783025	1
7	chr1	36397196	36397486	1	chr1	36397457	36397646	10	29	chr1	36397092	36397214	1	18	chr1	36396682	36522063	AGO3	NM_177422	290	chr1	36397261	36397262	cg11089071	EIF2C3	Island	II	0.0001618289525329	0.0814192335844241	0.0933245704714934	-0.0119053368870693	0.872430841878819	0	0.000684462696783025	1
8	chr17	34136750	34136814	2	chr17	34136750	34136814	2	64	chr17	34136540	34136766	1	16	chr17	34136458	34174246	TAF15	NM_139215	64	.	-1	-1	.	-1	.	.	.	.	.	.	.	.	.	0
9	chr17	34136750	34136814	2	chr17	34136750	34136814	2	64	chr17	34136540	34136766	1	16	chr17	34136458	34174246	TAF15	NM_003487	64	.	-1	-1	.	-1	.	.	.	.	.	.	.	.	.	0
10	chr15	66797218	66797971	8	chr15	66797003	66797226	14	8	chr15	66797218	66797971	3	753	chr15	66797420	66841822	ZWILCH	NM_001287823	551	chr15	66797229	66797230	cg11846912	ZWILCH	NA	II	0.0828882119272491	0.0876193769656868	0.0958906925543312	-0.0082713155886444	0.91374224788336	0	0	1
