CpG Site	P-value	Delta Beta	Beta Ratio	RA	HP	Chrosome	Start	End	Gene	CpG Island	Probe type
cg00006032	1.26E-07	-0.007	0.872	0.04835834	0.055474271	chr14	66974439	66974440	GPHN	Island	II
cg00011247	2.76E-07	-0.007	0.605	0.010014009	0.016565715	chr8	64081001	64081002	YTHDF3	Island	I
cg00020622	1.42E-07	0.006	1.373	0.021785778	0.015862641	chr2	144694680	144694681	cg00020622	Island	I
cg00029246	2.38E-07	0.066	1.134	0.560268408	0.4940369	chr7	137223417	137223418	DGKI	NA	II
cg00031967	3.03E-07	-0.007	0.698	0.016616933	0.023801522	chr7	43769114	43769115	C7orf44	Island	I
cg00033877	2.11E-07	0.057	1.086	0.711588583	0.65503935	chr13	113419845	113419846	ATP11A	N_Shore	II
cg00039147	5.82E-08	0.03	1.05	0.6299053	0.599944292	chr17	35194628	35194629	cg00039147	NA	II
cg00054890	6.41E-08	-0.011	0.988	0.855161108	0.8658204	chr7	98632054	98632055	SMURF1	N_Shore	II
cg00063982	1.94E-07	-0.033	0.96	0.7940747	0.827293908	chr1	53040491	53040492	cg00063982	NA	II
cg00069771	1.92E-07	-0.365	0.593	0.531472083	0.896186933	chr1	233089275	233089276	C1orf57	S_Shelf	II
cg00084398	1.74E-08	0.021	1.034	0.658438217	0.637082933	chr6	43249983	43249984	TTBK1	N_Shore	II
cg00085448	2.21E-07	-0.004	0.932	0.056695113	0.060809277	chr12	113416442	113416443	OAS2	NA	II
cg00092611	1.99E-07	-0.005	0.616	0.007434662	0.012070353	chr10	28821682	28821683	WAC	Island	I
cg00097626	3.82E-08	-0.004	0.537	0.005107953	0.009508783	chr1	205782249	205782250	SLC41A1	Island	I
cg00103771	6.61E-10	-0.642	0.238	0.200023831	0.842154983	chr6	32525805	32525806	HLA-DRB6	NA	II
cg00112251	1.75E-07	-0.013	0.731	0.034993103	0.047887711	chr1	19924203	19924204	C1orf151	S_Shore	II
cg00119197	3.13E-07	-0.014	0.662	0.026651977	0.040276768	chr4	103422974	103422975	NFKB1	Island	I
cg00120172	9.91E-08	0.02	1.022	0.926329067	0.906819758	chrX	77042539	77042540	ATRX	S_Shore	II
cg00126034	4.84E-08	0.005	1.115	0.045931804	0.041179643	chr17	44896162	44896163	WNT3	Island	II
cg00130180	1.48E-07	-0.031	0.956	0.688384967	0.719854983	chr2	242625439	242625440	DTYMK	N_Shore	II
cg00130530	3.34E-07	-0.083	0.868	0.541222708	0.623799725	chr6	35657202	35657203	FKBP5	S_Shore	II
cg00137629	3.07E-07	-0.022	0.971	0.7290466	0.750815067	chr7	65445384	65445385	GUSB	N_Shore	II
cg00139517	4.87E-08	-0.025	0.972	0.871563492	0.896484683	chr8	50904638	50904639	SNTG1	NA	II
cg00154064	3.07E-08	-0.007	0.641	0.012026417	0.018756945	chr1	249153132	249153133	ZNF692	Island	I
cg00154455	1.02E-07	0.017	1.022	0.818417492	0.8009555	chr8	146023573	146023574	ZNF517	N_Shore	II
cg00164196	5.09E-08	-0.008	0.859	0.048801828	0.056833028	chr2	162095477	162095478	cg00164196	Island	II
cg00186414	1.85E-07	0.003	1.324	0.012955282	0.00978158	chr6	105851244	105851245	PREP	Island	I
cg00193902	1.13E-07	-0.015	0.982	0.865735667	0.881174417	chr7	98579722	98579723	TRRAP	S_Shore	II
cg00202829	7.79E-08	-0.04	0.864	0.254995225	0.295167833	chr15	74609868	74609869	CCDC33	NA	II
cg00211215	1.60E-07	0.661	3.386	0.938594708	0.277210325	chr6	32552246	32552247	HLA-DRB1	Island	I
cg00215801	5.60E-08	0.013	1.139	0.108458225	0.09522165	chr6	34855797	34855798	TAF11	Island	I
cg00217461	2.66E-07	0.016	1.246	0.07950077	0.063792104	chr1	244997292	244997293	FAM36A	N_Shore	II
cg00218893	1.04E-07	-0.065	0.869	0.430855583	0.4956597	chr17	73073239	73073240	cg00218893	N_Shore	II
cg00226265	2.15E-07	0.005	1.005	0.98330515	0.978683933	chr6	32134490	32134491	EGFL8	Island	I
cg00232388	2.28E-07	-0.372	0.584	0.523103308	0.895391117	chr17	928957	928958	ABR	S_Shelf	II
cg00240732	4.58E-08	0.091	1.284	0.412767842	0.321458608	chr7	70923396	70923397	WBSCR17	NA	II
cg00245492	1.34E-08	-0.028	0.963	0.744735533	0.773121933	chr1	240370865	240370866	FMN2	Island	II
cg00248804	3.26E-10	-0.004	0.559	0.005699291	0.010194269	chr17	14202916	14202917	cg00248804	Island	I
cg00252654	6.28E-08	-0.009	0.778	0.031804412	0.040889124	chr19	36980732	36980733	ZNF566	Island	II
cg00255405	1.93E-07	-0.021	0.806	0.086571584	0.107469969	chr1	179335598	179335599	C1orf125	S_Shore	II
cg00256329	5.50E-09	0.633	3.668	0.870385642	0.237310243	chr17	724374	724375	NXN	NA	II
cg00257202	2.47E-07	-0.009	0.666	0.018517165	0.027783415	chr4	2263672	2263673	MXD4	Island	I
cg00264578	1.12E-07	-0.013	0.985	0.856271883	0.869408925	chr20	59864534	59864535	CDH4	N_Shore	II
cg00265578	5.28E-08	-0.004	0.533	0.004245751	0.007959438	chr17	27895564	27895565	TP53I13	Island	I
cg00266647	1.84E-07	0.027	1.048	0.582345692	0.555521858	chr12	976027	976028	WNK1	NA	II
cg00270799	8.88E-08	0.119	1.536	0.339953675	0.221277667	chr8	8580453	8580454	cg00270799	N_Shore	II
cg00290039	1.95E-07	0.018	1.02	0.914042275	0.89628565	chr3	197106029	197106030	cg00290039	NA	II
cg00294109	1.63E-07	-0.027	0.695	0.061253204	0.088091704	chr3	3219781	3219782	CRBN	N_Shore	II
cg00298020	1.44E-07	0.002	1.739	0.004804251	0.002762869	chr1	52870154	52870155	ORC1L	Island	I
cg00300039	1.01E-07	-0.007	0.602	0.010272269	0.017059038	chr1	38397432	38397433	INPP5B	Island	I
cg00321234	2.54E-07	-0.055	0.923	0.660328417	0.715267108	chr4	141217605	141217606	SCOC	NA	II
cg00324161	2.36E-08	0.047	1.471	0.147826125	0.100509385	chr3	156009680	156009681	KCNAB1	S_Shore	II
cg00346145	1.93E-07	-0.011	0.825	0.052727924	0.063910993	chr4	109541559	109541560	RPL34	NA	II
cg00346266	5.44E-08	0.033	1.039	0.868529483	0.835884408	chr5	74906150	74906151	cg00346266	N_Shore	II
cg00347616	3.11E-07	-0.01	0.638	0.017586133	0.027583413	chr2	114647416	114647417	ACTR3	N_Shore	I
cg00349061	1.65E-07	0.057	1.124	0.521019025	0.463528592	chr1	26371865	26371866	SLC30A2	N_Shore	I
cg00353337	8.13E-08	-0.049	0.921	0.565996708	0.614713175	chr6	32531583	32531584	cg00353337	NA	II
cg00363080	8.65E-08	-0.025	0.784	0.090113936	0.114935025	chr10	1454292	1454293	ADARB2	NA	II
cg00374672	3.50E-09	0.056	1.112	0.552454308	0.496663208	chr7	100463416	100463417	SLC12A9	N_Shore	II
cg00392832	2.72E-07	0.006	1.174	0.037245927	0.031730794	chr3	121553985	121553986	IQCB1	Island	II
cg00393407	1.32E-07	0.017	1.019	0.888524342	0.8718047	chr4	110352891	110352892	cg00393407	N_Shore	II
cg00393417	2.24E-08	0.007	1.458	0.023152311	0.01587979	chr16	8715627	8715628	C16orf68	Island	I
cg00401091	2.02E-07	-0.015	0.732	0.0418462	0.057140743	chr20	50159536	50159537	NFATC2	S_Shore	I
cg00405825	4.85E-08	-0.041	0.954	0.857409542	0.898348742	chr7	139474807	139474808	HIPK2	N_Shelf	II
cg00409905	5.77E-08	-0.023	0.974	0.863917017	0.886562617	chr10	38381863	38381864	ZNF37A	N_Shore	II
cg00412851	2.66E-07	-0.042	0.952	0.842143908	0.884236725	chr6	15463343	15463344	JARID2	NA	II
cg00419564	1.99E-07	-0.009	0.753	0.028874561	0.038360717	chr1	153508860	153508861	S100A6	S_Shore	II
