	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Colon	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Lung	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
chr20:57429798-57430179	0.441660214181953	0.468161459101881	0.336877470808698	0.311600562676603	0.855423990307711	0.18181872763433	0.0239754224270353	0.39213553049509	0.169602616166084	0.0307017543859649	0.5031088664422	0.426665076525542	0.688498378103161	0.450262495578078	0.390952008962762	0.572155461116559	0.49419042229325	0.583655391754786	0.445862285022902	0.691497840845248	0.883889346775737	0.963915343915344	0.701995189516689	0.640132275132275	0.983232323232323	1	0.242462792556864	1	0.376059757236228	0.675238095238095	0.467692006617786	0.0469322344322344	0.711176231176231	0.138888888888889	0.301851626729675	0.342759259259259	0.946987179487179	0.989648937940214	0.700859458202912	0.993550893550894	0.99430303030303	0.877142019647962	0.951785714285714	0.811526690151562	1	0.96710927960928	0.946313107182672	0.540187642431602	0.978749086994964	1	1	0.885841701498664	1	1	1	0.789470383902977	1	1	0.0201449275362319	0.328655818060469	0.817119220854143	0.857724867724868	0.528370695772917	0.0172727272727273	0.859871495241514	0.697454720513714	0.0153623188405797	0.37290611163361	0.741405728776028	0.421448894875259	0.424178339742807	0.172790719617002	0.422820186349598	0.510184793929475	0.429814280369836	0.189178463633909	0.0269360269360269	0.00701754385964912	0.459622556093144
chr8:61764798-61764920	0.101531839378244	0.255555555555556	0.121620843070587	0.154470584530108	0.166666666666667	0.0606060606060606	0.0555555555555556	0.888888888888889	0.206494708994709	0.0746893538560206	0.19570987654321	0.0555555555555556	0.106141954989881	0.166666666666667	0.0989120094292579	0.0435353535353535	0.0853615520282188	0.0833333333333333	0.0833333333333333	0.133333333333333	1	1	0.533333333333333	1	0.589467319091379	0.859013021521932	0.166666666666667	1	0.897678571428571	0.666666666666667	0.222222222222222	1	1	0.866666666666667	1	1	0.166666666666667	1	1	1	0.533333333333333	1	1	0.0666666666666667	0.490471987819006	1	0.6	0.742605143794553	0.675965079902938	0.0555555555555556	0.5	0.111111111111111	0.829373061902333	1	0.639635759847671	0.707794463343483	0.739623897707231	1	1	0.166666666666667	0.33989884842826	0.0833333333333333	0.166666666666667	0.144444444444444	0.25	0.0952380952380952	0.0833333333333333	0.0579841797089306	0.139809523809524	0.273015873015873	0.103056251740462	0.166666666666667	0.0685296474358976	0.0833333333333333	0.333333333333333	0.0476190476190476	0.166666666666667	0.195019157088123	0.23571110213727
chr9:120507341-120507401	0.00096269601384691	0.00105702840631919	0.00158730158730159	0.000976549995044809	0.00146832546832547	0.00113304093567252	0.00218579234972678	0.000677534444216451	0.00243319268635724	0.0010862873611584	0.00146693384291028	0.00118116340148893	0.00127688067171183	0.0019047619047619	0.0601412151067323	0.000799574344157985	0.000793650793650794	0.00256410256410256	0.000895400895400897	0.00148148148148148	1	0.466666666666667	0.440010016706239	0.608915604524991	1	1	0.607105263157895	0.994444444444445	1	0.991666666666667	0.0287179487179487	0.0264069264069264	0.888888888888889	0.444444444444444	0.0343908045977011	1	0.467925407925408	0.993939393939394	0.524554666288011	0.888888888888889	0.413632119514472	0.0216450216450216	0.888888888888889	0.467925407925408	1	0.499186991869919	0.888888888888889	0.239393939393939	0.41656223893066	0.383594970438231	0.0244444444444444	0.25	0.91972101972102	0.1828654114093	0.466666666666667	0.971212121212121	0.0215102974828375	0.761164021164021	0.0194444444444444	0.00122461523373912	0.00303030303030303	0.000835411525588965	0.00393518518518518	0.000939218288055496	0.00151740793651617	0.00155038759689922	0.00109221853194743	0.001279103190572	0.000903373179100664	0.00113319998129528	0.002205948180991	0.000889862234201858	0.000222965440356745	0.000765774084270138	0.00666666666666667	0.000977900855605837	0.000799516571375448	0.00410732714138287	0.134865134865135
chr11:67069731-67069770	0.116666666666667	0.348469387755102	0.237152777777778	0.10031746031746	0.263068783068783	0.02	0.477777777777778	0.200925925925926	0.988888888888889	0.275283446712018	0.42	0.654600301659125	0.173333333333333	1	0.0493506493506493	0.168268398268398	0.334722222222222	0.362222222222222	0.0311688311688312	0.29494645705172	1	1	0.993939393939394	0.911666666666667	0.751746031746032	1	0.980952380952381	1	1	0.849465678084099	1	0.5	0.05	0.988888888888889	0.752380952380952	0.882672672672673	1	1	1	0.762030244530245	0.923406245967222	0.852201502201502	0.506666666666667	0.42	0.889100529100529	0.173333333333333	0.621705779600516	1	0.0555555555555556	0.048051948051948	0.751746031746032	0.0625641025641026	1	1	0.0733333333333333	0.574074074074074	0.98	0.622662337662338	1	0.435725677830941	0.05	0.0133333333333333	0.00701754385964912	0.0366666666666667	0.686666666666667	0.00666666666666667	0.230385487528345	0.10031746031746	0.310920669550147	0.267892842862855	0.0362573099415205	0.161693121693122	0.368871547132417	0.515151515151515	0.239814814814815	0.10031746031746	1	0.212962962962963	0.536666666666667
chr17:27912311-27912414	0.000859866222686161	0.00101454109182861	0.000706436420722135	0.0015245593708307	0.094017094017094	0.00061026936026936	0.00119614989253341	0.00120917678812416	0.00148148148148148	0.00143019720691281	0.0238095238095238	0.0016582276630501	0.0166666666666667	0.000562838415502992	0.111111111111111	0.00196078431372549	0.000951213818860878	0.000909961919806316	0.00108564806713054	0.112121212121212	0.277777777777778	0.0833333333333333	0.166666666666667	0.504294503987722	0.493741280608892	0.0555555555555556	0.5	0.216666666666667	1	0.351543156684356	0.437860177632737	0.525252525252525	0.244444444444444	0.0740740740740741	0.583333333333333	0.133333333333333	1	0.888888888888889	0.0952380952380952	0.888888888888889	0.958333333333333	1	1	0.333333333333333	0.666666666666667	1	0.178571428571429	1	0.166666666666667	0.682539682539682	1	0.211111111111111	1	0.5	0.492004386969947	0.634920634920635	1	0.578002251241647	0.194444444444444	0.00107551487414188	0.0416666666666667	0.00168067226890756	0.00261627252252252	0.00104463437796771	0.0638888888888889	0.00119350811485643	0.0512820512820513	0.00119194325647781	0.00512820512820513	0.00169253400016309	0.00140263512812532	0.0185185185185185	0.000919362939889482	0.0185185185185185	0.00271765271765272	0.0166666666666667	0.0173669467787115	0.00174392709082811	0.000814852236272277
chr10:115805593-115805675	0.00114963017599935	0.00118464052287582	0.000916010703244746	0.0015384143521969	0.182539682539683	0.00148148148148148	0.00262345679012346	0.0416666666666667	0.0103687025619563	0.0238095238095238	0.0166666666666667	0.00175438596491228	0.00145645645645646	0.00112958763752414	0.00077713382507903	0.00141410136205869	0.00212121926680501	0.0666666666666667	0.0238095238095238	0.0238095238095238	0.133333333333333	0.166666666666667	0.518518518518518	0.0666666666666667	0.916666666666667	0.533333333333333	0.5	0.395833333333333	0.166666666666667	0.111111111111111	0.222222222222222	0.277777777777778	0.166666666666667	0.317460317460317	0.682539682539682	1	0.5	0.166666666666667	0.166666666666667	0.0833333333333333	0.3	0.6	1	0.266666666666667	0.75	1	0.191666666666667	0.736111111111111	1	0.796296296296296	0.2	1	0.763888888888889	1	0.611111111111111	0.365079365079365	0.133333333333333	0.555555555555555	0.642424242424242	0.00725322311106623	0.00221948980612347	0.00225468975468976	0.00114267681238208	0.00182329822954823	0.0666666666666667	0.00548974521236596	0.00109289617486339	0.277777777777778	0.00152395712256231	0.002	0.00126313436172591	0.00392664732952793	0.0010649698000248	0.00271196538591202	0.00111518111518112	0.00122267065681941	0.00105018438351772	0.00201997390344274	0.00136057680215727
chr20:31061282-31061388	0.0714285714285714	0.291666666666667	0.291666666666667	0.215277777777778	0.185185185185185	0.208333333333333	0.541666666666667	0.133333333333333	0.270833333333333	0.347222222222222	0.25	0.194444444444444	0.238095238095238	0.166666666666667	0.933333333333333	0.25	0.206349206349206	0.261904761904762	0.206349206349206	0.222222222222222	0.395833333333333	1	0.899305555555555	1	0.583333333333333	0.2	1	0.696111111111111	1	1	1	0.266666666666667	1	1	0.222222222222222	0.833333333333333	0.533333333333333	1	0.976190476190476	0.5	1	1	0.944444444444445	1	1	1	1	0.6	1	1	0.888888888888889	1	0.981481481481482	0.933333333333333	0.5	1	1	1	1	0.19047619047619	0.259259259259259	0.136111111111111	0.231372549019608	0.111111111111111	0.174242424242424	0.351851851851852	0.270833333333333	0.0753968253968254	0.341269841269841	0.183333333333333	0.0606060606060606	0.277777777777778	0.166666666666667	0.277777777777778	0.25	0.194444444444444	0.270833333333333	0.240740740740741	0.200854700854701
chr22:21774713-21774800	0.00353210124629562	0.00148148148148148	0.805555555555555	0.0158312006393847	0.00222703222703223	0.0732600732600733	0.177777777777778	0.111111111111111	0.00131868131868132	0.000976221845787063	0.00186108150155565	0.177777777777778	0.00104654337134871	0.00349348381606446	0.00136833314804117	0.00102787104562164	0.00167195347607718	0.00134496691258074	0.00117466943048338	0.00174250440917108	0.507575757575758	1	0.75	0.244444444444444	0.877777777777778	0.571399299691094	1	0.5	0.25	0.9	0.891666666666667	0.45	0.75	0.951178451178451	0.986111111111111	0.817460317460317	0.111111111111111	0.87962962962963	0.166666666666667	0.583333333333333	0.759259259259259	0.6996336996337	0.420968653555248	0.704365079365079	0.511904761904762	0.40625	0.685185185185185	0.833333333333333	0.0416666666666667	1	0.406565656565657	0.333333333333333	0.707792207792208	0.0416666666666667	0.488095238095238	0.933333333333333	1	0.037037037037037	0.414141414141414	0.00133350519307051	0.00108543090999231	0.00145451888150267	0.000609819121447028	0.00281209150326798	0.00155803573055764	0.000824974279835391	0.0016409807944959	0.00152857998503861	0.0238095238095238	0.00126049707449873	0.000740740740740741	0.0196078431372549	0.0151515151515152	0.000651093907912282	0.00239579747739819	0.000850559862187769	0.0018541631739415	0.00126624935710384	0.00131728196370067
chr6:158489777-158489937	0.16057746615093	0.888888888888889	0.888888888888889	0.0833333333333333	0.121649831649832	0.388888888888889	1	0.45981233091966	1	0.222790538936372	0.0833333333333333	0.374157192014335	0.444444444444444	0.0833333333333333	0.0833333333333333	0.141170697669749	0.0555555555555556	0.0833333333333333	0.111111111111111	0.166666666666667	1	1	1	0.5	1	1	0.895454545454546	1	1	1	1	1	0.790228088153336	0.788929773929774	0.761111111111111	1	1	0.807114710686139	1	1	0.972222222222222	0.5	0.592707172054998	0.5	1	0.2	0.823098198098198	0.5	1	1	0.899470899470899	1	0.958692981254241	1	1	1	1	1	0.920810752934927	0.0555555555555556	1	1	0.111111111111111	0.166666666666667	1	0.27516835016835	0.663697691197691	0.473353909465021	0.111111111111111	0.133333333333333	0.166666666666667	0.211037037037037	0.222222222222222	0.188354217407325	0.334807423153288	0.111111111111111	0.331930461793354	0.388888888888889	0.0666666666666667
chr19:30157792-30157917	1	0.237142857142857	0.0238095238095238	0.419343444433071	0.0555555555555556	1	0.329259259259259	0.246342592592593	0.33125	0.264206349206349	0.111111111111111	1	0.476712962962963	0.382312597090922	0.308786864144007	0.261799492945326	1	0.116555666555666	1	0.308289976484421	0.638888888888889	0.763125771717103	0.583333333333333	0.907142857142857	0.884920634920635	1	0.916666666666667	1	1	1	0.845891520266044	0.177777777777778	0.277777777777778	0.966666666666667	1	1	0.122222222222222	0.5	0.897222222222222	0.277777777777778	0.5	0.799144094001237	0.763888888888889	0.944444444444444	1	0.745251438376438	1	0.892857142857143	1	1	0.905306878306879	1	0.89492349238546	1	1	0.782713443963444	0.930555555555555	0.856666666666667	0.0828571428571429	0.0993181818181818	0.277777777777778	0.09	0.358333333333333	0.150598290598291	0.025	0.133718519782946	0.237142857142857	0.406108906525573	0.075	0.380291005291005	0.291428571428571	0.358333333333333	0.0284313725490196	0.486428571428571	0.116666666666667	0.166666666666667	0.407164306568331	0.370111111111111	0.291666666666667
