	MeanDecreaseGini
chr20:57429798-57430179	0.812149898685638
chr8:61764798-61764920	0.215133842330688
chr9:120507341-120507401	0.279347458937183
chr11:67069731-67069770	0.329249670048346
chr17:27912311-27912414	0.539849776524086
chr10:115805593-115805675	0.988652270428889
chr20:31061282-31061388	0.324266298429263
chr22:21774713-21774800	0.975955737663695
chr6:158489777-158489937	0.246174464411162
chr19:30157792-30157917	0.513936302286857
chr20:62680087-62680148	0.218310590867443
chr4:151156995-151157078	0.870219027814265
chr12:9217328-9217429	0.277601107577458
chr1:50884779-50884824	0.25441220881568
chr18:4454800-4454967	0.390347210837303
chr12:65672209-65672557	0.246148078209297
chr11:2057575-2057732	0.354667014353931
chr8:145149951-145150748	0.35871336226904
chr14:85999359-85999556	0.912583384842286
chr17:72428693-72428844	0.249330418455642
chr16:81368106-81368187	0.954177873643153
chr20:62679952-62679965	0.332608402150979
chr6:7142057-7142098	0.134618696823878
chr16:86541944-86542182	1.68412531201887
chr20:1808761-1808798	0.296168621440668
chr15:40716967-40717206	1.18621136924449
chr5:180046303-180046355	0.40724227420749
chr6:21246436-21246558	0.330989870257471
chr19:36748547-36748559	0.485542318464558
chr8:54793267-54793595	0.241538014269767
chr3:66492955-66493059	0.259077305427869
chr1:27676036-27676090	0.264591660759903
chr4:87515445-87515628	0.32250450880428
chr19:52598434-52598778	0.799173058044491
chr7:156811174-156811234	0.495330588649303
chr5:16180316-16180361	0.410408939530518
chr8:144358265-144358307	0.674083967461642
chr17:521801-521890	1.07724722409843
chr9:134298905-134298949	0.596088617130522
chr10:79396895-79396939	0.250010105974552
chr6:159590471-159590510	0.33930914933355
chr16:85409879-85409911	0.456324256369436
chr20:3748987-3749231	0.37840326234202
chr15:23115331-23115366	0.494016148689043
chr2:233216961-233217043	0.32415168624043
chr19:49441132-49441186	0.851295616686983
chr15:86298535-86298603	0.357409156989404
chr2:102667610-102667684	0.676647172879071
chr17:78161481-78161547	0.332756386137723
chr19:4402678-4403231	0.405022285028155
chr15:52404741-52404850	0.636630909345128
chr1:8400056-8400142	0.44480048718361
chr21:34032153-34032238	0.73428778074127
chr8:2585693-2585757	0.335171130764711
chr9:131369910-131369973	0.38673547346001
chr11:133938894-133939198	0.691600341130496
chr10:102649408-102649508	0.237451487295348
chr19:36748502-36748508	0.236812882280284
chr1:151870591-151870680	0.546121391604335
chr3:4868433-4868476	0.291494182659226
chr20:46468686-46468774	1.33634678503741
chr20:62168669-62168682	0.418759252255581
chr2:3633150-3633219	0.518619026375289
chr20:43514311-43514713	0.431986277034342
chr15:99408765-99408807	0.268204500781587
chr20:54579013-54579033	0.327717909437051
chr17:72978213-72978651	0.521365847917951
chr1:235813820-235813931	1.09827332802184
chr5:173287674-173287764	1.53848768491628
chr17:38488272-38488484	0.60355483200053
chr13:109793009-109793031	0.478535821879638
chr16:71603781-71603933	0.620440620238912
chr1:182360633-182360976	0.534589050787521
chr4:174292110-174292392	0.417968090677173
chr10:135342318-135342412	0.542954570287506
chr22:46658894-46658917	0.43791187004137
chr17:75429714-75429825	0.251142703254541
chr20:22562736-22562763	0.587733396629158
chr8:58055200-58055257	0.236370853636075
chr10:114516091-114516239	0.38401052943892
chr5:1131270-1131280	0.521932379670899
chr7:2146875-2146962	0.327995081829166
chr2:193060006-193060305	0.243871254346789
chr20:33577598-33577622	0.309750028978506
chr2:66673634-66673718	0.793915794043219
chr10:4909028-4909147	0.220551599138974
chr16:67839964-67840594	0.570710096245832
chr6:168436032-168436044	0.480603385889451
chr17:76731192-76731371	0.488436221380968
chr5:58335581-58335788	0.434094351000219
chr8:144853956-144854075	0.425109310100653
chr15:101985984-101986176	0.525480201175549
chr10:126812578-126812651	2.65699231182912
chr21:46840047-46840102	0.458026203582977
chr22:36519910-36519916	0.349922183283141
chr22:44759490-44759513	1.15705265813757
