	MeanDecreaseGini
chr18:19803739-19803806	0.167753897726679
chr9:98248779-98248939	0.0561116424865922
chr1:226843940-226844153	0.0996388045779215
chr12:2082089-2082411	0.159592689211835
chr22:45125782-45125834	0.114910537705302
chr9:112889644-112889745	0.139823846127677
chr1:1957051-1957084	0.150984441784866
chr22:39688264-39688308	0.201279356216075
chr4:24801824-24801847	0.111793193117351
chr19:13409589-13409595	0.146371701234859
chr11:67069731-67069770	0.190320844753738
chr3:9988092-9988272	0.166720418227796
chr17:27912311-27912414	0.151004921010096
chr14:101290616-101290643	0.15676589370295
chr10:115805593-115805675	0.306836721208742
chr7:139553288-139553486	0.104318800344687
chr20:31061282-31061388	0.102044552100658
chr20:19955746-19956032	0.332309534685091
chr12:58119853-58120184	0.131714998943103
chr6:168086427-168086484	0.107464663489924
chr6:41516279-41516323	0.0769422800261511
chr10:63808951-63809169	0.072915574185685
chr16:73049762-73049892	0.0828471431676479
chr19:6236933-6236958	0.0645340242664963
chr9:136566773-136566802	0.0778833623274202
chr11:2057575-2057732	0.167878957653024
chr2:23881559-23881678	0.341655538041996
chr7:27169698-27169726	0.147489712062001
chr7:157405609-157405738	0.0915998445290515
chr20:23066263-23066315	0.10729351344292
chr13:48894484-48894514	0.216828591860201
chr14:101291855-101291936	0.174721413905981
chr13:21711981-21712149	0.0747431424346257
chr1:245851729-245851735	0.119746765442357
chr11:48102670-48102780	0.0803831241547601
chr20:1808761-1808798	0.112140084610542
chr2:43102532-43102568	0.110324777508852
chr7:45002526-45002634	0.212164985773914
chr10:3823803-3823819	0.127882417050046
chr19:36748547-36748559	0.162044050426372
chr1:38993166-38993196	0.114236815267955
chr3:196367554-196367676	0.079053377773655
chr3:66492955-66493059	0.10428614862185
chr3:9989380-9989400	0.0462245497379889
chr6:21602294-21602372	0.126517224354873
chr1:43814314-43814472	0.141722074936896
chr2:219147468-219147620	0.162985616494035
chr2:233943998-233944150	0.107011385208548
chr19:2525370-2525385	0.0787592387543682
chr3:11610278-11610317	0.0642101037125409
chr17:1975105-1975161	0.128234654359222
chr22:51016643-51016662	0.123967961395851
chr17:55740467-55740620	0.0606411133243056
chr17:17625856-17625924	0.181599964707348
chr11:396819-396869	0.163536926645396
chr8:141109702-141109795	0.341633292866046
chr19:6475607-6475778	0.126847547346808
chr16:84771503-84771525	0.0876066369047306
chr11:68122136-68122165	0.0610596964394538
chr19:49441132-49441186	0.177057441085248
chr2:102667610-102667684	0.238627359062911
chr17:78161481-78161547	0.0926392206032638
chr9:136437909-136437928	0.0625627569643079
chr14:101282336-101282510	0.137500155502
chr1:8400056-8400142	0.168402551335358
chr9:136430838-136430845	0.370550987127985
chr10:80898884-80899123	0.110130635784471
chr7:495692-495704	0.0681309984491984
chr10:7348177-7348350	0.0706030500001948
chr1:92946498-92946640	0.0732361407154988
chr17:38473088-38473221	0.186302718760082
chr11:63687828-63687936	0.117280328050893
chr16:1559924-1559965	0.0730171476296299
chr2:23625093-23625275	0.172387241074643
chr22:46476559-46476608	0.0972074039850414
chr22:36651204-36651238	0.127554248948734
chr8:22547919-22547979	0.115266774689277
chr15:77849596-77849716	0.0551257588721787
chr19:1152404-1152540	0.473562693924556
chr1:25046693-25046742	0.169578477757222
chr9:124370271-124370295	0.111144753427346
chr2:3633150-3633219	0.0880930344682157
chr15:26874170-26874211	0.118906991895531
chr19:1873678-1873743	0.174519268272174
chr15:63189535-63189602	0.0893541568964598
chr12:124773888-124773904	0.0799129667236752
chr2:99439771-99439809	0.145214397223321
chr16:85568961-85569020	0.105804041461232
chr2:121670217-121670281	0.0754911192878731
chr13:114524545-114524585	0.152233035281296
chr17:64459241-64459316	0.157649649403016
chr2:233253046-233253067	0.206734319610406
chr19:50861910-50861952	0.198232334102061
chr6:85793482-85793593	0.0574041783311351
chr17:1975493-1975548	0.0698456214564393
chr17:38488272-38488484	0.170227139171957
chr3:11227530-11227608	0.103043764427429
chr13:109793009-109793031	0.210648945610486
chr5:16539578-16539597	0.0967038106156635
chr11:1525171-1525186	0.132015815494361
chr16:4426258-4426364	0.193866679435789
chr19:10445195-10445607	0.102898037491323
chr1:16465572-16465686	0.152645872953521
chr2:20870388-20870423	0.15130490677975
chr11:61486232-61486255	0.0771196422887148
chr4:1027777-1027795	0.0961082596230933
chr11:57090069-57090274	0.0710799102078486
chr9:136921088-136921168	0.113955869595649
chr19:3375327-3375384	0.220701244206991
chr6:89745355-89745484	0.104789605704447
chr5:99388791-99388842	0.0767830867611966
chr19:47448322-47448398	0.141465625480103
chr1:47899757-47899771	0.158273736057105
chr5:1131270-1131280	0.0601251432804159
chr7:2146875-2146962	0.153978239789058
chr9:34652187-34652224	0.0844178391295925
chr11:70508328-70508382	0.150788477218931
chr1:165865709-165865798	0.116022222858698
chr2:106495600-106495777	0.0770362711027329
chr13:110396985-110397079	0.0747409406355633
chr14:105153436-105153496	0.110609789468142
chr20:33577598-33577622	0.0691545037722118
chr2:66673634-66673718	0.118843374590916
chr16:69516500-69516558	0.0871598600954935
chr17:76731192-76731371	0.0879240387593651
chr1:61549856-61549981	0.110996798891779
chr8:11711449-11711560	0.0894216213780935
chr16:78642363-78642479	0.0743180579049776
chr18:74665755-74665891	0.11896828086486
chr22:47070183-47070284	0.174336657067884
chr17:17625943-17625970	0.199118655557973
chr10:11912266-11912287	0.0690665179949265
chr8:42358745-42358815	0.0571281416230841
chr17:75419708-75419774	0.105005977223967
chr17:72352903-72353082	0.170083879000833
chr17:44846986-44847043	0.0707798927656159
chr1:25257793-25257822	0.0924719376914816
chr11:2021501-2021573	0.112468547578756
chr7:130013630-130013910	0.179119205541829
chr19:39222818-39222916	0.0676413480578651
chr1:152477536-152477743	0.129000296285142
chr3:140814044-140814127	0.331871035120024
chr19:3097704-3097725	0.0630872170729527
chr5:10725405-10725442	0.0260250690085573
chr22:44759490-44759513	0.176865828888785
