CHR	arm	gene	dmr.no	dmr.start	dmr.end	dmr.size	dmr.core.start	dmr.core.end	dmr.core.size	X01_AVG	X11_AVG	deltaBeta	dmr.p	dmr.p.rank
1	p	MIR1977	1	567207	567463	257	567312	567358	47	0.133517370564644	0.189967253575212	0.0564498830105677	2.46685485098616e-31	2899
1	p	NCRNA00115	2	763089	763154	66	763116	763127	12	0.0211561528193212	0.0162892904315756	-0.00486686238774556	2.04558845254011e-05	9108
1	p	LOC100130417	3	846481	851194	4714	846507	849540	3034	0.513805049847239	0.644971370025685	0.131166320178446	8.45307800571994e-45	1685
1	p	FLJ39609	4	854688	854844	157	854766	854838	73	0.741533266082452	0.922143334998643	0.180610068916191	2.69696393219484e-21	4309
1	p	C1orf170	5	915414	917893	2480	916058	917892	1835	0.425212813176735	0.591475176460171	0.166262363283436	7.48160274100424e-83	473
1	p	HES4	6	939728	944531	4804	940782	943647	2866	0.653325378687412	0.731096178245244	0.0777707995578314	3.36459012052811e-29	3161
1	p	RNF223	7	991411	991723	313	991533	991708	176	0.78545713474981	0.832408868904008	0.0469517341541978	7.9929735240498e-10	7318
1	p	RNF223	8	1006076	1011099	5024	1007730	1010638	2909	0.450099912560213	0.636109662164687	0.186009749604474	1.69983751177706e-57	1047
1	p	C1orf159	9	1022759	1023136	378	1022900	1022995	96	0.882715328784351	0.943964502787437	0.0612491740030862	2.64809163664028e-07	8368
1	p	RP11-465B22.5	10	1057193	1059542	2350	1057683	1058658	976	0.482257845847116	0.539915782730543	0.0576579368834266	2.37996427580236e-11	6730
1	p	RP11-465B22.5	11	1060637	1064411	3775	1061521	1064122	2602	0.724499536195815	0.764813829758737	0.0403142935629214	1.69078363503115e-09	7434
1	p	RP11-465B22.5	12	1066215	1071979	5765	1067099	1070325	3227	0.81442441067064	0.869046203283456	0.0546217926128152	4.31634883204079e-11	6826
1	p	RP11-465B22.5	13	1077263	1079785	2523	1078147	1079622	1476	0.78296461714286	0.819314035413531	0.0363494182706704	7.5383024110458e-05	9332
1	p	RP11-465B22.5	14	1082758	1085357	2600	1083642	1084473	832	0.657468195087563	0.761001552731883	0.10353335764432	1.19803176310455e-12	6301
1	p	MIR200B	15	1093953	1097426	3474	1094080	1097270	3191	0.64892089762179	0.79439706931159	0.1454761716898	3.92271956512048e-24	3865
1	p	MIR200A	16	1102622	1107829	5208	1102833	1106175	3343	0.530546511602086	0.751045548399572	0.220499036797486	6.80670244876326e-161	79
1	p	TTLL10	17	1114771	1115211	441	1114912	1115083	172	0.621665060165137	0.806773701917194	0.185108641752057	7.15595806993246e-32	2823
1	p	TTLL10	18	1117421	1122618	5198	1117473	1121086	3614	0.582614642858668	0.766611486850408	0.183996843991739	1.05895390004028e-58	1005
1	p	TNFRSF18	19	1138959	1140247	1289	1139061	1140044	984	0.601700457552251	0.746172548080647	0.144472090528397	3.29389032406217e-19	4742
1	p	TNFRSF4	20	1144502	1144814	313	1144558	1144724	167	0.538172727527057	0.690225742871626	0.152053015344569	7.2256881372112e-11	6914
1	p	UBE2J2	21	1190026	1190166	141	1190026	1190137	112	0.662619470869004	0.682407484227885	0.0197880133588806	1.72737098243244e-33	2642
1	p	SCNN1D	22	1216998	1217264	267	1217103	1217159	57	0.343447758447516	0.397142745175828	0.0536949867283121	3.04351809163959e-07	8389
1	p	SCNN1D	23	1226132	1227420	1289	1226776	1227307	532	0.568097032467579	0.658541041597716	0.0904440091301372	5.55559899179546e-12	6523
1	p	ACAP3	24	1237792	1239441	1650	1238436	1239259	824	0.843962738629724	0.853047340699663	0.00908460206993933	5.28637028608246e-06	8902
1	p	PUSL1	25	1244936	1245154	219	1245014	1245076	63	0.479363298694772	0.630769944423248	0.151406645728476	4.51083272114567e-20	4528
1	p	GLTPD1	26	1259649	1259725	77	1259676	1259698	23	0.0247496670959799	0.0206812780187524	-0.00406838907722752	3.7887205972353e-05	9225
1	p	TAS1R3	27	1267115	1267330	216	1267117	1267252	136	0.691470654913755	0.830778026639617	0.139307371725862	4.03221140809358e-26	3561
1	p	MXRA8	28	1296072	1298124	2053	1296093	1297576	1484	0.416673987514069	0.498003227454292	0.0813292399402225	4.97909799746615e-10	7245
1	p	VWA1	29	1376890	1378826	1937	1377525	1378060	536	0.628107530774479	0.728606352767735	0.100498821993256	4.39061819470066e-14	5883
1	p	ATAD3C	30	1396008	1396247	240	1396086	1396169	84	0.576399686944854	0.700023183962768	0.123623497017914	1.54387907066499e-15	5555
1	p	ATAD3C	31	1397271	1398992	1722	1397297	1398348	1052	0.660996630580002	0.730638156782739	0.0696415262027367	1.01466121471076e-15	5507
1	p	C1orf70	32	1471938	1472220	283	1471938	1472146	209	0.731951184767488	0.84650917277636	0.114557988008871	4.30880230408712e-18	4968
1	p	C1orf70	33	1476919	1479324	2406	1477025	1479238	2214	0.822581376237223	0.82714592122211	0.00456454498488701	1.27107777317341e-14	5755
1	p	C1orf233	34	1524538	1526372	1835	1525422	1525488	67	0.747890596333531	0.88715420232547	0.139263605991939	2.58785933857231e-13	6101
1	p	NADK	35	1680267	1684118	3852	1681921	1684095	2175	0.849308276337338	0.89209380708175	0.0427855307444125	3.14426427208011e-25	3690
1	p	NADK	36	1688239	1690254	2016	1688883	1689887	1005	0.656408335420948	0.501539214931938	-0.154869120489011	4.68870405744439e-58	1031
1	p	CALML6	37	1845896	1846151	256	1845940	1846098	159	0.568439711129609	0.476543613288103	-0.0918960978415055	2.84392713548042e-12	6413
1	p	TMEM52	38	1851356	1851499	144	1851372	1851474	103	0.627206107934527	0.688217685351759	0.0610115774172322	6.32996707927300e-09	7699
