	R2.ESC.hapinfo.txt	R2.ipsNT.hapinfo.txt	R2.tissue.hapinfo.txt	Pvalue
chr10:10374033-10374154	0.74	NA	0.35	2.51018794684324e-53
chr10:105236864-105236953	0.549	0.231	0.314	1.18214228424841e-06
chr10:105236985-105237080	0.52	NA	0.152	1.70014912185829e-56
chr10:105237112-105237129	0.455	NA	0.305	3.94601178047252e-07
chr10:105237144-105237213	0.537	0.346	0.18	5.44637649862759e-24
chr10:105255555-105255599	0.299	0.097	0.106	1.39365009768561e-33
chr10:107550511-107550556	0.112	0.423	0.685	2.4799075135745e-45
chr10:107667616-107667625	0.584	0.22	0.076	2.47002412782608e-61
chr10:107701779-107701799	0.278	0.354	0.077	5.6811989682548e-43
chr10:107721490-107721594	0.697	0.158	0.217	6.32862314242913e-61
chr10:107735886-107735907	0.636	0.215	0.201	6.19299989272237e-114
chr10:107735970-107736014	0.64	0.273	0.22	1.47909649854057e-68
chr10:107802337-107802361	0.645	0.245	0.512	1.10743800566953e-104
chr10:107802374-107802402	0.609	0.254	0.575	4.12007978995179e-63
chr10:107810763-107810794	0.655	0.416	0.152	3.01531595898985e-88
chr10:107810947-107810953	0.75	0.19	0.175	1.0147193579087e-90
chr10:107832604-107832729	0.65	0.226	0.276	5.11756822939252e-72
chr10:107841184-107841227	0.778	0.054	0.539	4.3618948888341e-163
chr10:107841365-107841408	0.584	0.125	0.645	1.08334135007233e-101
chr10:107846816-107846925	0.77	0.295	0.536	1.23161988753129e-72
chr10:107846998-107847161	0.549	0.296	0.292	7.49593699561787e-15
chr10:107852046-107852109	0.482	0.171	0.183	8.33112912148903e-59
chr10:107852141-107852173	0.374	0.336	0.131	2.30510747535911e-30
chr10:107853522-107853527	0.585	0.112	0.535	1.39529040869772e-102
chr10:107854350-107854373	0.682	0.152	0.08	1.92061081091308e-126
chr10:107854458-107854485	0.68	0.065	0.304	1.98255037470351e-82
chr10:107857227-107857231	0.79	0.121	0.158	3.47730424204077e-111
chr10:108092290-108092306	0.52	0.179	0.707	4.96211761005047e-64
chr10:108764036-108764044	0.528	0.108	0.662	3.32903879233133e-125
chr10:10984214-10984243	0.613	0.023	0.196	8.71205540547892e-65
chr10:110315224-110315233	0.247	0.396	0.628	2.15651240319293e-83
chr10:110365353-110365452	0.577	0.27	0.19	5.83358777354699e-61
chr10:110369025-110369049	0.278	0	0.569	2.28647420557209e-68
chr10:110369069-110369092	0.239	0.074	0.618	2.38013374149272e-67
chr10:110468856-110468861	0.566	0.423	0.401	2.88519002217864e-16
chr10:110539734-110539759	0.58	0.103	0.641	9.10032138211163e-151
chr10:110792001-110792016	0.712	0.321	0.531	3.31747003324369e-88
chr10:110814300-110814371	0.681	0.265	0.184	2.62658030365237e-88
chr10:110926701-110926728	0.712	0.198	0.036	7.31775467350244e-124
chr10:110930425-110930618	0.74	NA	NA	NA
chr10:111020252-111020256	0.495	0.15	0.796	3.61922045644205e-142
chr10:111068829-111068841	0.561	0.112	0.323	8.41756891816613e-77
chr10:111195590-111195718	0.544	0.55	0.582	6.73633783538023e-08
chr10:111283462-111283546	0.539	0.204	0.048	5.16548339961218e-59
chr10:111409793-111409823	NA	NA	1	NA
chr10:114730474-114730682	0.692	0.484	0.097	1.3222968059712e-71
chr10:114779654-114779687	0.456	0.347	0.027	5.42828746009575e-96
chr10:114915996-114916063	0.786	0.155	0.421	3.20095082158389e-61
chr10:114916171-114916214	0.573	0.251	0.365	1.81593560099128e-43
chr10:115022507-115022522	0.557	0.2	0.092	5.45211687138641e-95
chr10:115273769-115273785	0.603	0.228	0.098	1.53784386533595e-76
chr10:115550509-115550517	0.324	0.155	0.023	8.22346080077084e-72
chr10:115865191-115865220	0.488	0.249	0.516	1.51243638002412e-44
chr10:115865237-115865256	0.594	0.272	0.304	6.03620141268759e-66
chr10:116090609-116090624	0.533	0.328	0.621	6.68028883599176e-51
chr10:116100165-116100199	0.725	0.424	0.193	3.96725765080156e-83
chr10:116357901-116357932	0.38	0.187	0.273	7.57414205907527e-15
chr10:116404797-116404995	0.626	NA	0.2	3.30101674456505e-42
chr10:116410133-116410182	0.464	NA	0.089	3.40581609693907e-44
chr10:116451145-116451188	0.611	0.261	0.397	7.26491304222948e-65
chr10:116667098-116667120	0.443	0.091	0.473	7.81059848550646e-72
chr10:116793042-116793054	0.554	0.144	0.033	3.9955117136236e-82
chr10:116793102-116793126	0.572	0.136	0.081	1.49069154665607e-59
chr10:116931391-116931431	0.462	0.095	0.582	1.88090139009822e-100
chr10:116931586-116931597	0.541	0.262	0.506	6.23276829742652e-48
chr10:117108671-117108688	0.677	0.268	0.134	2.94405085934922e-109
chr10:117149045-117149089	0.513	0.19	0.115	5.19263258031359e-71
chr10:117241333-117241343	0.68	0.416	0.253	2.87541852109498e-90
chr10:117309620-117309648	0.602	0.302	0.485	4.01557692466336e-13
chr10:117384853-117384861	0.738	0.176	0.386	4.39297298842367e-111
chr10:117389346-117389366	0.311	0.474	0.546	1.27064627487799e-24
chr10:11739073-11739130	0.435	0.474	0.613	1.92221518537253e-20
chr10:117392174-117392181	0.482	0.265	0.374	9.7993704033509e-40
chr10:117562825-117562883	0.183	0.054	0.006	1.83796494399367e-30
chr10:117566485-117566513	0.336	0.186	0.31	2.08612218082118e-11
chr10:118000792-118000825	0.61	0.145	0.381	3.69979526919201e-38
chr10:118416604-118416629	0.811	0.223	0.428	4.41963804261288e-106
chr10:118477368-118477452	0.665	0.419	0.476	1.37958273332482e-23
chr10:118492613-118492655	0.659	0.202	0.591	6.1461275440766e-137
chr10:118502677-118502699	0.644	0.103	0.705	2.68466239990348e-115
chr10:118518172-118518188	0.439	0.353	0.582	6.64333540473657e-41
chr10:118531840-118531867	0.602	0.295	0.277	9.52007064024841e-24
chr10:118635009-118635060	0.473	0.346	0.002	6.61613703216946e-97
chr10:118650839-118650843	0.534	0.319	0.073	8.44722888127366e-79
chr10:118681203-118681230	0.392	0.211	0.326	7.31592538535154e-18
chr10:118681470-118681476	0.142	0.048	0.062	1.56219708205478e-09
chr10:119334715-119334813	0.575	0.527	0.366	6.10319262731615e-15
chr10:119526766-119526785	0.625	0.317	0.081	6.96298104093668e-97
chr10:119539712-119539793	0.638	0.024	0.064	1.49534178579106e-87
chr10:119541158-119541175	0.618	0.209	0.071	4.41339151698611e-102
chr10:119542937-119543006	0.529	0.208	0.054	1.24066263616898e-57
chr10:119549854-119549860	NA	NA	1	NA
chr10:119550975-119550981	0.32	0.184	0.178	1.05933309287883e-17
chr10:119557381-119557414	0.579	0.244	0.087	1.50402477005296e-67
chr10:119603477-119603532	0.435	0.38	0.214	3.84452384104731e-41
chr10:119630414-119630420	0.672	0.159	0.576	2.90789306491026e-97
chr10:119765268-119765285	0.708	0.203	0.068	1.05260821819814e-131
chr10:119851572-119851586	0.589	0.217	0.054	1.79474509547624e-97
chr10:119863561-119863571	0.586	0.468	0.471	3.33487256004413e-09
chr10:119865769-119865791	0.305	0.057	0.772	9.09271282372849e-126
chr10:120154301-120154310	0.614	0.113	0.587	1.61768428143567e-129
chr10:120249281-120249290	0.486	0.221	0.615	1.50258951724193e-85
chr10:120279753-120279762	0.663	0.201	0.024	3.00875403667109e-137
chr10:120352266-120352274	0.765	0.174	0.489	2.72359665098542e-102
chr10:120362957-120362972	0.389	0.438	0.079	1.05987506690179e-94
chr10:120362996-120363028	0.397	0.414	0.085	1.58377818856167e-76
chr10:120363392-120363461	0.569	0.308	0.043	8.02186257408671e-97
chr10:120413575-120413662	0.579	NA	0.14	2.20533272905378e-54
chr10:120493133-120493422	0.828	0.327	0.594	4.17742693921499e-11
