region	group	GSI
chr5:25843799-25843983	Mesoderm	0.218921269864188
chr2:179729193-179729204	Endoderm	0.398368159925218
chr11:110910907-110910951	Ectoderm	0.0437651000173813
chr19:18303568-18304395	Endoderm	0.0445189246374359
chr17:26712172-26712197	Mesoderm	0.462968859971317
chr16:78218351-78218462	Mesoderm	0.440744828195881
chr17:16955467-16955609	Endoderm	0.185347736482987
chr10:33162396-33162437	Mesoderm	0.0675797126088651
chr21:40759658-40759721	Endoderm	0.153458642293537
chr12:43222081-43222305	Ectoderm	0.232592144877308
chr10:46076245-46076549	Ectoderm	0.132976610087993
chr5:43120826-43121172	Ectoderm	0.000266197715062477
chr17:27011993-27012163	Endoderm	0.413712378424008
chr17:58603375-58603842	Endoderm	0.000388979018008717
chr11:69434934-69434997	Mesoderm	0.237844742601184
chr10:105517599-105517714	Ectoderm	0.247257857833653
chr1:216404950-216404958	Ectoderm	0.114654308757766
chr4:115068843-115068916	Mesoderm	0.142235170898008
chr11:59052350-59052534	Ectoderm	0.0875504581190525
chr22:50483110-50483124	Mesoderm	0.187078629852613
chr5:112240958-112241093	Endoderm	0.0515698993757996
chr21:43688282-43688394	Endoderm	0.313214700702029
chr1:2706626-2706667	Endoderm	0.0733340569299103
chr15:77506683-77506695	Mesoderm	0.101963897485105
chr12:104718317-104718373	Mesoderm	0.14771477911601
chr5:37906946-37907073	Endoderm	0.264490484790183
chr3:10183342-10183590	Endoderm	0.00509663389934861
chr1:17200011-17200027	Endoderm	0.227663807760479
chr14:99737880-99738046	Mesoderm	0.00428039640267303
chr9:69691997-69692175	Endoderm	0.0546180779562455
chr15:58542416-58542558	Mesoderm	0.0532498922986636
chr5:146951427-146951467	Endoderm	0.21322280875993
chr2:145232171-145232331	Mesoderm	0.0456224345996164
chr6:57131256-57131430	Mesoderm	0.403026890272858
chr1:210411221-210411351	Endoderm	0.262171948284732
chr2:106477765-106477822	Endoderm	0.288018219706099
chr5:52136140-52136155	Endoderm	0.492697792084224
chr17:226879-226962	Endoderm	0.273627072289177
chr6:154485838-154486021	Endoderm	0.390175740699525
chr22:29435352-29435365	Ectoderm	0.251101868707736
chr11:60791217-60791311	Ectoderm	0.0902798064511942
chr15:96710358-96710473	Mesoderm	0.264386699850353
chr19:49990952-49991689	Mesoderm	0.0030711327351764
chr1:204751471-204751725	Endoderm	0.0472884299360917
chr22:45125702-45125746	Endoderm	0.311967555869872
chr11:126887874-126888075	Ectoderm	0.12652048171653
chr20:41298547-41298657	Ectoderm	0.150711315963625
chr12:122729774-122729983	Mesoderm	0.0625371823140536
chr5:45947001-45947053	Endoderm	0.143701292236788
chr12:12902681-12902706	Endoderm	0.110185858810365
chr12:2045024-2045043	Endoderm	0.283408935105253
chr17:8465852-8465960	Ectoderm	0.112789962669768
chr6:43484478-43485424	Mesoderm	0.00133754551849447
chr5:90576048-90576606	Mesoderm	0.00380079767248537
chr8:145010820-145010867	Ectoderm	0.159934743060241
chr5:177548194-177548279	Ectoderm	0.407236614255856
chr5:109029295-109029404	Endoderm	0.137215064542909
chr2:234160012-234160593	Mesoderm	0.00028032366602565
chr8:142421132-142421260	Endoderm	0.188839086260498
chr12:8685792-8685994	Mesoderm	0.0649459241965902
chr11:123355219-123355300	Mesoderm	0.124431086368288
chr1:112051606-112051647	Mesoderm	0.080675580162019
chr8:35590948-35590993	Ectoderm	0.378318485168494
chr1:203644853-203644916	Endoderm	0.0570267960498309
chr17:29469666-29469740	Mesoderm	0.0994999274531118
chr9:127162870-127163036	Endoderm	0.134277390416936
chr2:71299453-71299565	Mesoderm	0.0942231189775862
chr8:48728630-48728688	Endoderm	0.0680540165705418
chr1:204961427-204961492	Ectoderm	0.282144517435209
chr21:18835174-18835186	Ectoderm	0.244219714827948
chr19:39108096-39108260	Ectoderm	0.437232803326331
chr17:55681526-55681671	Mesoderm	0.220994684073139
chr10:24607520-24607597	Ectoderm	0.442291687524745
chr15:34415006-34415127	Endoderm	0.183378383653379
chr19:49653181-49653724	Mesoderm	0.0012964740444919
chr14:91866268-91866324	Ectoderm	0.355957972437348
chr3:136644554-136644800	Ectoderm	0.096384446370553
chr8:29387092-29387216	Ectoderm	0.659537333117352
chr10:35919541-35919641	Mesoderm	0.246944616677077
chr10:6213930-6214078	Endoderm	0.398691651798486
chr1:53386769-53386783	Endoderm	0.125094576455906
chr12:49925476-49925517	Ectoderm	0.223455326305772
chr11:11559565-11559799	Ectoderm	0.159596947949703
chr4:184540998-184541008	Ectoderm	0.435920415093938
chr5:18745980-18746122	Ectoderm	0.232032571594102
chr14:66460885-66461083	Endoderm	0.302654979419239
chr5:16107829-16107969	Endoderm	0.0588241235093387
chr8:32431248-32431317	Endoderm	0.119597372548456
chr1:228804280-228804455	Mesoderm	0.264560361077453
chr9:139950265-139950285	Endoderm	0.132804064677253
chr10:75668876-75669009	Mesoderm	0.0711253413122027
chr1:150123155-150123334	Endoderm	0.30877107921041
chr4:81229207-81229356	Mesoderm	0.0410371928210176
chr6:30653721-30653735	Ectoderm	0.431501248699947
chr8:119958767-119958924	Endoderm	0.0464104301592222
chr2:39663417-39663521	Ectoderm	0.0141726966525285
chr12:122897157-122897195	Mesoderm	0.146059659686501
chr19:39898750-39898769	Ectoderm	0.622260349526761
chr11:120585097-120585313	Ectoderm	0.237483676808387
chr7:128862007-128862208	Endoderm	0.161382927866045
chr10:77585508-77585679	Mesoderm	0.136696349946668
chr21:34266153-34266308	Endoderm	0.127654631251442
chr1:183846526-183846594	Endoderm	0.460254056801529
chr17:73286274-73286348	Mesoderm	0.0859273361874262
chr9:129388551-129388695	Mesoderm	0.0241270288858931
chr2:1569372-1569432	Mesoderm	0.210985833696935
chr7:46671284-46671517	Mesoderm	0.171967482004975
chr7:155111071-155111102	Mesoderm	0.150606749215704
chr17:33759381-33759483	Ectoderm	0.434990363700174
chr5:158532301-158532329	Mesoderm	0.306967399063661
chr13:36222515-36222603	Ectoderm	0.362773140648487
chr4:25752529-25752558	Endoderm	0.361390171919307
chr7:123170972-123170981	Mesoderm	0.161454975869787
