	Case_to_Control.logFC	Case_to_Control.AveExpr	Case_to_Control.t	Case_to_Control.P.Value	Case_to_Control.adj.P.Val	Case_to_Control.B	Case_to_Control.Case_AVG	Case_to_Control.Control_AVG	Case_to_Control.deltaBeta	Case_to_Control.CHR	Case_to_Control.MAPINFO	Case_to_Control.Strand	Case_to_Control.Type	Case_to_Control.gene	Case_to_Control.feature	Case_to_Control.cgi	Case_to_Control.feat.cgi	Case_to_Control.UCSC_Islands_Name	Case_to_Control.SNP_ID	Case_to_Control.SNP_DISTANCE
cg11069855	0.051355530523169	0.559029204527048	7.11205043152588	4.58883395034486e-09	0.00240880549195577	10.0019885479528	0.533351439265464	0.584706969788633	0.051355530523169	13	30112348	R	II	SLC7A1	5'UTR	opensea	5'UTR-opensea		rs78139552;rs151237564	36;15
cg13870520	0.0449331531093816	0.264142296675676	6.93150891278924	8.7186946285243e-09	0.00240880549195577	9.36199239511948	0.241675720120985	0.286608873230367	0.0449331531093816	4	77131705	R	II	SCARB2	Body	shelf	Body-shelf	chr4:77134566-77135377	rs562103808	2
cg16879432	0.0348625731357545	0.821772821705706	6.80244927572034	1.37992820512776e-08	0.00240880549195577	8.90449305016926	0.804341535137829	0.839204108273584	0.0348625731357546	19	33786219	R	II		IGR	opensea	IGR-opensea		rs115370843;rs56160221	26;13
cg09019636	0.0524635109878698	0.541136341927957	6.74924669203329	1.66753489206245e-08	0.00240880549195577	8.71594136127561	0.514904586434022	0.567368097421892	0.0524635109878698	2	62964766	F	II	EHBP1	Body	opensea	Body-opensea			
cg13979085	0.0431896742580895	0.406989701851701	6.73815588034918	1.73466277042685e-08	0.00240880549195577	8.67664023976854	0.385394864722657	0.428584538980746	0.0431896742580896	3	58523570	F	II	ACOX2	TSS1500	opensea	TSS1500-opensea		rs542796661	1
cg19429405	0.0466230892597814	0.339370951698989	6.58888443719308	2.95050374415548e-08	0.00240880549195577	8.1479256152358	0.316059407069098	0.362682496328879	0.0466230892597816	10	73497609	F	II	C10orf105	TSS200	opensea	TSS200-opensea		rs575865435	36
cg01397424	0.0467336890428925	0.489372578187425	6.5798350837518	3.04704632647431e-08	0.00240880549195577	8.11589083329569	0.466005733665979	0.512739422708871	0.0467336890428923	9	128517686	F	II	PBX3	Body	opensea	Body-opensea		rs541735552;rs190931273;rs530292885	0;7;49
cg27549551	0.0462610266756003	0.724371545609311	6.55930117301005	3.27797998550485e-08	0.00240880549195577	8.04320968937698	0.701241032271511	0.747502058947112	0.0462610266756005	2	228245419	F	II	TM4SF20	TSS1500	opensea	TSS1500-opensea		rs10201602	15
cg22587211	0.0422385346577773	0.27104866449119	6.54229217674004	3.48245522029884e-08	0.00240880549195577	7.98301516994457	0.249929397162302	0.292167931820079	0.0422385346577773	6	32851722	F	II		IGR	shelf	IGR-shelf	chr6:32847498-32847846	rs141952083	39
cg02276314	0.0410171671807529	0.458488840110373	6.539941265875	3.51170172640739e-08	0.00240880549195577	7.97469607633557	0.437980256519996	0.478997423700749	0.041017167180753	1	9301104	R	II	H6PD	5'UTR	opensea	5'UTR-opensea			
