	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
Block_1	1	13796840	50689713	0.00673189133115173	43.1514234326826	3	2448	8857	6410	9593	0	0	7.45384208290163e-06	0.004
Block_2	22	21805897	51182471	0.0071832892424935	36.1032117327723	221	175588	180613	5026	5026	0	0	9.93845611053551e-06	0.004
Block_3	17	44785029	81028488.5	0.0063253969930858	35.1439056935847	201	119962	125517	5556	5556	0	0	1.49076841658033e-05	0.004
Block_4	20	41574350	62913080	0.00790851886128636	28.3678571554342	214	167914	171500	3587	3587	0	0	4.72076665250437e-05	0.01
Block_5	11	108328990	128132731	0.00727959622090131	22.5230707074687	157	55507	58600	3094	4801	0	0	9.68999470777212e-05	0.02
Block_6	20	68226	26208455	0.00721596723769618	18.8120265886739	212	163551	166157	2607	2607	0	0	0.000156530683740934	0.026
Block_7	20	29518816	41319967	0.00713985106103002	12.5375784631687	213	166158	167913	1756	1756	0	0	0.000464622823167535	0.046
Block_8	11	129169138	134945795.5	0.0080738173766264	6.07958448459968	157	58830	59582	753	4801	0	0	0.00213925267779277	0.148
Block_9	9	114606306	141102504	0.00681126700783702	27.2518792983559	135	285996	289996	4001	4713	2.48461402763388e-06	0.002	4.96922805526775e-05	0.01
Block_10	2	18435	24731957	0.00687916194862256	21.6693601381611	20	137935	141084	3150	10151	4.96922805526775e-06	0.002	0.000114292245271158	0.02
Block_11	16	72624978	90130196.5	0.00701533163877601	20.8215043038872	196	110769	113736	2968	6134	2.48461402763388e-06	0.002	0.000131684543464596	0.024
Block_12	5	12322	33988320	0.00672812343648813	19.4846454720696	65	214646	217541	2896	2910	1.24230701381694e-05	0.002	0.000151561455685667	0.026
Block_13	17	3075	18291699	0.00650563259537205	18.9118739547466	197	113737	116643	2907	2907	2.48461402763388e-05	0.002	0.0001540460697133	0.026
Block_14	14	93929997	107288070	0.00683985273596705	16.5866428847201	175	90764	93188	2425	8200	1.24230701381694e-05	0.002	0.000228584490542317	0.032
Block_15	5	163187595	180591649	0.0068880332538486	16.2075422463057	72	229614	231966	2353	8794	9.93845611053551e-06	0.002	0.000241007560680486	0.034
Block_16	2	230923832.666667	243017952	0.00646413266718427	15.8888380959389	37	161093	163550	2458	6271	2.73307543039727e-05	0.002	0.000245976788735754	0.034
Block_17	2	63991864	86770055	0.0066606855163127	15.7924853591774	20	145692	148062	2371	10151	1.49076841658033e-05	0.002	0.000248461402763388	0.034
Block_18	1	752595.5	12416368	0.0065902950223917	15.4608321225309	2	2	2347	2346	2446	2.23615262487049e-05	0.002	0.000268338314984459	0.034
Block_19	10	121446370	135430378	0.00690981561877228	14.2065809121958	147	41627	43682	2056	6142	9.93845611053551e-06	0.002	0.000322999823592404	0.04
Block_20	1	227423436	243606590	0.00671821215739222	13.4767335877288	19	25379	27384	2006	5331	1.73922981934371e-05	0.002	0.000390084402338519	0.04
Block_21	19	37853729.5	52430471.5833333	0.00665432884913937	12.9626325981235	211	135368	137315	1948	3560	1.73922981934371e-05	0.002	0.00044226129691883	0.044
Block_22	17	34824867	44292800.5	0.00658144693469947	11.4451362194424	200	118223	119961	1739	1739	2.73307543039727e-05	0.002	0.000571461226355792	0.048
Block_23	11	9588017.5	21655847	0.00674353242266851	11.0998543677124	148	45223	46868	1646	3186	1.73922981934371e-05	0.002	0.000603761208715032	0.05
Block_24	3	122436414.5	130533733	0.0069301528157865	9.84081699841683	50	192003	193422	1420	2947	1.24230701381694e-05	0.002	0.000782653418704671	0.066
Block_25	7	43789728	56167788	0.00687896970574108	9.19030352687008	89	254515	255850	1336	6160	1.49076841658033e-05	0.002	0.000904399506058731	0.082
Block_26	1	199813079	205919667	0.00690441996695298	9.18287855604747	17	21413	22742	1330	1707	1.49076841658033e-05	0.002	0.000906884120086365	0.082
Block_27	7	511498	7953238	0.0069138073386426	8.0822407788732	89	249703	250871	1169	6160	1.49076841658033e-05	0.002	0.00120006857534716	0.102
Block_28	10	76429273	82726192	0.00713456826059849	7.41995099102243	146	36055	37094	1040	2864	4.96922805526775e-06	0.002	0.00145349920616582	0.114
Block_29	19	28237585.5	36681534	0.00733981987649257	6.89209086402653	211	134375	135313	939	3560	4.96922805526775e-06	0.002	0.0016870529247634	0.128
Block_30	11	6889596	9309745	0.00757348191207799	3.15814195733652	148	44777	45193	417	3186	4.96922805526775e-06	0.002	0.00745384208290163	0.266
Block_31	9	37340385.5	38749225	0.00852371274422518	1.69621883610081	125	282088	282286	199	767	4.96922805526775e-06	0.002	0.0222497186174614	0.44
Block_32	5	119740479	163022151	0.00634677234849255	32.4637405625394	72	224491	229605	5115	8794	1.24230701381694e-05	0.004	2.73307543039727e-05	0.004
Block_33	12	93095269	122826303.666667	0.00590179104984518	25.2065495738888	164	69082	73352	4271	7249	2.73307543039727e-05	0.004	5.71461226355792e-05	0.01
Block_34	8	121443432	146160024	0.00617542702610816	23.0034656722529	117	276219	279943	3725	4557	2.73307543039727e-05	0.004	8.69614909671857e-05	0.018
Block_35	8	7693497	38802828	0.00615210474672212	22.8120044008456	109	265707	269414	3708	4280	2.73307543039727e-05	0.004	8.94461049948196e-05	0.018
Block_36	11	55028287	75748776	0.00625164955368907	22.1808526164888	154	49393	52940	3548	4756	2.73307543039727e-05	0.004	0.000101869175132989	0.02
Block_37	16	46512538	72291167	0.00631686636194799	19.8096929110689	196	107603	110738	3136	6134	2.48461402763388e-05	0.004	0.000146592227630399	0.026
Block_38	6	200400	18596070	0.00630359884659183	18.4569374228209	73	231978	234905	2928	3384	3.22999823592404e-05	0.004	0.000163984525823836	0.028
Block_39	2	214492601.5	230745820	0.00643998675556896	12.3647745706924	37	159150	161069	1920	6271	3.72692104145082e-05	0.004	0.000482015121360972	0.046
Block_40	13	101010186	114325774.5	0.00668315808364015	10.2118655518021	170	81344	82871	1528	2686	2.23615262487049e-05	0.004	0.000720538068013824	0.064
Block_41	12	123085927	133435726	0.00656645602889156	9.75118720290397	164	73393	74877	1485	7249	3.72692104145082e-05	0.004	0.00080749955898101	0.068
Block_42	16	18796329	29312066	0.00656778768253785	8.58409850107697	190	105980	107286	1307	1307	3.72692104145082e-05	0.004	0.00107583787396547	0.09
Block_43	10	69868819	74821035	0.00694833189972328	6.95528023162301	146	34812	35812	1001	2864	1.49076841658033e-05	0.004	0.0016646913985147	0.126
Block_44	11	23811425	25116123	0.010079525618494	0.433419601595241	149	46934	46976	43	108	4.96922805526775e-06	0.004	0.147484204066319	0.892
Block_45	1	149878582	173415205	0.00598340783034795	19.655494722693	15	15720	19004	3285	5036	3.72692104145082e-05	0.006	0.000149076841658033	0.026
Block_46	6	30409069	42540731	0.00633039739016801	14.3763324730715	74	236263	238533	2271	4853	4.47230524974098e-05	0.006	0.00032051520956477	0.038
Block_47	21	35125477	48076701	0.00638833573578192	13.856300210911	218	172843	175011	2169	3066	3.9753824442142e-05	0.006	0.000360269034006912	0.04
Block_48	14	68869769	82458966	0.00638085817257073	13.2211381335666	175	87573	89644	2072	8200	4.47230524974098e-05	0.006	0.000422384384697759	0.044
Block_49	6	159128336	170889206	0.00643372540055441	10.1138163296715	87	248090	249661	1572	6089	4.47230524974098e-05	0.006	0.00073047652412436	0.064
Block_50	15	85932002	94899201.3333333	0.00655006775111951	8.03693313062364	186	101391	102617	1227	2546	4.22384384697759e-05	0.006	0.00121497625951297	0.104
Block_51	1	206588542	213152744	0.00680873813641241	6.67937211182057	19	22775	23755	981	5331	2.48461402763388e-05	0.006	0.00178643748586876	0.132
Block_52	4	186339750	190882213	0.00734568441742067	3.40839756968319	64	214182	214645	464	1155	1.49076841658033e-05	0.006	0.00647490415601388	0.25
Block_53	10	83174032	88865204	0.00748236788313802	3.26231239704817	146	37105	37540	436	2864	9.93845611053551e-06	0.006	0.00700164232987227	0.26
Block_54	15	25604463	28560101	0.0077486620923985	1.95266284728442	181	93474	93725	252	414	9.93845611053551e-06	0.006	0.0176631211224492	0.384
Block_55	13	57983725	60397725	0.0082702045199646	0.793939633916601	167	78890	78985	96	265	1.49076841658033e-05	0.006	0.0694226005461182	0.706
Block_56	10	46976264	47138681	0.0126380378469439	0.404417211102204	139	33219	33250	32	32	7.45384208290163e-06	0.006	0.159246366873138	0.906
Block_57	12	46726241	61372252	0.00602088648939607	12.7582584710303	161	64394	66512	2119	2681	7.20538068013824e-05	0.008	0.000454684367057	0.044
Block_58	16	85741	15141130.5	0.00607480521867734	12.0888623851679	187	103623	105612	1990	1990	6.70845787461147e-05	0.008	0.000496922805526775	0.046
Block_59	1	51380298	63932041	0.00628458753883813	10.4764074272432	3	8916	10582	1667	9593	6.45999647184808e-05	0.008	0.000683268857599316	0.062
Block_60	4	43882	8729533	0.00634651811356999	10.1036568368034	53	200596	202187	1592	1592	5.96307366632131e-05	0.008	0.000732961138151994	0.064
Block_61	19	277681	11918238	0.00630124151210643	8.86584680753375	208	131823	133229	1407	2503	6.70845787461147e-05	0.008	0.000996330225081185	0.084
Block_62	2	24925976	32417550	0.00641990141530115	7.65252248703897	20	141107	142298	1192	10151	5.96307366632131e-05	0.008	0.0013491454170052	0.114
Block_63	7	94370483	102113633.5	0.00660992682274734	6.59670696910184	100	258171	259168	998	1478	4.22384384697759e-05	0.008	0.00182370669628327	0.132
Block_64	7	152009504	158994533	0.00662662622350957	6.50072032526289	105	264037	265017	981	1749	4.22384384697759e-05	0.008	0.00189079127502938	0.134
Block_65	15	94985190	102513445	0.00644069587576955	6.42137378814224	186	102626	103622	997	2546	6.95691927737486e-05	0.008	0.00193799894155442	0.134
Block_66	11	31663468	36509804	0.00674295664151002	5.23253435381178	150	47417	48192	776	2406	3.72692104145082e-05	0.008	0.00277282925483941	0.16
Block_67	15	72335267	76078653	0.00729866824262645	4.51057697394315	185	99438	100055	618	6498	1.73922981934371e-05	0.008	0.0037915210061693	0.188
Block_68	1	106175242	111535465	0.00716597918086875	4.07027617473345	7	13868	14435	568	1629	1.73922981934371e-05	0.008	0.00468846667014513	0.204
Block_69	5	34441281	35671212	0.00796336729640811	1.40155264416783	66	217556	217731	176	1122	1.49076841658033e-05	0.008	0.0304216141543492	0.5
Block_70	16	17027900	18166238	0.00799630653982088	1.29540165945098	189	105818	105979	162	172	1.9876912221071e-05	0.008	0.0344665657913371	0.532
Block_71	15	57220527	72192241	0.00592512234714494	15.8793278903484	185	96750	99429	2680	6498	6.21153506908469e-05	0.01	0.000245976788735754	0.034
Block_72	3	47830766	57343248	0.00617540808038785	8.39855498932748	39	185838	187197	1360	4197	8.69614909671857e-05	0.01	0.00112553015451815	0.098
Block_73	3	10162786	16514304	0.00629802681140396	8.02998418454004	38	181387	182661	1275	3566	7.45384208290163e-05	0.01	0.0012174608735406	0.104
Block_74	11	37470559	48388395.5	0.00635242479961966	7.27987882036413	150	48237	49382	1146	2406	6.95691927737486e-05	0.01	0.00152058378491193	0.118
Block_75	19	12613173	19887482	0.00636796063325758	6.32338490882477	208	133273	134265	993	2503	7.95076488842841e-05	0.01	0.00200508352030054	0.142
Block_76	18	44471411	54270189	0.00642641862018356	5.5524256878386	206	128688	129551	864	3013	8.44768769395518e-05	0.01	0.00247716018555098	0.152
Block_77	3	64070	10078995	0.00662700772522908	5.08954193297594	38	180614	181381	768	3566	5.46615086079453e-05	0.01	0.00294675223677378	0.164
Block_78	11	25755179	28110163	0.00767078508998968	1.61086486889783	150	46979	47188	210	2406	2.73307543039727e-05	0.01	0.0242622559798448	0.458
Block_79	13	19478976	30626270	0.00623716170694919	7.61557444418496	165	74911	76131	1221	3958	8.94461049948196e-05	0.012	0.00136156848714336	0.114
Block_80	4	180017315	186141127	0.00640671967111435	4.12592746819764	64	213491	214134	644	1155	0.000126715315409328	0.012	0.00454187444251473	0.204
Block_81	10	33171388	38715824	0.00674992529667985	3.97570599974443	137	32259	32847	589	2154	6.45999647184808e-05	0.012	0.00489468963443874	0.208
Block_82	7	65196821.5	72385817	0.00718486684602501	3.31940848286355	95	255950	256411	462	462	2.48461402763388e-05	0.012	0.00677554245335758	0.256
Block_83	4	128896592	132565902	0.00779311713199966	1.48069225507993	60	210036	210225	190	4676	2.23615262487049e-05	0.012	0.0279419693547706	0.49
Block_84	7	75123243	76235611	0.00777010420413384	1.22767646425315	97	256707	256864	158	158	2.73307543039727e-05	0.012	0.0373661103615859	0.548
Block_85	11	189654	5758164	0.00618482692082299	5.87558557478184	148	43683	44632	950	3186	0.000126715315409328	0.014	0.00224360646695339	0.148
Block_86	18	31253813	44392124	0.00622913433774529	5.2947641870835	206	127833	128682	850	3013	0.000131684543464596	0.014	0.00270822929012093	0.158
Block_87	3	71398091	79432794	0.00662233804126624	4.19193998012153	40	188686	189318	633	960	7.70230348566502e-05	0.014	0.00439776682891196	0.202
Block_88	3	63857914	68316096	0.00702649348869967	3.60459115970293	39	187864	188376	513	4197	3.72692104145082e-05	0.014	0.00585126603507778	0.236
Block_89	2	120824940	123832232.5	0.00687090670082579	3.33238974990051	32	150874	151358	485	1181	4.96922805526775e-05	0.014	0.00674324247099834	0.256
Block_90	2	172713300	176594963	0.00692894076403145	3.27046004062284	35	155359	155830	472	5305	4.96922805526775e-05	0.014	0.00695940389140249	0.26
Block_91	13	50723334	55827087	0.00686340207090796	3.08853093190858	165	78419	78868	450	3958	5.46615086079453e-05	0.014	0.00774951115219006	0.27
Block_92	9	12554597	14883945	0.00747988962501694	1.39125947025315	123	280621	280806	186	750	5.46615086079453e-05	0.014	0.0307495832059969	0.504
Block_93	10	65303464	66793462	0.0081662833484361	0.547140984345219	145	34610	34676	67	752	3.22999823592404e-05	0.014	0.112272254066692	0.814
Block_94	10	133620	17756784	0.00573067802347894	14.8309947247635	136	28106	30693	2588	2588	8.44768769395518e-05	0.016	0.000308092139426601	0.036
Block_95	7	18163892	33196672.6666667	0.00582855264844964	10.3748237142404	89	251546	253325	1780	6160	0.00012174608735406	0.016	0.000703145769820387	0.062
Block_96	2	98273086	110484609	0.00584678060295105	9.30807471989808	29	148483	150074	1592	1592	0.000129199929436962	0.016	0.000877068751754759	0.078
Block_97	12	208386.5	4715146	0.00612447896620955	5.74476127030456	158	59583	60520	938	4166	0.000144107613602765	0.016	0.00234050641403111	0.15
Block_98	10	114535504	121216297	0.00612522622519514	5.50045315022524	147	40676	41573	898	6142	0.0001540460697133	0.016	0.00252436785207602	0.152
Block_99	15	77367981	82527367	0.00611390804841282	5.46583379528106	185	100183	101076	894	6498	0.000159015297768568	0.016	0.00256909090457343	0.152
Block_100	17	29667326	34479862	0.00656505864731685	4.00468577486328	199	117613	118222	610	1194	9.93845611053551e-05	0.016	0.00482015121360972	0.206
Block_101	18	54690921	58350853	0.00669473665336228	3.72227357926943	206	129596	130151	556	3013	8.44768769395518e-05	0.016	0.00551832775537484	0.226
Block_102	12	11306136	14242419	0.00697165086705659	3.02569647630256	158	61519	61952	434	4166	4.96922805526775e-05	0.016	0.00807251097578247	0.278
Block_103	9	222492	4980116	0.00689416243315182	2.60599339973139	118	279952	280329	378	641	6.70845787461147e-05	0.016	0.0106316634242454	0.306
Block_104	10	43079185	46077752	0.00701177755241444	2.54527525152644	138	32848	33210	363	371	5.71461226355792e-05	0.016	0.0110813785632471	0.32
Block_105	4	43758625	43785049	-0.021586912991016	0.064760738973048	57	204685	204687	3	32	1.9876912221071e-05	0.016	0.614186649174984	1
Block_106	1	213285062	225139935	0.00587779452986924	7.37075434045603	19	23769	25022	1254	5331	0.000173922981934371	0.018	0.00148828380255269	0.114
Block_107	6	133091319	139269418	0.00618199874367504	5.29797292332951	87	244888	245744	857	6089	0.000149076841658033	0.018	0.00270822929012093	0.158
Block_108	17	25268976	27934880	0.00679114934074235	2.75041548300065	199	117029	117433	405	1194	8.69614909671857e-05	0.018	0.00970490239193792	0.296
Block_109	8	101138280	103265981	0.00676243841295383	2.69145048835562	116	274295	274692	398	2224	9.44153330500873e-05	0.018	0.0100577175838619	0.298
Block_110	4	140331396	143195360	0.00689628102414009	2.25508389489381	61	210562	210888	327	2259	7.70230348566502e-05	0.018	0.0135486002926875	0.344
Block_111	8	80009924	80830968	0.00829575504071488	0.506041057483608	113	272644	272704	61	401	3.72692104145082e-05	0.018	0.123423201822713	0.836
Block_112	13	56138482	57484443	0.0115271952221194	0.230543904442387	166	78869	78888	20	20	2.23615262487049e-05	0.018	0.278331432603602	0.988
Block_113	10	94327826	114108821	0.00564272931593597	13.4184103132957	147	38221	40598	2378	6142	0.000124230701381694	0.02	0.000400022858449054	0.04
Block_114	13	90635440	100003000.5	0.00602576467510198	5.36293056084076	170	80281	81170	890	2686	0.000193799894155442	0.02	0.00265108316748535	0.154
Block_115	18	2806318	9185003	0.0063394502864793	3.76563347016871	202	125690	126283	594	1409	0.000168953753879104	0.02	0.00542142780829712	0.226
