	Old_to_Young.logFC	Old_to_Young.AveExpr	Old_to_Young.t	Old_to_Young.P.Value	Old_to_Young.adj.P.Val	Old_to_Young.B	Old_to_Young.Old_AVG	Old_to_Young.Young_AVG	Old_to_Young.deltaBeta	Old_to_Young.CHR	Old_to_Young.MAPINFO	Old_to_Young.Strand	Old_to_Young.Type	Old_to_Young.gene	Old_to_Young.feature	Old_to_Young.cgi	Old_to_Young.feat.cgi	Old_to_Young.UCSC_Islands_Name	Old_to_Young.SNP_ID	Old_to_Young.SNP_DISTANCE
cg16867657	-0.0512579203603204	0.742888002988532	-6.88580061956898	1.02581159681831e-08	0.00764771268152763	9.20824418366847	0.768516963168692	0.717259042808372	-0.0512579203603204	6	11044877	F	I	ELOVL2	TSS1500	island	TSS1500-island	chr6:11043913-11045206	rs573887826;rs375417505;rs562861311	3;34;40
cg11218561	0.0261182019286451	0.856989851032489	6.4449132253084	4.92384466670883e-08	0.012144723739015	7.64700944395045	0.843930750068167	0.870048951996812	0.0261182019286452	11	1050743	R	I		IGR	opensea	IGR-opensea		rs115488011;rs191250116;rs74330548;rs543969751;rs565341387	49;44;26;21;20
cg05911659	-0.044783024061691	0.337816817322722	-6.40062210685462	5.76357568716522e-08	0.012144723739015	7.49049058943567	0.360208329353567	0.315425305291876	-0.0447830240616909	5	175223626	R	I	CPLX2	1stExon	island	1stExon-island	chr5:175223609-175224679	rs562719831;rs530158013;rs541889728;rs2243404;rs528225264;rs546386449	50;48;16;12;3;2
cg22367191	-0.0494988587152089	0.272517661840724	-6.36609862830777	6.51603896246153e-08	0.012144723739015	7.36855076551612	0.297267091198329	0.24776823248312	-0.0494988587152088	6	10425648	R	I		IGR	shore	IGR-shore	chr6:10426200-10426638		
cg06639320	-0.0500457898228785	0.479118224864819	-6.20610067218566	1.15014728469495e-07	0.0163762434713468	6.80424511359217	0.504141119776258	0.454095329953379	-0.0500457898228786	2	106015739	R	II	FHL2	TSS200	island	TSS200-island	chr2:106014878-106015884		
cg18064824	-0.0290587057059963	0.340036489682921	-6.16771048669529	1.31795802207403e-07	0.0163762434713468	6.66907413973809	0.354565842535919	0.325507136829923	-0.0290587057059963	2	176978893	F	I		IGR	shore	IGR-shore	chr2:176980765-176981423		
cg07212778	-0.0219677842784291	0.110897825467907	-6.09081569054934	1.7309552537893e-07	0.0174505256872297	6.39863709660042	0.121881717607122	0.0999139333286929	-0.0219677842784291	2	119916510	R	I	C1QL2	TSS200	island	TSS200-island	chr2:119914126-119916663	rs537079179	34
cg17268658	-0.0557156641466041	0.46950342402514	-6.05123222803813	1.99148177681776e-07	0.0174505256872297	6.25959540853702	0.497361256098442	0.441645591951838	-0.0557156641466042	2	106015745	R	II	FHL2	TSS200	island	TSS200-island	chr2:106014878-106015884		
cg10964367	-0.0405330284654297	0.138683040071955	-6.03535658958004	2.10662418024631e-07	0.0174505256872297	6.20386525680063	0.15894955430467	0.11841652583924	-0.0405330284654297	8	1771973	R	I	ARHGEF10	TSS200	island	TSS200-island	chr8:1771361-1772760		
cg05933904	-0.0277590053731825	0.118001293998578	-5.92551201244024	3.10675112672974e-07	0.0231616995400857	5.8188535229744	0.131880796685169	0.104121791311987	-0.0277590053731825	16	1032266	R	I	SOX8	1stExon	island	1stExon-island	chr16:1029878-1035327		
cg06739029	-0.018041476581879	0.0800427816516318	-5.83289502696447	4.30815252498912e-07	0.0291986212331826	5.49509983682718	0.0890635199425713	0.0710220433606922	-0.018041476581879	6	19837421	F	I	ID4	TSS200	shore	TSS200-shore	chr6:19837504-19839314	rs543607704;rs13210018;rs529522260	32;36;40
cg04111071	-0.0317133346957101	0.208887868713202	-5.8003328359271	4.83218410158079e-07	0.0300210712406944	5.38148278728969	0.224744536061057	0.193031201365347	-0.0317133346957101	7	19813299	R	I	TMEM196	TSS1500	shore	TSS1500-shore	chr7:19812569-19813005	rs553726953;rs572140643;rs189725226;rs561001405	44;11;5;1
cg23079217	-0.0182173084037294	0.093549850575291	-5.73862450429693	6.00503375270468e-07	0.0325605454962663	5.16648574185803	0.102658504777156	0.0844411963734264	-0.0182173084037294	12	79257730	F	I	SYT1	TSS200	opensea	TSS200-opensea			
cg20869158	-0.0278433150687539	0.155505673927964	-5.73349372512302	6.11442678139155e-07	0.0325605454962663	5.14862906527029	0.16942733146234	0.141584016393587	-0.0278433150687539	2	48982948	F	I	LHCGR	TSS200	island	TSS200-island	chr2:48982621-48982958	rs553985480;rs532961640	18;37
cg14658804	-0.0224250952853785	0.102246097094383	-5.65524822092276	8.04997256072794e-07	0.038148566285923	4.87669850826538	0.113458644737073	0.0910335494516942	-0.0224250952853785	5	168728213	F	I	SLIT3	TSS200	island	TSS200-island	chr5:168727429-168728275	rs552643041;rs112907674	31;42
cg01281911	-0.032497914205386	0.157752423208751	-5.65043451021019	8.18717822234399e-07	0.038148566285923	4.85999364294739	0.174001380311444	0.141503466106058	-0.0324979142053861	1	47882686	R	I	FOXE3	1stExon	island	1stExon-island	chr1:47881896-47883065		
cg16818628	-0.0293811489735647	0.0997403238920069	-5.54020536735535	1.20485055154631e-06	0.0499377196698082	4.47829508591379	0.114430898378789	0.0850497494052245	-0.0293811489735648	10	50604006	R	I	DRGX	5'UTR	island	5'UTR-island	chr10:50602989-50606783		
cg22454769	-0.0668660141297244	0.610462054836401	-5.53010758795308	1.2481796065132e-06	0.0499377196698082	4.44341107503818	0.643895061901263	0.577029047771538	-0.0668660141297243	2	106015767	R	I	FHL2	TSS200	island	TSS200-island	chr2:106014878-106015884		
cg03614193	-0.0482776399589159	0.295477923177948	-5.52455105082314	1.2726774497086e-06	0.0499377196698082	4.42422146245832	0.319616743157406	0.27133910319849	-0.048277639958916	18	55021542	F	I	ST8SIA3	Body	island	Body-island	chr18:55019707-55021605	rs576947032;rs544483145;rs113423471;rs202125286;rs200319946;rs529849678;rs3745059;rs75949411	2;16;21;23;34;36;45;46
