logFC	AveExpr	t	P.Value	adj.P.Val	B	probeID	CHR	MAPINFO	arm	gene	distancetoGene	feature	cgi	feat.cgi	X01_AVG	X11_AVG	deltaBeta	NA	NA
3486	-0.291739817	0.431487564	-4.73867901	4.08E-06	8.69E-05	3.561531124	cg16348112	1	9258798	p	H6PD	-36065	IGR	island	IGR	-	island	0.454710635	0.162970817	-0.291739817
997	-0.351272957	0.544255551	-6.218744636	2.87E-09	1.64E-07	10.57293939	cg18180569	1	44883362	p	RNF220	NA	Body	island	Body	-	island	0.572217577	0.22094462	-0.351272957
9	-0.500724421	0.684825194	-12.52197328	6.17E-27	3.05E-23	50.53889141	cg10512745	1	50884480	p	DMRTA2	NA	Body	island	Body	-	island	0.724683854	0.223959433	-0.500724421
699	-0.364968175	0.527550489	-13.2360627	3.93E-29	3.39E-25	55.52167376	cg09792881	1	50884544	p	DMRTA2	NA	Body	island	Body	-	island	0.556602683	0.191634507	-0.364968175
174	-0.416032913	0.58954186	-12.89989188	4.26E-28	3.13E-24	53.17316788	cg16732616	1	50886782	p	DMRTA2	NA	Body	island	Body	-	island	0.622658908	0.206625995	-0.416032913
912	-0.35479726	0.527389823	-10.70390518	1.99E-21	2.41E-18	38.0387551	cg25191628	1	50886949	p	DMRTA2	NA	Body	island	Body	-	island	0.555632391	0.200835131	-0.35479726
2868	-0.300793497	0.429409478	-5.060223142	9.46E-07	2.50E-05	4.963229957	cg13368519	1	50893149	p	DMRTA2	9926	IGR	island	IGR	-	island	0.453353239	0.152559742	-0.300793497
2816	-0.301876	0.675847231	-7.285461356	7.25E-12	8.42E-10	16.40870627	cg21836358	1	63790202	p	FOXD3	NA	3'UTR	island	3'UTR	-	island	0.699877161	0.398001161	-0.301876
1237	-0.340119752	0.486588778	-5.350936108	2.39E-07	7.65E-06	6.291237593	cg14179389	1	92947961	p	GFI1	NA	Body	island	Body	-	island	0.513662987	0.173543235	-0.340119752
2999	-0.298700075	0.501668843	-6.094225301	5.57E-09	2.92E-07	9.930993711	cg07533148	1	248020812	q	TRIM58	NA	1stExon	island	1stExon	-	island	0.525445963	0.226745888	-0.298700075
8324	-0.245085166	0.402188736	-5.328923597	2.65E-07	8.40E-06	6.188724016	cg23712342	10	60936794	q	PHYHIPL	NA	Body	island	Body	-	island	0.421698003	0.176612837	-0.245085166
11335	-0.226345406	0.393004751	-4.257532862	3.18E-05	0.000490715	1.602893155	cg01037890	10	60937048	q	PHYHIPL	NA	Body	island	Body	-	island	0.411022296	0.18467689	-0.226345406
201836	-0.003853873	0.364596507	-0.047094496	0.96248493	0.977725709	-7.047737697	cg19235339	10	90342899	q	RNLS	NA	1stExon	island	1stExon	-	island	0.364903283	0.361049411	-0.003853873
158732	-0.012691744	0.35072262	-0.150313752	0.880668643	0.92714673	-7.037574881	cg18192294	10	90343204	q	RNLS	NA	TSS200	island	TSS200	-	island	0.351732908	0.339041164	-0.012691744
560	-0.373504978	0.493049951	-7.874118139	2.14E-13	3.71E-11	19.85794503	cg22579265	10	94180383	q	MARK2P9	1965	IGR	island	IGR	-	island	0.52278169	0.149276713	-0.373504978
1293	-0.338403245	0.418874147	-6.204731461	3.10E-09	1.75E-07	10.50025742	cg05336698	10	102497298	q	PAX2	-8170	IGR	island	IGR	-	island	0.445811718	0.107408474	-0.338403245
121	-0.428484973	0.60587045	-7.870561397	2.19E-13	3.78E-11	19.83667202	cg17101450	10	102900365	q	TLX1	9304	IGR	shore	IGR	-	shore	0.639978706	0.211493734	-0.428484973
535	-0.37606235	0.471936748	-7.568536427	1.36E-12	1.92E-10	18.04899952	cg10143067	10	118892423	q	VAX1	NA	Body	island	Body	-	island	0.50187206	0.12580971	-0.37606235
40	-0.463032467	0.662512613	-9.186377796	5.28E-17	2.27E-14	28.0143298	cg03048654	10	118893138	q	VAX1	NA	3'UTR	shore	3'UTR	-	shore	0.699370919	0.236338452	-0.463032467
1716	-0.324658479	0.466291023	-6.670017564	2.45E-10	1.89E-08	12.97094504	cg06611922	10	118893174	q	VAX1	NA	3'UTR	shore	3'UTR	-	shore	0.492134484	0.167476005	-0.324658479
3764	-0.288121388	0.525720132	-5.796929405	2.60E-08	1.12E-06	8.434717169	cg17795158	10	124908427	q	HMX2	NA	Body	island	Body	-	island	0.548655168	0.26053378	-0.288121388
316	-0.393674047	0.569319852	-5.984624999	9.88E-09	4.83E-07	9.37332632	cg06299833	10	126136709	q	NKX1-2	NA	Body	island	Body	-	island	0.600657089	0.206983043	-0.393674047
1283	-0.338630474	0.496495934	-5.692861693	4.41E-08	1.78E-06	7.923451966	cg21064916	11	44340839	p	ALX4	58561	IGR	shore	IGR	-	shore	0.523451593	0.184821119	-0.338630474
1341	-0.336784148	0.459051863	-5.409229892	1.80E-07	6.00E-06	6.564237046	cg19497031	13	79176272	q	POU4F1	NA	Body	island	Body	-	island	0.485860552	0.149076404	-0.336784148
3761	-0.28815176	0.409026184	-4.122519333	5.49E-05	0.00077512	1.084463009	cg14123923	13	79176572	q	POU4F1	NA	Body	island	Body	-	island	0.431963638	0.143811878	-0.28815176
2170	-0.313844616	0.459127153	-5.035563892	1.06E-06	2.76E-05	4.853197337	cg07573209	15	76630095	q	ISL2	NA	Body	island	Body	-	island	0.484109809	0.170265193	-0.313844616
4315	-0.281387783	0.446509244	-7.068624717	2.56E-11	2.57E-09	15.17669911	cg07268058	15	76630260	q	ISL2	NA	Body	island	Body	-	island	0.468908271	0.187520488	-0.281387783
1779	-0.323017594	0.512738334	-6.881921575	7.44E-11	6.62E-09	14.13376211	cg13077545	17	41832873	q	SOST	NA	Body	island	Body	-	island	0.538451177	0.215433583	-0.323017594
1561	-0.329661232	0.446266242	-7.639382479	8.87E-13	1.31E-10	18.46494538	cg12473285	17	41832975	q	SOST	NA	Body	island	Body	-	island	0.472507932	0.1428467	-0.329661232
2235	-0.312727193	0.40751565	-4.332004625	2.34E-05	0.000379432	1.894802385	cg04618333	17	46800674	q	C17orf93	NA	Body	island	Body	-	island	0.432409356	0.119682163	-0.312727193
52	-0.455561817	0.549454698	-5.983000981	9.97E-09	4.86E-07	9.365115586	cg09000583	17	46802888	q	HOXB13	NA	3'UTR	island	3'UTR	-	island	0.585718326	0.130156509	-0.455561817
238	-0.405917614	0.562724078	-9.191012514	5.12E-17	2.20E-14	28.04410513	cg08594218	17	46803008	q	HOXB13	NA	3'UTR	island	3'UTR	-	island	0.595035927	0.189118313	-0.405917614
11120	-0.227649325	0.352412978	-3.148829358	0.001890432	0.013618175	-2.222923343	cg02727444	19	12175631	p	ZNF844	NA	5'UTR	island	5'UTR	-	island	0.370534318	0.142884992	-0.227649325
2397	-0.309356136	0.472761449	-4.06586263	6.88E-05	0.000933058	0.871097818	cg26827373	19	12175935	p	ZNF844	NA	Body	island	Body	-	island	0.497386813	0.188030678	-0.309356136
12183	-0.222001155	0.323379022	-3.026066985	0.002803313	0.018535387	-2.583683798	cg22379207	19	37329274	q	ZNF790	NA	1stExon	island	1stExon	-	island	0.341050756	0.119049601	-0.222001155
12374	-0.221128971	0.318348858	-2.925252809	0.003839592	0.023614909	-2.870154288	cg18876786	19	37329381	q	ZNF790	NA	TSS200	island	TSS200	-	island	0.335951164	0.114822193	-0.221128971
12261	-0.221587168	0.313144779	-3.021249632	0.002846295	0.01875576	-2.5975743	cg21868211	19	37341078	q	ZNF345	NA	TSS200	island	TSS200	-	island	0.330783558	0.10919639	-0.221587168
14422	-0.211042443	0.317383604	-2.935688106	0.00371799	0.023028673	-2.840913977	cg12033943	19	37341734	q	ZNF345	NA	5'UTR	island	5'UTR	-	island	0.334183002	0.123140559	-0.211042443
9913	-0.234771534	0.357809422	-2.938372074	0.00368729	0.022877879	-2.833377908	cg03100040	19	37341870	q	ZNF345	NA	5'UTR	island	5'UTR	-	island	0.376497703	0.14172617	-0.234771534
10028	-0.234112591	0.367028137	-3.195555033	0.001622066	0.012070658	-2.082199319	cg14142713	19	37957995	q	ZNF569	NA	5'UTR	island	5'UTR	-	island	0.385663965	0.151551374	-0.234112591
9760	-0.235723733	0.377667495	-3.113775329	0.002118123	0.014891843	-2.327264147	cg03884783	19	37957997	q	ZNF569	NA	5'UTR	island	5'UTR	-	island	0.396431573	0.16070784	-0.235723733
10611	-0.230594567	0.342908753	-3.330735473	0.001031556	0.008442662	-1.664583197	cg08630279	19	37958346	q	ZNF569	NA	TSS200	island	TSS200	-	island	0.36126454	0.130669973	-0.230594567
13362	-0.216412284	0.341607201	-3.248006636	0.001363126	0.010520999	-1.922004954	cg25451874	19	37958444	q	ZNF569	NA	TSS200	shore	TSS200	-	shore	0.358834049	0.142421765	-0.216412284
7426	-0.251500173	0.401023391	-3.922358638	0.000120503	0.001477139	0.341898973	cg19655456	19	37959961	q	ZNF570	NA	TSS200	island	TSS200	-	island	0.421043305	0.169543133	-0.251500173
13415	-0.216132831	0.318729151	-3.183353923	0.00168851	0.012459783	-2.119126068	cg17778441	19	37960107	q	ZNF570	NA	5'UTR	island	5'UTR	-	island	0.335933755	0.119800923	-0.216132831
2725	-0.30355418	0.474620224	-4.647674719	6.09E-06	0.000122066	3.178069388	cg19396867	19	40314862	q	DYRK1B	-1128	IGR	shore	IGR	-	shore	0.49878374	0.19522956	-0.30355418
1808	-0.32239329	0.443677899	-4.352628874	2.15E-05	0.000353018	1.976384628	cg06528584	19	40314899	q	DYRK1B	-1091	IGR	shore	IGR	-	shore	0.469341046	0.146947756	-0.32239329
611	-0.369598714	0.514217139	-4.618154318	6.92E-06	0.000136058	3.054962268	cg06936564	19	40314927	q	DYRK1B	-1063	IGR	island	IGR	-	island	0.543637932	0.174039218	-0.369598714
2559	-0.306548015	0.472944407	-4.998017783	1.26E-06	3.20E-05	4.686460848	cg20655070	19	40315011	q	DYRK1B	-979	IGR	island	IGR	-	island	0.497346239	0.190798224	-0.306548015
522	-0.37718963	0.58926351	-5.151085129	6.19E-07	1.74E-05	5.372230488	cg00498691	19	40315143	q	DYRK1B	-847	IGR	island	IGR	-	island	0.619288555	0.242098925	-0.37718963
24902	-0.172201588	0.552025557	-4.019973192	8.24E-05	0.001083185	0.700113563	cg26787220	19	45720771	q	EXOC3L2	NA	Body	island	Body	-	island	0.565733146	0.393531557	-0.172201588
