	colMeans
cg16348112	0.167949645281462
cg18180569	0.0995702183033539
cg10512745	0.0662621963351497
cg09792881	0.093114178706005
cg16732616	0.0330907792537516
cg25191628	0.0660848207555245
cg13368519	0.0626533262380396
cg07533148	0.0492212736416083
cg23712342	0.0954415196434611
cg01037890	0.0885686792479697
cg19235339	0.0528428667757835
cg18192294	0.0480884907432464
cg22579265	0.108589813255218
cg05336698	0.0493257136264644
cg17101450	0.0451091806794542
cg10143067	0.089631222904769
cg03048654	0.112033433162178
cg06611922	0.0793871183693122
cg17795158	0.164688678499523
cg06299833	0.132800927451196
cg21064916	0.0980194196575933
cg19497031	0.056995316968916
cg14123923	0.0235574151042335
cg07573209	0.0720094319324093
cg07268058	0.108622451962473
cg13077545	0.0971473536168049
cg12473285	0.0301159829052971
cg04618333	0.0740155736020951
cg09000583	0.0437022102277343
cg08594218	0.0956294237280717
cg02727444	0.0925135873682158
cg26827373	0.161795316727318
cg22379207	0.0525550806949101
cg18876786	0.0439588141671922
cg21868211	0.0777056915216195
cg12033943	0.0722741432310081
cg03100040	0.0936637341206637
cg14142713	0.0862903152220381
cg03884783	0.0887482324438557
cg08630279	0.048251173724106
cg25451874	0.0701027311075475
cg19655456	0.0962536418832043
cg17778441	0.0572922044066679
cg19396867	0.160180253183543
cg06528584	0.146224026478729
cg06936564	0.124930810198268
cg20655070	0.111864795717198
cg00498691	0.159679485589044
cg10788735	0.0362785218823414
cg07686635	0.0750893911936966
cg01620580	0.0526342311335137
cg19811761	0.132163644912403
cg00674365	0.114502098213653
cg22935456	0.0969958795369068
cg09265529	0.0416724545486443
cg24334111	0.0401323538597931
cg16722964	0.115873088540679
cg17136126	0.105601861355351
cg22995684	0.0439702575721497
cg25622366	0.0286955740084899
cg19656282	0.0916898322423672
cg05268203	0.0508309159896719
cg06530490	0.049528417758813
cg05766802	0.115783647742389
cg02583633	0.103004122246289
cg09556952	0.0974856838138614
cg23286646	0.0535881221412305
cg01853561	0.116941655580869
cg23896164	0.190458252202864
cg17174023	0.175122695201628
cg26917673	0.0481414837945967
cg23806894	0.128196324136798
cg26708319	0.113953876214561
cg21986225	0.0282560203669282
cg18725867	0.0657101477882025
cg02320454	0.0625210450896101
cg18447772	0.0475517279509123
cg12600174	0.0547027606892787
cg15506609	0.178046677892262
