	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7
cg17780246	chr19	54481317	54481618	0.0258698315743158	0.000162836863433606	0.00296821712763826	3.805753424478	CACNG8	chr19	54481467	54481468	cg17780246	CACNG8	Island	I
cg05979020	chr2	176981186	176981487	0.0169042550039271	-7.81518977319737e-06	0.00185349851637808	3.50327438378934	HOXD10	chr2	176981336	176981337	cg05979020	HOXD10	Island	I
cg26444528	chr13	58207709	58208010	0.00528724698956096	0.000463147096532287	0.000974014246514823	3.35745828238269	PCDH17	chr13	58207859	58207860	cg26444528	PCDH17	Island	I
cg18115040	chr2	176981178	176981479	0.0124606589952603	0.000115150193110108	0.00142845952207748	3.20929929907724	HOXD10	chr2	176981328	176981329	cg18115040	HOXD10	Island	I
cg08833577	chr10	118899138	118899439	0.0105703502537529	0.000129692979459382	0.00121340035052386	3.00310870649897	VAX1	chr10	118899288	118899289	cg08833577	VAX1	Island	I
cg18694169	chr6	28226929	28227230	0.00969685121580289	0.000255817781558536	0.00130179137175948	2.57528423397262	NKAPL	chr6	28227079	28227080	cg18694169	NKAPL	Island	I
cg09523275	chr6	28226943	28227244	0.00482633637144946	0.000561859843814595	0.00102931571472097	2.27276049294162	NKAPL	chr6	28227093	28227094	cg09523275	NKAPL	Island	II
cg05336395	chr13	53421538	53421839	0.00223798319303492	6.36044196684156e-05	0.000342745426274734	2.20162104774479	PCDH8	chr13	53421688	53421689	cg05336395	PCDH8	Island	I
cg06757405	chr5	140789300	140789601	0.010967048034647	6.66221142292168e-05	0.00123126581861585	2.20023467822896	PCDHGA4	chr5	140789450	140789451	cg06757405	PCDHGA4	Island	I
cg00579520	chr12	128752436	128752737	0.00531679180400287	-7.31989080199396e-05	0.000569529154277069	1.75880226212666	TMEM132C	chr12	128752586	128752587	cg00579520	TMEM132C	Island	II
cg12265623	chr7	8481844	8482145	0.00392376361762638	5.53697763851339e-05	0.000432849875268603	1.55873386691928	NXPH1	chr7	8481994	8481995	cg12265623	NXPH1	Island	II
cg09639151	chr5	140810770	140811071	0.00656607820798573	-6.95101379612559e-05	0.000647229070227711	1.41568031816591	PCDHGA4	chr5	140810920	140810921	cg09639151	PCDHGA4	Island	I
