	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	X0.1	X1.1	Estimate	Std..Error	t.value	Pr...t..	X	Estimate.1	Std..Error.1	t.value.1	Pr...t...1	idx	beta	pval	cilb	ciub	i2	tau2	Symbol.1	coef	exp.coef.	se.coef.	z	Pr...z..
cg19797376	chr1	47695325	47695626	0.00171428571428571	-5.89539153736725e-05	7.99374924870778e-06	0.181659349545143	TAL1	chr1	47695475	47695476	cg19797376	TAL1	N_Shore	II	30384.3702373419	13650.8482593859	-2.30243592428657e-06	1.12310952272087e-07	-20.5005467205784	1.31142050557977e-91	ENSG00000162367.10	-0.145320359831581	0.00690156094418075	-21.0561583106952	7.87028476173649e-74	30016	-1.34368663323347	4.70167758597191e-08	-1.82582914613182	-0.86154412033513	98.4588689731215	1.31356759780677	TAL1	-0.301509844554605	0.739700544296396	0.149734531228197	-2.01362933507369	0.0440484641607603
cg06365535	chr17	59533952	59534253	0.00273473748473748	0.000116951556278972	0.000261381252406663	0.12945513994021	TBX4	chr17	59534102	59534103	cg06365535	TBX4	Island	I	51060.6576810271	11027.8755927354	-1.12703049978873e-06	5.06277264035855e-08	-22.2611319893068	2.62664352177315e-107	ENSG00000121075.8	-0.0868525877332672	0.00659418975635957	-13.171078015992	6.48832403512033e-35	25506	0.789160461442334	0.220269283295969	-0.472636281821033	2.0509572047057	98.552128926525	8.37141322114674	TBX4	-0.335321600360034	0.715108070355039	0.149547126634549	-2.24224702878756	0.0249454112041735
cg06796779	chr3	128204777	128205078	0.00194805194805195	-2.21690002456399e-05	7.41338977386655e-05	0.039017745017745	GATA2	chr3	128204927	128204928	cg06796779	GATA2	N_Shore	I	200335.933800518	145539.691198351	-2.72312631748152e-08	6.87840750589078e-09	-3.95894880486419	7.57774062864218e-05	ENSG00000179348.10	-0.114249049801739	0.00869261966573842	-13.1432242747312	8.62753289176492e-35	27629	-0.634291175341954	0.0351973355945122	-1.22457615778435	-0.0440061928995535	98.8143862641603	1.98988610087402	GATA2	-0.31457901851453	0.730096166551069	0.149675117807579	-2.10174558819421	0.0355755678131033
cg21346043	chr8	86350917	86351218	0.00293333333333333	-4.61857152573333e-05	0.000148734782280364	0.0374391025641026	CA3	chr8	86351067	86351068	cg21346043	CA3	Island	II	474245.169174196	58875.0988501891	-7.88421560622603e-09	1.34308349272617e-09	-5.87023491013414	4.48370411377508e-09	ENSG00000164879.6	-0.0565542255520252	0.00550404605750751	-10.2750276725765	6.78212780273235e-23	5604	-1.54736833388245	0.00034219852033599	-2.39426374374007	-0.700472924024826	98.7806433111063	4.12978095888294	CA3	-0.3690107020119	0.691418010846933	0.149973266825968	-2.46050986166826	0.0138739759041566
cg18536148	chr17	59533694	59533995	0.001	-2.22222222222222e-05	3.15789473684211e-05	0.0327441860465116	TBX4	chr17	59533844	59533845	cg18536148	TBX4	Island	II	51060.6576810271	11027.8755927354	-1.12703049978873e-06	5.06277264035855e-08	-22.2611319893068	2.62664352177315e-107	ENSG00000121075.8	-0.0868525877332672	0.00659418975635957	-13.171078015992	6.48832403512033e-35	25506	0.789160461442334	0.220269283295969	-0.472636281821033	2.0509572047057	98.552128926525	8.37141322114674	TBX4	-0.335321600360034	0.715108070355039	0.149547126634549	-2.24224702878756	0.0249454112041735
cg11717507	chr12	114838675	114838976	0.0015	1.14285714285714e-05	0.00010365307037203	0.0230065359477124	TBX5	chr12	114838825	114838826	cg11717507	TBX5	Island	II	31894.7242095466	11988.388256557	-1.24251933075277e-06	7.61852879698762e-08	-16.3091767959723	4.5160035658987e-59	ENSG00000089225.18	-0.100492367115338	0.0091655721929978	-10.9641127688799	1.38179865511471e-25	21757	0.120226224545547	0.838045360441428	-1.03263877798632	1.27309122707742	98.6704916052684	6.66104098096498	TBX5	-0.315388879150665	0.729505129766203	0.149377481791652	-2.11135490682967	0.0347418178955997
cg21245652	chr2	95690901	95691202	0.00138461538461538	0	9.42408376963351e-05	0.0224	MAL	chr2	95691051	95691052	cg21245652	MAL	Island	II	4109619.71786952	767352.741546432	-9.86996280750778e-09	5.21803238444925e-10	-18.9151045457713	1.72096526004858e-78	ENSG00000172005.9	-0.065862355190288	0.0070665463607067	-9.32030327523406	2.29067164862147e-19	3872	-1.99710804620374	0.000141550936503966	-3.02570325293837	-0.968512839469106	99.2688271245648	5.86609507549733	MAL	-0.472881358507444	0.623204004645061	0.151499185731861	-3.12134587537914	0.00180026455466441
cg25900280	chr17	59534697	59534998	0.000444444444444444	-2.18579234972678e-05	0	0.011027027027027	TBX4	chr17	59534847	59534848	cg25900280	TBX4	Island	I	51060.6576810271	11027.8755927354	-1.12703049978873e-06	5.06277264035855e-08	-22.2611319893068	2.62664352177315e-107	ENSG00000121075.8	-0.0868525877332672	0.00659418975635957	-13.171078015992	6.48832403512033e-35	25506	0.789160461442334	0.220269283295969	-0.472636281821033	2.0509572047057	98.552128926525	8.37141322114674	TBX4	-0.335321600360034	0.715108070355039	0.149547126634549	-2.24224702878756	0.0249454112041735
cg16845394	chr8	109095857	109096158	0.000181818181818182	0	1.10497237569061e-05	0.00888888888888889	RSPO2	chr8	109096007	109096008	cg16845394	RSPO2	S_Shore	II	22870.7268877105	8153.01968277785	-6.07717078424698e-07	6.24645125478663e-08	-9.72899737205196	2.81716034342255e-22	ENSG00000147655.9	-0.0359664158247853	0.00342590022367715	-10.498383921462	9.37268254514866e-24	5591	-2.33301278191108	4.47130502018919e-05	-3.45329439223558	-1.21273117158659	97.7182866997834	6.86996905612479	RSPO2	-0.29626551248039	0.743589969390308	0.149035986420097	-1.98787903241898	0.0468250702193296
cg00182639	chr12	114841521	114841822	0.001	-1.17647058823529e-05	3.37078651685393e-05	0.00390697674418605	TBX5	chr12	114841671	114841672	cg00182639	TBX5	N_Shore	I	31894.7242095466	11988.388256557	-1.24251933075277e-06	7.61852879698762e-08	-16.3091767959723	4.5160035658987e-59	ENSG00000089225.18	-0.100492367115338	0.0091655721929978	-10.9641127688799	1.38179865511471e-25	21757	0.120226224545547	0.838045360441428	-1.03263877798632	1.27309122707742	98.6704916052684	6.66104098096498	TBX5	-0.315388879150665	0.729505129766203	0.149377481791652	-2.11135490682967	0.0347418178955997
cg04268950	chr11	130298704	130299005	0.000625	-2.29885057471264e-05	3.15789473684211e-05	0.00383333333333334	ADAMTS8	chr11	130298854	130298855	cg04268950	ADAMTS8	S_Shore	I	75571.1433916832	24184.4684245412	-1.91361620667143e-07	1.87503746821603e-08	-10.2057491602667	2.42802835650963e-24	ENSG00000134917.9	-0.0721776246427645	0.00427274373903982	-16.8925704538003	1.63925646726335e-52	27963	-2.12786777695368	2.28673668002337e-08	-2.8741032773456	-1.38163227656176	98.7572127872762	3.11754959297662	ADAMTS8	-0.31466292106526	0.730034912190151	0.148997540641451	-2.11186654296843	0.0346978977784629
cg14535980	chr2	106681787	106682088	0.00144444444444444	0	0.000135416666666667	0.00381818181818182	C2orf40	chr2	106681937	106681938	cg14535980	C2orf40	N_Shore	I	401593.375623076	144231.032747077	-5.19373732333331e-08	4.35711507178371e-09	-11.9201288875006	1.50787611191848e-32	ENSG00000119147.8	-0.0330719015482117	0.00337134180011188	-9.8097147987529	3.81249276946215e-21	27397	-3.7502656205231	6.80989351551451e-13	-4.77354030515719	-2.72699093588901	98.9402844525389	5.95412413904301	C2orf40	-0.305165621483897	0.737001301033811	0.148879230414222	-2.04975281397441	0.0403885583340394
cg03839949	chr3	128210391	128210692	0	0	0	0.00342857142857143	GATA2	chr3	128210541	128210542	cg03839949	GATA2	Island	II	200335.933800518	145539.691198351	-2.72312631748152e-08	6.87840750589078e-09	-3.95894880486419	7.57774062864218e-05	ENSG00000179348.10	-0.114249049801739	0.00869261966573842	-13.1432242747312	8.62753289176492e-35	27629	-0.634291175341954	0.0351973355945122	-1.22457615778435	-0.0440061928995535	98.8143862641603	1.98988610087402	GATA2	-0.31457901851453	0.730096166551069	0.149675117807579	-2.10174558819421	0.0355755678131033
cg12670347	chr12	114847428	114847729	0	-1.16959064327485e-05	-1.11111111111111e-05	0.001991452991453	TBX5	chr12	114847578	114847579	cg12670347	TBX5	Island	I	31894.7242095466	11988.388256557	-1.24251933075277e-06	7.61852879698762e-08	-16.3091767959723	4.5160035658987e-59	ENSG00000089225.18	-0.100492367115338	0.0091655721929978	-10.9641127688799	1.38179865511471e-25	21757	0.120226224545547	0.838045360441428	-1.03263877798632	1.27309122707742	98.6704916052684	6.66104098096498	TBX5	-0.315388879150665	0.729505129766203	0.149377481791652	-2.11135490682967	0.0347418178955997
cg24154937	chr12	5153561	5153862	0	0	0	0.00142064714946071	KCNA5	chr12	5153711	5153712	cg24154937	KCNA5	Island	II	21807.1454753462	11168.6162672843	-2.95498626719383e-07	5.13815124995745e-08	-5.75106905858075	9.11604188910145e-09	ENSG00000130037.4	-0.061988676217633	0.00596299352910498	-10.3955632209008	2.33924371381384e-23	1425	-1.87716986717434	1.65359020742406e-07	-2.58003126549265	-1.17430846885602	97.3571580462864	2.73625878504081	KCNA5	-0.363587921101169	0.695177603748749	0.150224307920396	-2.42030019065779	0.0155076991876034
cg21838979	chr2	106681795	106682096	0	0	0	0	C2orf40	chr2	106681945	106681946	cg21838979	C2orf40	N_Shore	II	401593.375623076	144231.032747077	-5.19373732333331e-08	4.35711507178371e-09	-11.9201288875006	1.50787611191848e-32	ENSG00000119147.8	-0.0330719015482117	0.00337134180011188	-9.8097147987529	3.81249276946215e-21	27397	-3.7502656205231	6.80989351551451e-13	-4.77354030515719	-2.72699093588901	98.9402844525389	5.95412413904301	C2orf40	-0.305165621483897	0.737001301033811	0.148879230414222	-2.04975281397441	0.0403885583340394
cg24395452	chr4	52943047	52943348	0	0	0	0	SPATA18	chr4	52943197	52943198	cg24395452	SPATA18	Island	I	92136.1456665633	66109.4746585808	-1.61829714403673e-07	2.42972404616075e-08	-6.6604153940602	2.86729478828041e-11	ENSG00000163071.9	-0.0490358433031494	0.00626345569256656	-7.82888004801326	2.29269397856169e-14	3555	-0.601715434192138	0.0248035777219099	-1.12716332634555	-0.0762675420387285	98.3954145542049	1.55070206853013	SPATA18	-0.355615947204739	0.700741690368318	0.149745605928193	-2.37480054924127	0.0175584350850265
cg18499443	chr10	100993403	100993704	0	0	0	0	HPSE2	chr10	100993553	100993554	cg18499443	HPSE2	N_Shore	II	43786.299552255	20218.7703468162	-1.72754328532205e-07	2.63830625003902e-08	-6.54792553099738	6.107108197444e-11	ENSG00000172987.11	-0.0440765022243446	0.00433484081219528	-10.1679632849131	1.73348004192803e-22	29570	-2.44698626158829	0.00232664145794288	-4.02201812849982	-0.871954394676756	99.4010869288019	13.9049420168004	HPSE2	-0.407316630718795	0.665433460266646	0.15017905423907	-2.71220665746361	0.00668369093753318
cg08927006	chr10	100993406	100993707	0	0	0	0	HPSE2	chr10	100993556	100993557	cg08927006	HPSE2	N_Shore	I	43786.299552255	20218.7703468162	-1.72754328532205e-07	2.63830625003902e-08	-6.54792553099738	6.107108197444e-11	ENSG00000172987.11	-0.0440765022243446	0.00433484081219528	-10.1679632849131	1.73348004192803e-22	29570	-2.44698626158829	0.00232664145794288	-4.02201812849982	-0.871954394676756	99.4010869288019	13.9049420168004	HPSE2	-0.407316630718795	0.665433460266646	0.15017905423907	-2.71220665746361	0.00668369093753318
cg07015195	chr8	109093300	109093601	0	0	0	0	RSPO2	chr8	109093450	109093451	cg07015195	RSPO2	N_Shore	II	22870.7268877105	8153.01968277785	-6.07717078424698e-07	6.24645125478663e-08	-9.72899737205196	2.81716034342255e-22	ENSG00000147655.9	-0.0359664158247853	0.00342590022367715	-10.498383921462	9.37268254514866e-24	5591	-2.33301278191108	4.47130502018919e-05	-3.45329439223558	-1.21273117158659	97.7182866997834	6.86996905612479	RSPO2	-0.29626551248039	0.743589969390308	0.149035986420097	-1.98787903241898	0.0468250702193296
cg18131548	chr1	47696062	47696363	0	0	0	0	TAL1	chr1	47696212	47696213	cg18131548	TAL1	N_Shore	II	30384.3702373419	13650.8482593859	-2.30243592428657e-06	1.12310952272087e-07	-20.5005467205784	1.31142050557977e-91	ENSG00000162367.10	-0.145320359831581	0.00690156094418075	-21.0561583106952	7.87028476173649e-74	30016	-1.34368663323347	4.70167758597191e-08	-1.82582914613182	-0.86154412033513	98.4588689731215	1.31356759780677	TAL1	-0.301509844554605	0.739700544296396	0.149734531228197	-2.01362933507369	0.0440484641607603
cg14431443	chr12	114846281	114846582	0	0	0	0	TBX5	chr12	114846431	114846432	cg14431443	TBX5	Island	II	31894.7242095466	11988.388256557	-1.24251933075277e-06	7.61852879698762e-08	-16.3091767959723	4.5160035658987e-59	ENSG00000089225.18	-0.100492367115338	0.0091655721929978	-10.9641127688799	1.38179865511471e-25	21757	0.120226224545547	0.838045360441428	-1.03263877798632	1.27309122707742	98.6704916052684	6.66104098096498	TBX5	-0.315388879150665	0.729505129766203	0.149377481791652	-2.11135490682967	0.0347418178955997
cg24033122	chr16	30485233	30485534	0	0	0	0	ITGAL	chr16	30485383	30485384	cg24033122	ITGAL	Island	II	115798.399719994	96256.5632863287	-6.16414345845094e-08	1.73318775508789e-08	-3.5565353149742	0.000377434700527893	ENSG00000005844.16	-0.0937179253035375	0.00960188884926784	-9.76036348417881	5.80083382747064e-21	21928	-0.141030606590775	0.591128887557981	-0.655577283388734	0.373516070207184	98.3823075164902	1.49240718290391	ITGAL	-0.305992959753662	0.736391803817551	0.149987184194386	-2.04012737086316	0.0413376412198748
cg13919285	chr20	57875975	57876276	0	0	0	0	EDN3	chr20	57876125	57876126	cg13919285	EDN3	Island	II	128376.382508238	63114.1666373621	-3.27614648203817e-08	6.91097993783641e-09	-4.74049485240413	2.16002331189154e-06	ENSG00000124205.14	-0.0236193972324217	0.00218425052552964	-10.8135019112308	5.47517120548999e-25	25846	-3.39457114033637	1.48697981347886e-08	-4.56941977751442	-2.21972250315833	97.8467946875231	7.4717925472092	EDN3	-0.398100420355886	0.671594582508647	0.149882729777915	-2.65607932912459	0.00790550150526845
cg06955484	chr1	47695258	47695559	0	0	0	0	TAL1	chr1	47695408	47695409	cg06955484	TAL1	N_Shore	I	30384.3702373419	13650.8482593859	-2.30243592428657e-06	1.12310952272087e-07	-20.5005467205784	1.31142050557977e-91	ENSG00000162367.10	-0.145320359831581	0.00690156094418075	-21.0561583106952	7.87028476173649e-74	30016	-1.34368663323347	4.70167758597191e-08	-1.82582914613182	-0.86154412033513	98.4588689731215	1.31356759780677	TAL1	-0.301509844554605	0.739700544296396	0.149734531228197	-2.01362933507369	0.0440484641607603
cg22600043	chr8	109095841	109096142	0	0	0	0	RSPO2	chr8	109095991	109095992	cg22600043	RSPO2	S_Shore	I	22870.7268877105	8153.01968277785	-6.07717078424698e-07	6.24645125478663e-08	-9.72899737205196	2.81716034342255e-22	ENSG00000147655.9	-0.0359664158247853	0.00342590022367715	-10.498383921462	9.37268254514866e-24	5591	-2.33301278191108	4.47130502018919e-05	-3.45329439223558	-1.21273117158659	97.7182866997834	6.86996905612479	RSPO2	-0.29626551248039	0.743589969390308	0.149035986420097	-1.98787903241898	0.0468250702193296
cg05142617	chr2	95690671	95690972	0	0	0	0	MAL	chr2	95690821	95690822	cg05142617	MAL	N_Shore	I	4109619.71786952	767352.741546432	-9.86996280750778e-09	5.21803238444925e-10	-18.9151045457713	1.72096526004858e-78	ENSG00000172005.9	-0.065862355190288	0.0070665463607067	-9.32030327523406	2.29067164862147e-19	3872	-1.99710804620374	0.000141550936503966	-3.02570325293837	-0.968512839469106	99.2688271245648	5.86609507549733	MAL	-0.472881358507444	0.623204004645061	0.151499185731861	-3.12134587537914	0.00180026455466441
cg01251150	chr5	67535403	67535704	0	0	0	0	PIK3R1	chr5	67535553	67535554	cg01251150	PIK3R1	CpG_Ocean	II	355330.892441719	224018.812414831	-1.36160711817817e-07	9.8539329932248e-09	-13.8179051868362	4.73303098304053e-43	ENSG00000145675.13	-0.149236197874051	0.0137030995086757	-10.8906892035314	2.70782494314258e-25	21787	-0.75630248712932	1.92468165768347e-07	-1.04101093894419	-0.471594035314451	97.8078751456503	0.455519966742715	PIK3R1	-0.413517249285866	0.661320126982133	0.150343236474493	-2.75048787682592	0.00595065934331221
