	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7
cg05979020	chr2	176981186	176981487	0.0123462541276727	0.000304665294106831	0.00158349689221943	2.97260848338039	HOXD10	chr2	176981336	176981337	cg05979020	HOXD10	Island	I
cg17780246	chr19	54481317	54481618	0.0155324119473572	0.000422454069161973	0.00199896502257055	2.80819624161895	CACNG8	chr19	54481467	54481468	cg17780246	CACNG8	Island	I
cg26595643	chr10	118899141	118899442	0.0104660214811987	0.000110140132992515	0.00123308000810904	2.27646977633335	VAX1	chr10	118899291	118899292	cg26595643	VAX1	Island	I
cg06757405	chr5	140789300	140789601	0.00657103320047934	9.8642592142161e-05	0.00078430239762348	2.15076773254867	PCDHGA4	chr5	140789450	140789451	cg06757405	PCDHGA4	Island	I
cg18115040	chr2	176981178	176981479	0.00740057248767814	0.000510041046953086	0.00122967050354293	2.02084932122001	HOXD10	chr2	176981328	176981329	cg18115040	HOXD10	Island	I
cg18694169	chr6	28226929	28227230	0.0129076207333706	0.000229692786795279	0.00154791103695692	1.99691869847416	NKAPL	chr6	28227079	28227080	cg18694169	NKAPL	Island	I
cg26444528	chr13	58207709	58208010	0.00463253085551281	0.000474001682548668	0.000950972032547432	1.97690825579168	PCDH17	chr13	58207859	58207860	cg26444528	PCDH17	Island	I
cg00579520	chr12	128752436	128752737	0.00515426124996142	0.000184211121572876	0.00069278281813722	1.83167085142658	TMEM132C	chr12	128752586	128752587	cg00579520	TMEM132C	Island	II
cg09639151	chr5	140810770	140811071	0.000734481290208844	-2.8383682729578e-05	5.58887825746125e-05	1.67094769936299	PCDHGA4	chr5	140810920	140810921	cg09639151	PCDHGA4	Island	I
cg11084334	chr3	9594114	9594415	0.00636337046560704	0.000189342888640635	0.000890922372590111	1.62028887387492	LHFPL4	chr3	9594264	9594265	cg11084334	LHFPL4	Island	II
cg09523275	chr6	28226943	28227244	0.00138225464627142	0.000350446900803354	0.000450950921343584	1.52921791045422	NKAPL	chr6	28227093	28227094	cg09523275	NKAPL	Island	II
cg05937737	chr3	170303390	170303691	0.00500390472739004	9.56716290004508e-05	0.000681326315845096	1.44766742998763	SLC7A14	chr3	170303540	170303541	cg05937737	SLC7A14	Island	I
cg02655630	chr20	44658791	44659092	0.0042285157155276	0.00072557863362094	0.00111194639098871	1.43480477886176	SLC12A5	chr20	44658941	44658942	cg02655630	SLC12A5	Island	II
cg22400015	chr2	220196564	220196865	0.0041202027935462	6.18390084321769e-05	0.000500929032961377	1.40938715438725	RESP18	chr2	220196714	220196715	cg22400015	RESP18	Island	I
cg08523865	chr2	124782103	124782404	0.00373287329646063	6.15394219106938e-05	0.000478294726826283	1.35562232754384	CNTNAP5	chr2	124782253	124782254	cg08523865	CNTNAP5	Island	II
cg08833577	chr10	118899138	118899439	0.0101902558905886	-8.16536156121692e-05	0.000973436967327083	1.24534298424811	VAX1	chr10	118899288	118899289	cg08833577	VAX1	Island	I
cg07852825	chr3	172166032	172166333	0.00259566873403984	0.000142046946040639	0.000407542985337757	1.21362772769857	GHSR	chr3	172166182	172166183	cg07852825	GHSR	Island	II
cg12265623	chr7	8481844	8482145	0.00535206319518979	-3.11373483360992e-06	0.000620708682399655	1.19527578210527	NXPH1	chr7	8481994	8481995	cg12265623	NXPH1	Island	II
cg05336395	chr13	53421538	53421839	0.00181854862381178	0.000115193244297739	0.000277543075004377	1.13570907222534	PCDH8	chr13	53421688	53421689	cg05336395	PCDH8	Island	I
cg00181439	chr6	78172541	78172842	0.0027226318484383	0.000119512391695108	0.000380326232729014	1.1260737332815	HTR1B	chr6	78172691	78172692	cg00181439	HTR1B	Island	II
cg15541630	chr8	87081620	87081921	0.000868007662835249	8.27255180225891e-05	0.00016509184601435	0.975245771300674	PSKH2	chr8	87081770	87081771	cg15541630	PSKH2	Island	I
cg15157455	chr1	149400142	149400443	0.00412819926891134	-5.85137346391778e-06	0.000414999572911642	0.929103376300857	HIST2H2BF	chr1	149400292	149400293	cg15157455	HIST2H2BF	Island	I
cg24394172	chr4	46995053	46995354	0.0157820993739621	-0.000141565767284325	0.00162950043561195	0.919139008653118	GABRA4	chr4	46995203	46995204	cg24394172	GABRA4	Island	II
cg10901368	chr3	181441987	181442288	0.00552182952182952	1.23275630864974e-05	0.000616363993917294	0.915164297040724	SOX2OT	chr3	181442137	181442138	cg10901368	SOX2OT	N_Shelf	I
cg26949694	chr11	27741910	27742211	0.00214636224017029	8.9194784554837e-05	0.000341340753256523	0.881708668412452	BDNF	chr11	27742060	27742061	cg26949694	BDNF	Island	II
cg00529958	chr13	100624138	100624439	0.00236211385785422	3.31302617292972e-07	0.000244099149539994	0.879089485691546	ZIC5	chr13	100624288	100624289	cg00529958	ZIC5	Island	I
cg10655046	chr2	114256870	114257171	0.000158793776673292	-6.87986596461695e-06	1.82153900771358e-05	0.861391814256882	FOXD4L1	chr2	114257020	114257021	cg10655046	FOXD4L1	Island	II
cg18988498	chr11	31824112	31824413	0.00491666971932627	-1.9986161769642e-05	0.000485883220042459	0.838571728709732	PAX6	chr11	31824262	31824263	cg18988498	PAX6	N_Shore	I
cg02531437	chr10	120355110	120355411	0.00317227288840192	5.56766347209373e-05	0.000405868144342371	0.786879039223168	PRLHR	chr10	120355260	120355261	cg02531437	PRLHR	Island	I
cg14871932	chr7	44185173	44185474	0.00346786927198368	-7.80262859425984e-06	0.000352740568351391	0.751420386211298	GCK	chr7	44185323	44185324	cg14871932	GCK	Island	I
cg11618529	chr19	58951958	58952259	0.00492254841740136	-1.32698696154608e-05	0.000506514544001905	0.746920381994821	ZNF132	chr19	58952108	58952109	cg11618529	ZNF132	Island	II
cg14410016	chr2	176986509	176986810	0.00256690284939259	-2.87341348746252e-05	0.000254087230746496	0.72255063328847	HOXD9	chr2	176986659	176986660	cg14410016	HOXD9	Island	I
cg01722932	chr11	92702503	92702804	0.0036158335975586	-8.38633936055375e-05	0.000291216686639022	0.72176861903806	MTNR1B	chr11	92702653	92702654	cg01722932	MTNR1B	N_Shore	I
cg15842276	chr11	92702498	92702799	0.00056538887941327	4.17267019169846e-05	0.000104649358967333	0.713892937904108	MTNR1B	chr11	92702648	92702649	cg15842276	MTNR1B	N_Shore	II
cg23016129	chr10	22634074	22634375	0.0128448545174102	-8.19800398136377e-05	0.00133386243595928	0.713711071609728	SPAG6	chr10	22634224	22634225	cg23016129	SPAG6	Island	I
cg12597389	chr7	8482085	8482386	0.00387453023567405	-6.87858725429635e-05	0.000320670561709912	0.711027104764837	NXPH1	chr7	8482235	8482236	cg12597389	NXPH1	Island	I
cg05803237	chr11	92702478	92702779	0.00165080409356725	9.42199731392172e-05	0.000247391829476608	0.703286226896646	MTNR1B	chr11	92702628	92702629	cg05803237	MTNR1B	N_Shore	II
cg00090261	chr8	101118398	101118699	0.00270103904746261	-5.06931534524382e-05	0.000259094683834394	0.702396216936844	RGS22	chr8	101118548	101118549	cg00090261	RGS22	Island	II
cg06346138	chr1	17085921	17086222	0.000596052631578947	6.13762348713999e-05	0.000120640577832559	0.694040544231853	MST1P9	chr1	17086071	17086072	cg06346138	MST1P9	Island	I
cg26422458	chr1	79472302	79472603	0.00116636500754148	1.45881882164631e-05	0.000138660160386477	0.666902450536488	ELTD1	chr1	79472452	79472453	cg26422458	ELTD1	Island	I
cg03597347	chr6	28058759	28059060	0.00313058632543927	0.000161355444741546	0.000475046165141236	0.663244949170287	ZSCAN12L1	chr6	28058909	28058910	cg03597347	ZSCAN12L1	CpG_Ocean	I
cg27177554	chr10	16561952	16562253	0.000628571428571429	2.76486945292077e-06	8.6193622415931e-05	0.647542205092313	C1QL3	chr10	16562102	16562103	cg27177554	C1QL3	Island	I
cg06335867	chr7	8482175	8482476	0.00388341658341658	1.75376451855546e-05	0.000462766646710633	0.637868699860592	NXPH1	chr7	8482325	8482326	cg06335867	NXPH1	Island	I
cg24848035	chr8	101118375	101118676	0.00168247903075489	4.63447020126986e-05	0.00023728985372437	0.631582075946589	RGS22	chr8	101118525	101118526	cg24848035	RGS22	Island	I
cg22694818	chr1	75595820	75596121	0.00349393911265353	-9.34532439098745e-05	0.000290879058656553	0.622309245002426	LHX8	chr1	75595970	75595971	cg22694818	LHX8	Island	I
cg00901320	chr12	129338384	129338685	0.000685242385242385	-1.55382655168017e-05	7.00012026314792e-05	0.619924781073016	GLT1D1	chr12	129338534	129338535	cg00901320	GLT1D1	Island	II
cg08065657	chr19	52222949	52223250	0.00211927594249576	-2.62767026948002e-05	0.000249257017832359	0.614583110546065	HAS1	chr19	52223099	52223100	cg08065657	HAS1	Island	II
cg11736940	chr1	155264876	155265177	0.00368582041343669	-0.000138756697326637	0.000324424462338842	0.575885345704885	PKLR	chr1	155265026	155265027	cg11736940	PKLR	Island	II
