	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7
cg06966811	chr14	57276639	57276940	0.0132603303559186	0.000154147116365934	0.00102692850417779	1.08169984521446	OTX2	chr14	57276789	57276790	cg06966811	OTX2	Island	I
cg08139247	chr14	38725162	38725463	0.0132085664335664	0.000143485351157892	0.000813682656792872	0.934034783063579	CLEC14A	chr14	38725312	38725313	cg08139247	CLEC14A	Island	I
cg06757405	chr5	140789300	140789601	0.00738464035964036	0.000316730184376694	0.000785503355444145	0.895287457024428	PCDHGA4	chr5	140789450	140789451	cg06757405	PCDHGA4	Island	I
cg02694427	chr2	176964362	176964663	0.0148512043512044	0.000235227474034593	0.00113292620547309	0.874435006148837	HOXD12	chr2	176964512	176964513	cg02694427	HOXD12	Island	I
cg17849569	chr6	28058761	28059062	0.00979028749028749	0.000314596906138418	0.000857477111290523	0.723609157237743	ZSCAN12L1	chr6	28058911	28058912	cg17849569	ZSCAN12L1	CpG_Ocean	I
cg08979319	chr6	100895905	100896206	0.00748846153846154	0.000253353908188576	0.000679830954369712	0.62942488359318	SIM1	chr6	100896055	100896056	cg08979319	SIM1	Island	I
cg23683588	chr14	37136133	37136434	0.00479004329004329	7.90404487616091e-05	0.000355581125258051	0.62699980586753	PAX9	chr14	37136283	37136284	cg23683588	PAX9	Island	I
cg02037307	chr5	134363412	134363713	0.0125421245421245	0.000114328346149523	0.000780510006965473	0.575508181920289	PITX1	chr5	134363562	134363563	cg02037307	PITX1	Island	I
cg18336674	chr5	170735114	170735415	0.00726857586857587	1.14186177100881e-05	0.000432123845657662	0.473139860715971	TLX3	chr5	170735264	170735265	cg18336674	TLX3	Island	I
cg14314744	chr6	100897295	100897596	0.00558777056277056	0.000126309440943149	0.000535350363009714	0.448962933664132	SIM1	chr6	100897445	100897446	cg14314744	SIM1	Island	I
cg12268637	chr2	176964352	176964653	0.00879059829059829	-7.8324811876325e-05	0.000439757384929415	0.424976385668133	HOXD12	chr2	176964502	176964503	cg12268637	HOXD12	Island	II
cg08202494	chr8	99961395	99961696	0.00788838612368024	0.000145132265801043	0.000719147205164563	0.417773674151077	OSR2	chr8	99961545	99961546	cg08202494	OSR2	S_Shore	I
cg00396667	chr5	134364237	134364538	0.00827171586583351	5.80970403876472e-05	0.000573672886664908	0.41702117499222	PITX1	chr5	134364387	134364388	cg00396667	PITX1	Island	I
cg20431250	chr6	108492503	108492804	0.00635128205128205	-5.87527896960691e-05	0.000352856877333187	0.402491540544801	NR2E1	chr6	108492653	108492654	cg20431250	NR2E1	S_Shore	II
cg26365545	chr5	76931866	76932167	0.00573064713064713	-1.04279495866043e-05	0.000354003299888135	0.380175978222613	OTP	chr5	76932016	76932017	cg26365545	OTP	N_Shore	I
cg19730691	chr1	119526287	119526588	0.00630707070707071	0.00061252869099867	0.000925851440280191	0.368346974628477	TBX15	chr1	119526437	119526438	cg19730691	TBX15	N_Shore	I
