	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	V8	Symbol.1	Estimate	Std..Error	t.value	Pr...t..
cg18115040	chr2	176981178	176981479	0.00903553811228481	0.000424009558667209	0.00140194945825669	2.69860335721681	HOXD10	chr2	176981328	176981329	cg18115040	HOXD10	R	Island	I	HOXD10	-5.95e-06	6.67e-07	-8.921618475	1.66e-18
cg01031101	chr6	28226941	28227242	0.00460195163809228	0.000344070498478107	0.000852369375199734	2.12626814298144	NKAPL	chr6	28227091	28227092	cg01031101	NKAPL	F	Island	I	NKAPL	-1.71e-05	5.42e-07	-31.58652201	2.73e-160
cg05979020	chr2	176981186	176981487	0.00925186070707602	1.51510701989416e-05	0.000986020074968155	1.85906142845194	HOXD10	chr2	176981336	176981337	cg05979020	HOXD10	R	Island	I	HOXD10	-5.95e-06	6.67e-07	-8.921618475	1.66e-18
cg18694169	chr6	28226929	28227230	0.00712868117216257	0.000221181556465079	0.000993451750138214	1.52283652206948	NKAPL	chr6	28227079	28227080	cg18694169	NKAPL	R	Island	I	NKAPL	-1.71e-05	5.42e-07	-31.58652201	2.73e-160
cg00579520	chr12	128752436	128752737	0.00909966114271864	-6.01758576751408e-05	0.000917638518591816	1.27618538952706	TMEM132C	chr12	128752586	128752587	cg00579520	TMEM132C	F	Island	II	TMEM132C	-1.53e-06	5.59e-08	-27.27747407	3.74e-128
cg11618529	chr19	58951958	58952259	0.00400242902785597	0.000253562036740952	0.000663003338709056	1.25415900164091	ZNF132	chr19	58952108	58952109	cg11618529	ZNF132	R	Island	II	ZNF132	-4.67e-06	3.84e-07	-12.15438071	3.7e-32
cg14410016	chr2	176986509	176986810	0.0032580677032225	4.0481927133167e-05	0.000388348009685308	0.999050921320037	HOXD9	chr2	176986659	176986660	cg14410016	HOXD9	F	Island	I	HOXD9	-1.13e-06	1.26e-07	-8.959779968	1.2e-18
cg09523275	chr6	28226943	28227244	0.0015290696319793	0.000525246138963277	0.000629094091923762	0.973342005391518	NKAPL	chr6	28227093	28227094	cg09523275	NKAPL	F	Island	II	NKAPL	-1.71e-05	5.42e-07	-31.58652201	2.73e-160
cg05937737	chr3	170303390	170303691	0.0030741336278101	2.13631174797258e-05	0.000340592704643501	0.831932299359928	SLC7A14	chr3	170303540	170303541	cg05937737	SLC7A14	F	Island	I	SLC7A14	-6.25e-05	7.17e-06	-8.716374804	9.28e-18
cg02025583	chr17	10632711	10633012	0.00235795622002519	0.00010852207318264	0.00032361021076378	0.360964596738064	TMEM220	chr17	10632861	10632862	cg02025583	TMEM220	F	Island	II	TMEM220	-7.23e-06	1.76e-07	-40.98305752	3.69e-231
cg15000841	chr11	64815492	64815793	0.00326548291808303	-2.75116984966781e-05	0.000326673192878463	0.330180705648657	NAALADL1	chr11	64815642	64815643	cg15000841	NAALADL1	F	Island	II	NAALADL1	-1.08e-05	6.29e-07	-17.23143132	1.09e-59
cg23288059	chr14	38724795	38725096	0.00167254933328315	2.64941497103111e-05	0.000251479256814725	0.256116183743188	CLEC14A	chr14	38724945	38724946	cg23288059	CLEC14A	F	Island	II	CLEC14A	-7.33e-07	4.01e-08	-18.25486462	5.71e-66
cg08065657	chr19	52222949	52223250	0.00168443474950956	7.31487709722037e-06	0.00021017242758767	0.226165789728888	HAS1	chr19	52223099	52223100	cg08065657	HAS1	R	Island	II	HAS1	-1.51e-06	1.71e-07	-8.816570597	4.02e-18
