	V31	V1	V2	V3	V4	C	N	pval.x	Quantile.25.	beta.y	pval.y
8389	KLF4	chr9	110253800	110253801	cg14367995	0.283240813423023	0.124232945593419	1.48740988969442e-09	0.0903644172151382	-1.41641131621848	2.04291702588108e-10
10171	MEF2C	chr5	88185768	88185769	cg12621171	0.274872546698304	0.102616241345135	1.80475735884171e-09	0.0763886432488799	-1.10715736651207	2.51149949190691e-06
10172	MEF2C	chr5	88185051	88185052	cg04694437	0.330284948600737	0.174203222532294	2.13075043113668e-11	0.0918565774017252	-1.10715736651207	2.51149949190691e-06
10261	MEIS2	chr15	37387525	37387526	cg23677243	0.521350471006444	0.365145796021819	1.03697418222174e-08	0.0986293390628824	-1.15830954293732	1.66146510810473e-06
18532	TAL1	chr1	47695138	47695139	cg06087421	0.285292080602816	0.080391950374325	9.3287032185698e-17	0.0643853911623161	-1.34368663323347	4.70167758597191e-08
18533	TAL1	chr1	47695475	47695476	cg19797376	0.505430080608263	0.293174449908484	8.31684211614122e-16	0.1582581	-1.34368663323347	4.70167758597191e-08
18534	TAL1	chr1	47697429	47697430	cg10961841	0.308820791441901	0.155139005188763	3.85656998915328e-12	0.0699213691710385	-1.34368663323347	4.70167758597191e-08
18539	TAL1	chr1	47694919	47694920	cg10026317	0.641000004301516	0.407412519687136	1.63393555994066e-13	0.174951644967	-1.34368663323347	4.70167758597191e-08
18540	TAL1	chr1	47695408	47695409	cg06955484	0.525786788375478	0.371714045625331	2.4692314597083e-09	0.142368230837168	-1.34368663323347	4.70167758597191e-08
18553	TAL1	chr1	47691550	47691551	cg03885399	0.380572051226372	0.198327952314095	6.02180120378585e-11	0.0795433397062583	-1.34368663323347	4.70167758597191e-08
18563	TAL1	chr1	47697948	47697949	cg25764899	0.288830783627752	0.0639927459548846	1.33873416234986e-13	0.0223438671413614	-1.34368663323347	4.70167758597191e-08
18567	TAL1	chr1	47697965	47697966	cg04363624	0.262784623400914	0.0827915632395175	1.71913434856232e-15	0.030436096352796	-1.34368663323347	4.70167758597191e-08
20787	ZEB2	chr2	145281942	145281943	cg16405026	0.232625827373235	0.044749433931601	8.62285940134885e-08	0.0306523373135126	-1.17618069902635	4.30664686766724e-08
21368	ZNF132	chr19	58951885	58951886	cg07878486	0.243230334504908	0.0746352363771208	4.2041780032131e-08	0.04744	-0.584943142222495	9.57716700068598e-06
21369	ZNF132	chr19	58952108	58952109	cg11618529	0.415131935728393	0.250964566498128	2.74008236409392e-14	0.202779705344392	-0.584943142222495	9.57716700068598e-06
22014	ZNF662	chr3	42947565	42947566	cg17619311	0.304075202733522	0.15494334869591	7.53802170887952e-10	0.0879061453590379	-1.07764287466545	6.41858388834493e-09
22017	ZNF662	chr3	42947690	42947691	cg24384244	0.22083292798307	0.0506445982152399	2.05942491304059e-08	0.02985	-1.07764287466545	6.41858388834493e-09
22105	ZNF781	chr19	38183418	38183419	cg22685966	0.280357275821486	0.107769778860665	4.01553833161829e-09	0.100566438067303	-1.32940881719203	1.97608505738811e-08
22106	ZNF781	chr19	38183055	38183056	cg25875213	0.218791400356966	0.0353167653789032	3.19513752313194e-08	0.0295058860387001	-1.32940881719203	1.97608505738811e-08
22107	ZNF781	chr19	38183259	38183260	cg25324105	0.265342962365129	0.0601873374614416	2.45257635646587e-10	0.0422733245850782	-1.32940881719203	1.97608505738811e-08
22108	ZNF781	chr19	38183262	38183263	cg14587524	0.277692344619519	0.0589446433385483	9.4875486357827e-10	0.0415673020857929	-1.32940881719203	1.97608505738811e-08
22110	ZNF781	chr19	38183253	38183254	cg03611452	0.23461528201249	0.0622628813014944	5.45251610293067e-10	0.0365762157803364	-1.32940881719203	1.97608505738811e-08
22111	ZNF781	chr19	38182773	38182774	cg06940614	0.27361152820905	0.119931357217842	5.12015488532065e-09	0.11486	-1.32940881719203	1.97608505738811e-08
