	Chromosome	Start	End	idx	beta	pval	cilb	ciub	i2	tau2
cg21724239	chr8	57143554	57143555	315705	0.193919485430165	9.110725150486e-55	0.169533284649793	0.218305686210537	67.5702399514191	0.0019245366834059
cg20672708	chr20	32109024	32109025	302627	-0.226579829528055	8.59155687466087e-49	-0.256829983210152	-0.196329675845958	96.6508713378407	0.00489209680759119
cg10803767	chr2	230824208	230824209	167483	-0.240664005393942	7.77996263773912e-45	-0.274238119072684	-0.207089891715199	96.6273208000482	0.00615216545380817
cg01349621	chr20	62568734	62568735	22907	-0.189697739403595	2.1655882532196e-44	-0.21629937774394	-0.163096101063251	96.1525891114799	0.00386086101121758
cg26587228	chr19	57130478	57130479	379047	-0.258168336699393	6.21943893629612e-44	-0.294567835618509	-0.221768837780277	96.621940248939	0.00718543568578554
cg07757094	chr16	86227241	86227242	123487	-0.164814611558469	1.87896377131791e-42	-0.188470801458973	-0.141158421657966	94.35957076478	0.00279686089502684
cg14761514	chr12	114276496	114276497	224520	-0.246241329895123	4.05738794576992e-41	-0.282178742208948	-0.210303917581298	95.1428296632627	0.00649156859614135
cg05864011	*	-1	-1	94443	-0.278307156330884	4.29523165122159e-41	-0.318937144694002	-0.237677167967766	97.5466749404218	0.00926319061165796
cg14950829	chr13	52845482	52845483	227119	0.214470291169983	5.87586895227409e-40	0.182697893411079	0.246242688928886	94.4732005344515	0.00516546907048156
cg04947680	chr2	131829506	131829507	80681	0.17168442871029	3.52507115643056e-39	0.145987604588951	0.197381252831629	88.5639725100801	0.00303118352809695
cg17952114	chr19	54528513	54528514	267294	-0.223601596101966	4.58614225502363e-39	-0.257120289722754	-0.190082902481178	95.8145469050273	0.00587661480176402
cg12550241	chr1	248695740	248695741	190944	-0.273857090489747	8.74306436857506e-39	-0.315064187563371	-0.232649993416123	97.2554828980166	0.00929184075979719
cg27543320	chr13	111548342	111548343	392326	-0.167951005016393	1.01501972714473e-38	-0.193244610576993	-0.142657399455793	96.3157635609353	0.00345541243942307
cg09926260	chr19	53678049	53678050	154996	-0.236884820716819	1.80994788928276e-37	-0.27317892579775	-0.200590715635888	97.8669725142466	0.00735544292555589
cg09012091	chr6	24431094	24431095	142004	-0.210055784334557	2.14909192426061e-37	-0.242272928562555	-0.177838640106558	93.7836384558987	0.00513406195082366
cg15956565	chr7	46456185	46456186	240350	-0.155380160274852	4.34766213796828e-37	-0.179314337974427	-0.131445982575277	91.8286824700434	0.00280317819908046
cg26331226	chr12	38054146	38054147	375348	-0.209645363351218	7.1005482223571e-37	-0.242036038202712	-0.177254688499724	95.5486664842483	0.00552179812307321
cg04761722	chr16	10180458	10180459	77629	0.178424059772691	1.04891290335139e-36	0.150790477159345	0.206057642386036	96.9587236334361	0.00427264180862408
cg13884608	chrY	5740588	5740589	210120	-0.176325820852102	2.89959809224609e-36	-0.203808401649209	-0.148843240054995	95.9145548423819	0.00385289327246544
cg16573755	chr2	172093609	172093610	249072	0.311340819129316	5.46637775131953e-36	0.262619940490051	0.36006169776858	97.0432215415669	0.0128600425387535
cg01182154	chr13	111550582	111550583	20302	-0.284038703951255	6.98781419881957e-36	-0.328556450846596	-0.239520957055913	98.147037032925	0.0111200537318022
cg04115702	chr17	79390298	79390299	67472	-0.228699630898906	7.6695682518935e-36	-0.264565237289066	-0.192834024508746	97.2775238666957	0.00717410092392217
cg07178825	chr1	3733010	3733011	114833	0.181022665545367	1.03979989798981e-35	0.152578826612641	0.209466504478092	95.773749143935	0.0042293479499431
cg01932361	chr16	86952387	86952388	32352	-0.274145106763295	1.14849520483452e-35	-0.317248523319558	-0.231041690207031	96.8571928981261	0.0101206107219498
cg19918057	chr4	1506371	1506372	293328	-0.196619016709195	1.76908788757383e-35	-0.22761888034358	-0.16561915307481	94.3705549053063	0.00489049153037442
