14	0.003	0.006	0.006	NA	0.003	0.023	0.016	0.003	0.003	0.016	0	0	0.003	0.019	0.003	0.016	0.003	0.01	0.01	NA	T
15	0	0.004	0.013	NA	0.017	0.03	0.008	0.017	0.013	0.017	0.013	0.038	0	0	0.004	0.026	0.042	0.025	0.004	NA	N
17	0	0.007	0.033	NA	0.026	0.046	0.013	0	0	0.007	0.013	0	0	0.02	0	0.007	0.007	0.013	0.013	NA	N
172	0.008	0.007	0.012	NA	0.009	0.011	0.016	0.015	0.005	0.008	0.008	0.008	0.004	0.011	0.012	0.007	0.009	0.008	0.003	NA	T
177	0.005	0.003	0.192	NA	0.212	0.39	0.31	0.331	0.339	0.323	0.304	0.313	0.354	0.342	0.142	0.13	0.203	0.267	0.082	NA	T
18	0.119	0.169	0.271	NA	0.305	0.322	0.305	0.322	0.305	0.31	0.271	0.305	0.322	0.305	0.31	0.288	0.322	0.305	0.305	NA	T
19	0.58	0.571	0.61	NA	0.585	0.563	0.597	0.605	0.588	0.593	0.576	0.571	0.58	0.576	0.58	0.585	0.58	0.58	0.546	NA	N
22	0.003	0.003	0.027	NA	0.014	0.034	0	0	0.01	0.01	0.017	0.007	0.024	0.01	0.017	0.017	0.034	0.01	0.017	NA	N
25	0.309	0.309	0.296	NA	0.309	0.327	0.309	0.291	0.291	0.291	0.291	0.255	0.321	0.291	0.291	0.291	0.278	0.309	0.291	NA	N
27	0	0	0.148	NA	0.074	0.148	0.148	0.148	0.148	0.111	0.148	0.185	0.074	0.037	0.074	0.037	0.148	0.111	0.037	NA	T
31	0.06	0.055	0.603	NA	0.735	0.829	0.8	0.76	0.784	0.724	0.74	0.739	0.759	0.765	0.325	0.202	0.543	0.545	0.3	NA	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	0	0	0.052	NA	0.062	0.082	0.031	0.041	0.062	0.052	0.094	0.062	0.041	0.031	0.041	0.072	0.041	0.072	0.021	NA	N
36	0.004	0.004	0.013	NA	0.013	0.026	0.013	0.035	0.027	0.035	0.009	0.009	0.018	0.027	0.004	0.009	0.013	0.018	0.022	NA	N
39	0.182	0.056	0.33	NA	0.336	0.341	0.333	0.324	0.338	0.336	0.332	0.318	0.341	0.332	0.248	0.22	0.327	0.336	0.304	NA	T
50	0.008	0.004	0.02	NA	0.021	0.064	0.018	0.035	0.027	0.035	0.016	0.016	0.033	0.021	0.01	0.016	0.037	0.061	0.024	NA	N
55	0.004	0.007	0.009	NA	0.01	0.025	0.01	0.005	0.008	0.006	0.006	0.007	0.01	0.01	0.012	0.01	0.014	0.016	0.01	0	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.005	0.01	0.048	NA	0.067	0.105	0.062	0.062	0.062	0.067	0.062	0.053	0.067	0.067	0.062	0.043	0.087	0.077	0.044	NA	T
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
81	0.011	0.006	0.051	NA	0.04	0.062	0.063	0.051	0.063	0.062	0.023	0.017	0.023	0.034	0.034	0.017	0.045	0.057	0.028	NA	T
88	0	0.013	0.023	NA	0.023	0.121	0.078	0.098	0.059	0.072	0.049	0.036	0.052	0.013	0.016	0.049	0.062	0.082	0.059	NA	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.004	0	0.015	NA	0.019	0.15	0.019	0.027	0.004	0.012	0.004	0	0.008	0	0.012	0.012	0.031	0.042	0.012	NA	T
94	0.004	0.007	0.026	NA	0.019	0.105	0.015	0.019	0.022	0.022	0.019	0.007	0.011	0.007	0.004	0.011	0.011	0.007	0.015	NA	N
BN190001	0.004	0.008	0.011	NA	0.028	0.059	0.036	0.057	0.055	0.006	0.027	0.018	0.026	0.027	0.022	0.025	0.015	0.027	0.01	0	T
BN190002	0	0	0.014	NA	0.018	0.018	0.013	0.027	0.013	0.013	0.018	0.018	0.027	0.013	0.013	0.018	0.031	0.027	0.018	NA	N
