14	0.1	0.13	0.102	0.101	0.121	0.135	0.1	0.114	0.149	0.207	T
15	0.073	0.104	0.044	0.046	0.038	0.043	0.067	0.067	0.061	0.103	N
17	0.148	0.205	0.085	0.11	0.081	0.077	0.101	0.131	0.103	0.162	N
172	0.038	0.053	0.024	0.022	0.015	0.021	0.033	0.031	0.06	0.156	T
177	0.371	0.353	0.158	0.121	0.275	0.267	0.339	0.213	0.191	0.268	T
18	0.504	0.558	0.546	0.522	0.475	0.472	0.427	0.52	0.516	0.524	T
19	0.614	0.669	0.647	0.603	0.496	0.616	0.454	0.564	0.638	0.619	N
22	0.071	0.113	0.041	0.053	0.035	0.044	0.067	0.083	0.067	0.107	N
25	0.064	0.077	0.028	0.048	0.02	0.046	0.044	0.041	0.036	0.062	N
27	0.306	0.322	0.218	0.252	0.211	0.238	0.267	0.259	0.299	0.301	T
31	0.722	0.865	0.69	0.72	0.611	0.564	0.689	0.509	0.533	0.512	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	0.08	0.163	0.058	0.084	0.07	0.059	0.089	0.078	0.073	0.139	N
36	0.086	0.142	0.059	0.078	0.063	0.064	0.089	0.064	0.064	0.099	N
39	0.541	0.585	0.554	0.558	0.545	0.54	0.549	0.558	0.557	0.583	T
50	0.092	0.077	0.037	0.073	0.039	0.049	0.062	0.095	0.065	0.114	N
55	0.087	0.124	0.057	0.067	0.04	0.043	0.05	0.076	0.089	0.175	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.15	0.209	0.084	0.099	0.119	0.101	0.14	0.145	0.137	0.175	T
67	0.168	0.168	0.063	0.121	0.075	0.119	0.12	0.111	0.108	0.153	T
81	0.125	0.161	0.081	0.093	0.065	0.09	0.091	0.092	0.105	0.128	T
88	0.065	0.104	0.035	0.071	0.048	0.043	0.078	0.07	0.067	0.126	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.297	0.42	0.243	0.137	0.302	0.26	0.171	0.284	0.319	0.437	T
94	0.135	0.169	0.074	0.072	0.077	0.076	0.064	0.103	0.114	0.164	N
BN190001	0.135	0.137	0.046	0.034	0.062	0.077	0.108	0.106	0.126	0.141	T
BN190002	0.039	0.063	0.024	0.063	0.024	0.047	0.04	0.031	0.047	0.125	N
BN190003	0.147	0.219	0.114	0.053	0.083	0.076	0.187	0.18	0.237	0.221	T
BN190005	0.137	0.158	0.064	0.029	0.02	0.059	0.124	0.169	0.148	0.201	N
BN190006	0.056	0.093	0.028	0.031	0.018	0.017	0.039	0.037	0.038	0.063	T
BN190007	0.105	0.141	0.053	0.068	0.05	0.055	0.066	0.074	0.049	0.111	N
BN190008	0.167	0.209	0.154	0.187	0.154	0.179	0.202	0.158	0.158	0.264	T
BN190010	0.229	0.271	0.222	0.234	0.211	0.213	0.234	0.231	0.232	0.27	N
BN190011	0.441	0.638	0.449	0.6	0.355	0.551	0.389	0.522	0.455	0.493	T
BN190012	0.11	0.122	0.047	0.058	0.039	0.05	0.073	0.086	0.078	0.137	N
BN190014	0.198	0.294	0.2	0.197	0.166	0.175	0.131	0.158	0.189	0.209	T
BN190015	0.2	0.164	0.078	0.107	0.07	0.086	0.081	0.096	0.104	0.138	N
BN190017	0.098	0.138	0.052	0.053	0.044	0.05	0.064	0.069	0.067	0.105	N
BN190018	0.315	0.446	0.353	0.304	0.269	0.243	0.333	0.316	0.278	0.4	T
BN190019	0.362	0.382	0.197	0.244	0.15	0.332	0.275	0.331	0.366	0.376	T
BN190023	0.175	0.188	0.092	0.128	0.097	0.122	0.134	0.141	0.118	0.187	N
BN190024	0.102	0.123	0.039	0.055	0.02	0.062	0.088	0.235	0.299	0.331	T
BN190026	0.072	0.139	0.053	0.1	0.041	0.068	0.064	0.09	0.098	0.117	N
BN190028	0.096	0.193	0.058	0.096	0.073	0.091	0.093	0.122	0.096	0.172	T
BN190029	0.114	0.184	0.101	0.098	0.073	0.081	0.067	0.117	0.09	0.2	N
BN190030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190031	0.105	0.174	0.08	0.106	0.074	0.085	0.109	0.095	0.116	0.151	T
BN190032	0.099	0.173	0.066	0.081	0.054	0.066	0.094	0.061	0.096	0.098	N
BN190033	0.116	0.201	0.09	0.091	0.103	0.081	0.102	0.062	0.137	0.163	T
BN190034	0.387	0.46	0.402	0.431	0.406	0.39	0.425	0.445	0.437	0.456	T
BN190036	0.151	0.196	0.102	0.115	0.114	0.122	0.127	0.124	0.133	0.168	T
BN190037	0.214	0.249	0.201	0.199	0.217	0.224	0.224	0.204	0.226	0.222	N
BN190038	0.057	0.065	0.035	0.052	0.026	0.043	0.039	0.061	0.052	0.091	N
BN190039	0.384	0.423	0.294	0.379	0.259	0.38	0.392	0.352	0.356	0.466	T
BN190040	0.205	0.228	0.139	0.188	0.127	0.168	0.166	0.129	0.133	0.217	N
BN190041	0.119	0.223	0.079	0.127	0.045	0.065	0.103	0.17	0.181	0.237	T
BN190042	0.072	0.112	0.031	0.065	0.046	0.044	0.058	0.076	0.067	0.136	N
BN190044	0.919	0.92	0.908	0.919	0.889	0.912	0.897	0.885	0.912	0.908	T
BN190046	0.272	0.431	0.288	0.315	0.369	0.392	0.314	0.361	0.257	0.399	T
BN190047	0.109	0.14	0.034	0.057	0.039	0.055	0.087	0.116	0.078	0.119	N
BN190048	0.199	0.264	0.092	0.069	0.097	0.147	0.161	0.223	0.216	0.252	T
BN190049	0.73	0.728	0.832	0.631	0.808	0.664	0.764	0.39	0.519	0.666	T
BN190050	0.161	0.201	0.13	0.124	0.128	0.112	0.132	0.062	0.079	0.118	N
BN190051	0.361	0.269	0.128	0.176	0.137	0.162	0.162	0.215	0.112	0.172	T
BN190052	0.27	0.228	0.125	0.114	0.13	0.164	0.223	0.199	0.177	0.206	N
BN190054	0.179	0.272	0.037	0.101	0.074	0.121	0.092	0.104	0.324	0.513	T
BN190055	0.32	0.36	0.28	0.24	0.24	0.36	0.208	0.24	0.24	0.44	T
BN190056	0.083	0.12	0.044	0.066	0.053	0.065	0.078	0.103	0.084	0.138	N
BN190057	0.085	0.104	0.036	0.062	0.037	0.042	0.07	0.086	0.071	0.141	T
BN190059	0.096	0.12	0.051	0.071	0.036	0.042	0.099	0.119	0.105	0.149	N
BN190062	0.062	0.08	0.044	0.057	0.041	0.039	0.046	0.058	0.037	0.055	N
BN190068	0.098	0.129	0.079	0.074	0.07	0.078	0.08	0.086	0.083	0.094	N
BN190071	0.132	0.144	0.056	0.059	0.055	0.128	0.127	0.107	0.149	0.201	N
BN190072	0.2	0.157	0.108	0.089	0.07	0.082	0.124	0.224	0.137	0.231	N
BN190073	0.185	0.19	0.071	0.076	0.078	0.062	0.118	0.211	0.266	0.352	T
BN190075	0.117	0.128	0.052	0.071	0.043	0.051	0.079	0.101	0.11	0.148	N
BN190077	0.498	0.53	0.494	0.498	0.48	0.486	0.495	0.508	0.514	0.52	T
BN190080	0.072	0.095	0.061	0.074	0.059	0.084	0.079	0.07	0.053	0.096	N
BN190083	0.096	0.125	0.041	0.055	0.044	0.034	0.052	0.049	0.049	0.082	T
BN190085	0.114	0.147	0.042	0.082	0.049	0.07	0.103	0.104	0.095	0.172	N
BN190087	0.2	0.268	0.148	0.162	0.13	0.147	0.199	0.21	0.238	0.263	T
BN190089	0.53	0.583	0.409	0.463	0.436	0.472	0.501	0.502	0.572	0.586	N
BN190090	0.271	0.142	0.043	0.084	0.068	0.066	0.231	0.23	0.156	0.198	T
BN190092	0.135	0.155	0.041	0.065	0.068	0.057	0.092	0.12	0.129	0.125	N
BN190094	0.056	0.075	0.027	0.043	0.029	0.025	0.039	0.047	0.058	0.102	T
BN190096	0.069	0.089	0.034	0.033	0.034	0.034	0.053	0.055	0.038	0.048	N
BN190098	0.11	0.134	0.067	0.08	0.053	0.064	0.08	0.087	0.079	0.132	N
BN190099	0.067	0.114	0.034	0.031	0.025	0.033	0.03	0.043	0.051	0.087	T
BN190101	0.084	0.096	0.048	0.054	0.059	0.053	0.039	0.052	0.052	0.097	N
BN190106	0.065	0.104	0.039	0.081	0.036	0.076	0.046	0.077	0.039	0.115	T
BN190109	0.049	0.066	0.03	0.037	0.026	0.026	0.04	0.035	0.035	0.072	N
BN190111	0.1	0.146	0.03	0.076	0.047	0.08	0.107	0.128	0.083	0.156	T
BN190114	0.181	0.244	0.149	0.153	0.142	0.149	0.122	0.119	0.162	0.212	T
BN190117	0.349	0.42	0.378	0.345	0.36	0.381	0.338	0.365	0.372	0.405	N
