14	0.044	0.032	0.017	0.328	0.341	0.262	0.078	0.088	0.169	0.178	0.186	T
15	0.079	0.048	0.031	0.469	0.408	0.36	0.151	0.2	0.25	0.273	0.206	N
17	0.02	0.008	0.02	0.328	0.353	0.233	0.087	0.154	0.198	0.199	0.209	N
172	0.039	0.016	0.045	0.552	0.505	0.458	0.185	0.201	0.361	0.339	0.272	T
177	0.06	0.025	0.05	0.53	0.457	0.438	0.217	0.221	0.261	0.199	0.212	T
18	0.143	0.073	0.221	0.628	0.573	0.554	0.376	0.382	0.514	0.501	0.439	T
19	0.084	0.054	0.19	0.729	0.642	0.62	0.398	0.467	0.559	0.544	0.487	N
22	0.038	0.034	0.017	0.437	0.417	0.319	0.118	0.219	0.239	0.294	0.256	N
25	0.02	0	0.026	0.326	0.277	0.244	0.05	0.069	0.099	0.198	0.155	N
27	0.15	0.063	0.068	0.417	0.395	0.338	0.147	0.209	0.248	0.23	0.243	T
31	0.141	0.081	0.138	0.89	0.884	0.873	0.755	0.791	0.815	0.786	0.831	T
32	0.019	0.023	0.013	0.536	0.508	0.377	0.136	0.274	0.246	0.324	0.272	N
34	0.024	0.024	0.024	0.432	0.432	0.379	0.13	0.178	0.254	0.385	0.249	N
36	0.019	0.023	0.006	0.429	0.325	0.271	0.116	0.137	0.183	0.236	0.21	N
39	0.06	0.032	0.211	0.554	0.512	0.459	0.344	0.343	0.394	0.394	0.316	T
50	0.016	0.014	0.014	0.459	0.405	0.312	0.143	0.162	0.225	0.246	0.231	N
55	0.046	0.033	0.023	0.38	0.244	0.253	0.073	0.073	0.124	0.165	0.127	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.028	0.013	0.024	0.404	0.377	0.349	0.163	0.174	0.247	0.292	0.24	T
67	0.018	0.012	0.024	0.6	0.556	0.503	0.242	0.23	0.358	0.43	0.303	T
81	0.079	0.05	0.043	0.196	0.352	0.33	0.145	0.169	0.289	0.309	0.248	T
88	0.031	0.018	0.013	0.419	0.417	0.255	0.099	0.179	0.179	0.242	0.199	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
