14	0.639	0.054	0.083	0.084	0.092	0.113	0.092	0.129	0.113	0.033	0.092	0.051	0.071	0.054	0.033	0.017	0.021	0.029	0.033	0.033	0.029	0.041	0.054	0.062	0.037	0.054	0.05	0.037	0.029	0.067	0.079	T
15	0.691	0.066	0.074	0.144	0.147	0.164	0.144	0.185	0.184	0.066	0.067	0.114	0.08	0.119	0.084	0.061	0.064	0.081	0.077	0.071	0.056	0.061	0.059	0.112	0.082	0.092	0.071	0.076	0.059	0.115	0.107	N
17	0.711	0.029	0.035	0.058	0.047	0.058	0.04	0.058	0.059	0.053	0.065	0.024	0.052	0.052	0.035	0.029	0.035	0.046	0.023	0.012	0.064	0.046	0.017	0.058	0.035	0.058	0.012	0.017	0.029	0.087	0.11	N
172	0.703	0.056	0.076	0.081	0.089	0.085	0.098	0.12	0.1	0.036	0.043	0.051	0.06	0.08	0.038	0.046	0.05	0.075	0.056	0.039	0.054	0.048	0.059	0.061	0.043	0.05	0.006	0.028	0.031	0.05	0.058	T
177	0.731	0.056	0.081	0.085	0.096	0.126	0.141	0.196	0.206	0.053	0.096	0.088	0.101	0.158	0.077	0.073	0.073	0.063	0.049	0.049	0.077	0.077	0.115	0.167	0.132	0.112	0.157	0.168	0.139	0.157	0.105	T
18	0.734	0.388	0.416	0.449	0.48	0.506	0.503	0.514	0.5	0.435	0.463	0.486	0.503	0.506	0.48	0.483	0.506	0.455	0.461	0.401	0.433	0.379	0.466	0.483	0.466	0.483	0.441	0.472	0.427	0.438	0.444	T
19	0.704	0.304	0.311	0.34	0.372	0.396	0.383	0.391	0.383	0.311	0.338	0.332	0.35	0.377	0.333	0.338	0.333	0.3	0.306	0.3	0.329	0.325	0.343	0.401	0.345	0.333	0.333	0.333	0.316	0.275	0.275	N
22	0.651	0.028	0.028	0.044	0.044	0.04	0.052	0.032	0.032	0.02	0.028	0.045	0.032	0.036	0.028	0.04	0.032	0.024	0.028	0.032	0.044	0.036	0.032	0.044	0.04	0.024	0.052	0.028	0.028	0.012	0.044	N
25	0.715	0.259	0.233	0.245	0.262	0.255	0.282	0.246	0.263	0.209	0.231	0.251	0.256	0.263	0.251	0.224	0.256	0.235	0.253	0.245	0.254	0.256	0.267	0.269	0.272	0.267	0.027	0.285	0.256	0.257	0.291	N
27	0.754	0.252	0.348	0.291	0.444	0.406	0.368	0.455	0.418	0.09	0.178	0.194	0.185	0.326	0.224	0.244	0.356	0.267	0.333	0.185	0.267	0.222	0.304	0.319	0.356	0.244	0.082	0.141	0.141	0.296	0.319	T
31	0.654	0.031	0.019	0.067	0.047	0.047	0.063	0.051	0.019	0.012	0.024	0.02	0.023	0.043	0.012	0.016	0.062	0.023	0.012	0.008	0.031	0.012	0.035	0.039	0.043	0.016	0.066	0.019	0.012	0.012	0.043	T
32	NA	0.034	0.027	0.048	0.048	0.069	0.076	0.055	0.041	0.027	0.056	0.041	0.048	0.055	0.027	0.034	0.041	0.041	0.014	0.02	0.061	0.034	0.041	0.054	0.055	0.041	0.041	0.041	0.061	0.075	0.054	N
34	0.865	0	0	0	0.054	0.027	0.081	0.028	0.028	0.027	0	0	0.027	0	0	0	0	0.027	0	0	0.027	0	0.054	0	0.027	0	0.027	0.081	0.027	0.027	0.027	N
36	0.656	0.051	0.058	0.045	0.045	0.086	0.099	0.096	0.086	0.035	0.048	0.042	0.042	0.08	0.054	0.038	0.061	0.035	0.038	0.026	0.038	0.029	0.038	0.054	0.032	0.045	0.092	0.067	0.08	0.058	0.067	N
39	0.676	0.726	0.731	0.713	0.749	0.759	0.759	0.741	0.751	0.718	0.727	0.718	0.738	0.726	0.72	0.705	0.735	0.673	0.695	0.562	0.302	0.233	0.535	0.542	0.498	0.513	0.48	0.331	0.433	0.462	0.502	T
50	0.689	0.029	0.019	0.029	0.037	0.035	0.054	0.059	0.045	0.01	0.035	0.021	0.018	0.025	0.021	0.016	0.027	0.039	0.027	0.027	0.029	0.023	0.029	0.045	0.027	0.029	0.039	0.041	0.025	0.037	0.048	N
55	0.687	0.023	0.028	0.044	0.052	0.067	0.067	0.089	0.072	0.019	0.038	0.034	0.035	0.051	0.029	0.036	0.039	0.036	0.026	0.02	0.031	0.022	0.045	0.058	0.037	0.045	0.057	0.047	0.041	0.039	0.044	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.704	0.108	0.124	0.128	0.156	0.151	0.159	0.182	0.179	0.134	0.139	0.134	0.135	0.163	0.116	0.108	0.126	0.14	0.13	0.107	0.104	0.08	0.115	0.131	0.11	0.105	0.105	0.087	0.093	0.124	0.128	T
67	0.614	0.018	0.035	0.035	0	0	0.054	0.035	0.035	0	0	0.018	0.035	0.036	0	0.018	0.018	0.035	0	0.018	0.053	0.035	0.018	0.018	0.07	0.035	0.018	0.018	0.053	0	0.07	T
81	0.668	0.17	0.171	0.189	0.199	0.227	0.226	0.242	0.229	0.127	0.146	0.158	0.171	0.195	0.145	0.123	0.136	0.14	0.142	0.132	0.126	0.132	0.15	0.177	0.157	0.172	0.012	0.128	0.125	0.15	0.16	T
88	0.701	0.003	0.016	0.019	0.028	0.016	0.028	0.031	0.025	0.003	0.022	0.006	0.016	0.006	0.006	0.003	0.022	0.013	0.013	0.013	0.019	0.022	0.016	0.035	0.028	0.022	0.025	0.041	0.035	0.047	0.066	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.687	0.827	0.781	0.862	0.852	0.924	0.91	0.89	0.926	0.859	0.885	0.881	0.914	0.918	0.918	0.837	0.904	0.851	0.89	0.834	0.899	0.883	0.869	0.912	0.911	0.863	0.914	0.866	0.901	0.892	0.884	T
94	0.841	0.523	0.5	0.545	0.5	0.523	0.395	0.535	0.523	0.455	0.558	0.477	0.523	0.568	0.591	0.455	0.568	0.5	0.523	0.477	0.568	0.5	0.477	0.568	0.545	0.523	0.545	0.5	0.5	0.545	0.581	N
BN190001	0.682	0.044	0.053	0.068	0.092	0.115	0.127	0.136	0.13	0.029	0.057	0.055	0.067	0.072	0.033	0.041	0.046	0.037	0.047	0.043	0.047	0.051	0.056	0.063	0.063	0.04	0.069	0.043	0.052	0.064	0.109	T
BN190002	0.658	0.074	0.06	0.094	0.089	0.095	0.107	0.114	0.101	0.054	0.075	0.062	0.047	0.075	0.048	0.047	0.047	0.034	0.054	0.047	0.047	0.047	0.067	0.094	0.06	0.06	0.054	0.087	0.034	0.06	0.047	N
BN190003	0.676	0.391	0.398	0.412	0.417	0.409	0.42	0.413	0.418	0.369	0.375	0.372	0.375	0.382	0.375	0.371	0.373	0.371	0.379	0.367	0.348	0.342	0.357	0.344	0.34	0.274	0.342	0.342	0.332	0.306	0.283	T
BN190005	0.639	0.057	0.115	0.09	0.084	0.074	0.108	0.074	0.098	0.042	0.076	0.057	0.091	0.083	0.066	0.057	0.074	0.091	0.066	0.082	0.066	0.057	0.066	0.066	0.066	0.082	0.042	0.049	0.033	0.041	0.066	N
BN190006	0.707	0.043	0.054	0.055	0.088	0.065	0.096	0.095	0.062	0.033	0.041	0.047	0.046	0.062	0.024	0.06	0.035	0.038	0.03	0.027	0.038	0.049	0.038	0.051	0.032	0.057	0.03	0.051	0.022	0.057	0.046	T
BN190007	0.671	0.027	0.014	0.034	0.041	0.049	0.022	0.027	0.034	0.041	0.043	0.027	0.014	0.028	0.014	0.027	0.041	0.034	0.014	0.014	0.034	0.014	0.014	0.034	0.055	0.027	0.007	0.027	0	0.007	0.041	N
BN190008	0.694	0.065	0.081	0.081	0.097	0.129	0.164	0.145	0.148	0.033	0.067	0.081	0.082	0.2	0.049	0.048	0.113	0.129	0.113	0.048	0.113	0.065	0.066	0.097	0.081	0.097	0.032	0.129	0.048	0.129	0.097	T
BN190010	0.685	0.109	0.184	0.202	0.175	0.246	0.255	0.293	0.252	0.186	0.195	0.186	0.197	0.223	0.141	0.12	0.138	0.11	0.094	0.075	0.126	0.098	0.105	0.15	0.163	0.127	0.055	0.082	0.13	0.2	0.235	N
BN190011	0.525	0.049	0.039	0.039	0.127	0.147	0.284	0.314	0.275	0.02	0.029	0.049	0.039	0.029	0.02	0.049	0.02	0.069	0.01	0.029	0.05	0.02	0.039	0.059	0.039	0.029	0.029	0.039	0.049	0.333	0.216	T
BN190012	0.703	0	0.007	0.027	0.021	0.041	0.034	0.049	0.074	0.02	0	0	0.014	0.014	0.007	0	0.007	0.007	0.007	0	0.007	0.014	0.02	0.034	0	0.014	0	0.027	0.02	0.034	0.054	N
BN190014	0.7	0.158	0.179	0.111	0.237	0.307	0.34	0.392	0.354	0.168	0.202	0.267	0.274	0.286	0.127	0.18	0.163	0.168	0.084	0.048	0.058	0.037	0.053	0.079	0.079	0.063	0.026	0.079	0.068	0.237	0.216	T
BN190015	0.667	0.02	0.02	0.02	0.03	0.05	0.07	0.079	0.078	0.04	0.059	0.081	0.039	0.059	0.01	0.02	0.049	0.02	0	0.02	0.049	0.02	0.049	0.029	0.049	0.039	0.059	0.02	0.049	0.059	0.108	N
BN190017	0.682	0.114	0.105	0.118	0.114	0.145	0.138	0.15	0.167	0.09	0.096	0.073	0.114	0.155	0.073	0.077	0.095	0.095	0.077	0.086	0.068	0.082	0.1	0.113	0.104	0.109	0.145	0.082	0.109	0.086	0.09	N
