14	0.108	0.146	0.234	0.186	0.102	0.08	0.125	0.096	0.112	0.08	0.096	0.111	0.061	0.048	0.061	0.029	0.093	0.051	0.258	NA	0.118	0.105	0.174	0.106	0.153	T
15	0.195	0.169	0.229	0.22	0.195	0.171	0.22	0.169	0.229	0.102	0.127	0.11	0.085	0.127	0.102	0.127	0.137	0.102	0.197	NA	0.076	0.119	0.162	0.127	0.178	N
17	0.05	0.069	0.078	0.039	0.069	0.029	0.049	0.059	0.039	0.029	0.03	0.049	0.059	0.05	0.02	0.049	0.049	0.029	0.089	NA	0.049	0.02	0.069	0.02	0.049	N
172	0.309	0.293	0.321	0.321	0.291	0.267	0.291	0.285	0.303	0.276	0.297	0.25	0.267	0.255	0.23	0.245	0.261	0.255	0.302	NA	0.244	0.244	0.273	0.238	0.279	T
177	0.147	0.179	0.25	0.25	0.176	0.119	0.221	0.088	0.179	0.118	0.134	0.118	0.044	0.044	0.132	0.059	0.059	0.088	0.179	NA	0.059	0.088	0.265	0.132	0.162	T
18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
19	0.621	0.634	0.676	0.648	0.697	0.641	0.681	0.641	0.683	0.662	0.662	0.528	0.634	0.576	0.641	0.593	0.634	0.618	0.629	NA	0.636	0.634	0.634	0.614	0.662	N
22	0.154	0.077	0.115	0.115	0.115	0.038	0.077	0.038	0.038	0.038	0.077	0.077	0.077	0.038	0.077	0.038	0.115	0.077	0.077	NA	0.038	0.038	0.077	0.038	0.154	N
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
27	0.379	0.333	0.379	0.362	0.259	0.276	0.259	0.328	0.31	0.172	0.207	0.241	0.138	0.241	0.193	0.224	0.263	0.193	0.263	NA	0.138	0.19	0.31	0.293	0.224	T
31	0.673	0.704	0.541	0.327	0.663	0.48	0.673	0.827	0.866	0.888	0.816	0.592	0.571	0.724	0.701	0.663	0.796	0.571	0.876	NA	0.639	0.724	0.705	0.66	0.847	T
32	0.032	0.032	0.081	0.065	0.032	0.065	0.065	0.032	0.048	0.065	0.048	0.016	0.048	0.048	0	0.016	0.081	0.081	0.065	NA	0	0.032	0.081	0.032	0.048	N
34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
36	0.076	0.084	0.076	0.092	0.059	0.029	0.105	0.088	0.063	0.05	0.046	0.055	0.05	0.055	0.055	0.046	0.046	0.05	0.073	NA	0.063	0.029	0.08	0.042	0.068	N
39	0.549	0.549	0.549	0.608	0.588	0.529	0.588	0.588	0.588	0.608	0.588	0.588	0.529	0.373	0.529	0.471	0.549	0.471	0.592	NA	0.529	0.569	0.49	0.529	0.49	T
50	0.025	0.031	0.037	0.039	0.031	0.019	0.029	0.031	0.037	0.021	0.027	0.033	0.025	0.019	0.019	0.014	0.021	0.019	0.041	NA	0.027	0.018	0.047	0.031	0.037	N
55	0.427	0.44	0.466	0.455	0.418	0.417	0.441	0.43	0.441	0.416	0.427	0.423	0.396	0.362	0.39	0.371	0.395	0.396	0.441	0.182	0.394	0.388	0.434	0.389	0.418	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.208	0.208	0.125	0.25	0.167	0.25	0.25	0.167	0.208	0.25	0.167	0.167	0.125	0.125	0.125	0.125	0.125	0.25	0.125	NA	0.208	0.208	0.25	0.167	0.208	T
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
