14	0.663	0.682	0.61	0.03	0.069	0.039	0.019	0.033	0.133	0.092	0.111	0.09	0.099	0.088	0.092	0.149	0.125	0.088	0.252	T
15	0.652	0.679	0.64	0.041	0.072	0.037	0.043	0.066	0.155	0.161	0.136	0.158	0.12	0.137	0.146	0.212	0.217	0.139	0.285	N
17	0.684	0.653	0.605	0.007	0.045	0.014	0.012	0.01	0.034	0.04	0.04	0.016	0.017	0.024	0.028	0.088	0.078	0.057	0.168	N
172	0.635	0.661	0.591	0.028	0.054	0.024	0.017	0.018	0.115	0.1	0.076	0.076	0.068	0.053	0.072	0.167	0.105	0.019	0.126	T
177	0.643	0.647	0.589	0.109	0.113	0.027	0.109	0.117	0.254	0.248	0.254	0.257	0.191	0.238	0.281	0.318	0.33	0.216	0.319	T
18	0.672	0.658	0.646	0.242	0.32	0.214	0.241	0.364	0.493	0.527	0.51	0.453	0.388	0.35	0.342	0.514	0.533	0.307	0.576	T
19	0.641	0.664	0.619	0.155	0.257	0.172	0.135	0.258	0.468	0.461	0.434	0.395	0.284	0.229	0.274	0.559	0.617	0.328	0.643	N
22	0.624	0.713	0.585	0.004	0.05	0.011	0.009	0.013	0.055	0.07	0.031	0.055	0.048	0.046	0.042	0.094	0.081	0.031	0.179	N
25	0.671	0.658	0.626	0.018	0.056	0.022	0.015	0.02	0.078	0.048	0.073	0.043	0.051	0.042	0.054	0.16	0.153	0.105	0.375	N
27	0.655	0.716	0.635	0.207	0.193	0.086	0.129	0.167	0.471	0.421	0.42	0.494	0.399	0.402	0.422	0.457	0.448	0.086	0.457	T
31	0.641	0.667	0.61	0.522	0.612	0.483	0.477	0.508	0.846	0.843	0.866	0.858	0.723	0.642	0.691	0.782	0.815	0.343	0.626	T
32	0.657	0.69	0.58	0.062	0.142	0.066	0.088	0.093	0.159	0.145	0.148	0.134	0.116	0.114	0.135	0.211	0.197	0.112	0.174	N
34	0.638	0.68	0.599	0.024	0.069	0.01	0.027	0.031	0.079	0.064	0.056	0.049	0.07	0.061	0.056	0.147	0.117	0.054	0.22	N
36	0.636	0.684	0.622	0.021	0.048	0.011	0.024	0.024	0.112	0.096	0.109	0.078	0.074	0.077	0.073	0.256	0.186	0.063	0.322	N
39	0.625	0.66	0.642	0.154	0.184	0.07	0.343	0.411	0.485	0.491	0.513	0.484	0.498	0.422	0.493	0.522	0.536	0.319	0.502	T
