14	0.708	0	0.016	0.046	0.005	0.036	0.01	0.005	0.016	0	0.005	0.005	0.015	0.015	0.015	0.015	0	0.031	0.01	0.005	0.031	0.026	0.021	0.026	0.005	0.047	0.005	0.016	0.021	0.056	0.052	0.021	T
15	0.656	0.009	0.003	0.044	0.024	0.032	0.003	0.006	0.018	0.018	0.009	0.012	0.018	0.021	0.009	0.006	0.012	0.009	0	0.009	0.015	0.033	0.042	0.036	0.03	0.042	0.015	0.012	0.024	0.03	0.021	0.018	N
17	0.624	0.03	0.023	0.038	0.015	0.031	0.008	0.023	0.016	0.008	0.045	0.023	0.023	0.061	0.038	0.023	0.023	0.045	0.03	0.008	0.03	0.031	0.054	0.031	0.03	0.053	0.015	0.008	0.015	0.068	0.008	0	N
172	0.663	0.018	0.008	0.016	0.02	0.009	0.014	0.005	0.015	0.004	0.007	0.012	0.009	0.007	0.016	0.008	0.012	0.007	0.011	0.014	0.008	0.005	0.008	0.01	0.007	0.008	0.005	0.011	0.018	0.05	0.007	0.016	T
177	0.602	0.083	0.128	0.227	0.183	0.331	0.241	0.18	0.212	0.045	0.053	0.03	0.038	0.188	0.273	0.223	0.212	0.226	0.242	0.265	0.263	0.256	0.265	0.279	0.278	0.295	0.165	0.197	0.129	0.189	0.061	0.18	T
18	0.706	0.55	0.498	0.602	0.612	0.597	0.595	0.621	0.614	0.559	0.611	0.567	0.493	0.55	0.614	0.621	0.605	0.608	0.597	0.598	0.602	0.611	0.612	0.603	0.612	0.619	0.517	0.587	0.564	0.565	0.536	0.507	T
19	0.679	0.626	0.622	0.773	0.819	0.81	0.781	0.793	0.804	0.793	0.803	0.603	0.366	0.741	0.806	0.793	0.793	0.798	0.791	0.804	0.79	0.802	0.808	0.814	0.802	0.807	0.664	0.783	0.782	0.577	0.62	0.626	N
22	0.687	0.01	0	0.005	0.015	0.025	0.03	0.02	0.005	0.005	0.015	0.025	0.005	0.02	0.03	0.01	0.04	0.041	0.041	0.03	0.02	0.031	0.036	0.026	0.015	0.031	0	0.026	0.01	0.025	0.01	0.03	N
25	0.678	0.103	0.099	0.374	0.36	0.404	0.238	0.313	0.33	0.313	0.36	0.225	0.196	0.397	0.465	0.431	0.481	0.458	0.411	0.443	0.396	0.397	0.455	0.467	0.467	0.463	0.352	0.325	0.374	0.229	0.174	0.173	N
27	0.712	0.042	0.028	0.097	0.041	0.11	0.083	0.068	0.069	0.055	0.056	0.027	0.041	0.096	0.082	0.082	0.082	0.097	0.11	0.123	0.151	0.123	0.141	0.139	0.137	0.183	0.068	0.11	0.097	0.164	0.137	0.11	T
31	0.67	0.149	0.155	0.588	0.739	0.79	0.207	0.495	0.529	0.394	0.543	0.339	0.085	0.497	0.618	0.319	0.576	0.695	0.529	0.715	0.894	0.791	0.904	0.91	0.924	0.886	0.431	0.688	0.588	0.524	0.759	0.599	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	0.554	0.018	0.019	0.036	0.054	0.054	0.036	0.018	0.036	0.018	0.018	0.018	0.018	0.018	0.018	0.071	0.056	0.036	0.019	0.036	0.036	0.071	0.037	0.036	0.074	0.054	0.018	0.036	0.036	0.179	0.018	0.054	N
36	0.644	0.018	0.018	0.028	0.028	0.018	0.018	0.014	0.037	0.009	0.009	0.005	0.005	0.014	0.027	0.014	0.005	0.005	0.018	0.009	0.019	0.028	0.019	0.037	0.023	0.041	0.009	0.018	0.018	0.032	0.018	0.009	N
