CHR-Hg19	START-hg9	END-hg19	Gene	Ranking
chrY	24454524	24455257	RBMY1F	A1
chr3	22413501	22414523	ZNF385D 	A2
chr13	28366360	28367622	GSX1	A3
chr1	50884008	50885082	DMRTA2	A4
chr1	66258510	66259011	PDE4B	A5
chr14	95234999	95235883	GSC	A6
chr19	56915482	56915983	ZNF583	A7
chr15	60286946	60287447	FOXB1	A8
chr1	63785294	63785795	LINC00466?	A9
chr7	54612225	54612726	VSTM2A	A10
chr6	108489727	108490228	NR2E1	A11
chr2	176987212	176987713	HOXD9	A12
chr10	22634182	22634690	SPAG6	A13
chr12	81471688	81472189	ACSS3	A14
chr19	41595725	41596226	CYP2A13	A15
chr11	131780996	131781497	NTM	A16
chr20	61885829	61886333	NKAIN4	A17
chr3	129694237	129694738	TRH	A18
chr2	73430124	73430625	NOTO	A19
chr10	126136357	126136858	NKX1-2	A20
chr3	112051658	112052159	CD200	A21
chr6	159589809	159590310	FNDC1	A22
chr16	55690131	55690632	SLC6A2	A23
chr17	36734661	36735162	SRCIN1	A24
chr1	50884230	50884731	DMRTA2	A25
chr7	87257844	87258345	RUNDC3B	A26
chr5	33936112	33936613	RXFP3	A27
chr5	115152181	115152743	CDO1	A28
chr3	172166267	172166768	GHSR	A29
chr19	53635858	53636359	ZNF415	A30
chr11	43602595	43603171	MIR129-2	A31
chr10	15761631	15762132	ITGA8	A32
chr11	119293613	119294120	THY1	A33
chr4	134072473	134072974	PCDH10	A34
chr1	237205159	237205660	RYR2	A35
chr2	5832919	5833420	SOX11	A36
chr3	62356712	62357213	FEZF2	A37
chr22	46367367	46367868	WNT7B	A38
chr3	179754283	179754864	PEX5L	A39
chr12	25055833	25056334	BCAT1	A40
chr10	102893870	102894371	TLX1	A41
chr19	38182805	38183513	ZNF781	A42
chr3	157821233	157821604	SHOX2	A43
chr9	100610697	100611517	FOXE1	A44
chr13	25320081	25320803	LncRNA	A45
chr7	64349331	64349844	ZNF273	A46
chr11	120434806	120435307	GRIK4?	A47
chr6	151561284	151562550	AKAP12	A48
chr19	58220190	58220517	ZNF154	A49
LINE-1	LINE-1	LINE-1	LINE-1	A50
