	TE.fixed	lower.fixed	upper.fixed	pval.fixed	TE.random	lower.random	upper.random	pval.random	ENSG2Symbol.rownames.out1..	TE.fixed.1	lower.fixed.1	upper.fixed.1	pval.fixed.1	TE.random.1	lower.random.1	upper.random.1	pval.random.1	ENSG2Symbol.rownames.out2..	TE.fixed.2	lower.fixed.2	upper.fixed.2	pval.fixed.2	TE.random.2	lower.random.2	upper.random.2	pval.random.2	ENSG2Symbol.rownames.out2...1
ENSG00000206195.9	0.635262423	0.621257384	0.649267462	0	1.946013175	1.219462308	2.672564043	1.52E-07	AP000525.9	1.298064846	1.188468316	1.417767997	6.77E-09	1.303650237	1.116308029	1.522432785	0.00080818	AP000525.9	1.828448718	1.32316971	2.526678694	0.000255297	1.828448718	1.32316971	2.526678694	0.000255297	AP000525.9
ENSG00000184220.9	0.27662856	0.275210698	0.278046421	0	0.486123743	0.28691063	0.685336856	1.73E-06	CMSS1	1.2511763	1.147894797	1.363750527	3.44E-07	1.269417475	1.113378438	1.447325251	0.000364034	CMSS1	1.775789777	1.283067073	2.45772758	0.000533864	1.775789777	1.283067073	2.45772758	0.000533864	CMSS1
ENSG00000175874.8	1.948491437	1.916600458	1.980382415	0	1.742115495	1.210824443	2.273406546	1.30E-10	CREG2	1.420163961	1.295995683	1.556228699	5.72E-14	1.449202346	1.277929492	1.643429824	7.40E-09	CREG2	2.10769567	1.514946612	2.932368047	9.63E-06	2.058510578	1.381619953	3.067027071	0.000386765	CREG2
ENSG00000215784.5	1.889047989	1.849593911	1.928502067	0	2.30248129	1.842444851	2.762517729	1.02E-22	FAM72D	1.299461553	1.191823085	1.416821296	2.89E-09	1.358177481	1.144122909	1.612279637	0.000467688	FAM72D	1.835907886	1.319663306	2.554104334	0.000310269	1.835907886	1.319663306	2.554104334	0.000310269	FAM72D
ENSG00000111711.8	0.203694654	0.202358744	0.205030564	0	0.343229035	0.21084197	0.475616099	3.75E-07	GOLT1B	1.318774364	1.209042485	1.438465435	4.30E-10	1.336305152	1.174786807	1.52003023	1.03E-05	GOLT1B	1.775381068	1.280589751	2.461348713	0.000573737	1.775381068	1.280589751	2.461348713	0.000573737	GOLT1B
ENSG00000135245.9	0.374668583	0.370737427	0.37859974	0	1.11937633	0.586689782	1.652062878	3.81E-05	HILPDA	1.262711593	1.153532132	1.382224666	4.29E-07	1.281398235	1.145587934	1.433308949	1.44E-05	HILPDA	2.229013939	1.56039746	3.18412665	1.06E-05	2.229013939	1.56039746	3.18412665	1.06E-05	HILPDA
ENSG00000137309.18	1.314287652	1.309235763	1.319339542	0	1.301400785	0.885759486	1.717042083	8.42E-10	HMGA1	1.263352891	1.157780438	1.378551991	1.52E-07	1.280867646	1.112456465	1.47477405	0.000578093	HMGA1	1.843701218	1.330341349	2.555159385	0.000238537	1.843701218	1.330341349	2.555159385	0.000238537	HMGA1
ENSG00000072571.18	2.143155279	2.131512429	2.154798129	0	2.207476359	1.787001769	2.627950948	7.84E-25	HMMR	1.401708706	1.286345754	1.527417719	1.30E-14	1.429666017	1.198158935	1.705904666	7.32E-05	HMMR	1.984801438	1.433201338	2.748697369	3.68E-05	1.984801438	1.433201338	2.748697369	3.68E-05	HMMR
ENSG00000160207.7	0.475548702	0.470021883	0.481075521	0	0.902912982	0.595666952	1.210159011	8.42E-09	HSF2BP	1.249106142	1.144003007	1.36386543	7.05E-07	1.269939258	1.113850271	1.447901715	0.000355133	HSF2BP	1.815580336	1.311867351	2.512702182	0.000321625	1.815580336	1.311867351	2.512702182	0.000321625	HSF2BP
ENSG00000112984.10	2.671431332	2.657519828	2.685342836	0	2.836314612	2.400735818	3.271893406	2.66E-37	KIF20A	1.347225192	1.236862853	1.4674349	8.21E-12	1.406416622	1.151408506	1.717902641	0.000834192	KIF20A	1.871756779	1.351620113	2.592054829	0.000160764	1.871756779	1.351620113	2.592054829	0.000160764	KIF20A
ENSG00000142945.11	1.897713348	1.890717391	1.904709304	0	2.412113725	1.901038506	2.923188945	2.24E-20	KIF2C	1.325213935	1.216431817	1.443724135	1.17E-10	1.400246262	1.161378066	1.688244035	0.000419236	KIF2C	1.844009904	1.331920751	2.552984119	0.000227108	1.844009904	1.331920751	2.552984119	0.000227108	KIF2C
ENSG00000125885.12	0.628866978	0.62683386	0.630900097	0	0.778309835	0.459486326	1.097133344	1.71E-06	MCM8	1.294022218	1.187629742	1.409945744	3.90E-09	1.323033039	1.137921143	1.538258107	0.000272555	MCM8	2.495329722	1.800706183	3.457904726	3.94E-08	2.495329722	1.800706183	3.457904726	3.94E-08	MCM8
ENSG00000196611.4	2.443038928	2.387797777	2.49828008	0	2.843414815	1.669999913	4.016829716	2.04E-06	MMP1	1.305752977	1.177674664	1.447760479	4.09E-07	1.320306774	1.136419676	1.533949133	0.000282171	MMP1	2.525352133	1.720887474	3.705880535	2.20E-06	2.525352133	1.720887474	3.705880535	2.20E-06	MMP1
ENSG00000066697.13	0.202129932	0.200900824	0.20335904	0	0.399710431	0.256819502	0.54260136	4.19E-08	MSANTD3	1.249271771	1.146364523	1.361416832	3.89E-07	1.245001188	1.104509237	1.403363508	0.00033441	MSANTD3	1.898225666	1.37251227	2.625303073	0.000107157	1.898225666	1.37251227	2.625303073	0.000107157	MSANTD3
ENSG00000233532.4	1.000001943	0.910255402	1.089748484	9.91E-106	3.681115988	2.394466658	4.967765319	2.05E-08	NA	1.369574657	1.235877337	1.517735365	1.96E-09	1.324494005	1.128550769	1.554457644	0.000580658	NA	2.606248312	1.584078418	4.288001268	0.000162781	2.606248312	1.584078418	4.288001268	0.000162781	NA
ENSG00000165795.19	-1.345464218	-1.348307314	-1.342621122	0	-1.527140062	-1.780318165	-1.27396196	2.99E-32	NDRG2	0.801027749	0.731389369	0.877296666	1.74E-06	0.792001952	0.701610289	0.894039186	0.000162297	NDRG2	0.480598197	0.330741669	0.698353575	0.000121531	0.480598197	0.330741669	0.698353575	0.000121531	NDRG2
ENSG00000109674.3	2.514994122	2.495627622	2.534360621	0	3.016042755	2.348398164	3.683687346	8.44E-19	NEIL3	1.319939725	1.21066716	1.439075029	3.06E-10	1.360042027	1.139079817	1.623867167	0.000675013	NEIL3	1.851251378	1.328610134	2.579486319	0.000273996	1.851251378	1.328610134	2.579486319	0.000273996	NEIL3
ENSG00000090621.12	0.365640442	0.364601401	0.366679482	0	0.222586822	0.102385488	0.342788155	0.000284049	PABPC4	1.26739431	1.161552787	1.382880187	1.01E-07	1.299516046	1.117837251	1.510722561	0.000650231	PABPC4	1.920092823	1.383470021	2.664861829	9.58E-05	1.920092823	1.383470021	2.664861829	9.58E-05	PABPC4
ENSG00000166851.13	2.768540852	2.760623822	2.776457882	0	2.403941117	2.019447108	2.788435127	1.60E-34	PLK1	1.378778192	1.265827005	1.501808143	1.77E-13	1.397943977	1.147389819	1.703211352	0.000886396	PLK1	1.985123884	1.434765489	2.746592991	3.49E-05	1.985123884	1.434765489	2.746592991	3.49E-05	PLK1
ENSG00000109618.10	-0.249266092	-0.251031823	-0.247500362	0	-0.278399168	-0.409174773	-0.147623563	3.01E-05	SEPSECS	0.791134332	0.72478489	0.863557643	1.59E-07	0.790897127	0.695957846	0.898787576	0.000323822	SEPSECS	0.559153192	0.397977848	0.785602248	0.000805558	0.559153192	0.397977848	0.785602248	0.000805558	SEPSECS
ENSG00000141526.13	1.120808189	1.112764436	1.128851941	0	1.047459275	0.605950934	1.488967617	3.32E-06	SLC16A3	1.315520135	1.204293405	1.437019599	1.17E-09	1.300935083	1.154812737	1.465546783	1.51E-05	SLC16A3	2.247588554	1.582301974	3.192598121	6.11E-06	2.247588554	1.582301974	3.192598121	6.11E-06	SLC16A3
ENSG00000117394.18	0.858639058	0.853993886	0.863284229	0	1.361019366	0.774572387	1.947466345	5.40E-06	SLC2A1	1.411900193	1.292220354	1.54266426	2.30E-14	1.454850893	1.263820525	1.67475609	1.79E-07	SLC2A1	2.270921781	1.594131938	3.235043231	5.55E-06	2.270921781	1.594131938	3.235043231	5.55E-06	SLC2A1
ENSG00000088826.16	0.962383584	0.957545443	0.967221725	0	0.754891907	0.426841916	1.082941898	6.48E-06	SMOX	1.226284987	1.122604847	1.339540687	6.01E-06	1.225628195	1.092694108	1.374734668	0.000514073	SMOX	1.909383764	1.376844556	2.64789975	0.000105831	1.909383764	1.376844556	2.64789975	0.000105831	SMOX
