	GeneName	Pvalue	Statistic	test	ESCA	Control
19280	USP44|84101	0.0149445512306369	-9.58102984610795	wilcox	8.90847104163687	18.4895008877448
2626	C6orf186|728464	0.00176773340602226	-53.5635671218598	wilcox	11.0196164729722	64.5831835948321
5804	EYA4|2070	0.292232380029584	17.2853273452555	wilcox	73.3509006285723	56.0655732833169
355	ADHFE1|137872	2.27646329346242e-06	-299.274216697681	wilcox	45.6324081738018	344.906624871483
17771	TBX4|9496	0.000221445844014267	35.6582788427156	wilcox	37.2443237233527	1.58604488063709
19927	ZIK1|284307	0.00080169571850273	-19.0202703936151	wilcox	25.6518164920564	44.6720868856716
5617	EOMES|8320	0.139747547852164	18.4632411255194	wilcox	30.6388424806112	12.1756013550917
17608	TACC2|10579	0.00186953337042565	-1973.83606485603	wilcox	2705.52870006601	4679.36476492204
5190	DPY19L2P4|442523	0.0972711427856852	-0.094372381914656	wilcox	1.82150546499213	1.91587784690679
19966	ZNF132|7691	1.35378657247392e-06	-76.9025979054716	wilcox	53.8610895223421	130.763687427814
7961	HMX3|340784	0.178711339643279	4.36820762451332	wilcox	6.05426575096095	1.68605812644764
18170	TMEM132C|92293	7.37923753178101e-08	-81.5308650255215	wilcox	5.95283801330231	87.4837030388238
20231	ZNF542|147947	4.98775601265608e-05	-227.131266927955	wilcox	109.646023696071	336.777290624026
20424	ZNF793|390927	0.000318577654373914	-82.7290854906848	wilcox	74.4877887765976	157.216874267282
20145	ZNF418|147686	0.000170455059384732	-43.2794118094376	wilcox	36.7747452801695	80.0541570896071
17926	TFPI2|7980	0.543358267689213	113.889538938587	wilcox	134.113391050846	20.2238521122585
8757	KCNA3|3738	0.125588802394602	-5.51391567129701	wilcox	43.1481308989199	48.6620465702169
5531	ELMO1|9844	0.823732222705998	120.126752768658	wilcox	574.019921263487	453.893168494829
15474	SALL1|6299	0.626439762085878	26.4147544861227	wilcox	86.7143059661556	60.2995514800329
8760	KCNA6|3742	0.00935726225850527	-48.7727501696725	wilcox	12.3047026910718	61.0774528607443
6977	GFRA1|2674	2.21561962105981e-06	-1353.80553414164	wilcox	283.035316233641	1636.84085037529
18694	TRIM71|131405	0.614792878359858	4.34039454119221	wilcox	5.15338177060936	0.812987229417153
3759	CHST2|9435	0.111332953336379	607.785457470282	wilcox	840.471392422486	232.685934952205
12257	NXPH2|11249	0.580439279167843	1.68433949682726	wilcox	4.24086069535855	2.55652119853129
16468	SLITRK5|26050	0.000142837160235625	-38.5692521243661	wilcox	10.3706573409983	48.9399094653644
10240	LRAT|9227	0.49698477842434	157.354437841055	wilcox	192.943688530691	35.5892506896351
20106	ZNF345|25850	0.000454541986907934	-43.5561396582416	wilcox	46.1231282511767	89.6792679094183
20256	ZNF569|148266	0.000311905974289307	-68.6795080683898	wilcox	54.7011843415402	123.38069240993
20181	ZNF470|388566	1.63848479487929e-05	-128.608549520631	wilcox	58.875391522018	187.483941042649
18082	TLX2|3196	0.102947327184049	4.78768044541892	wilcox	9.32752965685015	4.53984921143123
15130	RNLS|55328	0.00015955674034733	-146.77655714539	wilcox	63.1147419685905	209.891299113981
3660	CH25H|9023	0.0349252524256619	-68.7948995560574	wilcox	131.546079954753	200.34097951081
1840	C13orf18|80183	0.0907930472655093	33.9109507317623	wilcox	70.3277508836874	36.4168001519251
20464	ZNF878|729747	0.0444073586522851	-6.28082244832225	wilcox	7.61807735659028	13.8988998049125
20455	ZNF844|284391	4.55742134517284e-06	-184.761059990062	wilcox	90.5132480377213	275.274308027783
20176	ZNF461|92283	0.0116782989600692	-30.1429414409806	wilcox	71.7767672708556	101.919708711836
20421	ZNF790|388536	1.06914074809951e-05	-71.9745925883676	wilcox	53.2070528088685	125.181645397236
20257	ZNF570|148268	3.32913016636673e-05	-56.6329931957918	wilcox	35.071839895793	91.7048330915848
20370	ZNF710|374655	0.00111920084800263	-367.155646665545	wilcox	683.114672774493	1050.27031944004
20371	ZNF711|7552	0.401615420031756	93.3170799728813	wilcox	291.423224475262	198.106144502381
20372	ZNF713|349075	0.726904865421697	9.75760879590267	wilcox	75.5929178748104	65.8353090789077
20373	ZNF714|148206	0.0788788986586841	127.826589106299	wilcox	348.668708160128	220.842119053829
20374	ZNF716|441234	0.0250116752758233	9.79322039445504	wilcox	9.79337207543704	0.000151680982001784
20375	ZNF717|100131827	0.000263053133532906	-57.8282010579246	wilcox	55.1348515059074	112.963052563832
20376	ZNF718|255403	0.163247314773248	-12.1055674208077	wilcox	80.9253655911703	93.030933011978
20377	ZNF71|58491	0.000938946419947986	-90.4626757387563	wilcox	90.4301430537318	180.892818792488
20094	ZNF329|79673	0.000174240809771949	-106.243113959785	wilcox	138.039189999023	244.282303958808
20126	ZNF385B|151126	0.000241409870507309	-540.343141328268	wilcox	26.0439963657067	566.387137693975
15624	SCOC|60592	0.116361465144463	-163.326632534602	wilcox	1209.58741076695	1372.91404330155
3996	CNR1|1268	7.58330566335608e-05	-131.639388698269	wilcox	47.0684084818329	178.707797180102
17466	SUCNR1|56670	0.00167105202672488	17.3350994376672	wilcox	20.458842868655	3.1237434309878
