region	group	GSI
chr4:178230942-178231022	Lung	0.00359094081156401
chr5:72677422-72677439	Vessel	0.265604719452515
chr14:75530450-75530515	Vessel	0.0039933548903791
chr17:1161924-1162043	Brain	0.845096932751981
chr2:132285649-132285687	Bladder	0
chr3:127794514-127794561	Esophagus	0.00199582191165103
chr9:136474561-136474573	Kidney	0.036059687266134
chr8:145158512-145158632	Vessel	0.00182072442409108
chr8:123792450-123792587	Colon	0.00437900597655373
chr7:151573393-151573438	Kidney	0.00371485138141856
chr14:100705903-100705925	Bladder	0
chr22:29866433-29866450	Ovary	0.828809476219361
chr1:44872738-44872769	Intestine	0.101310213447418
chr9:124922079-124922168	Thymus	0.00220219026420841
chr14:74253554-74253637	Brain	0.00382986635208305
chr10:62703654-62703676	Intestine	0.0906680930344671
chr11:44088067-44088103	Heart	0.000958950368352473
chr9:36488205-36488252	Ovary	0.0035251308281731
chr14:50360384-50360393	Kidney	0.667242564877932
chr13:103498183-103498298	Fat cell	0.00207339931868241
chr7:122526827-122526855	Thymus	0.00474848873929418
chr10:17851758-17851828	Bladder	0
chr4:980779-980827	Spleen	0.00534358836449377
chr13:33700283-33700339	Thymus	0.74789527537211
chr12:53472817-53472881	Ovary	0.00408467287501791
chr5:178287393-178287409	Kidney	0.00247525797222709
chr2:63815420-63815464	Bladder	0
chr6:128841645-128841676	Ovary	0.00795331893617933
chr4:66535654-66535889	Bladder	0
chr5:158636574-158636790	Brain	0.00345956268881566
chr22:29784519-29784547	Ovary	0.00490224235592077
chr3:184053568-184053698	Bladder	0.00162745363654121
chr6:35266544-35266709	Lung	0.498816965132048
chr13:20767371-20767480	Kidney	0.00556099045819905
chr16:4378212-4378283	muscle	0.157583425632221
chr9:85033404-85033583	Lung	0.514591392997149
chr7:92464420-92464430	Spleen	0.0037852595018938
chr16:85044631-85044869	Pancreas	0.0031346655253823
chr5:125679904-125680151	Bladder	0
chr4:78741207-78741312	Esophagus	0.0067882163389645
chr1:153651008-153651142	Stomach	0.012151660057986
chr8:144267604-144267613	Thymus	0.771604489087517
chr19:17416446-17416517	Vessel	0.00299038785223898
chr16:4816881-4816934	Brain	0.0108621578750592
chr17:79322621-79322654	Thymus	0.319673777964389
chr17:46806934-46807076	Liver	0.0477636785227019
chr10:88123205-88123264	Brain	0.623775344123797
chr1:1284206-1284226	Esophagus	0.0175392796671187
chr10:15139159-15139216	Spleen	0.00456169384176506
chr11:70672834-70672889	Intestine	0.729215490651423
chr17:8124965-8125039	Gastric	0.00289925531101731
chr17:19442492-19442613	Heart	0.318707930942039
chr1:236129610-236129749	Pancreas	0.511842093344831
chr6:28834479-28834577	Liver	0.0069680818427373
chr1:156051377-156051422	Pancreas	0.0194177666681062
chr11:64684802-64684953	Intestine	0.00466108032336769
chr17:1394516-1394680	Vessel	0.00227058592010897
chr19:13112804-13112873	Spleen	0.729590858609286
chr19:50817274-50817379	Bladder	0
chr17:58212294-58212398	Bladder	0
chr8:12611544-12611614	Bladder	0.00234725047235302
chr7:44613623-44613870	Colon	0.00267033755421119
chr4:111532734-111532778	Bladder	0.317083503750273
chr1:29563788-29564127	Stomach	0.0459406855262702
chr1:10754073-10754087	Bladder	0
chr15:65647837-65647956	Pancreas	0.0117279289902321
chr14:51134181-51134213	Intestine	0.00422560724005341
chr12:56727485-56727755	Gastric	0.00704018697307622
chr19:19372283-19372327	Pancreas	0.00571798600962719
chr10:102242324-102242479	Vessel	0.00477578164811066
chr16:58270155-58270401	Bladder	0.00382518646967124
chr11:126870688-126870843	Colon	0.00546834786494005
chr17:27276084-27276134	Bladder	0
chr2:45179517-45179565	Lung	0.00633855876353417
chr9:93955478-93955588	Gastric	0.00318257723306542
chr15:41245118-41245211	Heart	0.00592633710124841
chr5:74161576-74161654	Kidney	0.0136621841680276
chr15:93448464-93448515	Thymus	0.860643127879169
chr1:165567619-165567844	Colon	0.00385858494540955
chr3:130465246-130465433	Bladder	0.00726776157954606
chr19:14184165-14184257	Brain	0.00766802146571393
chr10:22541406-22541457	Pancreas	0.0200998969912884
chr7:6145129-6145158	Heart	0.00573992604704343
chr12:57400097-57400205	Lung	0.00339522861458847
chr4:10118626-10118998	Colon	0.00503412749725141
chr5:75379064-75379455	Gastric	0.0050839815524755
chr7:1609692-1609932	Liver	0.00280856259633614
chr13:27565252-27565507	Bladder	0
chr19:12902805-12902875	Brain	0.00645231736768247
chr2:15700872-15700993	Brain	0.0214871423817784
chr13:41239980-41240045	Liver	0.141671105252655
chr2:60781356-60781795	Ovary	0.00394021759911276
chr14:73925224-73925333	Thymus	0.00930817601601321
chr11:64019079-64019187	Bladder	0.00327971020810385
chr6:41908795-41909517	Colon	0.00162138959818678
chr4:5710406-5710452	Gastric	0.230390070946727
chr9:131486215-131486247	Lung	0.00502133668313772
chr4:72966836-72967065	Bladder	0
chr20:17551885-17552062	Bladder	0
chr20:56204996-56205066	Vessel	0.615313701665641
chr2:127413793-127414021	Brain	0.23559175600185
chr18:72391136-72391320	Liver	0.880489927351763
chr19:2475754-2475771	Colon	0.00306778052859727
chr19:42829901-42829946	Bladder	0.00352847713297418
chr11:63530922-63530935	Thymus	0.701580179231479
chr15:62683630-62684024	Kidney	0.0502009681997033
chr11:65082744-65082904	Esophagus	0.00322857718673141
chr11:75918603-75918741	Kidney	0.00178656161268261
chr10:43915834-43916099	Pancreas	0.004930998448864
chr5:34656008-34656123	Bladder	0
chr19:35738966-35739032	Bladder	0
chr14:37126842-37126964	Gastric	0.0908749645694054
chr17:55335304-55335439	Bladder	0
chr15:37392955-37393052	Kidney	0.043103783470802
chr1:146714068-146714269	Brain	0.00486766923643052
chr17:72755480-72755646	Bladder	0
chr13:102569354-102569417	Heart	0.0296829217470729
chr1:156595785-156595808	Intestine	0.0253265158188025
chr7:127992093-127992120	Brain	0.222484396169043
chr2:27273124-27273741	Colon	0.00303576030140439
chr1:50886736-50886781	Esophagus	0.571625483763723
chr14:102248136-102248167	muscle	0.0104537443992646
chr19:1067529-1067563	Colon	0.00286429929197828
chr5:138941734-138941758	Bladder	0
chr4:569634-569823	Gastric	0.076098813030657
chr3:119013876-119013934	muscle	0.0173680314825673
chr1:28696711-28696754	Spleen	0.0135312814381263
chr14:23299517-23299740	Bladder	0
chr11:93276692-93276733	Kidney	0.00352095411462754
chr1:150266096-150266491	Colon	0.0426303490199785
chr18:55811957-55812167	Brain	0.893209207705695
chr3:179371113-179371180	muscle	0.00336473127434502
chr12:57824380-57824426	muscle	0.00387055343389075
chr4:42154052-42154084	Intestine	0.0249406476961172
chr3:185815867-185816026	Bladder	0
chr3:127327279-127327307	Bladder	0.31966461893614
chr10:57388299-57388331	Esophagus	0.136640578566874
chr1:19578138-19578638	Thymus	0.00828689773470008
chr6:44265193-44265283	Liver	0.0109126171278428
chr12:76478523-76478561	Stomach	0.00385709441600656
chr10:88471120-88471194	Spleen	0.00316755641350932
chr16:57496877-57496896	Intestine	0.0476691034278373
chr4:77227329-77227441	Gastric	0.00997367056140051
chr5:159200478-159200649	Liver	0.0229286707985855
chr14:69931747-69931950	Brain	0.649418093722526
chr5:140080155-140080233	Brain	0.0141289394934034
chr16:12843887-12844053	Bladder	0
chr1:237205772-237205847	Intestine	0.416523381544856
chr11:22688173-22688301	Bladder	0
chr5:89705736-89705790	Bladder	0
chr6:117996420-117996579	Brain	0.00481769834610175
chr3:139396596-139396713	Colon	0.00417840683773391
chr10:25305913-25305932	Kidney	0.00911180310568591
chr2:102313668-102313741	Intestine	0.0023582551756424
chr10:11206771-11206837	Colon	0.386668740892693
chr22:35979154-35979320	muscle	0.0468381167652124
chr2:209271471-209271593	Colon	0.0794072873858184
chr16:15549607-15549709	Bladder	0
chr4:36245929-36246083	Colon	0.00343925509223611
chr7:73589176-73589367	Brain	0.00404218947952266
chr8:29208466-29208717	Thymus	0.00273964011088555
chr1:234953644-234953757	Bladder	0
chr8:8230381-8230499	Pancreas	0.535841116638722
chr10:76586408-76586475	Bladder	0.00325391147982393
