Cgsite,Gene_Symbol,CHR,Coordinate
cg00071984,FHIT,3,60617504
cg00506250,FHIT,3,60747416
cg00658590,FHIT,3,60622526
cg00721771,FHIT,3,59903821
cg01519017,FHIT,3,61227050
cg01556706,FHIT,3,59804435
cg02854288,FHIT,3,61236911
cg03319184,FHIT,3,60388836
cg04383442,FHIT,3,60752789
cg04835638,FHIT,3,60363505
cg05645292,FHIT,3,59795625
cg07351758,FHIT,3,59752350
cg08195983,FHIT,3,61235829
cg08223225,FHIT,3,60994171
cg10131075,FHIT,3,61237865
cg10763247,FHIT,3,61066614
cg11158760,FHIT,3,61237270
cg12030002,FHIT,3,61237226
cg13745692,FHIT,3,60065489
cg15135842,FHIT,3,60728530
cg15238012,FHIT,3,60656177
cg15570148,FHIT,3,61235985
cg15931943,FHIT,3,61236909
cg15970800,FHIT,3,60818194
cg16806041,FHIT,3,59996265
cg16986494,FHIT,3,61237206
cg17087356,FHIT,3,59749626
cg17894779,FHIT,3,60066405
cg19049316,FHIT,3,61237063
cg19282443,FHIT,3,60541935
cg19574488,FHIT,3,61236547
cg19729536,FHIT,3,60288717
cg20366397,FHIT,3,59759843
cg20517149,FHIT,3,59960363
cg21541638,FHIT,3,61236016
cg22215728,FHIT,3,61236652
cg22533480,FHIT,3,60559834
cg22688399,FHIT,3,61234515
cg23222057,FHIT,3,59798132
cg24295653,FHIT,3,61237884
cg24796403,FHIT,3,61237172
cg25736251,FHIT,3,61235869
cg25921543,FHIT,3,59980762
cg26322434,FHIT,3,61237156
cg26358659,FHIT,3,60740074
cg27254860,FHIT,3,59983787
