TargetID	X611.121_mas.lungtumortissue.Signal.CY3	X611.121_mas.lungtumortissue.Signal.CY5	X611.121_mas.lungtumortissue.Detection.Pval	X612..123.lungtumortissue.Signal.CY3	X612..123.lungtumortissue.Signal.CY5	X612..123.lungtumortissue.Detection.Pval	X613.132_mas.lungtumortissue.Signal.CY3	X613.132_mas.lungtumortissue.Signal.CY5	X613.132_mas.lungtumortissue.Detection.Pval	X614.185_mas.lungtumortissue.Signal.CY3	X614.185_mas.lungtumortissue.Signal.CY5	X614.185_mas.lungtumortissue.Detection.Pval	X615.187_mas.lungtumortissue.Signal.CY3	X615.187_mas.lungtumortissue.Signal.CY5	X615.187_mas.lungtumortissue.Detection.Pval	X616..232.lungtumortissue.Signal.CY3	X616..232.lungtumortissue.Signal.CY5	X616..232.lungtumortissue.Detection.Pval	X617..234.lungtumortissue.Signal.CY3	X617..234.lungtumortissue.Signal.CY5	X617..234.lungtumortissue.Detection.Pval	X618..243.lungtumortissue.Signal.CY3	X618..243.lungtumortissue.Signal.CY5	X618..243.lungtumortissue.Detection.Pval	X619.390_mas.lungtumortissue.Signal.CY3	X619.390_mas.lungtumortissue.Signal.CY5	X619.390_mas.lungtumortissue.Detection.Pval	X620..440.lungtumortissue.Signal.CY3	X620..440.lungtumortissue.Signal.CY5	X620..440.lungtumortissue.Detection.Pval	X1146.Lung.398SCC.lungtumortissue.Signal.CY3	X1146.Lung.398SCC.lungtumortissue.Signal.CY5	X1146.Lung.398SCC.lungtumortissue.Detection.Pval	X1608.4644T.lungtumortissue.Signal.CY3	X1608.4644T.lungtumortissue.Signal.CY5	X1608.4644T.lungtumortissue.Detection.Pval	X1609.4645T.lungtumortissue.Signal.CY3	X1609.4645T.lungtumortissue.Signal.CY5	X1609.4645T.lungtumortissue.Detection.Pval	X1610.4648T.lungtumortissue.Signal.CY3	X1610.4648T.lungtumortissue.Signal.CY5	X1610.4648T.lungtumortissue.Detection.Pval	X1611.4652T.lungtumortissue.Signal.CY3	X1611.4652T.lungtumortissue.Signal.CY5	X1611.4652T.lungtumortissue.Detection.Pval	X1612.4653T.lungtumortissue.Signal.CY3	X1612.4653T.lungtumortissue.Signal.CY5	X1612.4653T.lungtumortissue.Detection.Pval	X1613.4654T.lungtumortissue.Signal.CY3	X1613.4654T.lungtumortissue.Signal.CY5	X1613.4654T.lungtumortissue.Detection.Pval	X1614.6008T.lungtumortissue.Signal.CY3	X1614.6008T.lungtumortissue.Signal.CY5	X1614.6008T.lungtumortissue.Detection.Pval	X1615.6220T.lungtumortissue.Signal.CY3	X1615.6220T.lungtumortissue.Signal.CY5	X1615.6220T.lungtumortissue.Detection.Pval	X1616.6338T.lungtumortissue.Signal.CY3	X1616.6338T.lungtumortissue.Signal.CY5	X1616.6338T.lungtumortissue.Detection.Pval	X1617.6499T.lungtumortissue.Signal.CY3	X1617.6499T.lungtumortissue.Signal.CY5	X1617.6499T.lungtumortissue.Detection.Pval	X1618.6501T.lungtumortissue.Signal.CY3	X1618.6501T.lungtumortissue.Signal.CY5	X1618.6501T.lungtumortissue.Detection.Pval	X1619.6512T.lungtumortissue.Signal.CY3	X1619.6512T.lungtumortissue.Signal.CY5	X1619.6512T.lungtumortissue.Detection.Pval	X622.H1395wt.lungcellline.Signal.CY3	X622.H1395wt.lungcellline.Signal.CY5	X622.H1395wt.lungcellline.Detection.Pval	X623.H441wt.lungcellline.Signal.CY3	X623.H441wt.lungcellline.Signal.CY5	X623.H441wt.lungcellline.Detection.Pval	X624.H1155wt.lungcellline.Signal.CY3	X624.H1155wt.lungcellline.Signal.CY5	X624.H1155wt.lungcellline.Detection.Pval	X625.CALU3wt.lungcellline.Signal.CY3	X625.CALU3wt.lungcellline.Signal.CY5	X625.CALU3wt.lungcellline.Detection.Pval	X626.H23KO.lungcellline.Signal.CY3	X626.H23KO.lungcellline.Signal.CY5	X626.H23KO.lungcellline.Detection.Pval	X627.A427KO.lungcellline.Signal.CY3	X627.A427KO.lungcellline.Signal.CY5	X627.A427KO.lungcellline.Detection.Pval	X628.H522KO.lungcellline.Signal.CY3	X628.H522KO.lungcellline.Signal.CY5	X628.H522KO.lungcellline.Detection.Pval	X629.A549KO.lungcellline.Signal.CY3	X629.A549KO.lungcellline.Signal.CY5	X629.A549KO.lungcellline.Detection.Pval	X631.H2126KO.lungcellline.Signal.CY3	X631.H2126KO.lungcellline.Signal.CY5	X631.H2126KO.lungcellline.Detection.Pval	X990.H1299.lungcellline.Signal.CY3	X990.H1299.lungcellline.Signal.CY5	X990.H1299.lungcellline.Detection.Pval	X1657.normal_lung.lungnormaltissue.Signal.CY3	X1657.normal_lung.lungnormaltissue.Signal.CY5	X1657.normal_lung.lungnormaltissue.Detection.Pval	X1686.Nlung.571.lungnormaltissue.Signal.CY3	X1686.Nlung.571.lungnormaltissue.Signal.CY5	X1686.Nlung.571.lungnormaltissue.Detection.Pval	X1688.Nlung.593.lungnormaltissue.Signal.CY3	X1688.Nlung.593.lungnormaltissue.Signal.CY5	X1688.Nlung.593.lungnormaltissue.Detection.Pval
AATK_E63_R	1503	20874	0	956	18149	0	1034	16945	0	874	19480	0	1352	13448	0	1730	12664	0	1413	10653	0	3083	11278	0	1856	11854	0	888	9251	0	3041	31875	0	1642	37803	0	4264	31927	0	14666	22744	0	2483	40395	0	2333	40007	0	10251	24595	0	5697	29638	0	2299	33458	0	3430	35215	0	4483	29114	0	4581	31703	0	1754	38144	0	565	18526	0	7241	6318	0	582	10281	0	1112	13535	0	1380	11244	0	2307	20092	0	578	20599	0	1122	17620	0	1120	9288	0	848	17131	0	1571	30032	0	1474	12097	0	2273	8185	0
AATK_P519_R	584	23624	0	831	16100	0	756	15572	0	569	19128	0	844	13204	0	987	13319	0	1083	14489	0	2324	8225	0	1081	13318	0	845	9137	0	3944	30655	0	1986	41074	0	2744	37107	0	20738	18915	0	5833	34004	0	1334	30135	0	2287	36482	0	4814	33605	0	1438	39890	0	1881	39554	0	2207	36591	0	1393	41684	0	2209	40957	0	1028	15751	0	603	16144	0	831	11127	0	542	21098	0	488	15135	0	579	27584	0	634	20230	0	634	18819	0	1480	11808	0	526	21681	0	3341	35114	0	2980	14459	0	2080	12672	0
AATK_P709_R	703	9153	0	720	6058	0	770	5181	0	571	5906	0	788	4631	0	780	2437	0	541	3800	0	1892	3857	0	1371	5124	0	483	2881	0	5492	3517	0	2667	17356	0	1324	17213	0	20359	3974	0	7950	9531	0	2097	14478	0	3545	12251	0	7212	7710	0	1661	16845	0	2980	13827	0	3740	10075	0	1383	15685	0	2859	12253	0	531	5292	0	516	4427	0	582	3584	0	520	5456	0	427	4832	0	479	6831	0	318	6687	0	317	8225	0	483	2498	0	246	6197	0	4385	12643	0	2312	4066	0	1556	2859	0
ABCA1_E120_R	7628	273	0	8715	301	0	8384	274	0	8744	358	0	8889	201	0	9190	228	0	8097	231	0	6113	259	0	6197	319	0	4766	210	0	21051	446	0	27619	544	0	28608	718	0	24844	451	0	26808	648	0	21655	477	0	26099	618	0	31138	598	0	27745	581	0	27212	520	0	27548	632	0	25978	646	0	36877	628	0	8806	244	0	9716	514	0	10321	269	0	6881	221	0	7391	184	0	534	9488	0	6820	234	0	7100	192	0	3835	191	0	7460	217	0	26956	534	0	8879	142	0	6956	136	0
ABCA1_P45_F	4906	199	0	4774	197	0	5111	206	0	2902	565	0	4370	135	0	4424	637	0	3989	138	0	3321	170	0	3761	326	0	3839	157	0	9366	314	0	12062	368	0	12380	333	0	12392	469	0	13658	353	0	8005	229	0	12022	309	0	13878	320	0	11891	351	0	11494	548	0	11834	370	0	11770	263	0	16937	346	0	4705	244	0	4843	203	0	4614	187	0	4198	213	0	4162	168	0	686	8598	0	3269	176	0	2990	145	0	2184	206	0	3470	145	0	13165	364	0	4833	139	0	3642	176	0
ABCB4_E429_F	569	12420	0	607	14534	0	402	18934	0	401	17404	0	708	5081	0	551	7327	0	634	8705	0	854	5968	0	494	13862	0	674	8086	0	900	26090	0	1046	25094	0	1583	20259	0	915	24536	0	2725	23801	0	1068	24908	0	806	21843	0	956	21981	0	932	20337	0	1045	21638	0	1048	22378	0	858	17941	0	1031	24022	0	906	9183	0	1447	4960	0	461	12056	0	566	8143	0	1197	3272	0	1520	1525	0	1562	168	0	663	2108	0	2034	3688	0	386	4980	0	938	23371	0	458	2839	0	494	1587	0
ABCB4_P51_F	1268	7254	0	669	12172	0	457	14917	0	631	12696	0	662	6495	0	795	7134	0	1235	7557	0	657	7381	0	597	13381	0	501	10845	0	1293	25511	0	1211	30458	0	2151	25380	0	1176	30994	0	2939	28894	0	890	20918	0	1253	25551	0	1592	28083	0	1472	27154	0	1792	26397	0	1396	27034	0	1593	27930	0	1286	29924	0	591	11693	0	1255	7622	0	563	12613	0	599	7873	0	1143	6553	0	710	6220	0	1550	3031	0	539	4253	0	608	10807	0	429	14354	0	1121	30018	0	833	8971	0	1368	6587	0
ABCB4_P892_F	514	9296	0	1149	8605	0	521	14076	0	421	7300	0	563	2539	0	552	149	0.52599	1003	1013	0	785	3675	0	862	8987	0	1362	4361	0	1600	18426	0	1826	14152	0	2842	7039	0	2273	9307	0	2876	9878	0	2377	12542	0	2128	10238	0	3447	14513	0	1906	12867	0	2367	10877	0	1999	9989	0	2232	10200	0	1567	23048	0	1484	6088	0	1363	1903	0	639	7738	0	550	168	0.47052	2833	806	0	1757	532	0	765	233	0.01378	546	428	0.00231	3150	1282	0	1628	9430	0	1765	11134	0	1051	5595	0	1361	3334	0
ABCC2_E16_R	571	7966	0	429	162	0.56494	351	11155	0	431	8927	0	383	6488	0	2026	3895	0	380	6484	0	392	8874	0	298	5658	0	744	6034	0	427	32162	0	568	22884	0	653	25547	0	584	36461	0	850	31436	0	1425	17125	0	671	27825	0	552	30764	0	528	33787	0	725	23185	0	1047	28761	0	1341	21997	0	713	28538	0	2845	160	0	320	9842	0	528	207	0.39865	353	6586	0	360	7456	0	518	207	0.38878	355	6133	0	2326	113	0	1751	176	0	222	3346	0	773	26303	0	578	10228	0	578	4762	0
ABCC2_P88_F	793	7087	0	679	13625	0	350	10966	0	427	7020	0	545	5436	0	812	6408	0	613	4675	0	444	7671	0	444	8404	0	2623	3946	0	861	23652	0	712	27742	0	724	23184	0	683	32121	0	997	29068	0	2703	24337	0	2333	18239	0	814	26258	0	936	28254	0	898	27561	0	1250	22308	0	1449	24143	0	952	27017	0	3596	161	0	343	7832	0	788	8776	0	2493	1100	0	418	6559	0	482	10724	0	611	3810	0	1960	148	0	2812	171	0	297	8742	0	775	26650	0	639	9496	0	717	6538	0
