	"cpg"	"Tumor"	"Para"	"Normal"	"ID"	"GB_ACC"	"Symbol"	"Chromosome"	"REFSEQ"	"CpG_Coordinate"	"Dist_to_TSS"	"CpG_island"
4	"cg03567830"	0.5816326531	0.2121212121	0	"NTSR1_P318_F"	"NM_002531.1"	"NTSR1"	20	36.1	60810316	-318	"Y"
13	"cg15343119"	0.4455782313	0.2222222222	0	"GALR1_E52_F"	"NM_001480.2"	"GALR1"	18	36.1	73090773	52	"Y"
23	"cg20530314"	0.268707483	0.0606060606	0	"AGTR1_P154_F"	"NM_000685.3"	"AGTR1"	3	36.1	149898201	-154	"Y"
7	"cg05722918"	0.1904761905	0.0505050505	0	"SLC5A8_E60_R"	"NM_145913.2"	"SLC5A8"	12	36.1	100128060	60	"Y"
25	"cg20881888"	0.1224489796	0.5858585859	0	"ZMYND10_E77_R"	"NM_015896.2"	"ZMYND10"	3	36.1	50358083	77	"Y"
31	"cg27650175"	0.0714285714	0.0101010101	0	"DAB2IP_P9_F"	"NM_032552.1"	"DAB2IP"	9	36.1	123501461	-9	"Y"
30	"cg27154163"	0.0578231293	0.0101010101	0	"KIT_P405_F"	"NM_000222.1"	"KIT"	4	36.1	55218513	-405	"Y"
3	"cg03160309"	0.0442176871	0.0101010101	0	"PTGS2_P524_R"	"NM_000963.1"	"PTGS2"	1	36.1	184916703	-524	"Y"
19	"cg18264687"	0.0408163265	0	0	"MLLT3_E93_R"	"NM_004529.1"	"MLLT3"	9	36.1	20612357	93	"Y"
11	"cg14998713"	0.037414966	0.0202020202	0	"ETS1_E253_R"	"NM_005238.2"	"ETS1"	11	36.1	127897118	253	"Y"
22	"cg19486271"	0.0306122449	0.0202020202	0	"DDB2_P613_R"	"NM_000107.1"	"DDB2"	11	36.1	47192476	-613	"Y"
21	"cg19194454"	0.0204081633	0	0	"NQO1_P345_R"	"NM_001025434.1"	"NQO1"	16	36.1	68318379	-345	"N"
1	"cg02021817"	0.0170068027	0	0	"RBL2_P250_R"	"NM_005611.2"	"RBL2"	16	36.1	52025651	-250	"Y"
8	"cg08504049"	0.0170068027	0	0	"ZNF264_E48_R"	"NM_003417.2"	"ZNF264"	19	36.1	62394729	48	"Y"
6	"cg05362669"	0.0136054422	0	0	"PTPRG_E40_R"	"NM_002841.2"	"PTPRG"	3	36.1	61522325	40	"Y"
9	"cg09038676"	0.0136054422	0.0101010101	0	"GSTP1_E322_R"	"NM_000852.2"	"GSTP1"	11	36.1	67108184	322	"Y"
24	"cg20651681"	0.0136054422	0.0202020202	0	"GRB10_P260_F"	"NM_001001555.1"	"GRB10"	7	36.1	50828912	-260	"Y"
27	"cg22956956"	0.0136054422	0	0	"TFRC_P414_R"	"NM_003234.1"	"TFRC"	3	36.1	197293752	-414	"Y"
15	"cg15676241"	0.0102040816	0	0	"ITGA2_P26_R"	"NM_002203.2"	"ITGA2"	5	36.1	52320988	-26	"Y"
26	"cg22619563"	0.0102040816	0	0	"EPHA3_E156_R"	"NM_005233.3"	"EPHA3"	3	36.1	89239520	156	"Y"
28	"cg26536259"	0.0068027211	0	0	"BMP2_P1201_F"	"NM_001200.1"	"BMP2"	20	36.1	6696006	-1201	"Y"
10	"cg10691006"	0.0034013605	0	0	"MCM2_P260_F"	"NM_004526.2"	"MCM2"	3	36.1	128799683	-260	"Y"
16	"cg16378421"	0.0034013605	0	0	"ABCC5_P444_F"	"NM_005688.2"	"ABCC5"	3	36.1	185218865	-444	"Y"
20	"cg18505908"	0.0034013605	0	0	"APBA1_E99_R"	"NM_001163.2"	"APBA1"	9	36.1	71476943	99	"Y"
32	"cg27650434"	0.0034013605	0	0	"MYCL1_P502_R"	"NM_001033081.1"	"MYCL1"	1	36.1	40140776	-502	"Y"
2	"cg02259997"	0	0	0	"FGF9_P862_R"	"NM_002010.1"	"FGF9"	13	36.1	21143013	-862	"Y"
5	"cg05010623"	0	0	0	"ACVR1C_P363_F"	"NM_145259.1"	"ACVR1C"	2	36.1	158194008	-363	"Y"
12	"cg15043801"	0	0	0	"DNMT1_P100_R"	"NM_001379.1"	"DNMT1"	19	36.1	10166911	-100	"Y"
14	"cg15669092"	0	0	0	"TUBB3_P721_R"	"NM_006086.2"	"TUBB3"	16	36.1	88516525	-721	"Y"
17	"cg16785344"	0	0	0	"PXN_P308_F"	"NM_002859.1"	"PXN"	12	36.1	119188200	-308	"Y"
18	"cg18253802"	0	0	0	"MYB_P673_R"	"NM_005375.2"	"MYB"	6	36.1	135543473	-673	"Y"
29	"cg26774312"	0	0	0	"CAV2_E33_R"	"NM_198212.1"	"CAV2"	7	36.1	115926713	33	"Y"
