cp	tt	nt	np
2660	0.840946502057613	0.5	0.0596093606043855	0.0208333333333333
8253	0.58464590343371	0.447073350359021	NA	0.00608465608465609
14609	1	1	NA	0.0118518518518518
21350	0.58392599464028	0.418181818181818	NA	0.0277777777777778
23554	0.423854166666667	0.558333333333333	0.00434782608695652	0.025
25774	1	0.5	0.00256410256410256	NA
33423	0.719047619047619	0.5	0.00170068027210884	NA
38122	0.578571428571429	0.429166666666666	0.13625	0.02
45561	0.850549450549451	0.6	0.0241407982261641	NA
45613	0.553846153846154	0.5	0.0136566332218506	NA
57581	0.470620557426113	0.57363315696649	NA	0.0337962962962963
61348	0.406711354886635	0.404131603235327	0.0120868347338936	0.00788183694530444
65767	0.612927627927628	0.501190476190476	0.00298507462686567	0.0738095238095239
69657	0.561111111111111	1	0.0251661918328585	NA
76587	1	1	0.00380952380952381	0.025
92452	0.571666666666667	1	0.0395177262824322	0.00444444444444444
94702	0.699747474747475	0.5	0.00803212851405623	NA
98273	0.895833333333333	1	0.00320512820512821	NA
105119	0.931554178145087	1	0.0220760233918128	0.0405982905982906
113544	0.596153846153846	0.527777777777778	NA	0.0555555555555556
126445	0.505555555555556	1	0.00233918128654971	0.0111111111111111
128376	1	0.593943833943834	0.00388654274598477	0.00476190476190476
130438	0.427016079158936	0.656666666666667	NA	0.00317460317460317
135100	NA	1	0.148281821274685	0.0243322109988777
NA	0.833333333333333	1	0.00203035274815423	NA
NA	0.770046466691204	0.802619047619048	NA	0.00416666666666667
NA	0.566666666666667	1	NA	0.0439814814814815
NA	0.830555555555555	0.510416666666667	0.0238095238095238	0.0937500000000001
NA	0.600578231292517	0.415063744865535	0.0186666666666667	0.0166666666666667
NA	0.9	0.444444444444444	0.205566742932364	0.0175
NA	0.739292929292929	1	NA	0.0555555555555556
NA	0.832199546485261	1	0.00347222222222222	NA
NA	0.673675213675214	1	0.0086682427107959	0.00666666666666667
NA	0.46984126984127	0.5	0.00641025641025641	0.116666666666667
NA	0.536883116883117	0.411818181818182	0.0026246719160105	0.00625
NA	0.527777777777778	0.638888888888889	NA	0.0416666666666667
NA	1	0.5	0.0116279069767442	NA
NA	0.576388888888889	0.488049853372434	0.01875	NA
NA	0.7125	0.5325	0.0362179487179487	NA
NA	1	0.832914862914863	0.0021505376344086	0.00929257512006459
NA	0.433333333333333	0.66875	NA	0.0583333333333333
NA	1	1	0.0048780487804878	0.0166666666666667
NA	0.736345598845599	1	0.000701754385964912	0.0277777777777778
NA	0.955555555555555	0.510416666666667	0.0182539682539682	NA
NA	1	0.5	0.114145819710155	0.0555555555555556
NA	1	0.542592592592593	0.00476190476190476	NA
NA	0.668981481481482	0.625	0.00354767184035477	0.0555555555555556
NA	0.71683170995671	0.559722222222222	0.121445279866333	0.05
NA	1	1	0.0196759259259259	NA
NA	1	1	0.00932055749128919	NA
NA	0.619835054884409	0.664189985376776	0.0607503607503607	0.00293410293410293
NA	0.9	1	0.0496384913536076	NA
NA	0.922222222222222	0.518910256410256	0.00268817204301075	0.0494708994708995
NA	0.87962962962963	0.555555555555555	0.00198412698412698	NA
NA	0.78688045606334	1	NA	0.00333333333333333
NA	0.613756613756614	0.666666666666667	NA	0.0231481481481482
NA	0.849637511758724	1	0.0013834793898085	0.00277777777777778
NA	0.453532848324515	0.492516274288053	0.166666666666667	0.0104166666666667
NA	0.526011488511488	1	0.0908897403150274	0.030952380952381
NA	0.775396825396825	1	0.090378421900161	0.0208333333333333
NA	0.613333333333333	1	0.0248199588477366	NA
NA	0.910353535353535	1	0.00234741784037559	NA
NA	0.653130952380952	0.5	0.011469512195122	0.0104166666666667
NA	0.711111111111111	0.638888888888889	0.00416666666666667	NA
NA	0.578880995547662	0.656666666666667	0.0774087430361998	0.0982407407407407
NA	0.386292307194369	0.542012362637363	0.00446837890085612	0.00222634508348794
NA	0.734722222222222	1	0.0208333333333333	0.0277777777777778
NA	1	1	0.0228602383531961	NA
NA	0.875	0.5	NA	0.00925925925925926
NA	0.764814814814815	1	NA	0.03125
NA	0.802222222222222	0.663098290598291	NA	0.00740740740740741
NA	0.73375	0.802619047619048	NA	0.00606060606060606
NA	NA	1	NA	0.025
NA	1	0.5	0.00277777777777778	NA
NA	0.933492063492063	1	0.00595238095238095	0.0277777777777778
NA	1	0.588807526738561	NA	0.0555555555555556
