	MFO.0	MFC.1	SD0.0	SD1.1	logOR.ADCY2	Pval.ADCY2	CI_upper.ADCY2	CI_lower.ADCY2	Sen	Spec	AUC
ADCY2	0.0952940019858153	0.272849200686413	0.086729304162195	0.180028181640339	4.56236333704904	4.38158395677574e-10	6.12200153590613	3.24378745946418	0.875	0.844660194174757	0.853808812546677
AHRR	0.0489478265844996	0.0935766183834546	0.0160086992241317	0.0894197597773642	13.7903687751869	1.44357129450164e-06	19.920630701171	8.67621571900801	0.557692307692308	0.902912621359223	0.705657206870799
ARRB2	0.167023495415876	0.294379876087419	0.0823374613269819	0.127551812162156	4.88141935210798	1.91871599230704e-10	6.48982691074869	3.4722468918214	0.769230769230769	0.815533980582524	0.81235997012696
BCAN	0.282368166834085	0.649217587293355	0.0732070602532807	0.16949504424674	7.26791731729577	3.00581157443882e-12	9.60239615927174	5.47449709864284	0.826923076923077	0.980582524271845	0.968353248693055
DLX5	0.163781835069507	0.35068425048332	0.0333541711059079	0.147013360520708	15.1987373255225	3.6803585906415e-10	20.4308217142267	10.8934093276237	0.826923076923077	0.932038834951456	0.934372666168783
DMRTA2	0.159020510923353	0.464569502172144	0.0540927317255734	0.20298793064552	9.64896935017985	1.6412944190912e-11	12.7538758837964	7.10864588380454	0.865384615384615	0.951456310679612	0.950149365197909
FGF8	0.305584436858079	0.479894741961068	0.0425860859483467	0.155801026461236	7.81396587915131	3.60447235440197e-10	10.5297022454473	5.62052263752423	0.769230769230769	0.912621359223301	0.846433905899925
GSC	0.1367990835761	0.283240938156559	0.0453593982467512	0.191807906685957	5.79812580555676	2.88133733433194e-07	8.28060545937667	3.82573238669934	0.634615384615385	0.951456310679612	0.733289768483943
HIST1H3G	0.099558650693964	0.326646397292787	0.0532470136008877	0.23794416620813	4.47055068188931	1.9469159391043e-09	6.0792787133187	3.14870682892088	0.650485436893204	0.96039603960396	0.777756416418341
HOXA1	0.174753938646663	0.442462124975362	0.0678178774951535	0.186313553859222	6.792725445407	3.57842816673313e-12	8.93650390523234	5.07350442173814	0.826923076923077	0.912621359223301	0.916448842419716
HOXA9	0.145881723618993	0.49099691804978	0.0402063008041801	0.220297286583266	9.78202120965589	2.67518566285076e-08	13.6776555653962	6.78045762395982	0.913461538461538	0.922330097087379	0.934839432412248
HOXD12	0.129126692659778	0.367233307178848	0.041137782125879	0.177528259423798	11.2739043814548	1.07578670177195e-11	14.8648614717712	8.32577989576041	0.894230769230769	0.941747572815534	0.925597460791636
HOXD4	0.251806634384053	0.56436819794094	0.105255762006349	0.222756850074368	4.1709952762749	2.05127591643158e-13	5.38872439242836	3.14993650035313	0.759615384615385	0.912621359223301	0.884802091112771
IFFO1	0.0970415354034808	0.359085205066111	0.0996891387580474	0.228175414366344	3.72903887113144	4.8245883000095e-12	4.88050996251801	2.75318263346911	0.721153846153846	0.883495145631068	0.801064227035101
LHX1	0.174036435149313	0.4786449417718	0.0543927304424048	0.202653657885598	7.51726109833489	1.5753293544092e-11	9.96516950552432	5.56485603643755	0.846153846153846	0.961165048543689	0.919062733383122
LHX8	0.105975878962297	0.303683412355868	0.0319783619713558	0.163199695716808	10.9871654019447	2.11231701371659e-10	14.7433118863122	7.93284847083354	0.817307692307692	0.941747572815534	0.881814787154593
LINC00461	0.114456447048251	0.304243741263116	0.0554681708154776	0.186271587401555	8.57925978431526	1.8304871658435e-09	11.6656412632266	6.056433320414	0.807692307692308	0.922330097087379	0.885548917102315
LINE.1	0.602699000984681	0.555296608193673	0.0261211360826362	0.0915605053921947	-6.96041775950398	4.2434445915869e-05	-3.95623527653225	-10.6179188199992	0.432692307692308	0.922330097087379	0.63629574309186
MIR129.2	0.0937065470793137	0.349454619193282	0.0469045936500577	0.192971380998527	8.55854307575831	6.36073111872255e-11	11.4520626773243	6.27142044459202	0.894230769230769	0.922330097087379	0.904779686333084
MNX1	0.0969422688898549	0.287936068106799	0.152101218507943	0.208230703313557	2.61319434782082	3.83718191684394e-09	3.5414786767621	1.79523376778538	0.772277227722772	0.83495145631068	0.807074882245506
NR2E1	0.152859037579746	0.294103207851312	0.0852741060320368	0.157708569747829	4.58769023707416	1.60712405405857e-09	6.18813169301775	3.19972963444789	0.701923076923077	0.883495145631068	0.795649738610904
OTX1	0.335037873763741	0.649775568915822	0.0642039341150568	0.170236272882019	6.92170295759195	3.85625579646523e-13	9.00834004499783	5.2486265217856	0.884615384615385	0.932038834951456	0.929611650485437
