	OR	LowerLimit	UpperLimit	Group	Normal	Cancer
19	-7.95667522651631	-12.7846717675627	-4.18956389424172	LINE.1	0.594577713968235	0.545579353413364
24	1.79658957735197	0.00271281644410402	3.71243182641707	PEG3	0.605809867540854	0.62814282223124
8	2.34377250569769	0.445387729154312	4.78085704189641	GRIN1	0.0582619341555578	0.132254412688661
38	5.29685360151908	3.40566390461774	7.66877998368146	cg01185433	0.0801754299068617	0.220872586507435
37	5.36949379295675	3.43480918106908	7.86040129957077	ZNF518B	0.101662596229272	0.241865000764185
10	5.75868479832401	3.99407241966741	7.97621968250568	HIST1H3G	0.11016248884393	0.369204780995788
27	5.76565622270776	-0.0258529240219474	12.2477158213559	RBMY1F	0.812570750337355	0.819568481234463
14	6.2487859976973	4.43132202143359	8.63190583540868	HOXD4	0.222012480821737	0.560386420141956
15	6.57383267186959	4.43562253368737	9.5856864338217	IFFO1	0.0629339276230778	0.35182736213503
45	6.99830066837706	4.92504379118533	9.67918343046542	cg08855395	0.210847893927248	0.499555936668198
22	7.05499885858332	4.86634126108057	9.65792085694603	NR2E1	0.133598239417722	0.266339704934022
21	8.28367271008635	5.44440631237539	12.046983702867	MNX1	0.044167819300876	0.278951670752383
4	8.63903168067317	6.12692792873208	12.2197116006044	BCAN	0.27752943595239	0.662288888256028
7	9.20865848016617	6.42362391081285	12.7643185248382	FGF8	0.309110652635209	0.483664957821697
23	9.24990428068414	6.54714223928716	12.9548459963023	OTX1	0.329517174625243	0.663445480630274
36	9.27899253910776	6.51475808393105	12.7982374517937	UMOD	0.189992055725282	0.407915713593572
9	10.4853253056149	6.67077749012783	15.6191457738311	GSC	0.130454509174531	0.280904370130917
35	11.2771382455666	7.78530231359471	16.0009683903477	TRIM58	0.101298404275035	0.431597168353261
3	12.089734135939	8.33776810697903	16.8950465341495	ARRB2	0.138080038180793	0.290748688522855
11	12.3735339033459	8.36762289307271	17.8816664746652	HOXA1	0.157468131552077	0.442212934995214
40	12.5471847523268	8.2362562988083	18.2348682554184	cg02164574	0.0810821061790383	0.242672166021244
43	12.7813870071706	8.63888232972947	18.3551812193058	cg07152216	0.128767471343361	0.361765555661865
30	13.0746743825203	9.36720932116476	17.7782664063487	SIM1	0.222466702531853	0.448030841267924
39	14.2345138699509	9.73140296429141	20.1803329254555	cg01541645	0.180503518207413	0.416838089802314
20	14.3150493374874	9.54827977279065	20.9917492978739	MIR129.2	0.0889010055362026	0.351565426090979
33	14.363348347943	9.81271149821006	20.3200400056359	TFAP2E	0.0910451681330416	0.382790326327201
41	14.5690146453526	10.0221277693267	20.7707729155595	cg06422883	0.105958467368827	0.335617486469028
32	14.9474535162383	9.86338150510177	21.3819512581313	SPEG	0.0905082029249852	0.249881402884963
25	15.2814151350226	10.0935392681359	22.1626560017668	PITX2	0.128871955896912	0.358126276070885
26	15.3893907130999	10.1774676227669	22.2821954945525	POU4F3	0.126815280865213	0.363133515775296
16	15.5354074502242	10.3209035363304	23.2548503552504	LHX1	0.176850554739087	0.494151746914507
42	15.8070866894392	10.6186770638198	22.8180112663352	cg06962177	0.162788817144137	0.443484368349509
28	15.9977508106803	11.4146392030289	21.9237658357887	SATB2.AS1	0.123050598061302	0.379020895657213
48	16.0071177257124	10.5475118891857	23.3679632998156	cg12071888	0.114010497787667	0.302665573003318
17	16.7820138221935	11.4885438546553	23.6766515817668	LHX8	0.105694828457735	0.311620047069474
6	17.0378263476371	11.896337198075	24.2742113283952	DMRTA2	0.14941689777718	0.46331467968158
2	17.3716495095406	10.7049958564932	25.6108083443833	AHRR	0.0507401070606995	0.0893076829124901
12	18.3080216833207	11.7109524337729	27.5076532624565	HOXA9	0.148589624683968	0.508591541979088
31	19.3277757862892	13.2490249206232	26.9438263533778	SLC2A14	0.105237359434151	0.29155105778496
29	19.3293809053099	13.0875170419418	28.4177519168235	SHOX2	0.177155825110133	0.473159472436452
18	20.0982359261093	13.8149334046214	28.1919049782407	LINC00461	0.102751971210932	0.287487107803218
13	20.700370937938	14.4253254519976	29.2971870113124	HOXD12	0.122839473640284	0.364802159514785
47	23.6720382954548	15.6242256916083	34.7023830892256	cg11502555	0.153268798917057	0.392358675103171
46	23.8093667625488	15.4712378326056	35.4962941976448	cg09765089	0.130263808464177	0.421947675667564
34	24.4293617133065	16.7146960917729	34.6616923933672	TRH	0.0628551914640851	0.235053444361698
5	27.3294389501488	18.6566277487076	38.813544795949	DLX5	0.157719722285018	0.354675789745396
44	29.1730567180221	19.8162079772662	41.4628098860032	cg07870999	0.108825436245785	0.276345213829549
1	31.7767545395596	20.8292406292017	46.154851286178	ADCY2	0.0615528580742801	0.242244370901272
