ADCY2	chr5:7390281-7400481
AHRR	chr5:369201-379465
ARRB2	chr17:4610035-4620197
BCAN	chr1:156611408-156621595
DLX5	chr7:96645039-96655220
DMRTA2	chr1:50883416-50893644
FGF8	chr10:103531294-103541553
GRIN1	chr9:140046074-140056260
GSC	chr14:95230313-95240470
HIST1H3G	chr6:26266577-26276773
HOXA1	chr7:27129980-27140247
HOXA9	chr7:27199806-27210072
HOXD12	chr2:176958966-176969222
HOXD4	chr2:177011293-177021523
IFFO1	chr12:6660342-6670491
LHX1	chr17:35294413-35304635
LHX8	chr1:75596959-75607207
LINC00461	chr5:87969394-87979574
MIR129-2	chr11:43597774-43607980
MNX1	chr7:156793076-156803326
NR2E1	chr6:108490813-108501052
OTX1	chr2:63279029-63289210
PEG3	chr19:57345927-57356195
PITX2	chr4:111545623-111555809
POU4F3	chr5:145714928-145725081
RBMY1F	chrY:24324372-24334167
SATB2-AS1	chr2:200330471-200340727
SHOX2	chr3:157807230-157817497
SIM1	chr6:100907907-100918131
SLC2A14	chr12:8020481-8030633
SPEG	chr2:220294580-220304790
TFAP2E	chr1:36037902-36048110
TRH	chr3:129688306-129698569
TRIM58	chr1:248015592-248025785
UMOD	chr16:20354728-20364946
ZNF518B	chr4:10453945-10464213
cg01185433_	chr4:175133949-175144207
cg01541645_	chr14:61099210-61109362
cg02164574_	chr2:176980481-176990673
cg06422883_	chr5:72523161-72533344
cg06962177_	chr1:63780870-63791110
cg07152216_	chr3:147136187-147146342
cg07870999_	chr7:155255833-155265999
cg08855395_	chr1:231291780-231301957
cg09765089_	chr7:27286306-27296516
cg11502555_	chr13:100622247-100632410
cg12071888_	chr1:91190108-91200308
