Pvalue.pair	Statistic.pair	mean1.pair	mean2.pair	SD1.pair	SD2.pair	FDR.pair	Pvalue.single	Statistic.single	mean1.single	mean2.single	SD1.single	SD2.single	FDR.single	V1	V2	V3	V4	V5	V6	V7
4.37633e-07	0.203	0.232	0.029	0.23	0.008	3.186292e-06	4.769626e-45	0.22	0.249	0.029	0.259	0.008	5.322407e-44	chr1	169396706	169396707	cg00002719	C1orf114	Island	I
8.160446e-08	0.222	0.352	0.13	0.219	0.051	7.51102e-07	2.790114e-47	0.225	0.354	0.129	0.202	0.05	3.494281e-46	chr19	17501257	17501258	cg00024280	cg00024280	N_Shore	I
4.281324e-06	0.173	0.21	0.037	0.221	0.007	2.346608e-05	3.044395e-29	0.125	0.162	0.037	0.194	0.007	1.679895e-28	chr3	147077127	147077128	cg00025647	cg00025647	Island	I
3.91756e-06	0.186	0.356	0.17	0.232	0.059	2.169907e-05	5.618272e-20	0.143	0.312	0.169	0.222	0.058	2.135059e-19	chr13	42031281	42031282	cg00025981	C13orf15	Island	I
2.26622e-06	0.181	0.216	0.035	0.226	0.011	1.339218e-05	1.857968e-33	0.135	0.169	0.034	0.192	0.011	1.217109e-32	chr6	30227813	30227814	cg00026375	HLA-L	Island	I
2.545209e-09	0.215	0.304	0.089	0.194	0.038	4.213389e-08	1.443459e-55	0.213	0.303	0.09	0.185	0.038	2.924165e-54	chr3	38080704	38080705	cg00030422	DLEC1	Island	I
2.552171e-09	0.265	0.49	0.225	0.232	0.053	4.222329e-08	6.072427e-47	0.252	0.476	0.225	0.239	0.054	7.474983e-46	chr6	26271718	26271719	cg00036011	HIST1H3G	N_Shore	II
6.176602e-06	0.234	0.282	0.047	0.305	0.034	3.246458e-05	1.201377e-33	0.209	0.256	0.047	0.287	0.033	7.936342e-33	chr2	223289277	223289278	cg00043095	SGPP2	Island	I
1.262875e-09	0.352	0.413	0.061	0.31	0.029	2.386358e-08	4.052536e-60	0.3	0.364	0.063	0.283	0.031	1.110389e-58	chr12	133195094	133195095	cg00058329	P2RX2	Island	I
5.870252e-06	0.224	0.249	0.025	0.291	0.011	3.102774e-05	2.435546e-34	0.184	0.21	0.026	0.258	0.011	1.656708e-33	chr2	228736253	228736254	cg00063174	WDR69	Island	I
