cancer	normal	V1	V2	V3	V4	V5	V6	V7
0.363021656024236	0.10540785526994	chr1	149719536	149719537	cg00017221	cg00017221	Island	I
0.302107133017922	0.175595031013676	chr6	26271718	26271719	cg00036011	HIST1H3G	N_Shore	II
0.315962961347288	0.0756128353644264	chr12	54424679	54424680	cg00040312	HOXC4	Island	I
0.300296990838111	0.0453674645749027	chr12	133195094	133195095	cg00058329	P2RX2	Island	I
0.30321066300975	0.0706291285129168	chr12	62585204	62585205	cg00089798	FAM19A2	Island	II
0.378176538077881	0.0674375317539423	chr2	45171818	45171819	cg00097146	SIX3	Island	I
0.305466235691146	0.0817728778326711	chr4	4867424	4867425	cg00131983	cg00131983	Island	I
0.39324638093249	0.0468042739703381	chr5	2038899	2038900	cg00213479	cg00213479	Island	I
0.320714941553525	0.158142840315059	chr20	2674548	2674549	cg00246386	EBF4	Island	I
0.353646357139086	0.127586880825161	chr9	100611516	100611517	cg00282510	cg00282510	Island	II
0.364518156657976	0.0742463511805018	chr13	53420425	53420426	cg00287312	PCDH8	Island	II
0.429023076774791	0.135649805553696	chr8	70983567	70983568	cg00384539	PRDM14	Island	I
0.327268090253666	0.0615705081673915	chr7	96650323	96650324	cg00400832	DLX5	Island	I
0.330179895077562	0.177159270531132	chr5	100239919	100239920	cg00405699	ST8SIA4	S_Shore	II
0.329094831104936	0.0402110656580181	chr8	97172961	97172962	cg00421139	GDF6	Island	I
0.318934272170321	0.0641401802814671	chr2	176936581	176936582	cg00459623	cg00459623	Island	I
0.328764005680473	0.153883912200783	chr1	66998806	66998807	cg00460049	SGIP1	Island	II
0.308166591775063	0.047829198856349	chr4	41753803	41753804	cg00516513	cg00516513	Island	I
0.322582147077863	0.0408816625030975	chr10	102419245	102419246	cg00557947	cg00557947	Island	I
0.337669361753175	0.142729673016084	chr12	66122874	66122875	cg00592781	cg00592781	Island	I
0.31827571576139	0.0680811123152073	chr2	105459775	105459776	cg00619126	cg00619126	Island	I
0.373217635323145	0.183581532729705	chr12	115105290	115105291	cg00723994	cg00723994	Island	I
0.370428561362905	0.0607633402220248	chr3	119528956	119528957	cg00836482	NR1I2	Island	I
0.305855429195983	0.139905732677865	chr2	177029921	177029922	cg00893471	HOXD3	Island	II
0.342693992438642	0.0650835779651143	chr1	50513927	50513928	cg00963169	ELAVL4	Island	I
0.305277069997297	0.0583883578991994	chr14	37125914	37125915	cg00970313	PAX9	N_Shore	I
0.388500461613216	0.0767657022632298	chr12	6665288	6665289	cg00983904	IFFO1	Island	I
0.302982142089746	0.0822505023929396	chr19	21646470	21646471	cg01048962	cg01048962	Island	I
0.351783373004951	0.0682260223052549	chr5	180100963	180100964	cg01054478	cg01054478	Island	I
0.363436331992801	0.149587920820562	chr19	31848310	31848311	cg01085362	cg01085362	S_Shore	I
0.331927025319684	0.157759291775872	chr2	149645880	149645881	cg01100175	KIF5C	S_Shore	I
0.323856953732934	0.036544783176399	chr5	135266135	135266136	cg01283246	FBXL21	Island	I
0.306230479397336	0.152016159882191	chr19	51924572	51924573	cg01295994	cg01295994	N_Shore	I
0.304716569283556	0.0467140650614109	chr6	41606317	41606318	cg01350077	MDFI	Island	I
0.312110959340799	0.135519499657369	chr5	42952307	42952308	cg01366595	cg01366595	Island	II
0.32931275475645	0.0293504672399789	chr10	18429760	18429761	cg01392544	CACNB2	Island	I
0.315321087488416	0.0384156039217394	chr2	162283705	162283706	cg01419831	cg01419831	Island	I
0.345210121077701	0.0126647974158547	chr1	111217575	111217576	cg01423964	KCNA3	Island	I
0.373788362644671	0.0586428140523453	chr7	6703803	6703804	cg01447112	cg01447112	Island	I
0.403249244685745	0.0643760388280611	chr19	30016147	30016148	cg01464835	VSTM2B	Island	I
0.327015207202849	0.0572295761608388	chr8	140715557	140715558	cg01532168	KCNK9	Island	I
0.309198223374624	0.0323666833031213	chr1	240255136	240255137	cg01535698	FMN2	Island	I
0.329493444417404	0.0831249618073196	chr8	53852274	53852275	cg01559663	NPBWR1	Island	I
0.343273993725705	0.0779687112588382	chr5	2038922	2038923	cg01570424	cg01570424	Island	II
0.321358989831038	0.0232712150651188	chr8	24814137	24814138	cg01614020	NEFL	Island	I
0.385489175512991	0.113001831043844	chr14	37125531	37125532	cg01627823	PAX9	Island	I
0.353155052343046	0.0495556852579647	chr19	1776398	1776399	cg01638213	cg01638213	Island	I
0.31192278464346	0.0137200215826727	chr12	111472183	111472184	cg01638592	CUX2	Island	I
0.360257118520663	0.026865525918249	chr11	20618250	20618251	cg01642521	cg01642521	Island	I
0.336476810474502	0.0606686724095311	chr15	83316734	83316735	cg01645753	CPEB1	Island	I
0.387067314333045	0.185399537210806	chr16	49312238	49312239	cg01687680	CBLN1	Island	I
0.399892728332343	0.047290819727525	chr7	35296968	35296969	cg01688536	cg01688536	Island	I
0.343949705008323	0.153261107776149	chr17	79448527	79448528	cg01696226	cg01696226	Island	I
0.306813009942812	0.0290232116736968	chr16	12996234	12996235	cg01705052	SHISA9	Island	I
0.376745379680068	0.14851469726833	chr7	30722327	30722328	cg01718447	CRHR2	Island	I
0.31014374067386	0.177806757901587	chr12	58021295	58021296	cg01723148	B4GALNT1	Island	II
0.460216782350075	0.188876350898424	chr1	27687074	27687075	cg01730970	MAP3K6	Island	II
0.372149942216573	0.0492974110620888	chr20	61992494	61992495	cg01743841	CHRNA4	Island	I
0.353692666108397	0.0610042400906421	chr1	224805287	224805288	cg01777643	CNIH3	Island	I
0.420401212668898	0.188064206122362	chr14	62583795	62583796	cg01779765	FLJ43390	Island	I
0.323474761110219	0.059883910470908	chr20	21686293	21686294	cg01783070	PAX1	Island	I
0.43747012987665	0.145676532848344	chr14	95239586	95239587	cg01796166	cg01796166	Island	I
0.385781965341501	0.0355074345041784	chr14	92790097	92790098	cg01802258	SLC24A4	Island	I
0.345244445688817	0.0405395980926174	chr10	18429749	18429750	cg01805540	CACNB2	Island	I
0.34133435264447	0.0554786462250146	chr3	126113663	126113664	cg01815671	CCDC37	Island	I
0.434559776685029	0.138139067825773	chr4	5710411	5710412	cg01834022	EVC2	Island	I
0.310284437003049	0.0318302950486246	chr5	134825791	134825792	cg01889143	cg01889143	Island	I
0.429068318356623	0.0616692651445293	chr7	49813088	49813089	cg01893212	VWC2	Island	I
0.419741406214542	0.119991689265118	chr6	41528531	41528532	cg01916088	FOXP4	Island	I
0.341360065142422	0.0358516419620622	chr11	43602879	43602880	cg01939477	MIR129-2	Island	I
0.373194904669212	0.0516205973723045	chr13	110959668	110959669	cg01956420	COL4A1	Island	I
0.409308064516529	0.0820199184146311	chr11	20618230	20618231	cg02027945	cg02027945	Island	I
0.311312413917695	0.0441385258504979	chr17	59529618	59529619	cg02081266	cg02081266	Island	I
0.314460850112927	0.112374379659074	chr7	45961473	45961474	cg02120774	IGFBP3	S_Shore	I
0.368986553980653	0.0804013179443908	chr2	45160490	45160491	cg02155398	cg02155398	N_Shore	I
0.33373067737635	0.104171272861896	chr11	128564756	128564757	cg02216246	FLI1	Island	II
0.314107643211986	0.0751446754246058	chr12	132905819	132905820	cg02228111	GALNT9	Island	I
0.304573473185748	0.0541407227295356	chr16	6069019	6069020	cg02230017	A2BP1	Island	I
0.304134726535193	0.039928870564375	chr8	53852443	53852444	cg02237470	NPBWR1	Island	I
0.416702604709821	0.0725784308646753	chr3	147077616	147077617	cg02253760	cg02253760	Island	I
0.370195204167269	0.0395553780739881	chr7	70597058	70597059	cg02300154	WBSCR17	Island	I
0.327552576970592	0.187161209675806	chr5	122423615	122423616	cg02300584	PRDM6	N_Shore	II
0.315860711457519	0.0547601892090216	chr12	103355958	103355959	cg02305377	cg02305377	N_Shelf	I
0.342262619280816	0.0556166083677886	chr15	83952345	83952346	cg02318926	BNC1	Island	I
0.319782024298756	0.183494064396569	chr11	46317036	46317037	cg02364610	CREB3L1	Island	II
0.325635784092253	0.0521682676369377	chr16	230343	230344	cg02401454	HBQ1	Island	I
0.384424332930544	0.0704888444800867	chr1	154475139	154475140	cg02457680	TDRD10	Island	I
0.41027818119361	0.0525363255702568	chr7	49813102	49813103	cg02467990	VWC2	Island	I
0.454193251263945	0.068972556732329	chr13	37006063	37006064	cg02478448	CCNA1	Island	I
0.343177803396479	0.0778018554844629	chr16	12995568	12995569	cg02482218	SHISA9	Island	I
