Pvalue.pair	Statistic.pair	mean1.pair	mean2.pair	SD1.pair	SD2.pair	FDR.pair	Pvalue.single	Statistic.single	mean1.single	mean2.single	SD1.single	SD2.single	FDR.single	V1	V2	V3	V4	V5	V6	V7
4.222154e-15	0.443	0.533	0.09	0.247	0.052	1.172602e-13	4.158657e-95	0.434	0.524	0.09	0.25	0.052	4.821717e-93	chr1	169396706	169396707	cg00002719	C1orf114	Island	I
3.010421e-20	0.438	0.642	0.204	0.15	0.103	3.649594e-18	3.801341e-38	0.427	0.631	0.204	0.186	0.103	4.008355e-37	chr12	113901210	113901211	cg00003298	LHX5	Island	I
1.782652e-06	0.203	0.283	0.08	0.247	0.022	8.686911e-06	1.156979e-39	0.174	0.254	0.08	0.233	0.022	1.299489e-38	chr7	15725862	15725863	cg00003994	MEOX2	NA	II
3.303789e-10	0.167	0.204	0.037	0.139	0.008	3.265329e-09	4.640265e-103	0.213	0.249	0.037	0.147	0.008	7.738301e-101	chr2	219738314	219738315	cg00011225	WNT6	Island	I
1.09386e-09	0.203	0.411	0.209	0.167	0.063	9.782326e-09	3.031735e-40	0.239	0.447	0.209	0.181	0.063	3.489782e-39	chr16	49311903	49311904	cg00011740	cg00011740	Island	II
5.319855e-10	0.202	0.455	0.254	0.162	0.066	5.054719e-09	2.621823e-32	0.213	0.466	0.254	0.154	0.066	2.164667e-31	chr2	127413530	127413531	cg00014112	GYPC	N_Shore	I
2.552483e-13	0.292	0.412	0.12	0.203	0.067	4.724724e-12	3.7075e-54	0.337	0.457	0.12	0.199	0.067	7.579678e-53	chr2	66652949	66652950	cg00015058	cg00015058	Island	II
1.931177e-13	0.34	0.398	0.058	0.225	0.031	3.676384e-12	3.19512e-95	0.326	0.385	0.058	0.228	0.031	3.727467e-93	chr1	149719536	149719537	cg00017221	cg00017221	Island	I
9.550067e-22	0.41	0.628	0.218	0.118	0.093	1.972079e-19	1.42548e-37	0.415	0.633	0.218	0.139	0.094	1.468241e-36	chr2	68546899	68546900	cg00020052	CNRIP1	Island	II
5.053232e-16	0.348	0.388	0.04	0.195	0.044	1.772884e-14	1.306577e-97	0.371	0.411	0.04	0.201	0.044	1.709579e-95	chr2	144694680	144694681	cg00020622	cg00020622	Island	I
8.465878e-08	0.224	0.338	0.115	0.235	0.02	5.315617e-07	8.511489e-70	0.226	0.341	0.115	0.208	0.02	3.347004e-68	chr1	44872463	44872464	cg00023154	RNF220	Island	II
5.301849e-14	0.266	0.342	0.076	0.175	0.041	1.148024e-12	5.064336e-61	0.23	0.306	0.076	0.185	0.041	1.377141e-59	chr8	65489939	65489940	cg00023185	LOC401463	N_Shore	I
4.425378e-19	0.3	0.477	0.177	0.132	0.046	3.73161e-17	3.847749e-71	0.3	0.477	0.177	0.149	0.046	1.607382e-69	chr19	17501257	17501258	cg00024280	cg00024280	N_Shore	I
3.274271e-08	0.253	0.267	0.015	0.254	0.003	2.220551e-07	5.630476e-73	0.284	0.298	0.015	0.257	0.003	2.551819e-71	chr17	47573864	47573865	cg00024472	NGFR	Island	I
7.76364e-14	0.267	0.413	0.146	0.177	0.059	1.61769e-12	2.59141e-47	0.255	0.401	0.146	0.196	0.059	3.997689e-46	chr3	147077127	147077128	cg00025647	cg00025647	Island	I
6.182655e-07	0.182	0.231	0.048	0.21	0.015	3.291839e-06	1.012532e-53	0.202	0.251	0.048	0.225	0.015	2.033613e-52	chr6	30227813	30227814	cg00026375	HLA-L	Island	I
3.781992e-09	0.218	0.329	0.111	0.204	0.035	3.056782e-08	1.910013e-71	NA	NA	0.111	NA	0.035	8.108138e-70	chr11	69634240	69634241	cg00043379	FGF3	Island	II
1.587877e-13	0.261	0.4	0.138	0.173	0.047	3.077726e-12	2.520845e-64	0.27	0.408	0.138	0.163	0.047	7.903883e-63	chr4	185942529	185942530	cg00043819	cg00043819	Island	I
9.254994e-11	0.27	0.31	0.039	0.218	0.019	1.015987e-09	1.854687e-84	0.277	0.317	0.039	0.222	0.019	1.359069e-82	chr1	66258760	66258761	cg00046625	PDE4B	Island	I
2.309274e-17	0.464	0.581	0.117	0.241	0.072	1.154681e-15	2.508556e-66	0.422	0.539	0.117	0.257	0.072	8.529801e-65	chr12	133195094	133195095	cg00058329	P2RX2	Island	I
5.459898e-13	0.344	0.384	0.04	0.233	0.018	9.400837e-12	1.145951e-117	0.39	0.43	0.04	0.24	0.018	3.788573e-115	chr3	134369974	134369975	cg00060320	KY	Island	I
6.592805e-11	0.294	0.495	0.201	0.267	0.143	7.456252e-10	2.518808e-17	0.269	0.471	0.201	0.272	0.143	1.096819e-16	chr2	228736253	228736254	cg00063174	WDR69	Island	I
2.264746e-12	0.401	0.468	0.067	0.282	0.024	3.430684e-11	1.252034e-104	NA	NA	0.067	NA	0.024	2.271584e-102	chr15	51385970	51385971	cg00063471	TNFAIP8L3	Island	I
4.448445e-11	0.369	0.505	0.137	0.29	0.071	5.204175e-10	8.087328e-65	0.412	0.548	0.137	0.278	0.071	2.583151e-63	chr1	18959268	18959269	cg00065215	PAX7	Island	I
1.257471e-06	0.17	0.255	0.085	0.199	0.04	6.310298e-06	3.030999e-30	0.146	0.231	0.085	0.203	0.04	2.296456e-29	chr1	102462590	102462591	cg00066671	OLFM3	NA	I
8.724581e-09	0.228	0.282	0.054	0.21	0.023	6.600628e-08	2.508051e-61	0.207	0.261	0.054	0.205	0.023	6.914117e-60	chr1	44883227	44883228	cg00069860	RNF220	Island	I
8.039362e-08	0.176	0.226	0.05	0.183	0.008	5.067818e-07	1.167449e-62	0.169	0.219	0.05	0.171	0.008	3.4137e-61	chr3	44038484	44038485	cg00082713	cg00082713	Island	II
4.169848e-15	0.29	0.559	0.269	0.15	0.08	1.15962e-13	1.675946e-32	0.27	0.539	0.269	0.156	0.08	1.394679e-31	chr3	69592090	69592091	cg00090936	cg00090936	S_Shore	II
5.77015e-26	0.346	0.403	0.058	0.1	0.035	7.164121e-23	1.402506e-107	0.349	0.406	0.058	0.134	0.035	2.909814e-105	chr1	98511031	98511032	cg00091285	cg00091285	Island	I
1.184808e-09	0.293	0.385	0.092	0.244	0.061	1.052691e-08	5.651063e-58	0.321	0.413	0.092	0.242	0.061	1.350258e-56	chr1	236228625	236228626	cg00095594	NID1	Island	I
8.797414e-18	0.332	0.628	0.296	0.123	0.097	4.961338e-16	1.023715e-28	0.322	0.618	0.296	0.115	0.097	7.282973e-28	chr2	45171818	45171819	cg00097146	SIX3	Island	I
6.629321e-18	0.498	0.572	0.074	0.233	0.045	3.869204e-16	6.146595e-111	0.462	0.536	0.074	0.261	0.045	1.483517e-108	chr1	169396635	169396636	cg00100121	C1orf114	Island	I
3.119839e-11	0.217	0.567	0.35	0.147	0.085	3.763352e-10	2.146662e-22	0.198	0.548	0.35	0.17	0.085	1.16457e-21	chr5	140892370	140892371	cg00104845	PCDHGB5	N_Shore	I
1.325835e-06	0.219	0.244	0.025	0.262	0.013	6.623489e-06	7.535833e-48	0.218	0.244	0.025	0.265	0.013	1.188595e-46	chr1	35351407	35351408	cg00114029	DLGAP3	Island	I
1.358276e-06	0.199	0.225	0.026	0.24	0.014	6.771718e-06	1.439808e-50	0.202	0.228	0.026	0.235	0.014	2.53414e-49	chr6	151815241	151815242	cg00117463	C6orf97	Island	I
8.826504e-10	0.294	0.364	0.07	0.253	0.039	8.038514e-09	1.281215e-63	0.284	0.354	0.07	0.261	0.039	3.902218e-62	chr4	90758537	90758538	cg00119181	SNCA	Island	I
4.119673e-06	0.155	0.205	0.049	0.197	0.011	1.869988e-05	3.241564e-39	0.141	0.19	0.049	0.194	0.011	3.570173e-38	chr17	44896162	44896163	cg00126034	WNT3	Island	II
7.012413e-06	0.184	0.249	0.064	0.249	0.023	3.043328e-05	1.305919e-50	0.23	0.295	0.064	0.265	0.023	2.302479e-49	chr4	4867424	4867425	cg00131983	cg00131983	Island	I
1.127553e-17	0.481	0.58	0.099	0.224	0.068	6.160633e-16	2.593697e-74	0.466	0.565	0.099	0.215	0.068	1.243069e-72	chr16	31228059	31228060	cg00133595	TRIM72	Island	I
5.592813e-14	0.366	0.407	0.041	0.225	0.021	1.204065e-12	2.185323e-105	0.326	0.367	0.041	0.219	0.021	4.094276e-103	chr3	139653573	139653574	cg00134776	CLSTN2	Island	I
3.621105e-06	0.195	0.332	0.137	0.251	0.039	1.661234e-05	1.454919e-33	0.185	0.322	0.137	0.26	0.039	1.265772e-32	chr15	89942691	89942692	cg00149947	cg00149947	Island	I
2.719676e-15	0.304	0.512	0.208	0.165	0.065	7.909887e-14	4.824534e-48	0.299	0.507	0.208	0.173	0.065	7.669074e-47	chr5	32713290	32713291	cg00155526	NPR3	Island	II
7.620333e-19	0.413	0.555	0.143	0.186	0.092	5.96485e-17	2.284727e-42	0.406	0.549	0.143	0.191	0.092	2.869784e-41	chr6	159590231	159590232	cg00157796	FNDC1	Island	I
2.306418e-05	0.189	0.217	0.027	0.269	0.011	9.035434e-05	5.693393e-34	0.163	0.191	0.027	0.247	0.011	5.040016e-33	chr13	24040743	24040744	cg00158254	cg00158254	Island	I
1.421714e-14	0.426	0.49	0.063	0.261	0.034	3.50094e-13	3.100924e-121	0.439	0.503	0.063	0.25	0.034	1.240573e-118	chr7	37487633	37487634	cg00159100	ELMO1	Island	II
1.323255e-07	0.182	0.262	0.08	0.205	0.034	8.001084e-07	2.010689e-45	0.204	0.284	0.08	0.238	0.034	2.866679e-44	chr17	43037427	43037428	cg00164949	C1QL1	Island	I
1.569484e-08	0.23	0.273	0.043	0.226	0.017	1.130029e-07	9.665724e-58	0.221	0.263	0.043	0.234	0.017	2.285116e-56	chr1	223538379	223538380	cg00172597	SUSD4	Island	I
3.220227e-09	0.202	0.238	0.036	0.183	0.013	2.636689e-08	9.837781e-66	0.178	0.214	0.036	0.172	0.013	3.262224e-64	chr17	43047971	43047972	cg00182758	cg00182758	S_Shore	II
1.104506e-05	0.165	0.22	0.054	0.223	0.013	4.613641e-05	2.23941e-44	0.158	0.212	0.054	0.2	0.013	3.054118e-43	chr7	121783544	121783545	cg00185170	AASS	N_Shore	II
8.800086e-08	0.218	0.274	0.056	0.228	0.013	5.506432e-07	7.284301e-66	0.229	0.285	0.056	0.223	0.013	2.428499e-64	chr13	93879022	93879023	cg00191477	GPC6	N_Shore	II
8.384647e-12	0.341	0.373	0.033	0.25	0.019	1.130507e-10	1.383417e-95	0.368	0.401	0.033	0.27	0.019	1.641471e-93	chr10	93392836	93392837	cg00197495	PPP1R3C	Island	I
