	cpgname	genename	pvalue	pvalue.fdr	pvalue.bonferroni	effect
17437	cg03856723	PRKACA	2.04973071165234e-05	0.501793462471379	0.512043229077872	0.595226178630869
17004	cg22016649	PNPLA2	4.01740092447364e-05	0.501793462471379	1	0.605854410643455
619	cg08711674	AKT1S1;TBC1D17	0.000103192063289385	0.574308973128842	1	0.808935270639977
3872	cg09227563	CDC42EP5	0.000103972535889057	0.574308973128842	1	0.41784140342513
9776	cg17356733	IFNGR2	0.000191218674012269	0.574308973128842	1	0.697686404498138
3151	cg11262815	CACNA1G	0.00019977455712457	0.574308973128842	1	0.49618734854173
11482	cg25428451	LOC339524	0.000209607245329171	0.574308973128842	1	0.795908341765172
14680	cg27112247	NA	0.000213475185635402	0.574308973128842	1	0.589251468977885
6116	cg24654547	DUS2L;DDX28	0.000232239262000479	0.574308973128842	1	0.715720457275427
7416	cg13492227	FGF11	0.000335796406831425	0.574308973128842	1	0.775706829055721
21092	cg22285621	SSH3	0.000349152981354145	0.574308973128842	1	0.500700935800131
16143	cg25242557	PAX6	0.00035724446623095	0.574308973128842	1	0.5700739465279
20926	cg15206445	SPG7	0.000379579808725827	0.574308973128842	1	0.668794770277954
11319	cg19539004	LIF	0.000389068792567532	0.574308973128842	1	0.763461340038489
18256	cg08047457	RASSF1	0.000398671319002197	0.574308973128842	1	0.487502709441362
1611	cg20557104	B3GNT8	0.000430240294033769	0.574308973128842	1	0.612289514455677
11749	cg27494383	LTK	0.000441919861007631	0.574308973128842	1	0.409907343441559
24161	cg25766774	ZDHHC3;EXOSC7	0.000474104796978092	0.574308973128842	1	0.67697887251207
21174	cg18691434	STAG3;GPC2	0.000494733891789869	0.574308973128842	1	0.679274185679079
20324	cg23855818	SLC41A2	0.00051745790505032	0.574308973128842	1	0.858783304464845
13552	cg09555679	NA	0.000524876601071221	0.574308973128842	1	0.62760280297553
5316	cg15914863	CYP2W1	0.00053612326557614	0.574308973128842	1	0.757971576651617
24767	cg13121699	ZNF804A	0.00054723462560946	0.574308973128842	1	0.448487905235723
24727	cg01185080	ZNF710	0.00055175594872472	0.574308973128842	1	0.68939845567504
19387	cg21604042	SCUBE3	0.000615758868985914	0.587051671941469	1	0.370773136909873
9204	cg10046620	HIST1H2AI	0.000642153168573919	0.587051671941469	1	0.428745701125977
14782	cg27585441	NA	0.000684170132459658	0.587051671941469	1	0.638625369181282
16837	cg16483916	PLAC2	0.000695671433345827	0.587051671941469	1	0.671022659581899
16623	cg19759064	PHKG1	0.000701450419053416	0.587051671941469	1	0.690090226535172
20962	cg01861509	SPOCK2	0.000704997804661306	0.587051671941469	1	0.836419683282327
14439	cg15945602	NA	0.000750941984200754	0.605138119590937	1	0.615766203105753
18255	cg00777121	RASSF1	0.000928218539858072	0.658608907411221	1	0.547285656701976
9765	cg14885742	IFITM3	0.000964212372812786	0.658608907411221	1	0.728411929428231
6288	cg23902550	EEF1D;TIGD5	0.00101813765512209	0.658608907411221	1	0.843392891458937
223	cg14672994	ACSF2	0.00101881658519506	0.658608907411221	1	0.695980616584768
20161	cg25054311	SLC26A2	0.00102637905816688	0.658608907411221	1	0.674498731763301
3624	cg09637363	CCND1	0.00104490074212201	0.658608907411221	1	0.874272985261264
12225	cg03465847	MED14	0.00105397778385352	0.658608907411221	1	0.204838655870788
8182	cg22459146	GHSR	0.00106362441929565	0.658608907411221	1	0.810237163006796
18114	cg03000846	RAC3	0.0010712411622022	0.658608907411221	1	0.735422432020427
18775	cg21516384	RNF213	0.00108094012264761	0.658608907411221	1	0.608557909363198
6191	cg21281799	DYRK2	0.00111105958260119	0.660842367451438	1	0.884094133476425
14105	cg14862827	NA	0.00122113559030351	0.66734921701609	1	0.605206723571631
17003	cg24427660	PNPLA2	0.00123384060522244	0.66734921701609	1	0.831149351243167
24861	cg07426960		0.00129550783495361	0.66734921701609	1	0.821673602353548
16432	cg07310951	PEG3;ZIM2	0.00135734635852469	0.66734921701609	1	0.89235526491459
24151	cg23003832	ZDHHC12	0.00138099467968893	0.66734921701609	1	0.627137939376715
972	cg23418591	APCDD1L	0.00149787861219808	0.66734921701609	1	0.649565598248139
4147	cg01446692	CER1	0.00150413409244639	0.66734921701609	1	0.863292286901734
17787	cg11822964	PTGIR	0.0015505154505514	0.66734921701609	1	0.921449583657593
191	cg10266490	ACOT11	0.00161951461314563	0.66734921701609	1	0.734952299152885
13790	cg12466095	NA	0.00168211635311705	0.66734921701609	1	0.613497637642039
7121	cg25186143	FAM57A	0.00172186326857445	0.66734921701609	1	0.49091481653452
2821	cg14870461	C3orf64	0.00172965011975406	0.66734921701609	1	0.535167194488443
8913	cg06197492	H19	0.00173537327145586	0.66734921701609	1	0.805643102110456
17968	cg09467501	PYY;NAGS	0.0017747081906589	0.66734921701609	1	0.56815422324217
7759	cg20114394	FSTL1	0.00177940928640745	0.66734921701609	1	0.853416489923953
22242	cg26385222	TMEM176B;TMEM176A	0.00180577804565872	0.66734921701609	1	0.609001151317818
16038	cg00174901	PALM	0.00186998052256858	0.66734921701609	1	0.704254170389144
19078	cg04600618	RSPH9	0.00189418286696228	0.66734921701609	1	0.633298281170277
16147	cg26620157	PAX9	0.00189907259801333	0.66734921701609	1	0.623201633061021
341	cg02503850	ADAMTS14	0.00191389188728043	0.66734921701609	1	0.643044312506072
20092	cg26392924	SLC23A1	0.00194931696450121	0.66734921701609	1	0.756853948382246
24016	cg01594262	YIF1B	0.00195578753989307	0.66734921701609	1	0.659518631036354
16065	cg18361093	PAOX	0.00195874681837011	0.66734921701609	1	0.548886070360412
8912	cg11492040	H19	0.00196952494843046	0.66734921701609	1	0.760477687239366
7273	cg21959619	FBXL6;GPR172A	0.00203555404771865	0.66734921701609	1	0.816340880183987
18113	cg17787710	RAC3	0.00204953071220174	0.66734921701609	1	0.368381658728103
5398	cg24754277	DAPK1	0.00209620515435434	0.66734921701609	1	0.783658157303319
6746	cg03815350	ESPL1	0.00209834920463621	0.66734921701609	1	0.861355486935186
7138	cg02225847	FAM65A	0.00213871711126297	0.66734921701609	1	0.725640466868012
14748	cg25624712	NA	0.00217663138037088	0.66734921701609	1	0.641960167879089
4287	cg08952029	CHRDL2	0.00223365479298917	0.66734921701609	1	0.711131029800257
12497	cg00565075	MIR659;EIF3L	0.00224533644340869	0.66734921701609	1	0.6278284545165
17771	cg10468702	PTGER1	0.00227362429592895	0.66734921701609	1	0.893479647294515
20697	cg08598221	SNTB1	0.00229067887496766	0.66734921701609	1	0.713830314324064
5827	cg18873386	DLX5	0.00229806304734055	0.66734921701609	1	0.828601188716872
19107	cg03213216	RTN2;FLJ40125	0.00230785599685893	0.66734921701609	1	0.540124538259578
9139	cg09721427	HHEX	0.00231740279728635	0.66734921701609	1	0.681869972020232
23068	cg07307078	TUBB6	0.0023308512271226	0.66734921701609	1	0.760075120355135
15421	cg20202438	NPPA	0.00233456154774621	0.66734921701609	1	0.875304935432765
2610	cg05382123	C1orf94;CSMD2	0.00235308538347725	0.66734921701609	1	0.449685867407827
24876	cg03264209		0.0023613084885472	0.66734921701609	1	0.834758970723465
24434	cg11378686	ZNF318	0.00236405559240519	0.66734921701609	1	0.668845367954196
16492	cg04991214	PFDN2;NIT1	0.00238492120141458	0.66734921701609	1	0.819559302708857
19993	cg10694152	SLC15A1	0.00239301260298935	0.66734921701609	1	0.795536460495616
1661	cg03387497	BANF2	0.00241433865782909	0.66734921701609	1	0.917301053790563
6278	cg23582408	EEF1A2	0.00242373729783882	0.66734921701609	1	0.421879396359517
3418	cg12582959	CCDC106	0.00242528440125041	0.66734921701609	1	0.67246834130241
11582	cg15640375	LPPR3	0.00242627025400059	0.66734921701609	1	0.68893959749751
13172	cg16519321	MYOD1	0.00244016496114527	0.66734921701609	1	0.654239974118799
13713	cg05590567	NA	0.00247114068051688	0.66734921701609	1	0.637983421100375
15583	cg08888956	NTS	0.0025093940368382	0.66734921701609	1	0.858936089386691
