CHR	arm	gene	dmr.no	dmr.start	dmr.end	dmr.size	dmr.core.start	dmr.core.end	dmr.core.size	X01_AVG	X11_AVG	deltaBeta	dmr.p	dmr.p.rank
1	p	LOC100130417	1	846481	851194	4714	846507	849540	3034	0.672220392179492	0.56381260634716	-0.108407785832332	1.08886497619596e-73	723
1	p	SAMD11	2	870955	871111	157	870958	871057	100	0.38297443977993	0.313999888252302	-0.0689745515276272	1.18412081108853e-06	8885
1	p	SAMD11	3	879234	879556	323	879375	879415	41	0.854328128326119	0.824382032632447	-0.0299460956936722	5.50107781622719e-09	7734
1	p	C1orf170	4	915414	917893	2480	916058	917892	1835	0.597868811124541	0.68066259540797	0.0827937842834292	8.18390741056288e-46	1579
1	p	HES4	5	941277	946443	5167	941382	946099	4718	0.776335214662892	0.700008389206265	-0.0763268254566274	1.14140052089297e-34	2242
1	p	AGRN	6	955678	955835	158	955701	955757	57	0.0251141889346085	0.0290406590755099	0.00392647014090139	3.23478481860291e-11	6784
1	p	AGRN	7	989164	989446	283	989224	989392	169	0.877242898120901	0.879000744132949	0.00175784601204831	9.94089684423061e-11	6973
1	p	RNF223	8	991411	991723	313	991533	991708	176	0.82373623491774	0.834657326598047	0.0109210916803075	4.9813661797203e-07	8722
1	p	RNF223	9	1006553	1011099	4547	1007730	1010638	2909	0.683500734908487	0.689915629142082	0.00641489423359509	1.18021278869358e-12	6220
1	p	C1orf159	10	1023169	1023397	229	1023247	1023319	73	0.958239787561366	0.962745825348463	0.00450603778709646	2.43525531267924e-05	9439
1	p	RP11-465B22.5	11	1062643	1065006	2364	1062793	1064942	2150	0.835532681613838	0.801635833165548	-0.0338968484482902	1.99189292771684e-13	5903
1	p	RP11-465B22.5	12	1073268	1073685	418	1073424	1073529	106	0.840741300854925	0.805767673965885	-0.03497362688904	2.20518073176353e-11	6719
1	p	RP11-465B22.5	13	1077263	1080763	3501	1078147	1080611	2465	0.750829462257366	0.677887732647483	-0.0729417296098825	9.93199132040477e-30	2714
1	p	RP11-465B22.5	14	1082758	1085357	2600	1083642	1084473	832	0.663572372434477	0.668279102160003	0.00470672972552622	1.91425521421181e-13	5892
1	p	MIR200B	15	1093953	1097391	3439	1094080	1097270	3191	0.779339625933912	0.762405181664569	-0.016934444269343	1.22836335497107e-15	5176
1	p	MIR429	16	1103663	1106971	3309	1104257	1106175	1919	0.769403329397892	0.775969052245767	0.00656572284787538	3.61565691625948e-10	7219
1	p	SDF4	17	1163808	1164091	284	1163886	1163950	65	0.950243748033434	0.960332274124411	0.0100885260909779	1.4284162313471e-06	8927
1	p	UBE2J2	18	1190026	1190166	141	1190026	1190137	112	0.444741990043697	0.542759057653109	0.0980170676094122	3.67798325656693e-08	8154
1	p	SCNN1D	19	1216998	1217264	267	1217103	1217159	57	0.306919667999647	0.371718000824313	0.0647983328246661	3.17200659795793e-20	4095
1	p	SCNN1D	20	1226132	1227420	1289	1226776	1227307	532	0.415348262731784	0.466978104274199	0.0516298415424148	2.72154736160863e-08	8080
1	p	ACAP3	21	1237792	1239903	2112	1238436	1239259	824	0.780349920122817	0.633771728664471	-0.146578191458347	7.4822293363786e-126	193
1	p	PUSL1	22	1244936	1245154	219	1245014	1245076	63	0.185146916948197	0.231515447870253	0.0463685309220555	9.84449144853136e-09	7864
1	p	GLTPD1	23	1259649	1259725	77	1259676	1259698	23	0.0201927971626839	0.0182028272660276	-0.00198996989665628	5.98804123532591e-06	9208
1	p	DVL1	24	1272337	1272493	157	1272398	1272477	80	0.898630981166633	0.90270269016324	0.0040717089966068	3.19321870161984e-08	8118
1	p	AURKAIP1	25	1311490	1314798	3309	1311909	1313144	1236	0.754139053401357	0.799898643925021	0.0457595905236637	2.81082904706395e-11	6766
1	p	ATAD3C	26	1397271	1398992	1722	1397297	1398348	1052	0.614167169068995	0.473569952347759	-0.140597216721236	2.72129372676771e-61	1015
1	p	SSU72	27	1482814	1483573	760	1483130	1483257	128	0.948314177582397	0.955970144761242	0.00765596717884465	1.52485788166866e-06	8944
1	p	NADK	28	1682410	1684118	1709	1683176	1684095	920	0.846773946664346	0.870909237550705	0.0241352908863596	1.78125720234002e-11	6685
