CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
3	44626444	44626540	-0.301844565866423	9.84391856149704e-46	Hypermethylation	ZNF660	0.42	9.00709258600892e-12	lowexpression
12	81471825	81471926	-0.371287515927972	2.3505777266009e-77	Hypermethylation	ACSS3	0.37	1.27732843399258e-13	lowexpression
17	73083872	73084357	-0.302429771489459	1.61786070212632e-156	Hypermethylation	SLC16A5	0.31	8.67098466844707e-17	lowexpression
18	6414955	6415292	-0.0898916286098231	1.97992161987001e-33	Hypermethylation	L3MBTL4	0.31	1.36891217210288e-17	lowexpression
10	130756339	130758641	0.0216924293638694	1.07484115462393e-10	Hypomethylation	MGMT	1.45	5.32364843723979e-10	Overexpression
10	133782797	133785246	0.0477030838772469	6.837937187598e-18	Hypomethylation	BNIP3	1.35	8.30736799137869e-08	Overexpression
15	48470178	48470334	0.00801134111110741	1.93159113948565e-15	Hypomethylation	MYEF2	1.46	1.08213864783468e-09	Overexpression
20	327565	327665	-0.204316929222294	2.56932610967311e-21	Hypermethylation	NRSN2	0.68	2.33873333243789e-15	lowexpression
3	139257697	139263034	-0.197914442765526	2.6795441978697e-106	Hypermethylation	RBP1	0.36	7.20808768772887e-08	lowexpression
3	49459539	49460373	-0.222924392851675	3.69971999486894e-167	Hypermethylation	AMT	0.53	8.24070856484097e-12	lowexpression
