CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
5	404450	405082	0.0590304628469229	3.2533953293896e-08	Hypomethylation	AHRR	1.52	3.17925155163614e-07	Overexpression
5	404450	405082	0.0590304628469229	3.2533953293896e-08	Hypomethylation	AHRR	1.52	3.17925155163614e-07	Overexpression
5	404450	405082	0.0590304628469229	3.2533953293896e-08	Hypomethylation	AHRR	1.52	3.17925155163614e-07	Overexpression
5	404450	405082	0.0590304628469229	3.2533953293896e-08	Hypomethylation	AHRR	1.52	3.17925155163614e-07	Overexpression
5	404450	405082	0.0590304628469229	3.2533953293896e-08	Hypomethylation	AHRR	1.52	3.17925155163614e-07	Overexpression
5	404450	405082	0.0590304628469229	3.2533953293896e-08	Hypomethylation	AHRR	1.52	3.17925155163614e-07	Overexpression
5	404450	405082	0.0590304628469229	3.2533953293896e-08	Hypomethylation	AHRR	1.52	3.17925155163614e-07	Overexpression
5	404450	405082	0.0590304628469229	3.2533953293896e-08	Hypomethylation	AHRR	1.52	3.17925155163614e-07	Overexpression
5	404450	405082	0.0590304628469229	3.2533953293896e-08	Hypomethylation	AHRR	1.52	3.17925155163614e-07	Overexpression
13	100577701	100579715	0.055305525018352	2.21881415698476e-08	Hypomethylation	ZIC5	10.7	2.63004131257828e-16	Overexpression
7	157709863	157710788	0.0210998848303839	3.20237849951047e-05	Hypomethylation	PTPRN2	1.77	3.38234699682128e-11	Overexpression
7	27196238	27196334	-0.382229861325167	8.38440844424007e-135	Hypermethylation	HOXA7	0.46	1.51516008225526e-12	lowexpression
