chr	start	end	gene
1	16340522	16345285	HSPB7
1	26348270	26362954	EXTL1
1	45249256	45253426	BEST4
1	47489239	47516423	CYP4X1
1	47533159	47583992	CYP4Z1
1	53308182	53360247	ZYG11A
1	62660473	62678001	L1TD1
1	82266081	82458107	LPHN2
1	115215719	115238239	AMPD1
1	117686208	117753582	VTCN1
1	120254418	120286849	PHGDH
1	145727665	145764206	PDZK1
1	152486977	152488481	CRCT1
1	153516094	153518282	S100A4
1	154669941	154842754	KCNN3
1	160709076	160724601	SLAMF7
1	160846329	160854960	ITLN1
1	203185206	203198860	CHIT1
1	203734283	203745480	LAX1
1	205882176	205912588	SLC26A9
1	209848669	209849735	G0S2
1	220863627	220872499	C1orf115
1	223394160	223537544	SUSD4
1	240255184	240638489	FMN2
10	5566923	5568225	CALML3
10	54074040	54077417	DKK1
10	73818791	73848790	SPOCK2
10	79793517	79816571	RPS24
10	117816441	118033126	GFRA1
10	118380464	118404654	PNLIPRP2
10	134598319	134599537	NKX6-2
10	135160843	135166187	PRAP1
11	19203576	19232118	CSRP3
11	45261852	45307884	SYT13
11	46402333	46405387	MDK
11	74165885	74178600	KCNE3
11	86656716	86666440	FZD4
11	89530822	89541743	TRIM49
11	102641232	102651359	MMP10
11	111222980	111250157	POU2AF1
11	111411232	111432470	LAYN
11	113845796	113861034	HTR3A
12	20522178	20837041	PDE3A
12	29653745	29937692	TMTC1
12	50355278	50359465	AQP5
12	50366619	50370922	AQP6
12	54685890	54694821	NFE2
12	71833812	71978621	LGR5
12	113376248	113411054	OAS3
12	132312940	132336316	MMP17
13	25946208	26595420	ATP8A2
13	107142078	107187388	EFNB2
14	21467413	21470034	SLC39A2
14	21484921	21493935	NDRG2
14	25281305	25519095	STXBP6
14	33408458	34273382	NPAS3
15	33603176	34158303	RYR3
15	41795839	41806085	LTK
15	76234327	76304785	NRG4
15	77336359	77363570	TSPAN3
15	77905368	77924709	LINGO1
15	80696691	80890277	ARNT2
15	89182038	89198879	ISG20
16	765172	767480	METRN
16	12058963	12061925	TNFRSF17
16	28510682	28518155	IL27
16	29912146	29917377	ASPHD1
16	31150246	31161415	PRSS36
16	46918307	46965201	GPT2
16	67465035	67471454	HSD11B2
17	37783176	37792878	PPP1R1B
17	39017429	39023462	KRT12
17	40932648	40949084	WNK4
17	68071365	68131746	KCNJ16
17	74620844	74639894	ST6GALNAC1
18	11981426	12030885	IMPA2
18	24034873	24237365	KCTD1
18	47088426	47119278	LIPG
18	52495707	52562747	RAB27B
18	72201691	72252261	CNDP1
19	1026297	1039064	CNN2
19	2997635	3047633	TLE2
19	3777966	3801810	MATK
19	5690271	5691678	RPL36
19	6426047	6433790	SLC25A41
19	8386383	8387280	RPS28
19	10400654	10407454	ICAM5
19	49055428	49102684	SULT2B1
19	54926604	54947899	TTYH1
2	24272583	24286550	FKBP1B
2	30945637	31030311	CAPN13
2	108905094	108926371	SULT1C2
2	136871918	136875725	CXCR4
2	159651828	159672496	DAPL1
2	172378756	172414643	CYBRD1
2	189598464	189654831	DIRC1
2	217536827	217560272	IGFBP5
2	237478379	237490994	CXCR7
20	584636	590910	TCF15
20	3208062	3219887	SLC4A11
20	17474549	17539605	BFSP1
20	22561641	22566101	FOXA2
20	23545369	23549386	CST9L
20	47988504	48099181	KCNB1
20	56136136	56141513	PCK1
20	59827481	60515673	CDH4
20	62119364	62130668	EEF1A2
21	15588465	15600693	RBM11
22	18632757	18660162	USP18
22	20105023	20114704	RANBP1
22	21996541	21998588	SDF2L1
22	29190547	29196560	XBP1
22	32439018	32509011	SLC5A1
3	8792094	8811300	OXTR
3	68780914	68981761	FAM19A4
3	115342150	115440334	GAP43
3	115521209	116164385	LSAMP
3	116428634	116435887	LSAMP
3	133118789	133194056	BFSP2
3	160394947	160396235	ARL14
3	160801670	160823160	B3GALNT1
3	165490691	165555253	BCHE
3	173116243	174001116	NLGN1
3	184279586	184300196	EPHB3
3	184428154	184429836	MAGEF1
3	193853930	193856401	HES1
4	15779930	15850706	CD38
4	15937192	15940363	FGFBP1
4	75310852	75320726	AREG
4	75480628	75490485	AREG
4	142557748	142655140	IL15
4	177105724	177116822	SPATA4
5	32710742	32791830	NPR3
5	36606456	36688436	SLC1A3
5	43287571	43313614	HMGCS1
5	54273694	54281414	ESM1
5	75379304	75621416	SV2C
5	128301209	128369335	SLC27A6
5	170210722	170241050	GABRP
5	180017104	180018487	SCGB3A1
5	180467224	180488523	BTNL9
6	26055967	26056699	HIST1H1C
6	31132113	31138451	POU5F1
6	41157551	41168925	TREML2
6	76017799	76203496	FILIP1
6	114376749	114384041	HS3ST5
6	151561133	151679694	AKAP12
6	160221300	160241735	PNLDC1
7	16832263	16844738	AGR2
7	24323806	24331484	NPY
7	28338939	28865511	CREB5
7	142568959	142583490	TRPV6
7	150549564	150558379	ABP1
7	150642043	150675402	KCNH2
8	97154557	97173020	GDF6
9	976967	991732	DMRT3
9	5784571	5833081	ERMP1
9	14081841	14398982	NFIB
9	80912058	80945009	PSAT1
X	38420730	38548172	TSPAN7
X	73952690	74145287	KIAA2022
X	75002822	75005079	MAGEE2
X	92929011	92967273	FAM133A
X	152157367	152162671	PNMA5
Y	2709622	2734997	RPS4Y1
