#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
OBSCN	ACTR3	1862970	1845311	ENSP00000455507	ENSP00000263238	0.000	0.000	0.000	0.000	0.000	0.082	0.000	0.377	0.403
HIPK2	MYO9B	1859047	1858475	ENSP00000385571	ENSP00000380444	0.000	0.000	0.000	0.000	0.079	0.232	0.000	0.373	0.517
GPR132	P2RY1	1851080	1848668	ENSP00000328818	ENSP00000304767	0.000	0.000	0.000	0.699	0.000	0.000	0.900	0.000	0.900
YBX1	FUS	1855704	1844273	ENSP00000361626	ENSP00000254108	0.000	0.000	0.000	0.000	0.000	0.740	0.900	0.243	0.978
MCF2L	INPP5B	1862148	1855808	ENSP00000440374	ENSP00000362115	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.199	0.916
PPARG	HDAC4	1847090	1845573	ENSP00000287820	ENSP00000264606	0.000	0.000	0.000	0.000	0.000	0.575	0.000	0.179	0.636
TBCD	TUBA1A	1853205	1848244	ENSP00000347719	ENSP00000301071	0.000	0.000	0.000	0.000	0.000	0.381	0.900	0.201	0.946
ITPA	DTYMK	1857158	1848672	ENSP00000369456	ENSP00000304802	0.000	0.000	0.000	0.000	0.072	0.000	0.900	0.214	0.920
LPCAT1	CHPT1	1846853	1843189	ENSP00000283415	ENSP00000229266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.350	0.932
RPL34	PABPC1	1858216	1849591	ENSP00000378160	ENSP00000313007	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.084	0.904
GLI3	WNT3	1858347	1843027	ENSP00000379258	ENSP00000225512	0.000	0.000	0.000	0.000	0.000	0.284	0.000	0.745	0.809
CDC42	ARHGAP15	1849707	1847533	ENSP00000314458	ENSP00000295095	0.000	0.000	0.000	0.000	0.000	0.230	0.900	0.482	0.956
PRKACB	ATP1A3	1855328	1848401	ENSP00000359719	ENSP00000302397	0.000	0.000	0.000	0.000	0.074	0.089	0.800	0.086	0.825
MCF2L	CDC42	1862148	1849707	ENSP00000440374	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.915	0.900	0.226	0.992
P2RY1	GPR17	1848668	1846273	ENSP00000304767	ENSP00000272644	0.000	0.000	0.000	0.802	0.000	0.000	0.900	0.376	0.906
KCNQ2	CALM1	1853793	1853445	ENSP00000352035	ENSP00000349467	0.000	0.000	0.000	0.000	0.000	0.570	0.000	0.117	0.604
PCNT	TUBA1A	1853867	1848244	ENSP00000352572	ENSP00000301071	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.694	0.968
KCNQ2	CACNA1C	1853793	1845866	ENSP00000352035	ENSP00000266376	0.000	0.000	0.000	0.000	0.000	0.091	0.000	0.444	0.473
CDC42	EXOC4	1849707	1844259	ENSP00000314458	ENSP00000253861	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.677	0.871
LPAR6	GPR132	1852804	1851080	ENSP00000344353	ENSP00000328818	0.000	0.000	0.000	0.733	0.000	0.000	0.900	0.000	0.900
CD40	NFKB1	1855654	1843094	ENSP00000361359	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.942	0.994
MCF2L	MYO9B	1862148	1858475	ENSP00000440374	ENSP00000380444	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.159	0.912
LPAR6	P2RY1	1852804	1848668	ENSP00000344353	ENSP00000304767	0.000	0.000	0.000	0.799	0.000	0.000	0.900	0.529	0.910
RPS6KA2	ESR1	1861695	1842435	ENSP00000427015	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.400	0.400
OR10H2	OR6F1	1848805	1848751	ENSP00000306095	ENSP00000305640	0.000	0.000	0.000	0.885	0.000	0.000	0.900	0.000	0.900
WIPF2	CDC42	1850295	1849707	ENSP00000320924	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.107	0.900	0.330	0.935
HLA-DRB1	DYNC1H1	1853944	1853378	ENSP00000353099	ENSP00000348965	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
COL23A1	COL18A1	1857880	1853197	ENSP00000375069	ENSP00000347665	0.000	0.000	0.000	0.621	0.000	0.000	0.900	0.228	0.907
PAK2	RAF1	1849679	1844086	ENSP00000314067	ENSP00000251849	0.000	0.000	0.000	0.652	0.000	0.576	0.900	0.750	0.967
RPS6KA2	CDC42	1861695	1849707	ENSP00000427015	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.157	0.000	0.410	0.481
HTR2A	P2RY1	1856916	1848668	ENSP00000367959	ENSP00000304767	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.262	0.923
ITGA6	PLEC	1859218	1850586	ENSP00000386896	ENSP00000323856	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.635	0.983
HTR2A	LPAR6	1856916	1852804	ENSP00000367959	ENSP00000344353	0.000	0.000	0.000	0.637	0.000	0.000	0.900	0.119	0.902
ERBB2	RAF1	1846101	1844086	ENSP00000269571	ENSP00000251849	0.000	0.000	0.000	0.632	0.000	0.363	0.000	0.809	0.550
INO80C	TAF4	1859565	1844180	ENSP00000391457	ENSP00000252996	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
PSMB11	ORC1	1859133	1855507	ENSP00000386212	ENSP00000360621	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
TAF11	CNOT1	1854176	1850299	ENSP00000354633	ENSP00000320949	0.000	0.000	0.000	0.000	0.000	0.303	0.000	0.217	0.431
MUC4	TGFB1	1861298	1842869	ENSP00000417498	ENSP00000221930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.837	0.837
PRKAG1	RHEB	1850588	1845084	ENSP00000323867	ENSP00000262187	0.000	0.000	0.000	0.000	0.000	0.101	0.900	0.162	0.918
RNPS1	FUS	1848328	1844273	ENSP00000301730	ENSP00000254108	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.071	0.903
DGKI	CHPT1	1847128	1843189	ENSP00000288490	ENSP00000229266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RPS6KA2	DOCK2	1861695	1844476	ENSP00000427015	ENSP00000256935	0.000	0.000	0.000	0.000	0.070	0.000	0.000	0.490	0.505
PPARG	ERBB2	1847090	1846101	ENSP00000287820	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.407	0.473
SCD	HCLS1	1855232	1850213	ENSP00000359380	ENSP00000320176	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.800
OBSCN	CDC42	1862970	1849707	ENSP00000455507	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.456	0.943
MYO10	EZR	1861521	1852156	ENSP00000421280	ENSP00000338934	0.000	0.000	0.000	0.000	0.000	0.076	0.000	0.476	0.495
GRM8	OPRL1	1852779	1851923	ENSP00000344173	ENSP00000336764	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.130	0.909
CDC42	ERBB2	1849707	1846101	ENSP00000314458	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.125	0.000	0.452	0.500
OBSCN	RHOT2	1862970	1850404	ENSP00000455507	ENSP00000321971	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MCL1	HDAC4	1854935	1845573	ENSP00000358022	ENSP00000264606	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.512	0.512
PDE7A	AK4	1859054	1850420	ENSP00000385632	ENSP00000322175	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.052	0.901
HCLS1	CDC42	1850213	1849707	ENSP00000320176	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.401	0.401
GLI3	FOXA1	1858347	1844009	ENSP00000379258	ENSP00000250448	0.000	0.000	0.000	0.000	0.000	0.102	0.000	0.591	0.618
CDC42	TUBA1A	1849707	1848244	ENSP00000314458	ENSP00000301071	0.000	0.000	0.000	0.000	0.000	0.102	0.000	0.370	0.410
ABR	ARHGAP15	1848581	1847533	ENSP00000303909	ENSP00000295095	0.000	0.000	0.000	0.693	0.000	0.000	0.900	0.202	0.905
COL23A1	COL9A3	1857880	1852483	ENSP00000375069	ENSP00000341640	0.000	0.000	0.000	0.641	0.000	0.000	0.900	0.135	0.903
OAS2	PSMD7	1852576	1842741	ENSP00000342278	ENSP00000219313	0.000	0.000	0.000	0.000	0.000	0.361	0.000	0.145	0.430
HTR2A	TGFB1	1856916	1842869	ENSP00000367959	ENSP00000221930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.812	0.812
CDC42	DOCK2	1849707	1844476	ENSP00000314458	ENSP00000256935	0.000	0.000	0.000	0.000	0.000	0.106	0.000	0.485	0.520
HLA-DRB1	DYNC1I1	1853944	1850210	ENSP00000353099	ENSP00000320130	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CNR2	OPRL1	1856124	1851923	ENSP00000363596	ENSP00000336764	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
PPAP2C	AGPAT4	1851176	1849676	ENSP00000329697	ENSP00000314036	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.504	0.948
RYR2	PPP2R2B	1854400	1851897	ENSP00000355533	ENSP00000336591	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
HNRNPUL1	HNRNPM	1857971	1850730	ENSP00000375863	ENSP00000325376	0.000	0.000	0.000	0.000	0.113	0.000	0.900	0.161	0.919
OBSCN	ABR	1862970	1848581	ENSP00000455507	ENSP00000303909	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
COL18A1	FOXA1	1853197	1844009	ENSP00000347665	ENSP00000250448	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.060	0.901
CNR2	GPR17	1856124	1846273	ENSP00000363596	ENSP00000272644	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CCNE1	ESR1	1845190	1842435	ENSP00000262643	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.415	0.414
