#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
RPL34	PABPC1	1858216	1849591	ENSP00000378160	ENSP00000313007	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.084	0.904
PRKAG1	RHEB	1850588	1845084	ENSP00000323867	ENSP00000262187	0.000	0.000	0.000	0.000	0.000	0.101	0.900	0.162	0.918
NTPCR	AK4	1854414	1850420	ENSP00000355587	ENSP00000322175	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
NDE1	PDS5A	1852988	1848529	ENSP00000345892	ENSP00000303427	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
OR10H2	OR6F1	1848805	1848751	ENSP00000306095	ENSP00000305640	0.000	0.000	0.000	0.885	0.000	0.000	0.900	0.000	0.900
CNR2	NPY1R	1856124	1854180	ENSP00000363596	ENSP00000354652	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MCF2L	ARHGAP20	1862148	1844774	ENSP00000440374	ENSP00000260283	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.240	0.920
COL18A1	FOXA1	1853197	1844009	ENSP00000347665	ENSP00000250448	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.060	0.901
FKBP1A	TGFB1	1857423	1842869	ENSP00000371138	ENSP00000221930	0.000	0.000	0.000	0.000	0.000	0.802	0.900	0.345	0.985
LPAR6	TRIO	1852804	1852198	ENSP00000344353	ENSP00000339299	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
LPAR1	P2RY1	1853763	1848668	ENSP00000351755	ENSP00000304767	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.054	0.901
TRIO	RHOT2	1852198	1850404	ENSP00000339299	ENSP00000321971	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
TEK	PDGFB	1857139	1851250	ENSP00000369375	ENSP00000330382	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.726	0.942
OBSCN	INPP5B	1862970	1855808	ENSP00000455507	ENSP00000362115	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
OBSCN	MYO9B	1862970	1858475	ENSP00000455507	ENSP00000380444	0.000	0.000	0.000	0.000	0.069	0.000	0.900	0.078	0.906
OBSCN	RHOT2	1862970	1850404	ENSP00000455507	ENSP00000321971	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
TBCD	TUBA1A	1853205	1848244	ENSP00000347719	ENSP00000301071	0.000	0.000	0.000	0.000	0.000	0.381	0.900	0.201	0.946
TRIO	GPR17	1852198	1846273	ENSP00000339299	ENSP00000272644	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
HTR2A	LPAR6	1856916	1852804	ENSP00000367959	ENSP00000344353	0.000	0.000	0.000	0.637	0.000	0.000	0.900	0.119	0.902
OR10H2	OR5A2	1848805	1848575	ENSP00000306095	ENSP00000303834	0.000	0.000	0.000	0.900	0.000	0.000	0.900	0.000	0.900
LPAR1	NFKB1	1853763	1843094	ENSP00000351755	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.160	0.912
OR5P2	OR10H2	1851396	1848805	ENSP00000331823	ENSP00000306095	0.000	0.000	0.000	0.865	0.000	0.000	0.900	0.000	0.900
GNAS	ESR1	1855402	1842435	ENSP00000360141	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.304	0.927
WIPF2	CDC42	1850295	1849707	ENSP00000320924	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.107	0.900	0.330	0.935
PCNT	DYNC1H1	1853867	1853378	ENSP00000352572	ENSP00000348965	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.041	0.900
RHOT2	ARHGAP20	1850404	1844774	ENSP00000321971	ENSP00000260283	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GNAS	PRKACB	1855402	1855328	ENSP00000360141	ENSP00000359719	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.201	0.916
NFKB1	TGFB1	1843094	1842869	ENSP00000226574	ENSP00000221930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.942	0.942
ORC1	PSMD7	1855507	1842741	ENSP00000360621	ENSP00000219313	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
