	CaEs-17	 Ec-109
ZNF132_1	0.739486247	0.837896777
ZNF132_2	0.919527165	0.909134965
ZNF132_3	0.931575358	0.925369518
ZNF132_4	0.914980677	0.875242248
ZNF132_5	0.585681818	0.508593561
ZNF132_6	0.910454545	0.844105543
ZNF132_7	0.828181818	0.825266215
ZNF132_8	0.769545455	0.721859114
ZNF132_9	0.841363636	0.79017425
ZNF132_10	0.435454545	0.639554587
ZNF132_11	0.945214822	0.813423795
ZNF132_12	0.929302114	0.711170342
ZNF132_13	0.909297568	0.854373637
ZNF132_14	0.935212548	0.928034892
