	X0	X1	DIFF	P
cg00003298	0.162237244741645	0.507505925715315	0.34526868097367	2.85477144342964e-181
cg00011740	0.223450875103035	0.423824588703062	0.200373713600027	4.32093894815393e-54
cg00011994	0.162915170614828	0.581439161995112	0.418523991380285	0
cg00014112	0.129791111005674	0.426323518712735	0.296532407707061	2.83844826972232e-118
cg00017221	0.0501249512254016	0.311317162495892	0.261192211270491	9.06647400276238e-133
cg00026222	0.0790804695286072	0.295401987111055	0.216321517582448	1.3990020206016e-106
cg00031256	0.322884445980229	0.570160446627467	0.247276000647239	2.76797312148285e-134
cg00039801	0.222952758370587	0.49282903857776	0.269876280207172	4.1052675336737e-101
cg00043095	0.065837336446292	0.294152343041474	0.228315006595182	7.93602719960117e-90
cg00050152	0.0502717600790127	0.253691571242155	0.203419811163142	4.51145383188156e-100
cg00056767	0.131764809657051	0.400098224677069	0.268333415020018	8.78753953442157e-114
cg00060304	0.207040548476398	0.44149474949685	0.234454201020452	1.60289819554379e-84
cg00060320	0.0484846757163242	0.387257322820792	0.338772647104467	1.70231023803461e-141
cg00063174	0.0385550037986959	0.295212976458118	0.256657972659422	8.24153426246009e-118
cg00063471	0.170115323607721	0.490455364036225	0.320340040428504	6.18908978383593e-119
cg00064255	0.179706762855057	0.509624560582386	0.329917797727329	1.48598966496708e-103
cg00074184	0.0767910207879986	0.282304342627476	0.205513321839478	5.2071244498155e-97
cg00092518	0.46351231222957	0.822385173604905	0.358872861375335	0
cg00114029	0.284547078054949	0.491421855667697	0.206874777612748	4.66581439520998e-53
cg00117172	0.0961189983611457	0.32577181984831	0.229652821487164	4.92698963113663e-137
cg00145489	0.0293139915193149	0.370559283850408	0.341245292331093	3.5504477352301e-201
cg00157796	0.128956272145387	0.489099276053086	0.360143003907699	6.34958943261508e-207
cg00173141	0.0780278236896198	0.352910587105622	0.274882763416002	4.4639878560492e-105
cg00177496	0.130385463026945	0.389860807311508	0.259475344284563	2.07006968655293e-129
cg00215432	0.289021268559143	0.559634728591125	0.270613460031982	6.88042874388867e-115
cg00227781	0.198035430479287	0.418803121437018	0.22076769095773	2.11519080068406e-63
cg00231140	0.0794233602350416	0.322145964230094	0.242722603995053	6.57585016304593e-131
cg00233079	0.0842746315430904	0.376052512903234	0.291777881360143	5.60992830356807e-103
cg00238897	0.126932881071719	0.353209515353353	0.226276634281634	3.24705718525795e-75
cg00244040	0.280917819415975	0.523245478838496	0.242327659422521	8.93729390437467e-196
cg00246386	0.219785855639332	0.569741349980593	0.349955494341261	0
cg00254802	0.054567031394583	0.469155665591715	0.414588634197132	3.95984642686137e-285
cg00265863	0.125635818268071	0.366357033977102	0.240721215709031	3.86973596023945e-98
cg00268500	0.0804465136420978	0.284775087505423	0.204328573863326	3.8084179696922e-93
cg00275232	0.0317474719307035	0.270358203632591	0.238610731701888	1.450611097615e-96
cg00281977	0.0990761442472378	0.348790174025281	0.249714029778043	9.33607526466569e-125
cg00318756	0.184852184655421	0.448750849866635	0.263898665211215	4.04539698665157e-152
cg00323305	0.0347516853286333	0.520786276196971	0.486034590868337	1.128589875924e-248
cg00325866	0.107788504669805	0.348748540502701	0.240960035832895	1.2923136893153e-108
cg00329270	0.0806046387649867	0.340079831058142	0.259475192293155	3.13867515761436e-128
cg00329697	0.105765898340957	0.387015890630492	0.281249992289536	1.47328543082232e-209
cg00330492	0.0705274651985895	0.277934535600014	0.207407070401424	4.60004637485483e-104
cg00333512	0.0480224619433559	0.24883012514794	0.200807663204584	9.30625043260154e-103
cg00339300	0.112357102066958	0.357230894955216	0.244873792888258	3.63439700436869e-83
cg00347563	0.151072711625794	0.491343798148863	0.340271086523069	2.2053877815757e-133
cg00347757	0.522348757322028	0.803363735143591	0.281014977821563	3.68178277262454e-116
cg00361495	0.06882406607666	0.426201407127658	0.357377341050998	5.51895640751723e-172
cg00370303	0.0684666899827643	0.294729637486345	0.226262947503581	1.29095051117141e-84
cg00376022	0.104328705755334	0.345725898393616	0.241397192638282	4.16269878139018e-192
cg00396687	0.101556209079942	0.353560167813607	0.252003958733665	9.88809169687337e-137
cg00397324	0.0381973337497755	0.305493135648042	0.267295801898267	1.82501651442572e-102
cg00399374	0.136557011317109	0.341974114111231	0.205417102794122	2.23655377399403e-105
cg00414898	0.17803709614493	0.40125864780448	0.223221551659549	1.55692997111521e-136
cg00419092	0.242316560743542	0.497871221003305	0.255554660259764	1.56862150259763e-128
cg00440043	0.0965998169495998	0.41607173258267	0.31947191563307	1.4692286998165e-109
cg00448752	0.10191705193811	0.308635171023176	0.206718119085066	9.28913279751348e-109
