	GBM	LGG	Normal	MeanDecreaseAccuracy	MeanDecreaseGini
cg00003298	-7.1149113384644e-05	5.6335172657986e-05	0.000822902981650967	0.000347907143198821	0.329132094813822
cg00011740	0.000100908073104726	6.02402300672747e-06	0.000116239674877081	7.56317022894912e-05	0.110969380540852
cg00026222	0.000364593184935371	0.00119879439094031	0.000781182337302449	0.000822263254504922	0.585757448890327
cg00039801	-4.08748127455824e-05	0.000348763904264012	8.97000269034167e-05	0.000142392384409108	0.0616786018227448
cg00043095	0.00064136230983075	6.79861377147537e-05	0.00123335798425763	0.000685542945245843	0.746906404797989
cg00050152	0.000197029345894969	3.12427274907977e-05	6.05947476799431e-05	8.18454414078192e-05	0.117836399929407
cg00056767	-8.61287668610344e-05	6.91947511046732e-05	7.40946119734878e-05	3.34514497017275e-05	0.0820765451383137
cg00060304	8.433734362328e-05	0.0010869201943377	0.000636752502283276	0.000650421119529021	0.209521008257286
cg00060320	7.4857869470285e-05	-2.23706120769182e-05	1.75492610837438e-05	1.76677511008199e-05	0.0778509546405688
cg00063174	0.000257558510098818	-3.12146927621969e-05	0.000573313094868735	0.000282056973794451	0.389015732622219
cg00063471	0.00017302184780448	0.000388506304624194	0.000656466711029149	0.000459858526723368	0.2504616118873
cg00074184	-5.1282809653731e-05	0.000667030745057576	0.000316826931551619	0.000349686457885085	0.46911358831262
cg00092518	4.31549824155673e-05	0.000394460587104656	0.00340024016529236	0.0015088239404337	1.00684563263165
cg00157796	0.000192136454626789	-8.3404949447367e-05	0.000174287978503337	9.05092586535675e-05	0.126571511479385
cg00173141	2.72042503075459e-05	0.000539609088843327	0.000897491600829119	0.000559299239818868	0.159559600883581
cg00177496	0.000183500390400727	0.000463677894295127	0.000392031214891813	0.000368246219661409	0.210126415051027
cg00215432	2.91338149884832e-05	1.07298999416884e-06	0.000756373839021845	0.000311283866393921	0.0994921645582137
cg00227781	0.000295628086852121	0.00142120050009623	0.000400376990998012	0.000738068927546083	0.946760553169738
cg00231140	0.000158598856369035	0.00179471617372136	0.001106098950133	0.00110071915201152	0.918544573415938
cg00238897	0.000721411170064979	4.02804501774815e-05	0.000554324850575072	0.000423922999737903	0.876709647707664
cg00244040	-1.32730531231286e-05	-1.17433383430211e-05	0.000708584018526677	0.000290764060833774	0.775535526441168
cg00246386	1.1902477163763e-05	0.000152513057731815	0.00180654192248341	0.000767228917196374	0.191529928457758
cg00254802	4.63740999554319e-05	3.19024370846131e-07	0.000141456518644326	6.89756660737873e-05	0.100121419689515
cg00265863	-2.6383732191814e-05	7.34235933148977e-05	0.000285542229751679	0.000134675360326659	0.132804655684137
cg00268500	0.000193284361391703	0.000240909460111688	0.000687116371416136	0.000412802936551299	0.72000052599472
cg00281977	5.53621649068833e-05	-7.08489455810239e-05	0.000295010044532961	0.000112752498440133	0.904126313814063
cg00318756	-0.000102344821309171	6.32800250073041e-05	0.00174960789878251	0.000727264014496439	0.734059210874088
cg00323305	5.50258084474161e-05	0.000104804648484678	0.000598376160129424	0.00029549976639199	0.18858198104211
cg00325866	-4.77558462731365e-05	0.00105398257881294	8.71624909281535e-05	0.000378601207794625	0.313527414001348
cg00329270	1.95801602291296e-05	0.000422467267507768	0.000786774294869656	0.000464564214798672	0.783479690052293
cg00329697	8.39951323540744e-05	0.000559286664127908	0.000619139211184877	0.000434851040364518	0.208424073798735
cg00330492	0.000352806838705329	1.86792256106158e-05	0	9.47043185280972e-05	0.145152655912603
cg00339300	-7.72426763962154e-05	0.000639013137421609	0.00101650531607164	0.00060813122436819	0.570154663123159
cg00347757	0.000220807696153083	9.32117985407607e-05	0.000600160952137722	0.000330157712377718	0.276410159472062
cg00361495	-4.12152078129744e-05	0.000352947436263773	6.35672441730026e-05	0.00013808174396305	0.131644691769363
cg00376022	-0.00011724619859363	1.19576081087633e-05	0.000843350399704591	0.000321261320487183	0.263497090287395
cg00397324	-5.88618949616508e-05	8.08050712081062e-05	0.000566139966263119	0.000247195921614416	0.115468319268918
cg00399374	2.04598769153629e-05	-2.22101646803407e-05	7.99037718017012e-06	-5.0875274848202e-07	0.10409078045693
cg00414898	8.70912321623385e-05	4.54827400313864e-06	0.000224228281465518	0.000113665643390041	0.1389386393953
cg00419092	9.86666163547019e-05	6.7172593401311e-05	0.00139743449871628	0.000631390956434481	0.873509660683265
cg00440043	0.000114798252773884	0.000759743052330523	0.00133265701217467	0.000826171643799407	0.934027267652906
cg00448752	-8.57606419552795e-05	0.000539950185444113	8.13046869180786e-05	0.000203257825948452	0.225953178445403
cg00455424	-9.29911931907052e-05	0.000803828541906985	0.00144925587112598	0.000856397975264591	0.179875488678096
cg00456086	6.84306061935869e-05	0.000197288684464736	0.00135765842800625	0.00061566268506305	0.134477730285345
cg00458878	-0.000127993594188607	0.000604785985862874	0.00189293286988125	0.000969358753255734	1.38014976430951
cg00469207	1.08579491075239e-05	0.000218497363392496	0.000925879410704214	0.000462853347825637	0.173736718517236
cg00487737	-6.98156025491214e-05	0.00027807849106091	0.000662825333868981	0.00035675867529172	0.108888080719156
cg00498591	6.24735369684213e-05	2.84513826058544e-05	0.000472090025213272	0.000215249222643054	0.204872517502219
cg00507727	-7.56869846793941e-05	0.000150453607274337	0.000326330190977754	0.00016800808016394	0.30736745817099
cg00511596	2.39745859365282e-05	0.000108523918948124	0.000297862444486001	0.000171280706735786	0.142777778827346
cg00519002	0	0.000133486528541284	0.000475252920034259	0.000238367430059473	0.0674915849950443
cg00527440	6.17353243420344e-05	0.000108192611971852	8.39182178822093e-06	5.59235452781085e-05	0.0759138599427326
cg00547441	-4.35322826301162e-05	0.000238004302096495	0.00119191015666624	0.000572903309895536	0.670318350537203
cg00563229	0.000123350557252297	0.000582246976293545	0.000547267924247766	0.000454983907461374	0.233067442008387
cg00591844	0.000152067487628916	0.000178757316000113	0.000267043362050072	0.000210849988596323	0.203705693377548
cg00604454	2.74002079198181e-05	8.58580465179044e-05	0.000200795349928626	0.000116545659205399	0.634128735914746
cg00611485	2.62617748576795e-05	0.000635660632761587	0.000344244226934335	0.00036745106482478	0.359146410913386
cg00624212	0.000173831415371585	0.000990716785734175	0.000207631084702207	0.000490097755865762	0.495981441348373
cg00630724	4.81047913157713e-05	0.000115777695212172	0.000639192217303383	0.000313820970423836	0.436553835841291
cg00655913	0.000366740796653378	1.24859866160535e-05	0.000239216594354191	0.000186439442356985	0.40401226802574
cg00661753	8.15111774371377e-05	9.51273237393158e-05	0.000148138329396987	0.000112228962152501	0.228676763256735
cg00670742	0.000163009081773384	0.000432918749709429	4.51360662718229e-05	0.000211370777047983	0.22599457433011
cg00672333	3.58806852717385e-05	7.3383836395402e-05	0.000339276833530785	0.000172109437676962	0.112062939846524
cg00673251	-5.06599919360078e-05	8.89470672837099e-05	0.00117669760263099	0.000489995300368144	0.273195846112514
cg00675569	0.000118798503368662	0.000170051935690101	6.14316349686208e-05	0.000113344434651393	0.136617408610631
cg00687252	-2.10774926778446e-06	0.000102183256071444	0.00164667917654192	0.000700659844571553	0.566835492793744
cg00715047	1.46405701153486e-06	0.000143100605832145	0.00120546223261195	0.000520491067000778	0.111143059663551
cg00747619	7.68537718794031e-05	8.01006058257965e-05	0.00266564202938732	0.0011173767899851	1.03176831866651
cg00748373	-4.44690359270715e-05	0.00205819042969027	-2.65650265650266e-05	0.000729417575691017	0.171606028827609
cg00769775	4.2835125114773e-05	9.90348632700044e-05	0.000659847480279225	0.000300578499214103	0.186616180963847
cg00781110	0.000330808955806345	0.000258389790449384	0.000697194431482917	0.000445116567418024	0.17837341428963
cg00800993	0.000224222662957446	0.00105096817224852	0.00309051420756019	0.00168448439920795	0.925103101626036
cg00802728	-3.32054156431446e-05	0.000152430607024512	0.000105049828642564	9.13331080198961e-05	0.100892343581268
cg00803088	0.000352870453639682	9.1626661723919e-05	0.000194942428152737	0.000196792646635638	0.469673546829261
cg00803816	-3.08460960025624e-05	0.00082945806141918	0.000317309052403332	0.000394176632138047	0.219039639058441
cg00811132	1.12311414777253e-05	-0.000158365380801406	0.00251970599414735	0.000952473900640484	0.380428480889046
cg00812299	3.06563327049883e-05	0.000579722292884911	0.000674566236545126	0.000483409795509471	0.142984055712647
cg00817367	-3.84522860240174e-05	0.00323739459044749	0.00135799816673011	0.00169579436280288	1.52879112037304
cg00865356	0.000475570967492885	0.000195789692849884	0.00055749414514371	0.000404659528573591	0.135591924259711
cg00875805	-0.000178725392365952	0.000166169536262639	2.84010840108401e-05	2.90323778488421e-05	0.111326850876094
