ID_REF	MGG4_rep1 Unmethylated Signal	MGG4_rep1 Methylated Signal	MGG4_rep1 Detection Pval	MGG4_rep2 Unmethylated Signal	MGG4_rep2 Methylated Signal	MGG4_rep2 Detection Pval	MGG6_rep1 Unmethylated Signal	MGG6_rep1 Methylated Signal	MGG6_rep1 Detection Pval	MGG6_rep2 Unmethylated Signal	MGG6_rep2 Methylated Signal	MGG6_rep2 Detection Pval	MGG8_rep1 Unmethylated Signal	MGG8_rep1 Methylated Signal	MGG8_rep1 Detection Pval	MGG8_rep2 Unmethylated Signal	MGG8_rep2 Methylated Signal	MGG8_rep2 Detection Pval
cg00000292	1027	3521	7.49E-25	695	2795	5.15E-13	327	2224	2.27E-13	362	2730	4.08E-12	406	3705	2.48E-13	417	3196	1.57E-13
cg00002426	2733	489	8.22E-10	2295	350	1.81E-06	2670	410	3.86E-21	3488	427	1.15E-21	3336	402	1.54E-10	3171	403	3.61E-13
cg00003994	665	1427	0.007104164	462	801	0.2906649	4172	320	3.68E-38	5503	384	3.68E-38	460	2275	7.56E-05	388	1807	0.000715431
cg00005847	1706	3846	3.68E-38	1341	2907	3.84E-21	922	2114	2.03E-20	1342	2834	2.53E-25	1816	3892	1.71E-29	1561	3922	3.20E-37
cg00006414	4545	742	1.61E-36	4725	577	5.09E-36	3235	585	2.91E-35	4347	885	3.68E-38	6101	789	3.68E-38	5029	661	3.68E-38
cg00007981	2676	214	3.20E-07	2676	162	9.87E-08	3379	247	3.42E-31	3610	235	9.82E-21	4119	257	1.53E-15	3247	182	7.09E-12
cg00008493	998	7621	3.68E-38	734	7270	3.68E-38	367	5260	3.68E-38	491	6921	3.68E-38	678	10037	3.68E-38	630	8852	3.68E-38
cg00008713	20468	968	3.68E-38	20134	644	3.68E-38	7670	427	3.68E-38	11795	603	3.68E-38	14329	671	3.68E-38	14002	605	3.68E-38
cg00009407	13637	2188	3.68E-38	14979	1835	3.68E-38	7130	1222	3.68E-38	10418	1868	3.68E-38	13766	2070	3.68E-38	12683	1833	3.68E-38
cg00010193	12935	13187	3.68E-38	12606	14192	3.68E-38	5272	6353	3.68E-38	8205	9364	3.68E-38	11869	9601	3.68E-38	12238	9054	3.68E-38
cg00011459	687	1391	0.008028429	404	1302	0.03147442	287	1416	6.35E-05	399	1392	0.004155941	337	2801	8.09E-07	268	2089	0.000127701
cg00012199	11008	609	3.68E-38	10713	412	3.68E-38	5413	317	3.68E-38	8445	311	3.68E-38	9908	558	3.68E-38	9802	576	3.68E-38
cg00012386	8840	275	3.68E-38	7506	209	3.68E-38	7137	300	3.68E-38	8797	416	3.68E-38	8254	250	3.68E-38	6477	259	3.68E-38
cg00012792	10660	458	3.68E-38	10879	337	3.68E-38	6667	320	3.68E-38	9651	463	3.68E-38	11403	549	3.68E-38	8581	425	3.68E-38
cg00013618	3272	11426	3.68E-38	2704	9961	3.68E-38	1717	4354	3.68E-38	2475	6664	3.68E-38	8527	4061	3.68E-38	7995	3535	3.68E-38
cg00014085	12751	1170	3.68E-38	13339	823	3.68E-38	5806	586	3.68E-38	8645	691	3.68E-38	12059	1071	3.68E-38	11802	1082	3.68E-38
cg00014837	414	1025	0.3504335	388	714	0.4696953	216	1194	0.003964155	253	1248	0.04423724	446	1412	0.05501886	437	1119	0.09003743
cg00015770	14819	3624	3.68E-38	16108	2670	3.68E-38	8217	3567	3.68E-38	11529	4934	3.68E-38	14302	1608	3.68E-38	12056	1391	3.68E-38
cg00016968	12060	8252	3.68E-38	12374	10607	3.68E-38	1647	6738	3.68E-38	2853	10070	3.68E-38	8087	11132	3.68E-38	7233	9074	3.68E-38
cg00019495	1466	239	0.1100108	1130	190	0.2358378	1204	1597	8.42E-17	1291	1893	4.93E-13	2358	329	0.000121602	2243	230	3.27E-05
cg00020533	1459	887	0.000564484	1090	898	0.003548601	435	1182	0.000244439	489	1273	0.005454983	989	1812	3.84E-05	811	1704	1.95E-05
cg00021527	8177	327	3.68E-38	7486	245	3.68E-38	7726	252	3.68E-38	9625	333	3.68E-38	11741	293	3.68E-38	8868	252	3.68E-38
cg00022606	13613	2091	3.68E-38	16576	1295	3.68E-38	7085	854	3.68E-38	10506	1407	3.68E-38	11719	1420	3.68E-38	11687	1538	3.68E-38
cg00022866	14686	16038	3.68E-38	14387	15033	3.68E-38	2492	9318	3.68E-38	3633	13739	3.68E-38	3894	17639	3.68E-38	3313	18701	3.68E-38
cg00024396	10532	2133	3.68E-38	10815	1797	3.68E-38	6095	1043	3.68E-38	9067	1612	3.68E-38	8574	1639	3.68E-38	7501	1628	3.68E-38
cg00024812	8884	631	3.68E-38	7140	456	3.68E-38	3782	324	3.68E-38	6005	401	3.68E-38	7495	620	3.68E-38	6678	468	3.68E-38
cg00025138	10087	1214	3.68E-38	10954	707	3.68E-38	5404	590	3.68E-38	6831	795	3.68E-38	10257	1024	3.68E-38	9170	827	3.68E-38
cg00025991	3166	10918	3.68E-38	2564	10881	3.68E-38	1688	4880	3.68E-38	2587	6980	3.68E-38	3282	8806	3.68E-38	2589	8924	3.68E-38
cg00027083	14172	1334	3.68E-38	13871	1048	3.68E-38	1190	8769	3.68E-38	1896	12049	3.68E-38	11551	733	3.68E-38	10981	735	3.68E-38
cg00027674	418	653	0.7826475	348	411	0.8255665	780	1170	7.02E-07	917	882	0.00385009	1361	323	0.1223613	1154	301	0.1472147
cg00029826	798	218	0.8302945	402	164	0.9340546	873	168	0.1205007	1084	192	0.1641419	1347	272	0.1584488	924	253	0.4034076
cg00029931	4739	666	3.68E-38	4388	365	9.48E-28	3411	1986	3.68E-38	5208	2447	3.68E-38	5306	1600	3.68E-38	4551	1243	3.68E-38
cg00030047	7054	12166	3.68E-38	6354	12279	3.68E-38	2029	5579	3.68E-38	2842	9541	3.68E-38	2065	11368	3.68E-38	1928	11896	3.68E-38
cg00031162	1292	1029	0.000743821	928	753	0.03707137	285	1719	2.31E-07	324	2104	1.34E-06	862	2856	2.12E-10	690	2562	2.13E-10
cg00032227	7733	340	3.68E-38	6858	227	3.68E-38	5631	285	3.68E-38	7372	362	3.68E-38	8035	294	3.68E-38	6728	288	3.68E-38
cg00032666	789	912	0.1124112	485	650	0.4311373	301	1708	2.08E-07	393	1830	2.76E-05	1406	1162	0.000373117	1205	1047	0.000399455
cg00033516	7242	347	3.68E-38	5859	243	3.68E-38	6423	289	3.68E-38	7456	363	3.68E-38	8581	336	3.68E-38	6380	272	3.68E-38
cg00033773	2370	5831	3.68E-38	2072	5684	3.68E-38	432	6410	3.68E-38	454	7980	3.68E-38	745	7391	3.68E-38	696	5697	3.68E-38
cg00034039	25654	1925	3.68E-38	26161	1324	3.68E-38	10702	1067	3.68E-38	16455	1606	3.68E-38	21297	1683	3.68E-38	18918	1412	3.68E-38
cg00035347	536	349	0.914681	355	163	0.9503672	426	336	0.4794715	575	307	0.6154665	531	701	0.4864834	535	529	0.5327702
cg00035623	9180	1517	3.68E-38	8495	1042	3.68E-38	3578	667	3.68E-38	5417	1226	3.68E-38	8120	1627	3.68E-38	7140	1294	3.68E-38
cg00037763	653	4346	1.08E-31	497	4043	7.59E-25	506	3910	3.68E-38	582	4850	3.68E-38	620	4038	4.25E-18	486	3200	3.22E-14
