	Case_to_Control.logFC	Case_to_Control.AveExpr	Case_to_Control.t	Case_to_Control.P.Value	Case_to_Control.adj.P.Val	Case_to_Control.B	Case_to_Control.Case_AVG	Case_to_Control.Control_AVG	Case_to_Control.deltaBeta	Case_to_Control.CHR	Case_to_Control.MAPINFO	Case_to_Control.Strand	Case_to_Control.Type	Case_to_Control.gene	Case_to_Control.feature	Case_to_Control.cgi	Case_to_Control.feat.cgi	Case_to_Control.UCSC_Islands_Name	Case_to_Control.SNP_ID	Case_to_Control.SNP_DISTANCE
cg11069855	0.0503310995695592	0.56028331005702	7.36037737565499	1.87583515401592e-09	0.00132468731822656	10.9055072981961	0.535117760272241	0.5854488598418	0.0503310995695591	13	30112348	R	II	SLC7A1	5'UTR	opensea	5'UTR-opensea		rs78139552;rs151237564	36;15
cg13870520	0.0438130541626627	0.266561639125402	7.18051134299323	3.55368897808415e-09	0.00132468731822656	10.2678611424363	0.244655112044071	0.288468166206734	0.0438130541626626	4	77131705	R	II	SCARB2	Body	shelf	Body-shelf	chr4:77134566-77135377	rs562103808	2
cg13979085	0.0422218167515145	0.408824212102381	6.94541848535055	8.20322361463298e-09	0.00194604130219043	9.43372022371944	0.387713303726623	0.429935120478138	0.0422218167515145	3	58523570	F	II	ACOX2	TSS1500	opensea	TSS1500-opensea		rs542796661	1
cg09019636	0.0515060327552982	0.542459064659382	6.87768196986279	1.04411440063441e-08	0.00194604130219043	9.19334814772046	0.516706048281733	0.568212081037031	0.0515060327552981	2	62964766	F	II	EHBP1	Body	opensea	Body-opensea			
cg16879432	0.0342194823578121	0.821900271543559	6.7688107073807	1.53877132477576e-08	0.00229439421643485	8.80707039633477	0.804790530364653	0.839010012722465	0.0342194823578124	19	33786219	R	II		IGR	opensea	IGR-opensea		rs115370843;rs56160221	26;13
cg01397424	0.0459022615051765	0.490892043802608	6.70650340122959	1.92121138613048e-08	0.00238719480379847	8.58607273997547	0.46794091305002	0.513843174555197	0.0459022615051763	9	128517686	F	II	PBX3	Body	opensea	Body-opensea		rs541735552;rs190931273;rs530292885	0;7;49
cg22587211	0.0411816040153848	0.273417352256567	6.61584520202359	2.65359632463765e-08	0.00264010689028029	8.26465751630542	0.252826550248874	0.294008154264259	0.0411816040153848	6	32851722	F	II		IGR	shelf	IGR-shelf	chr6:32847498-32847846	rs141952083	39
cg09492975	0.0272220535512403	0.19419166960001	6.56016495325206	3.23568914037148e-08	0.00264010689028029	8.06735749719687	0.18058064282439	0.20780269637563	0.0272220535512403	3	11267531	F	II	HRH1	TSS200	opensea	TSS200-opensea		rs535839226;rs554182133;rs141610893	0;18;27
cg04595171	0.0393849733021909	0.41168267584004	6.55697102538401	3.27270638714798e-08	0.00264010689028029	8.05604283083278	0.391990189188944	0.431375162491135	0.0393849733021909	12	57933495	R	II	DCTN2	Body	opensea	Body-opensea			
cg05527449	0.0424018310462849	0.593079237613691	6.47388960180765	4.39938253538366e-08	0.00264010689028029	7.76184570214846	0.571878322090549	0.614280153136833	0.0424018310462849	7	154778125	R	II	PAXIP1	Body	opensea	Body-opensea		rs546465532	3
cg27549551	0.0457364995692994	0.724770865526497	6.45063328842116	4.77912095062507e-08	0.00264010689028029	7.67954006838358	0.701902615741847	0.747639115311147	0.0457364995692994	2	228245419	F	II	TM4SF20	TSS1500	opensea	TSS1500-opensea		rs10201602	15
cg17542758	0.0477875170253814	0.794532899109396	6.44827019314577	4.81949246620977e-08	0.00264010689028029	7.67117815709	0.770639140596706	0.818426657622087	0.0477875170253811	12	121605293	F	II	P2RX7	ExonBnd	opensea	ExonBnd-opensea		rs147505804;rs138503902;rs149639375	0;12;44
cg19429405	0.0456425373305909	0.341398667986056	6.44589251244789	4.86045678926012e-08	0.00264010689028029	7.66276487022424	0.318577399320761	0.364219936651352	0.0456425373305908	10	73497609	F	II	C10orf105	TSS200	opensea	TSS200-opensea		rs575865435	36
cg13022415	0.0372871143302858	0.321798465091445	6.43429253299977	5.06534860830078e-08	0.00264010689028029	7.62172243645081	0.303154907926302	0.340442022256588	0.0372871143302858	17	465530	R	II	VPS53	Body	opensea	Body-opensea		rs548341883;rs147331811;rs527934641	42;18;1
cg04546097	0.0450051372226116	0.745633763818187	6.4157442416543	5.41103276822358e-08	0.00264010689028029	7.55610795565172	0.723131195206881	0.768136332429492	0.0450051372226116	3	120401058	R	II	HGD	1stExon	opensea	1stExon-opensea		rs547960368	2
cg01401957	0.0465361882271208	0.755750772436081	6.4028057957401	5.66601257692328e-08	0.00264010689028029	7.51034735927302	0.73248267832252	0.779018866549641	0.0465361882271208	5	14269011	F	II	TRIO	Body	opensea	Body-opensea		rs528331667;rs540137164	0;4
cg23564253	0.0504024151636019	0.500058613207159	6.37477381440792	6.26032407192935e-08	0.00274543934393961	7.41123073445739	0.474857405625358	0.52525982078896	0.0504024151636019	21	48023398	F	II	S100B	5'UTR	opensea	5'UTR-opensea		rs557145592;rs187627373	26;38
cg02276314	0.040288686803419	0.460035171125392	6.3433764743206	7.00012312340177e-08	0.00286199981481287	7.30026017555549	0.439890827723683	0.480179514527102	0.040288686803419	1	9301104	R	II	H6PD	5'UTR	opensea	5'UTR-opensea			
cg14171527	0.0291916100660926	0.23547309734861	6.31034947529426	7.87260607048401e-08	0.00286199981481287	7.18358467407588	0.220877292315564	0.250068902381657	0.0291916100660926	21	44473840	R	II	CBS	3'UTR	island	3'UTR-island	chr21:44473839-44474083	rs185332855;rs190207400	35;8
cg06930016	0.039197179555264	0.59245837545658	6.30800823948965	7.93842185182051e-08	0.00286199981481287	7.17531594286789	0.572859785678948	0.612056965234212	0.0391971795552638	6	166801650	F	II		IGR	opensea	IGR-opensea		rs554278989;rs555789870;rs73265170	0;15;33
cg17908865	0.0482291868975899	0.452170441131724	6.30367565024716	8.06166852365979e-08	0.00286199981481287	7.16001498352598	0.428055847682929	0.476285034580519	0.0482291868975897	1	203506157	R	II		IGR	opensea	IGR-opensea			
cg19384042	0.0310093561630418	0.380594658702643	6.25408423927518	9.61586200246091e-08	0.00295511782031403	6.98495408694688	0.365089980621122	0.396099336784164	0.0310093561630417	5	172314993	R	II	ERGIC1	Body	opensea	Body-opensea		rs376843507;rs149325469	49;48
cg15802480	0.0425915932362324	0.68302239579031	6.2492275908707	9.78327423316418e-08	0.00295511782031403	6.9678175692494	0.661726599172193	0.704318192408426	0.0425915932362324	1	50795160	F	II		IGR	shelf	IGR-shelf	chr1:50798667-50799536	rs146464440	1
cg06021353	0.0454121780523031	0.352950208515838	6.22464183694364	1.06764062161539e-07	0.00295511782031403	6.88108977348627	0.330244119489687	0.37565629754199	0.045412178052303	5	73399681	R	II		IGR	opensea	IGR-opensea		rs539591817	22
cg17647904	0.041403030701535	0.461462740868036	6.22039508039225	1.08387113784683e-07	0.00295511782031403	6.86611289479263	0.440761225517268	0.482164256218803	0.0414030307015351	12	124908601	F	II	NCOR2	Body	shelf	Body-shelf	chr12:124911243-124911464	rs187701440;rs545626834;rs564249516	11;17;21
cg02054108	0.051748478119204	0.455512605634462	6.22019589206811	1.08463841748343e-07	0.00295511782031403	6.86541045279597	0.42963836657486	0.481386844694064	0.0517484781192039	2	61607478	R	II	USP34	Body	opensea	Body-opensea			
cg19241807	0.0439066575383574	0.680137909602853	6.21850751345079	1.09116388678138e-07	0.00295511782031403	6.85945644989577	0.658184580833674	0.702091238372032	0.0439066575383575	2	25392556	R	II	POMC	TSS1500	shore	TSS1500-shore	chr2:25391072-25391875	rs143984689	1
cg11596902	0.0397096858706479	0.276420085898876	6.21372485824051	1.10986172174342e-07	0.00295511782031403	6.84259158606236	0.256565242963552	0.2962749288342	0.0397096858706479	11	123324834	R	II		IGR	opensea	IGR-opensea		rs185588931	2
cg00630090	0.0417641522674592	0.518772236428168	6.17830857285543	1.25862870555766e-07	0.0031326097299527	6.71775114654968	0.497890160294438	0.539654312561897	0.0417641522674592	1	95061557	R	II		IGR	opensea	IGR-opensea		rs536634089	16
cg23311258	0.0399931265993321	0.53737279034148	6.17787673361151	1.26056019222056e-07	0.0031326097299527	6.71622945257608	0.517376227041814	0.557369353641146	0.0399931265993322	7	32498107	R	II		IGR	opensea	IGR-opensea		rs149019481;rs547322764	22;9
cg24086675	0.0375747510262082	0.280462853529182	6.16569641068366	1.31627257637156e-07	0.00315390290763365	6.67331426591959	0.261675478016078	0.299250229042286	0.0375747510262082	14	35703393	F	II	KIAA0391	Body	opensea	Body-opensea		rs191171851;rs546955260	38;44
cg06633162	0.0432196292273043	0.606071505969037	6.157621969285	1.35455028448352e-07	0.00315390290763365	6.64487105194236	0.584461691355385	0.627681320582689	0.0432196292273044	6	158481402	F	II	SYNJ2	Body	opensea	Body-opensea		rs146113395;rs531994339;rs371016306;rs187201160	1;14;28;47
cg25571414	0.0409847925227304	0.83711880065744	6.14912251802001	1.39604140893314e-07	0.00315390290763365	6.61493561027171	0.816626404396075	0.857611196918805	0.0409847925227308	4	25659572	F	II	SLC34A2	5'UTR	shelf	5'UTR-shelf	chr4:25657119-25657547	rs12501856;rs565839612	36;38
cg07564261	0.0340319558798765	0.333114957980309	6.1353309913778	1.46607718842837e-07	0.00321471057098419	6.56637214651387	0.316098980040371	0.350130935920247	0.0340319558798766	17	66379574	R	II	ARSG	Body	opensea	Body-opensea		rs376989232;rs565637898;rs535857835;rs140981342	38;9;7;1
cg27108109	0.0458473803928794	0.540128494399556	6.12306902384677	1.53127900530214e-07	0.00326174678361398	6.52320616467967	0.517204804203116	0.563052184595996	0.0458473803928794	4	57524204	F	II	HOPX	5'UTR	shore	5'UTR-shore	chr4:57521621-57522703		
cg15460321	0.0611599518025018	0.532382714888457	6.11442273746587	1.57898348032318e-07	0.00326993443366216	6.49277514213845	0.501802738987206	0.562962690789708	0.0611599518025019	6	45447935	F	II	RUNX2	Body	opensea	Body-opensea		rs184416937	0
cg19046904	0.0413731702231394	0.588852925352678	6.10309915404032	1.64370500944217e-07	0.00327007104551625	6.45292965561595	0.568166340241109	0.609539510464248	0.0413731702231392	22	46426201	R	II		IGR	shelf	IGR-shelf	chr22:46423299-46423652	rs530735707;rs550561365;rs567540675;rs144878853;rs548942210	34;13;12;5;2
cg00274133	0.0428710384249653	0.361195214363094	6.09917003363691	1.66677441664991e-07	0.00327007104551625	6.43910609976544	0.339759695150611	0.382630733575577	0.0428710384249653	1	180579182	F	II		IGR	opensea	IGR-opensea			
cg08421782	0.0417172421783639	0.559668480703614	6.08731722512291	1.73833862716524e-07	0.0032843830656169	6.39741229777803	0.538809859614432	0.580527101792796	0.041717242178364	6	43463353	R	II	TJAP1	5'UTR	opensea	5'UTR-opensea		rs146851893;rs530644641	21;1
cg12822133	0.0470440395643439	0.683404525082356	6.06414303280767	1.88721567027184e-07	0.0032843830656169	6.31592551675643	0.659882505300185	0.706926544864528	0.0470440395643438	22	23134389	R	II		IGR	opensea	IGR-opensea		rs138339964;rs534887469;rs112327671;rs558009711	46;32;25;12
cg12302692	0.0406291513819531	0.763066794648783	6.0542478152688	1.95459066185146e-07	0.0032843830656169	6.28114417602479	0.742752218957807	0.78338137033976	0.0406291513819532	12	7272451	F	II	C1RL-AS1	Body	opensea	Body-opensea		rs75536806	0
cg20782117	0.0383953220021567	0.378896140265505	6.03539062209712	2.08968578683962e-07	0.0032843830656169	6.21488374915722	0.359698479264427	0.398093801266584	0.0383953220021568	7	95865631	R	II	SLC25A13	Body	opensea	Body-opensea		rs559795997	2
cg16958707	0.043208194918872	0.40025919189101	6.03113735609523	2.12141889876395e-07	0.0032843830656169	6.19994265371424	0.378655094431574	0.421863289350446	0.0432081949188721	3	171874269	R	II	FNDC3B	Body	opensea	Body-opensea		rs556783425;rs574520348	42;2
cg00232107	0.0423809543149841	0.716837939242394	6.02797982562054	2.14528665564243e-07	0.0032843830656169	6.18885168699766	0.695647462084902	0.738028416399886	0.0423809543149841	3	65390065	R	II	MAGI1	Body	opensea	Body-opensea		rs139809008;rs141176041;rs72626921	51;44;21
cg25498843	0.0427249631246879	0.620970548228156	6.02722317608443	2.15104575133781e-07	0.0032843830656169	6.1861940451381	0.599608066665812	0.6423330297905	0.042724963124688	15	78305338	R	II	TBC1D2B	Body	opensea	Body-opensea		rs559426852;rs150768376	32;1
cg10842456	0.0357948814960256	0.795564351763637	6.02562815459365	2.16323641644128e-07	0.0032843830656169	6.1805918777686	0.777666911015625	0.81346179251165	0.0357948814960255	13	50805081	F	II	DLEU1	Body	opensea	Body-opensea		rs56285935	0
cg10885599	0.0347076089808511	0.870778125409266	6.02392118907045	2.17635884597725e-07	0.0032843830656169	6.17459676706057	0.85342432091884	0.888131929899691	0.0347076089808512	16	9219449	R	II		IGR	opensea	IGR-opensea		rs540904285;rs565494486	37;1
cg07584928	0.0424671758618721	0.725522307760522	6.01979828916698	2.20838166143948e-07	0.0032843830656169	6.16011755292513	0.704288719829586	0.746755895691458	0.0424671758618722	1	161148096	F	II	B4GALT3	TSS1500	shore	TSS1500-shore	chr1:161147061-161147451	rs192411901;rs552053020	0;42
cg23142831	0.0386287051006591	0.816876032367605	6.01090846278787	2.27903405406349e-07	0.0032843830656169	6.12890225320867	0.797561679817276	0.836190384917935	0.038628705100659	3	55370226	R	II		IGR	opensea	IGR-opensea		rs73071518	39
cg23516425	0.0360099350269355	0.889692759175068	6.00308956774981	2.34303191122468e-07	0.0032843830656169	6.10145293576629	0.8716877916616	0.907697726688535	0.0360099350269353	2	20186047	F	II	WDR35	Body	shelf	Body-shelf	chr2:20189588-20190229	rs554020188	2
cg07180212	0.0329123847470535	0.344407570818925	5.99747503165522	2.3900872188993e-07	0.0032843830656169	6.08174557061952	0.327951378445398	0.360863763192452	0.0329123847470534	17	74557703	F	II	SNORD1A	TSS200	shelf	TSS200-shelf	chr17:74553220-74553912	rs202177917;rs184121503;rs73369110	1;15;18
cg01802136	0.0480060251620236	0.447561240904258	5.99369631710526	2.42228478820455e-07	0.0032843830656169	6.06848358903136	0.423558228323246	0.47156425348527	0.0480060251620234	15	41191151	R	II	VPS18	Body	shelf	Body-shelf	chr15:41186255-41187169	rs201577141;rs200037246	14;1
cg08824724	0.0493430184820026	0.670053935585286	5.99050111814703	2.44984688017184e-07	0.0032843830656169	6.05727051579947	0.645382426344285	0.694725444826288	0.0493430184820025	19	51972371	R	II		IGR	opensea	IGR-opensea		rs372538246;rs111654379	31;21
cg11449128	0.0451494526844798	0.36915937143107	5.98992549981111	2.45484528905854e-07	0.0032843830656169	6.05525056409302	0.34658464508883	0.39173409777331	0.0451494526844798	6	13874574	R	II		IGR	shore	IGR-shore	chr6:13873765-13874262		
cg00237086	0.047604811370681	0.529332862906064	5.9865136401741	2.48468135434511e-07	0.0032843830656169	6.04327831069164	0.505530457220724	0.553135268591405	0.0476048113706811	8	6796499	R	II	DEFA4	TSS1500	opensea	TSS1500-opensea		rs553858261;rs144636705	10;1
cg18120259	0.0395378665949475	0.390047127877411	5.98577633698245	2.49117619167288e-07	0.0032843830656169	6.04069123989274	0.370278194579937	0.409816061174885	0.0395378665949475	6	43894639	F	II	LOC100132354	Body	opensea	Body-opensea		rs548209732	4
cg27250318	0.0359130218321209	0.201766240783027	5.98352598244876	2.51110400602208e-07	0.0032843830656169	6.03279542664319	0.183809729866967	0.219722751699087	0.0359130218321209	7	137775797	R	II	AKR1D1	Body	opensea	Body-opensea		rs574753375;rs543574121;rs557450796	43;24;18
cg17371070	0.0390629846697281	0.829125617400337	5.97829259505555	2.5580632660843e-07	0.00328811688040913	6.0144347833008	0.809594125065473	0.848657109735201	0.0390629846697279	8	125239977	R	II		IGR	opensea	IGR-opensea		rs186179217;rs376041451	44;1
cg12343619	0.0385357156329733	0.34055890977881	5.95933150755438	2.7356372159365e-07	0.00345676973275035	5.94793281225651	0.321291051962323	0.359826767595297	0.0385357156329733	1	234794046	F	II	LOC101927787	Body	opensea	Body-opensea		rs143500074	1
cg15082526	0.0459347413179176	0.40270847102626	5.93868724088438	2.94294102528757e-07	0.00361560243042915	5.875564622713	0.379741100367301	0.425675841685219	0.0459347413179176	2	216936285	R	II	PECR	Body	opensea	Body-opensea			
cg03605704	0.0409408840009397	0.409854245509542	5.93721295958514	2.95832950950438e-07	0.00361560243042915	5.87039805728486	0.389383803509072	0.430324687510012	0.0409408840009398	1	204453066	F	II	PIK3C2B	5'UTR	opensea	5'UTR-opensea		rs529205700;rs549132902	1;15
cg18498427	0.0527398589990744	0.617779739219376	5.92678464430969	3.06948902466668e-07	0.0036690818425434	5.83385821536107	0.591409809719838	0.644149668718913	0.0527398589990743	10	98244693	R	II	TLL2	Body	opensea	Body-opensea		rs531781052;rs12248019;rs192558812;rs535756568	50;31;25;1
cg24686153	0.0497070098257181	0.477560764716659	5.92394088540434	3.10051609168581e-07	0.0036690818425434	5.8238957273352	0.4527072598038	0.502414269629518	0.0497070098257181	15	56148763	R	II	NEDD4	Body	opensea	Body-opensea		rs17819270;rs564376704;rs147596980	46;8;1
