	BumphunterDMR.seqnames	BumphunterDMR.start	BumphunterDMR.end	BumphunterDMR.width	BumphunterDMR.strand	BumphunterDMR.value	BumphunterDMR.area	BumphunterDMR.cluster	BumphunterDMR.indexStart	BumphunterDMR.indexEnd	BumphunterDMR.L	BumphunterDMR.clusterL	BumphunterDMR.p.value	BumphunterDMR.fwer	BumphunterDMR.p.valueArea	BumphunterDMR.fwerArea
DMR_1	chr2	223916417	223916912	495	*	0.280688868255987	2.80688868255987	167429	274885	274894	10	19	0.00129360422544837	0.164	0.00780067755572261	0.684
DMR_2	chr5	1856259	1857828	1569	*	0.303370905055039	2.42696724044031	223699	353078	353085	8	21	0.00131313032696457	0.176	0.0142491725814483	0.748
DMR_3	chr4	1512820	1513259	439	*	0.33287493613963	1.66437468069815	209201	334251	334255	5	8	0.0016353110019819	0.212	0.0455885655149521	0.924
DMR_4	chr21	30391383	30391822	439	*	-0.308273605486664	1.84964163291998	179871	293321	293326	6	13	0.0027873509914378	0.24	0.0342194929071436	0.868
DMR_5	chr2	37458536	37458826	290	*	-0.227077638347857	2.27077638347857	149945	253612	253621	10	18	0.0105880285471604	0.34	0.0181251037324143	0.772
DMR_6	chr2	115419537	115420260	723	*	0.263128719555673	1.84190103688971	157676	263577	263583	7	7	0.0103830044812403	0.368	0.0345611996836772	0.868
DMR_7	chr9	135905949	135906290	341	*	-0.262282388288822	1.83597671802175	298804	460202	460208	7	15	0.0106954221054995	0.368	0.0348687357825573	0.868
DMR_8	chr6	74104426	74104877	451	*	0.279524889235212	1.67714933541127	249224	393749	393754	6	16	0.00856707704023353	0.368	0.0447733507766507	0.916
DMR_9	chr17	62502038	62502266	228	*	-0.279326506164433	1.6759590369866	124274	207456	207461	6	22	0.00861589229402404	0.372	0.0448172845050621	0.916
DMR_10	chr21	37442104	37442385	281	*	-0.273829622583833	1.642977735503	180801	294634	294639	6	9	0.0105782654964023	0.408	0.0469114588926748	0.928
DMR_11	chr17	33569972	33570178	206	*	-0.233155607723707	2.09840046951336	119709	198246	198254	9	18	0.0138732951272614	0.412	0.0236314643599832	0.816
DMR_12	chr4	6642118	6642559	441	*	-0.238828213116082	1.91062570492865	210174	336480	336487	8	14	0.0170560496744023	0.42	0.0313833266619153	0.848
DMR_13	chr8	23082539	23082961	422	*	-0.218929877975076	1.97036890177569	276907	434780	434788	9	19	0.0190233044021596	0.428	0.0287717105841233	0.832
DMR_14	chr17	72209469	72209802	333	*	-0.230082234409762	1.8406578752781	125582	208573	208580	8	26	0.021874115223525	0.448	0.0346148964628467	0.868
DMR_15	chr22	39916166	39916550	384	*	-0.243137447848345	1.70196213493842	186683	304423	304429	7	14	0.0215421714977496	0.456	0.0431331582492897	0.912
DMR_16	chr16	30621667	30622014	347	*	-0.227386279866517	1.81909023893213	108331	175273	175280	8	14	0.0234508479209583	0.46	0.0358157517060931	0.88
DMR_17	chr1	92011732	92012736	1004	*	0.242955890140659	1.70069123098462	13325	23335	23341	7	7	0.0216983803098792	0.464	0.0432454333330079	0.912
DMR_18	chr1	231473707	231473975	268	*	-0.224752861068096	1.79802288854477	26446	43271	43278	8	35	0.0249348316361897	0.468	0.0369531471194119	0.884
DMR_19	chr11	76155921	76156134	213	*	-0.219694272907817	1.75755418326254	53671	88768	88775	8	18	0.0274878694094331	0.476	0.0395305925195505	0.892
DMR_20	chr17	57184382	57184577	195	*	-0.216120562113762	1.7289644969101	123565	206342	206349	8	17	0.0289913792261806	0.484	0.0412342448768391	0.9
DMR_21	chr3	40498343	40498671	328	*	-0.231219600793693	1.61853720555585	193243	312884	312890	7	14	0.0306999131088483	0.508	0.0485711775215519	0.936
DMR_22	chr1	27560800	27560916	116	*	-0.230452015613609	1.61316410929526	5589	11927	11933	7	17	0.0313247483573667	0.508	0.0489421734503598	0.936
DMR_23	chr19	19030094	19030391	297	*	-0.229646686351639	1.60752680446147	139411	233586	233592	7	14	0.0320179249611919	0.512	0.049449852089781	0.94
DMR_24	chr18	7119021	7119131	110	*	1.15967604081448	2.31935208162896	128586	216734	216735	2	12	0.00107881710877015	0.596	0.0168022103546916	0.764
DMR_25	chr12	103312609	103312810	201	*	1.01043527490656	2.02087054981312	70523	113298	113299	2	12	0.00137659015689223	0.684	0.0265652611127925	0.824
