	intercept	f	pval	qval
cg02619544	0.498573517263133	48.4314283615982	1.04887528836033e-08	0.00554624923349527
cg11473803	0.840180151428512	42.9732094206183	4.24113823438399e-08	0.00554624923349527
cg06948588	0.864569085714607	42.2412659897624	5.1496776020271e-08	0.00554624923349527
cg03590464	0.0644020858543154	41.5570048458581	6.18369788343827e-08	0.00554624923349527
cg03985415	0.615287152252884	40.7145344793431	7.76221817641942e-08	0.00554624923349527
cg12891692	0.963229088921535	40.4214178902076	8.40570930331724e-08	0.00554624923349527
cg01747693	0.848010193251676	39.8856930336665	9.72992568734304e-08	0.00554624923349527
cg00427260	0.914345418039185	39.6562552298684	1.03620818502198e-07	0.00554624923349527
cg00027454	0.513341127426525	39.5842600732949	1.05691738060054e-07	0.00554624923349527
cg23595749	0.897136051797738	39.4748703793709	1.08921427969108e-07	0.00554624923349527
cg19507893	0.817122841796947	39.1892657439289	1.17849141510318e-07	0.00554624923349527
cg06747282	0.86918091607473	39.1456437751646	1.19278605996913e-07	0.00554624923349527
cg03913299	0.884089609905191	38.1127364171015	1.58992065942165e-07	0.00575634304565666
cg25738793	0.846180196482844	37.6549902955946	1.80801972134352e-07	0.00575634304565666
cg01144921	0.0460577002809584	37.431968536056	1.92539464251062e-07	0.00575634304565666
cg11694538	0.879094024106362	37.4113783474593	1.93662527785927e-07	0.00575634304565666
cg22587211	0.339097087681547	37.3854457089726	1.95086732330921e-07	0.00575634304565666
cg16245569	0.879591315357173	37.345283142557	1.97314067908448e-07	0.00575634304565666
cg18814048	0.889602654165759	37.2267865908673	2.04041795223118e-07	0.00575634304565666
cg03016975	0.0485405199290576	37.1874428621444	2.063282004408e-07	0.00575634304565666
cg20321921	0.927386168424435	36.912780230687	2.23054264808226e-07	0.00587423438028191
cg14168545	0.927386045106349	36.7805015945293	2.31609238528984e-07	0.00587423438028191
cg08172935	0.0488693196102235	36.1448980075867	2.77767408760414e-07	0.00639065187595154
cg12574296	0.159503890122533	36.0069685364071	2.8899709542893e-07	0.00639065187595154
cg05123047	0.48203718525343	35.8947438588901	2.98483619111962e-07	0.00639065187595154
cg04378659	0.783949600562843	35.8024716326793	3.06527079943131e-07	0.00639065187595154
cg13755233	0.890256514893545	35.6651048916698	3.18923468300143e-07	0.00639065187595154
cg17190161	0.924134648827128	35.6459872296094	3.20689779439927e-07	0.00639065187595154
cg14884276	0.902715400277845	35.4403990909232	3.40343303438955e-07	0.00640806942573918
cg08051701	0.804489373838318	35.3981812113749	3.44532654436768e-07	0.00640806942573918
cg02751820	0.836412868487945	34.5673975773741	4.3891651912453e-07	0.00675674458735969
cg24497270	0.039291818033107	34.3658652291527	4.65653022010442e-07	0.00675674458735969
cg16496699	0.919596478571391	34.3308596643089	4.70467897348419e-07	0.00675674458735969
cg21556351	0.907528409384687	34.2717790364464	4.7871254138622e-07	0.00675674458735969
cg12014368	0.895064183563641	34.2561791366813	4.80914586543999e-07	0.00675674458735969
cg03452609	0.877619420631549	34.0148749766157	5.16357947910531e-07	0.00675674458735969
cg22806837	0.0419785655561256	33.908786691661	5.32794358292842e-07	0.00675674458735969
cg21738476	0.311258713060521	33.8824351322838	5.36961192048226e-07	0.00675674458735969
cg25175361	0.904911310601963	33.8024361373484	5.49820882397612e-07	0.00675674458735969
cg21288684	0.870999947728958	33.7881548194871	5.52150224516728e-07	0.00675674458735969
cg18854441	0.896621771563242	33.6659247019626	5.72513265017352e-07	0.00675674458735969
cg01782128	0.893728177544677	33.6409924412513	5.76762374766107e-07	0.00675674458735969
cg09508362	0.951066330262707	33.6075743555319	5.82509437807942e-07	0.00675674458735969
cg07303968	0.0348258211821129	33.5695078443829	5.89128879386091e-07	0.00675674458735969
cg16314291	0.0566554062685045	33.4852586268649	6.0406011259206e-07	0.00675674458735969
cg14559057	0.0380188886694146	33.4421340459264	6.11855440602093e-07	0.00675674458735969
cg16038030	0.624120531519303	33.361210777887	6.2676838796695e-07	0.00675674458735969
cg02975268	0.900890761156814	33.3517738715465	6.28532031202423e-07	0.00675674458735969
cg23830756	0.899712811627165	33.3264005096171	6.33299766656197e-07	0.00675674458735969
cg13591497	0.871460730635845	33.3167005821614	6.35132384766711e-07	0.00675674458735969
cg12488346	0.0526551910497248	33.2337082477509	6.5104058394321e-07	0.00675674458735969
