	BumphunterDMR.seqnames	BumphunterDMR.start	BumphunterDMR.end	BumphunterDMR.width	BumphunterDMR.strand	BumphunterDMR.value	BumphunterDMR.area	BumphunterDMR.cluster	BumphunterDMR.indexStart	BumphunterDMR.indexEnd	BumphunterDMR.L	BumphunterDMR.clusterL	BumphunterDMR.p.value	BumphunterDMR.fwer	BumphunterDMR.p.valueArea	BumphunterDMR.fwerArea
DMR_1	chr2	37387350	37392027	4677	*	-1.38711643532342	4.16134930597027	81643	327669	327671	3	15	5.07841066059966e-05	0.02	0.00172665962460388	0.248
DMR_2	chr19	58545149	58545728	579	*	-0.395282519210015	3.16226015368012	78939	318453	318460	8	24	0.000517997887381165	0.044	0.00552531079873243	0.448
DMR_3	chr1	229691110	229692519	1409	*	-3.05513924269931	6.11027848539863	14182	55990	55991	2	12	0.000121881855854392	0.048	0.000345331924920777	0.104
DMR_4	chr17	42431109	42432165	1056	*	-0.41475880219909	2.48855281319454	67381	261448	261453	6	44	0.000467213780775169	0.056	0.0127569675794263	0.644
DMR_5	chr5	135364552	135364580	28	*	-0.412444140765948	2.06222070382974	132992	477287	477291	5	25	0.000670350207199155	0.056	0.0224465751198505	0.788
DMR_6	chr8	141521259	141521446	187	*	0.451378701937631	1.80551480775052	164973	582646	582649	4	18	0.000467213780775169	0.068	0.0325018282278378	0.872
DMR_7	chr20	57463763	57464973	1210	*	-0.300765891836224	4.81225426937958	98372	377285	377300	16	72	0.000284390996993581	0.072	0.000954741204192736	0.196
DMR_8	chr10	128994432	128994644	212	*	-0.380138218383863	2.28082931030318	24270	85763	85768	6	18	0.00136101405704071	0.072	0.0167689120013001	0.724
DMR_9	chr5	16179210	16180419	1209	*	-0.334352202184746	4.01222642621695	126471	463676	463687	12	24	0.000650036564556756	0.076	0.00208214837084586	0.272
DMR_10	chr16	4475641	4475932	291	*	0.366118898716937	2.19671339230162	59264	220902	220907	6	21	0.00210246201348826	0.084	0.0187393353376127	0.752
DMR_11	chr20	13975853	13976218	365	*	-0.339359565494144	3.73295522043559	95179	366385	366395	11	29	0.000761761599089949	0.088	0.00289469407654181	0.34
DMR_12	chr22	29196047	29196699	652	*	0.423495183522556	1.69398073409023	101826	391967	391970	4	17	0.00089380027626554	0.096	0.0384943528073454	0.904
DMR_13	chr20	3145178	3145597	419	*	-0.375391547514011	1.87695773757006	94496	364761	364765	5	48	0.00229544161859105	0.116	0.0293836840822296	0.852
DMR_14	chr7	26403780	26404734	954	*	-0.409814846442613	1.63925938577045	148547	535682	535685	4	10	0.00135085723571951	0.116	0.0418054765580564	0.912
DMR_15	chr3	128398171	128398685	514	*	-2.02348482825336	4.04696965650673	111401	422894	422895	2	10	0.000385959210205574	0.14	0.00198058015763387	0.264
DMR_16	chr5	6714655	6714666	11	*	0.3938950052748	1.5755800210992	125892	462446	462449	4	26	0.00210246201348826	0.144	0.0456549118387909	0.92
DMR_17	chr11	30038615	30038692	77	*	-0.331878222097988	2.32314755468592	26723	99290	99296	7	30	0.00339237832128057	0.148	0.0159766799382465	0.704
DMR_18	chr6	291859	292823	964	*	-0.319531729067403	2.55625383253922	136192	489633	489640	8	13	0.00335175103599577	0.152	0.0116498740554156	0.624
DMR_19	chr6	28945189	28945507	318	*	-0.32697034764	2.28879243348	138567	497102	497108	7	8	0.00384943528073454	0.152	0.0166368733241245	0.724
DMR_20	chr5	56110833	56111630	797	*	0.311124377793398	2.80011940014058	128392	467252	467260	9	18	0.00264077354351182	0.168	0.00860282765905582	0.54
DMR_21	chr7	27183643	27184030	387	*	0.260512477244565	2.86563724969022	148600	535994	536004	11	541	0.00371739660355895	0.2	0.00788169334525067	0.524
DMR_22	chr1	3568004	3568245	241	*	-0.313293323315416	2.19305326320791	147	4035	4041	7	141	0.00538311530023564	0.204	0.0187698058015763	0.752
DMR_23	chr16	2802190	2802538	348	*	0.304694969043842	2.74225472139458	59122	219244	219252	9	70	0.00325018282278378	0.208	0.00926302104493378	0.556
DMR_24	chr10	116582297	116582297	0	*	-1.89608865671533	1.89608865671533	23294	82604	82604	1	14	0.000639879743235557	0.216	0.0285609815552125	0.848
DMR_25	chr20	32856747	32857151	404	*	-0.330599860999755	1.65299930499878	96270	369707	369711	5	9	0.00713008856748192	0.22	0.0409523035670756	0.912
DMR_26	chr19	50931343	50931622	279	*	-0.32939629333811	1.64698146669055	78310	314282	314286	5	23	0.0074449500284391	0.22	0.0413585764199236	0.912
DMR_27	chr6	48036212	48036617	405	*	-0.259854146589106	2.59854146589106	140115	511256	511265	10	18	0.00566750629722922	0.236	0.0110810920614285	0.608
DMR_28	chr5	50678913	50679290	377	*	-0.295652441162015	2.36521952929612	128009	466460	466467	8	58	0.00609409279271959	0.256	0.015184447875193	0.7
