	Old_to_Young.logFC	Old_to_Young.AveExpr	Old_to_Young.t	Old_to_Young.P.Value	Old_to_Young.adj.P.Val	Old_to_Young.B	Old_to_Young.Old_AVG	Old_to_Young.Young_AVG	Old_to_Young.deltaBeta	Old_to_Young.CHR	Old_to_Young.MAPINFO	Old_to_Young.Strand	Old_to_Young.Type	Old_to_Young.gene	Old_to_Young.feature	Old_to_Young.cgi	Old_to_Young.feat.cgi	Old_to_Young.UCSC_Islands_Name	Old_to_Young.SNP_ID	Old_to_Young.SNP_DISTANCE
cg16867657	-0.0512579203603205	0.742888002988532	-6.88896121960192	9.99314148823281e-09	0.00745016678743923	9.24881040070266	0.768516963168692	0.717259042808372	-0.0512579203603204	6	11044877	F	I	ELOVL2	TSS1500	island	TSS1500-island	chr6:11043913-11045206	rs573887826;rs375417505;rs562861311	3;34;40
cg11218561	0.0261182019286451	0.856989851032489	6.43111698377743	5.10714890843395e-08	0.0102398478868612	7.62555351764693	0.843930750068167	0.870048951996812	0.0261182019286452	11	1050743	R	I		IGR	opensea	IGR-opensea		rs115488011;rs191250116;rs74330548;rs543969751;rs565341387	49;44;26;21;20
cg05911659	-0.044783024061691	0.337816817322722	-6.40263174320758	5.65226386046601e-08	0.0102398478868612	7.52477538763728	0.360208329353567	0.315425305291876	-0.0447830240616909	5	175223626	R	I	CPLX2	1stExon	island	1stExon-island	chr5:175223609-175224679	rs562719831;rs530158013;rs541889728;rs2243404;rs528225264;rs546386449	50;48;16;12;3;2
cg22367191	-0.0494988587152088	0.272517661840724	-6.36960455866692	6.35737666119574e-08	0.0102398478868612	7.40797531488177	0.297267091198329	0.24776823248312	-0.0494988587152088	6	10425648	R	I		IGR	shore	IGR-shore	chr6:10426200-10426638		
cg06639320	-0.0495162045077613	0.480909107045194	-6.34791524328144	6.86751395444654e-08	0.0102398478868612	7.33130043470391	0.505667209299075	0.456151004791314	-0.0495162045077613	2	106015739	R	II	FHL2	TSS200	island	TSS200-island	chr2:106014878-106015884		
cg17268658	-0.0549463799137664	0.471378793653507	-6.26868021750698	9.10344099536065e-08	0.0113114502639821	7.05140555674714	0.49885198361039	0.443905603696624	-0.0549463799137663	2	106015745	R	II	FHL2	TSS200	island	TSS200-island	chr2:106014878-106015884		
cg18064824	-0.0290587057059963	0.340036489682921	-6.16042105347635	1.33747088397498e-07	0.0142445999026871	6.66959199996228	0.354565842535919	0.325507136829923	-0.0290587057059963	2	176978893	F	I		IGR	shore	IGR-shore	chr2:176980765-176981423		
cg07212778	-0.0219677842784291	0.110897825467907	-6.07190189112773	1.8311545985915e-07	0.0170647128197341	6.3580003626358	0.121881717607122	0.0999139333286929	-0.0219677842784291	2	119916510	R	I	C1QL2	TSS200	island	TSS200-island	chr2:119914126-119916663	rs537079179	34
cg10964367	-0.0405330284654297	0.138683040071955	-6.03661093648712	2.07525393643333e-07	0.0171906657413474	6.23394293673571	0.15894955430467	0.11841652583924	-0.0405330284654297	8	1771973	R	I	ARHGEF10	TSS200	island	TSS200-island	chr8:1771361-1772760		
cg05933904	-0.0277590053731825	0.118001293998578	-5.91832340890493	3.15492526773449e-07	0.0235208512500356	5.81890787014306	0.131880796685169	0.104121791311987	-0.0277590053731825	16	1032266	R	I	SOX8	1stExon	island	1stExon-island	chr16:1029878-1035327		
