	logFC	AveExpr	t	P.Value	adj.P.Val	B	Case_AVG	Control_AVG	deltaBeta	CHR	MAPINFO	Strand	Type	gene	feature	cgi	feat.cgi	UCSC_Islands_Name	SNP_ID	SNP_DISTANCE
cg11069855	0.0503310995695592	0.56028331005702	7.36037737565499	1.87583515401592e-09	0.00132468731822656	10.9055072981961	0.535117760272241	0.5854488598418	0.0503310995695591	13	30112348	R	II	SLC7A1	5'UTR	opensea	5'UTR-opensea		rs78139552;rs151237564	36;15
cg09019636	0.0515060327552982	0.542459064659382	6.87768196986279	1.04411440063441e-08	0.00194604130219043	9.19334814772046	0.516706048281733	0.568212081037031	0.0515060327552981	2	62964766	F	II	EHBP1	Body	opensea	Body-opensea			
cg19384042	0.0310093561630418	0.380594658702643	6.25408423927518	9.61586200246091e-08	0.00295511782031403	6.98495408694688	0.365089980621122	0.396099336784164	0.0310093561630417	5	172314993	R	II	ERGIC1	Body	opensea	Body-opensea		rs376843507;rs149325469	49;48
cg15802480	0.0425915932362324	0.68302239579031	6.2492275908707	9.78327423316418e-08	0.00295511782031403	6.9678175692494	0.661726599172193	0.704318192408426	0.0425915932362324	1	50795160	F	II		IGR	shelf	IGR-shelf	chr1:50798667-50799536	rs146464440	1
cg06021353	0.0454121780523031	0.352950208515838	6.22464183694364	1.06764062161539e-07	0.00295511782031403	6.88108977348627	0.330244119489687	0.37565629754199	0.045412178052303	5	73399681	R	II		IGR	opensea	IGR-opensea		rs539591817	22
cg23142831	0.0386287051006591	0.816876032367605	6.01090846278787	2.27903405406349e-07	0.0032843830656169	6.12890225320867	0.797561679817276	0.836190384917935	0.038628705100659	3	55370226	R	II		IGR	opensea	IGR-opensea		rs73071518	39
cg23516425	0.0360099350269355	0.889692759175068	6.00308956774981	2.34303191122468e-07	0.0032843830656169	6.10145293576629	0.8716877916616	0.907697726688535	0.0360099350269353	2	20186047	F	II	WDR35	Body	shelf	Body-shelf	chr2:20189588-20190229	rs554020188	2
cg07696959	0.0398914483463531	0.783353775612414	5.85604552661847	3.94134850394645e-07	0.00419745751709289	5.58627260743456	0.763408051439238	0.803299499785591	0.0398914483463528	10	45409683	F	II	TMEM72	Body	opensea	Body-opensea		rs532908604;rs551484796;rs142132851	0;35;45
cg14531319	0.0346283221106505	0.882062164223759	5.75921511830442	5.54628934566651e-07	0.00493379234251206	5.24820719006617	0.864748003168433	0.899376325279084	0.0346283221106507	5	129083450	F	II		IGR	opensea	IGR-opensea		rs554671221;rs574330639	21;33
cg18368502	0.0189419501250971	0.876009577252621	5.60995564121092	9.3754427218274e-07	0.0053289812996627	4.7292217135027	0.866538602190072	0.885480552315169	0.0189419501250974	17	77758580	R	I	CBX2	Body	island	Body-island	chr17:77758568-77758865	rs532091014;rs138828014	26;2
cg17041776	0.0184896300496896	0.942777263084054	5.59656115541879	9.82665499330868e-07	0.0053289812996627	4.68278560848188	0.933532448059209	0.952022078108899	0.0184896300496898	17	64749943	F	II	PRKCA	Body	opensea	Body-opensea		rs532045645;rs75811035;rs187149175	0;38;42
cg00947024	0.0341596032753664	0.850002371650151	5.57787475010334	1.04923157968362e-06	0.0053289812996627	4.61804348563102	0.832922570012468	0.867082173287834	0.0341596032753665	9	96291676	F	II	FAM120A	Body	opensea	Body-opensea		rs10992775;rs144836182;rs113553657	0;42;48
cg16273303	0.0278027957325342	0.914151872347277	5.55344082155496	1.14305801982593e-06	0.0053289812996627	4.53345975403944	0.90025047448101	0.928053270213544	0.0278027957325339	14	96033519	R	II		IGR	opensea	IGR-opensea		rs11849709;rs558102241;rs8010792;rs144677900	45;29;14;6
cg15338332	0.02000250064519	0.924449795401998	5.52327686625185	1.27042664825896e-06	0.0053289812996627	4.42915470452397	0.914448545079403	0.934451045724593	0.02000250064519	6	149517406	R	II		IGR	opensea	IGR-opensea		rs563014071	33
cg19329439	0.0242713548834539	0.907223307014683	5.42426913826826	1.79568445077489e-06	0.00573412900939901	4.08772333193538	0.895087629572956	0.91935898445641	0.0242713548834539	8	9789496	R	II		IGR	shore	IGR-shore	chr8:9791236-9791450	rs191955066;rs562902959;rs138487776;rs548638785;rs150693547;rs534452726	47;39;33;30;20;4
cg08671543	0.0322987133256996	0.884894236968075	5.35067744390753	2.32057754752246e-06	0.00617962925317036	3.83492070215665	0.868744880305225	0.901043593630925	0.0322987133256996	6	138421227	R	II	PERP	Body	opensea	Body-opensea		rs546384827;rs563057726;rs531841637;rs145308240;rs187028277	38;16;15;2;1
cg21137244	0.0182696461952979	0.919308445262867	5.05470784098562	6.45864899142483e-06	0.00850725029201232	2.82780906229899	0.910173622165218	0.928443268360516	0.0182696461952981	17	43398234	F	II		IGR	shelf	IGR-shelf	chr17:43393891-43394938	rs571533730	0
cg01157525	0.0178630603818228	0.918729429149255	5.02374883652856	7.18283213068143e-06	0.00883012350184948	2.72344736118559	0.909797898958344	0.927660959340167	0.0178630603818229	6	33409399	F	II	SYNGAP1	Body	opensea	Body-opensea		rs559061651;rs577278005;rs151334677	0;43;50
cg06871772	-0.0250786313778043	0.14341613416105	-4.94521286103183	9.39833643809095e-06	0.00979961254268122	2.4596265972648	0.155955449849952	0.130876818472148	-0.0250786313778043	16	67313024	F	I	PLEKHG4	TSS1500	island	TSS1500-island	chr16:67312896-67313731	rs60548246	35
cg08913015	0.0168729249110192	0.919678472912321	4.93611145476988	9.6950558236014e-06	0.00990207690800724	2.4291406636536	0.911242010456811	0.928114935367831	0.0168729249110194	1	54849293	R	II	SSBP3	Body	opensea	Body-opensea		rs556450038;rs12022116;rs535709157	34;14;13
